t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
0.000103593,-9.8989,7.47564,0.00326762,0.118289,0,0,NONE,0,0,0,0,0,0,0
0.00590842,-9.89724,7.47564,0.00335568,0.213389,0.0206868,0.00441435,NONE,0,0,0,0,0,0,0
0.0181063,-9.89463,7.47565,0.00374302,0.308489,0.0598738,0.0184704,NONE,0,0,0,0,0,0,0
0.02351,-9.89107,7.47567,0.00461527,0.403589,0.117699,0.0475019,NONE,0,0,0,0,0,0,0
0.0291938,-9.89107,7.47567,0.00461527,0.403589,0.117699,0.0475019,NONE,0,0,0,0,0,0,0
0.0372592,-9.88656,7.47569,0.00615983,0.498689,0.194377,0.0969335,NONE,0,0,0,0,0,0,0
0.0461491,-9.88111,7.47581,0.00822832,0.590725,0.114913,0.0678817,NONE,0,0,0,0,0,0,0
0.048929,-9.88111,7.47581,0.00822832,0.590725,0.114913,0.0678817,NONE,0,0,0,0,0,0,0
0.0622336,-9.87477,7.47618,0.0102234,0.680144,0.244533,0.166318,NONE,0,0,0,0,0,0,0
0.0664,-9.87477,7.47618,0.0102234,0.680144,0.244533,0.166318,NONE,0,0,0,0,0,0,0
0.0739362,-9.86756,7.47674,0.0132296,0.765586,0.338841,0.259412,NONE,0,0,0,0,0,0,0
0.0820109,-9.85953,7.47747,0.0169024,0.847295,0.381241,0.323023,NONE,0,0,0,0,0,0,0
0.0896539,-9.85953,7.47747,0.0169024,0.847295,0.381241,0.323023,NONE,0,0,0,0,0,0,0
0.0980449,-9.85071,7.47831,0.0209157,0.925487,0.432843,0.40059,NONE,0,0,0,0,0,0,0
0.103767,-9.84113,7.47929,0.0254794,0.99996,0.466233,0.466215,NONE,0,0,0,0,0,0,0
0.111222,-9.84113,7.47929,0.0254794,0.99996,0.466233,0.466215,NONE,0,0,0,0,0,0,0
0.120314,-9.83082,7.48038,0.0302965,1.07281,0.509175,0.546251,NONE,0,0,0,0,0,0,0
0.123601,-9.83082,7.48038,0.0302965,1.07281,0.509175,0.546251,NONE,0,0,0,0,0,0,0
0.127431,-9.83082,7.48038,0.0302965,1.07281,0.509175,0.546251,NONE,0,0,0,0,0,0,0
0.133053,-9.8198,7.48161,0.0355974,1.14445,0.538073,0.615799,NONE,0,0,0,0,0,0,0
0.137139,-9.8198,7.48161,0.0355974,1.14445,0.538073,0.615799,NONE,0,0,0,0,0,0,0
0.144961,-9.80809,7.48294,0.0409225,1.21268,0.520255,0.630904,NONE,0,0,0,0,0,0,0
0.147861,-9.80809,7.48294,0.0409225,1.21268,0.520255,0.630904,NONE,0,0,0,0,0,0,0
0.152822,-9.79571,7.48436,0.0461081,1.27979,0.531541,0.680261,NONE,0,0,0,0,0,0,0
0.155857,-9.79571,7.48436,0.0461081,1.27979,0.531541,0.680261,NONE,0,0,0,0,0,0,0
0.161261,-9.78268,7.48588,0.0515272,1.34481,0.540347,0.726666,NONE,0,0,0,0,0,0,0
0.165371,-9.78268,7.48588,0.0515272,1.34481,0.540347,0.726666,NONE,0,0,0,0,0,0,0
0.170795,-9.76901,7.4875,0.0569724,1.40896,0.561649,0.79134,NONE,0,0,0,0,0,0,0
0.17775,-9.76901,7.4875,0.0569724,1.40896,0.561649,0.79134,NONE,0,0,0,0,0,0,0
0.184098,-9.75471,7.48926,0.0627202,1.47251,0.57538,0.847253,NONE,0,0,0,0,0,0,0
0.187364,-9.75471,7.48926,0.0627202,1.47251,0.57538,0.847253,NONE,0,0,0,0,0,0,0
0.19333,-9.7398,7.49115,0.0685281,1.53304,0.598877,0.918102,NONE,0,0,0,0,0,0,0
0.196789,-9.7398,7.49115,0.0685281,1.53304,0.598877,0.918102,NONE,0,0,0,0,0,0,0
0.201613,-9.72474,7.49314,0.0748067,1.50382,0.630289,0.94784,NONE,0,0,0,0,0,0,0
0.213585,-9.70994,7.49516,0.0811137,1.48473,0.647709,0.961675,NONE,0,0,0,0,0,0,0
0.216387,-9.70994,7.49516,0.0811137,1.48473,0.647709,0.961675,NONE,0,0,0,0,0,0,0
0.221773,-9.69532,7.49729,0.0879451,1.46917,0.726477,1.06732,NONE,0,0,0,0,0,0,0
0.226558,-9.69532,7.49729,0.0879451,1.46917,0.726477,1.06732,NONE,0,0,0,0,0,0,0
0.232251,-9.68081,7.49956,0.0953917,1.46946,0.742349,1.09086,NONE,0,0,0,0,0,0,0
0.239677,-9.68081,7.49956,0.0953917,1.46946,0.742349,1.09086,NONE,0,0,0,0,0,0,0
0.249924,-9.6663,7.50197,0.10282,1.47111,0.759475,1.11727,NONE,0,0,0,0,0,0,0
0.255296,-9.65181,7.50454,0.110776,1.47267,0.839557,1.23639,NONE,0,0,0,0,0,0,0
0.263557,-9.63733,7.50731,0.119424,1.47591,0.868452,1.28176,NONE,0,0,0,0,0,0,0
0.270475,-9.63733,7.50731,0.119424,1.47591,0.868452,1.28176,NONE,0,0,0,0,0,0,0
0.275514,-9.62282,7.51022,0.127874,1.48441,0.812161,1.20558,NONE,0,0,0,0,0,0,0
0.283265,-9.60824,7.51323,0.135817,1.49251,0.79677,1.18918,NONE,0,0,0,0,0,0,0
0.287011,-9.60824,7.51323,0.135817,1.49251,0.79677,1.18918,NONE,0,0,0,0,0,0,0
0.291843,-9.59358,7.51638,0.143778,1.50555,0.781081,1.17596,NONE,0,0,0,0,0,0,0
0.303194,-9.59358,7.51638,0.143778,1.50555,0.781081,1.17596,NONE,0,0,0,0,0,0,0
0.308971,-9.57881,7.51965,0.151521,1.51998,0.785036,1.19324,NONE,0,0,0,0,0,0,0
0.317449,-9.56393,7.52306,0.159437,1.53373,0.782096,1.19952,NONE,0,0,0,0,0,0,0
0.321899,-9.54893,7.52661,0.167224,1.54894,0.791985,1.22674,NONE,0,0,0,0,0,0,0
0.325655,-9.54893,7.52661,0.167224,1.54894,0.791985,1.22674,NONE,0,0,0,0,0,0,0
0.330807,-9.53383,7.53031,0.175231,1.56145,0.792937,1.23813,NONE,0,0,0,0,0,0,0
0.33832,-9.53383,7.53031,0.175231,1.56145,0.792937,1.23813,NONE,0,0,0,0,0,0,0
0.342547,-9.51864,7.53414,0.183143,1.57132,0.805838,1.26623,NONE,0,0,0,0,0,0,0
0.346111,-9.51864,7.53414,0.183143,1.57132,0.805838,1.26623,NONE,0,0,0,0,0,0,0
0.350363,-9.5034,7.53813,0.191294,1.57852,0.806837,1.27361,NONE,0,0,0,0,0,0,0
0.35381,-9.5034,7.53813,0.191294,1.57852,0.806837,1.27361,NONE,0,0,0,0,0,0,0
0.357607,-9.5034,7.53813,0.191294,1.57852,0.806837,1.27361,NONE,0,0,0,0,0,0,0
0.362223,-9.48813,7.54223,0.199338,1.58325,0.818655,1.29613,NONE,0,0,0,0,0,0,0
0.369303,-9.48813,7.54223,0.199338,1.58325,0.818655,1.29613,NONE,0,0,0,0,0,0,0
0.374309,-9.47286,7.54647,0.207602,1.58808,0.816754,1.29707,NONE,0,0,0,0,0,0,0
0.377792,-9.47286,7.54647,0.207602,1.58808,0.816754,1.29707,NONE,0,0,0,0,0,0,0
0.381753,-9.45757,7.55084,0.215734,1.59081,0.826555,1.31489,NONE,0,0,0,0,0,0,0
0.384732,-9.45757,7.55084,0.215734,1.59081,0.826555,1.31489,NONE,0,0,0,0,0,0,0
0.387971,-9.45757,7.55084,0.215734,1.59081,0.826555,1.31489,NONE,0,0,0,0,0,0,0
0.392168,-9.44231,7.55534,0.224073,1.59212,0.8237,1.31143,NONE,0,0,0,0,0,0,0
0.398845,-9.44231,7.55534,0.224073,1.59212,0.8237,1.31143,NONE,0,0,0,0,0,0,0
0.403025,-9.42707,7.55996,0.232264,1.59289,0.831688,1.32479,NONE,0,0,0,0,0,0,0
0.406492,-9.42707,7.55996,0.232264,1.59289,0.831688,1.32479,NONE,0,0,0,0,0,0,0
0.411627,-9.41186,7.56472,0.240645,1.59362,0.826863,1.3177,NONE,0,0,0,0,0,0,0
0.415032,-9.41186,7.56472,0.240645,1.59362,0.826863,1.3177,NONE,0,0,0,0,0,0,0
0.420425,-9.39671,7.56958,0.24887,1.58997,0.835464,1.32836,NONE,0,0,0,0,0,0,0
0.424568,-9.39671,7.56958,0.24887,1.58997,0.835464,1.32836,NONE,0,0,0,0,0,0,0
0.43115,-9.38167,7.57456,0.257307,1.57897,0.832335,1.31424,NONE,0,0,0,0,0,0,0
0.435552,-9.38167,7.57456,0.257307,1.57897,0.832335,1.31424,NONE,0,0,0,0,0,0,0
0.44011,-9.36678,7.57961,0.265576,1.56448,0.839035,1.31265,NONE,0,0,0,0,0,0,0
0.443251,-9.36678,7.57961,0.265576,1.56448,0.839035,1.31265,NONE,0,0,0,0,0,0,0
0.446806,-9.36678,7.57961,0.265576,1.56448,0.839035,1.31265,NONE,0,0,0,0,0,0,0
0.452291,-9.35207,7.58476,0.274004,1.5517,0.827777,1.28446,NONE,0,0,0,0,0,0,0
0.455321,-9.35207,7.58476,0.274004,1.5517,0.827777,1.28446,NONE,0,0,0,0,0,0,0
0.46358,-9.33755,7.58996,0.282204,1.53488,0.830458,1.27466,NONE,0,0,0,0,0,0,0
0.467159,-9.33755,7.58996,0.282204,1.53488,0.830458,1.27466,NONE,0,0,0,0,0,0,0
0.471566,-9.32324,7.59523,0.290548,1.51406,0.818291,1.23894,NONE,0,0,0,0,0,0,0
0.475234,-9.32324,7.59523,0.290548,1.51406,0.818291,1.23894,NONE,0,0,0,0,0,0,0
0.479894,-9.30914,7.60053,0.298324,1.49822,0.728354,1.09124,NONE,0,0,0,0,0,0,0
0.482759,-9.30914,7.60053,0.298324,1.49822,0.728354,1.09124,NONE,0,0,0,0,0,0,0
0.486511,-9.30914,7.60053,0.298324,1.49822,0.728354,1.09124,NONE,0,0,0,0,0,0,0
0.494561,-9.29521,7.60581,0.305309,1.48109,0.692271,1.02531,NONE,0,0,0,0,0,0,0
0.501922,-9.28146,7.61112,0.31215,1.46721,0.659924,0.968248,NONE,0,0,0,0,0,0,0
0.504847,-9.28146,7.61112,0.31215,1.46721,0.659924,0.968248,NONE,0,0,0,0,0,0,0
0.507761,-9.28146,7.61112,0.31215,1.46721,0.659924,0.968248,NONE,0,0,0,0,0,0,0
0.512978,-9.26788,7.61644,0.318614,1.44998,0.652786,0.946527,NONE,0,0,0,0,0,0,0
0.516325,-9.26788,7.61644,0.318614,1.44998,0.652786,0.946527,NONE,0,0,0,0,0,0,0
0.519924,-9.25449,7.62179,0.325141,1.43428,0.634247,0.909689,NONE,0,0,0,0,0,0,0
0.52323,-9.25449,7.62179,0.325141,1.43428,0.634247,0.909689,NONE,0,0,0,0,0,0,0
0.529535,-9.25449,7.62179,0.325141,1.43428,0.634247,0.909689,NONE,0,0,0,0,0,0,0
0.534853,-9.24126,7.62716,0.331375,1.42159,0.631939,0.898356,NONE,0,0,0,0,0,0,0
0.539735,-9.2282,7.63257,0.337719,1.40563,0.617796,0.868395,NONE,0,0,0,0,0,0,0
0.542971,-9.2282,7.63257,0.337719,1.40563,0.617796,0.868395,NONE,0,0,0,0,0,0,0
0.547122,-9.2282,7.63257,0.337719,1.40563,0.617796,0.868395,NONE,0,0,0,0,0,0,0
0.552544,-9.2153,7.63799,0.343801,1.39308,0.61765,0.860436,NONE,0,0,0,0,0,0,0
0.558276,-9.2153,7.63799,0.343801,1.39308,0.61765,0.860436,NONE,0,0,0,0,0,0,0
0.561833,-9.20255,7.64346,0.350002,1.37984,0.603798,0.833146,NONE,0,0,0,0,0,0,0
0.56473,-9.20255,7.64346,0.350002,1.37984,0.603798,0.833146,NONE,0,0,0,0,0,0,0
0.568845,-9.20255,7.64346,0.350002,1.37984,0.603798,0.833146,NONE,0,0,0,0,0,0,0
0.573222,-9.18995,7.64894,0.35595,1.36912,0.604798,0.82804,NONE,0,0,0,0,0,0,0
0.576357,-9.18995,7.64894,0.35595,1.36912,0.604798,0.82804,NONE,0,0,0,0,0,0,0
0.581171,-9.17749,7.65448,0.362025,1.35876,0.59165,0.803911,NONE,0,0,0,0,0,0,0
0.584831,-9.17749,7.65448,0.362025,1.35876,0.59165,0.803911,NONE,0,0,0,0,0,0,0
0.591126,-9.17749,7.65448,0.362025,1.35876,0.59165,0.803911,NONE,0,0,0,0,0,0,0
0.592887,-9.16516,7.66003,0.367865,1.34542,0.595039,0.800579,NONE,0,0,0,0,0,0,0
0.596604,-9.16516,7.66003,0.367865,1.34542,0.595039,0.800579,NONE,0,0,0,0,0,0,0
0.602049,-9.15298,7.66562,0.373841,1.33462,0.581554,0.776155,NONE,0,0,0,0,0,0,0
0.605303,-9.15298,7.66562,0.373841,1.33462,0.581554,0.776155,NONE,0,0,0,0,0,0,0
0.608512,-9.15298,7.66562,0.373841,1.33462,0.581554,0.776155,NONE,0,0,0,0,0,0,0
0.613201,-9.14094,7.67122,0.379578,1.32175,0.584701,0.772829,NONE,0,0,0,0,0,0,0
0.618159,-9.14094,7.67122,0.379578,1.32175,0.584701,0.772829,NONE,0,0,0,0,0,0,0
0.627243,-9.12904,7.67686,0.38545,1.31133,0.571075,0.748867,NONE,0,0,0,0,0,0,0
0.632987,-9.11726,7.68251,0.391079,1.30235,0.573719,0.747182,NONE,0,0,0,0,0,0,0
0.636068,-9.11726,7.68251,0.391079,1.30235,0.573719,0.747182,NONE,0,0,0,0,0,0,0
0.640559,-9.10561,7.68821,0.396851,1.29093,0.561601,0.724988,NONE,0,0,0,0,0,0,0
