t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,collision
9.0367e-05,0.000827355,0,0,0.118557,0,0,NONE,999.9,0,0
0.00436545,0.000827355,0,0,0.118557,0,0,NONE,999.9,0,0
0.00856825,0.00248842,5.09484e-08,8.81845e-05,0.213657,0.0207128,0.00442543,NONE,999.9,0,0
0.0118502,0.00248842,5.09484e-08,8.81845e-05,0.213657,0.0207128,0.00442543,NONE,999.9,0,0
0.0202161,0.00248842,5.09484e-08,8.81845e-05,0.213657,0.0207128,0.00442543,NONE,999.9,0,0
0.0231231,0.00510049,7.32441e-07,0.000475915,0.308757,0.0599257,0.0185025,NONE,999.9,0,0
0.024878,0.00510049,7.32441e-07,0.000475915,0.308757,0.0599257,0.0185025,NONE,999.9,0,0
0.0283927,0.00866356,3.88005e-06,0.00134882,0.403857,0.117777,0.0475649,NONE,999.9,0,0
0.0317471,0.00866356,3.88005e-06,0.00134882,0.403857,0.117777,0.0475649,NONE,999.9,0,0
0.036186,0.00866356,3.88005e-06,0.00134882,0.403857,0.117777,0.0475649,NONE,999.9,0,0
0.0399883,0.0131776,1.32902e-05,0.00289428,0.498957,0.194481,0.0970376,NONE,999.9,0,0
0.0439343,0.0131776,1.32902e-05,0.00289428,0.498957,0.194481,0.0970376,NONE,999.9,0,0
0.05322,0.0186334,0.00011134,0.00496273,0.592517,0.113439,0.0672143,NONE,999.9,0,0
0.0562399,0.0186334,0.00011134,0.00496273,0.592517,0.113439,0.0672143,NONE,999.9,0,0
0.0601176,0.0250252,0.000447149,0.00680887,0.687617,0.197675,0.135924,NONE,999.9,0,0
0.0640494,0.0250252,0.000447149,0.00680887,0.687617,0.197675,0.135924,NONE,999.9,0,0
0.0687549,0.0323624,0.000907581,0.0091511,0.782717,0.270378,0.211629,NONE,999.9,0,0
0.0721235,0.0323624,0.000907581,0.0091511,0.782717,0.270378,0.211629,NONE,999.9,0,0
0.0761008,0.0323624,0.000907581,0.0091511,0.782717,0.270378,0.211629,NONE,999.9,0,0
0.0863568,0.0406446,0.00149111,0.0121307,0.877817,0.311429,0.273378,NONE,999.9,0,0
0.0894287,0.0498737,0.00216387,0.0152823,0.972917,0.312646,0.304178,NONE,999.9,0,0
0.0920346,0.0498737,0.00216387,0.0152823,0.972917,0.312646,0.304178,NONE,999.9,0,0
0.0960837,0.0498737,0.00216387,0.0152823,0.972917,0.312646,0.304178,NONE,999.9,0,0
0.100117,0.060052,0.0028976,0.0184618,1.06802,0.335164,0.357961,NONE,999.9,0,0
0.103903,0.060052,0.0028976,0.0184618,1.06802,0.335164,0.357961,NONE,999.9,0,0
0.108783,0.0711587,0.00371604,0.0219454,1.15935,0.3508,0.4067,NONE,999.9,0,0
0.117468,0.0711587,0.00371604,0.0219454,1.15935,0.3508,0.4067,NONE,999.9,0,0
0.120758,0.0831538,0.00461125,0.0255276,1.24634,0.376569,0.469332,NONE,999.9,0,0
0.124398,0.0831538,0.00461125,0.0255276,1.24634,0.376569,0.469332,NONE,999.9,0,0
0.128478,0.095993,0.00560575,0.0294359,1.32919,0.393524,0.523068,NONE,999.9,0,0
0.132149,0.095993,0.00560575,0.0294359,1.32919,0.393524,0.523068,NONE,999.9,0,0
0.135885,0.095993,0.00560575,0.0294359,1.32919,0.393524,0.523068,NONE,999.9,0,0
0.140499,0.109636,0.00668924,0.0334398,1.40811,0.418454,0.589227,NONE,999.9,0,0
0.147799,0.109636,0.00668924,0.0334398,1.40811,0.418454,0.589227,NONE,999.9,0,0
0.150562,0.124044,0.00788473,0.0377661,1.48327,0.434723,0.644811,NONE,999.9,0,0
0.152173,0.124044,0.00788473,0.0377661,1.48327,0.434723,0.644811,NONE,999.9,0,0
0.156157,0.124044,0.00788473,0.0377661,1.48327,0.434723,0.644811,NONE,999.9,0,0
0.160081,0.139179,0.00918034,0.0421726,1.55485,0.458161,0.712373,NONE,999.9,0,0
0.163989,0.139179,0.00918034,0.0421726,1.55485,0.458161,0.712373,NONE,999.9,0,0
0.168804,0.155005,0.0105997,0.0468923,1.62304,0.473259,0.768116,NONE,999.9,0,0
0.172106,0.155005,0.0105997,0.0468923,1.62304,0.473259,0.768116,NONE,999.9,0,0
0.181776,0.171489,0.0121299,0.0516742,1.68798,0.495115,0.835743,NONE,999.9,0,0
0.184174,0.171489,0.0121299,0.0516742,1.68798,0.495115,0.835743,NONE,999.9,0,0
0.189548,0.188597,0.0137951,0.0567592,1.74983,0.508931,0.890543,NONE,999.9,0,0
0.19206,0.188597,0.0137951,0.0567592,1.74983,0.508931,0.890543,NONE,999.9,0,0
0.195893,0.188597,0.0137951,0.0567592,1.74983,0.508931,0.890543,NONE,999.9,0,0
0.200269,0.2063,0.0155814,0.0618881,1.80874,0.529276,0.957324,NONE,999.9,0,0
0.204073,0.2063,0.0155814,0.0618881,1.80874,0.529276,0.957324,NONE,999.9,0,0
0.213531,0.224678,0.0175227,0.0672624,1.88717,0.535233,1.01008,NONE,999.9,0,0
0.217212,0.224678,0.0175227,0.0672624,1.88717,0.535233,1.01008,NONE,999.9,0,0
0.22141,0.243809,0.0196148,0.0726394,1.96187,0.551899,1.08275,NONE,999.9,0,0
0.225293,0.243809,0.0196148,0.0726394,1.96187,0.551899,1.08275,NONE,999.9,0,0
0.229318,0.263654,0.0218804,0.0782825,2.03301,0.564786,1.14822,NONE,999.9,0,0
0.232404,0.263654,0.0218804,0.0782825,2.03301,0.564786,1.14822,NONE,999.9,0,0
0.236165,0.263654,0.0218804,0.0782825,2.03301,0.564786,1.14822,NONE,999.9,0,0
0.24572,0.284182,0.0242883,0.0837586,2.10077,0.522476,1.0976,NONE,999.9,0,0
0.250234,0.284182,0.0242883,0.0837586,2.10077,0.522476,1.0976,NONE,999.9,0,0
0.251434,0.305364,0.0268077,0.0888206,2.16531,0.504402,1.09219,NONE,999.9,0,0
0.253166,0.305364,0.0268077,0.0888206,2.16531,0.504402,1.09219,NONE,999.9,0,0
0.256004,0.305364,0.0268077,0.0888206,2.16531,0.504402,1.09219,NONE,999.9,0,0
0.260477,0.327163,0.0294651,0.0938565,2.22679,0.491544,1.09456,NONE,999.9,0,0
0.264042,0.327163,0.0294651,0.0938565,2.22679,0.491544,1.09456,NONE,999.9,0,0
