t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,collision
3.2259e-05,-75.7538,52.8965,-1.48757,0.120284,0,0,NONE,999.9,0,0
0.00358418,-75.7538,52.8965,-1.48757,0.120284,0,0,NONE,999.9,0,0
0.00754594,-75.7538,52.8965,-1.48757,0.120284,0,0,NONE,999.9,0,0
0.0115543,-75.7537,52.8949,-1.48766,0.215384,-0.0208802,-0.00449726,NONE,999.9,0,0
0.0155511,-75.7537,52.8949,-1.48766,0.215384,-0.0208802,-0.00449726,NONE,999.9,0,0
0.0199621,-75.7535,52.8923,-1.48778,0.310484,-2.14898e-10,-6.67225e-11,NONE,999.9,0,0
0.0235491,-75.7535,52.8923,-1.48778,0.310484,-2.14898e-10,-6.67225e-11,NONE,999.9,0,0
0.0275512,-75.7535,52.8923,-1.48778,0.310484,-2.14898e-10,-6.67225e-11,NONE,999.9,0,0
0.0315486,-75.7532,52.8887,-1.4876,0.405584,0.0393189,0.0159471,NONE,999.9,0,0
0.0355469,-75.7532,52.8887,-1.4876,0.405584,0.0393189,0.0159471,NONE,999.9,0,0
0.0400293,-75.7528,52.8842,-1.48693,0.500684,0.0666238,0.0333575,NONE,999.9,0,0
0.0435769,-75.7528,52.8842,-1.48693,0.500684,0.0666238,0.0333575,NONE,999.9,0,0
0.0475032,-75.7528,52.8842,-1.48693,0.500684,0.0666238,0.0333575,NONE,999.9,0,0
0.0514934,-75.7523,52.8787,-1.48636,0.595784,0.0727226,0.043327,NONE,999.9,0,0
0.0555448,-75.7523,52.8787,-1.48636,0.595784,0.0727226,0.043327,NONE,999.9,0,0
0.0600242,-75.7516,52.8723,-1.48568,0.690884,0.0902802,0.0623732,NONE,999.9,0,0
0.0635223,-75.7516,52.8723,-1.48568,0.690884,0.0902802,0.0623732,NONE,999.9,0,0
0.0675705,-75.7516,52.8723,-1.48568,0.690884,0.0902802,0.0623732,NONE,999.9,0,0
0.0715698,-75.7508,52.865,-1.48473,0.785984,0.0923437,0.0725807,NONE,999.9,0,0
0.0755669,-75.7508,52.865,-1.48473,0.785984,0.0923437,0.0725807,NONE,999.9,0,0
0.0800231,-75.7499,52.8567,-1.48377,0.881084,0.111523,0.0982615,NONE,999.9,0,0
0.0835276,-75.7499,52.8567,-1.48377,0.881084,0.111523,0.0982615,NONE,999.9,0,0
0.0875661,-75.7499,52.8567,-1.48377,0.881084,0.111523,0.0982615,NONE,999.9,0,0
0.0915465,-75.7489,52.8475,-1.48257,0.976184,0.117852,0.115046,NONE,999.9,0,0
0.0955211,-75.7489,52.8475,-1.48257,0.976184,0.117852,0.115046,NONE,999.9,0,0
0.100005,-75.7478,52.8373,-1.48136,1.07128,0.135053,0.14468,NONE,999.9,0,0
0.103528,-75.7478,52.8373,-1.48136,1.07128,0.135053,0.14468,NONE,999.9,0,0
0.107575,-75.7478,52.8373,-1.48136,1.07128,0.135053,0.14468,NONE,999.9,0,0
0.111561,-75.7466,52.8262,-1.47992,1.16638,0.141913,0.165524,NONE,999.9,0,0
0.11556,-75.7466,52.8262,-1.47992,1.16638,0.141913,0.165524,NONE,999.9,0,0
0.119999,-75.7452,52.8141,-1.47848,1.26148,0.157147,0.198238,NONE,999.9,0,0
0.12356,-75.7452,52.8141,-1.47848,1.26148,0.157147,0.198238,NONE,999.9,0,0
0.127556,-75.7452,52.8141,-1.47848,1.26148,0.157147,0.198238,NONE,999.9,0,0
0.131544,-75.7437,52.8011,-1.47682,1.35658,0.163996,0.222474,NONE,999.9,0,0
0.135539,-75.7437,52.8011,-1.47682,1.35658,0.163996,0.222474,NONE,999.9,0,0
