t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
0.000102597,44.4992,29.3507,2.41499,0.13314,0,0,NONE,0,0,0,0,0,0,0
0.0127215,44.4992,29.3507,2.41499,0.13314,0,0,NONE,0,0,0,0,0,0,0
0.0167514,44.4979,29.3519,2.41509,0.22824,0.0221265,0.00505015,NONE,0,0,0,0,0,0,0
0.0208144,44.4958,29.3537,2.4155,0.32334,0.0627561,0.0202916,NONE,0,0,0,0,0,0,0
0.032884,44.4958,29.3537,2.4155,0.32334,0.0627561,0.0202916,NONE,0,0,0,0,0,0,0
0.0375816,44.493,29.3562,2.41603,0.41844,0.0405653,0.0169741,NONE,0,0,0,0,0,0,0
0.040891,44.4895,29.3593,2.41648,0.51354,0.0385886,0.0198168,NONE,0,0,0,0,0,0,0
0.053061,44.4895,29.3593,2.41648,0.51354,0.0385886,0.0198168,NONE,0,0,0,0,0,0,0
0.0568137,44.4853,29.363,2.41681,0.60864,0.0501892,0.0305472,NONE,0,0,0,0,0,0,0
0.0591791,44.4853,29.363,2.41681,0.60864,0.0501892,0.0305472,NONE,0,0,0,0,0,0,0
0.0643227,44.4853,29.363,2.41681,0.60864,0.0501892,0.0305472,NONE,0,0,0,0,0,0,0
0.0723624,44.4804,29.3673,2.4173,0.70374,0.0564152,0.0397016,NONE,0,0,0,0,0,0,0
0.0724245,44.4804,29.3673,2.4173,0.70374,0.0564152,0.0397016,NONE,0,0,0,0,0,0,0
0.0743887,44.4804,29.3673,2.4173,0.70374,0.0564152,0.0397016,NONE,0,0,0,0,0,0,0
0.0784556,44.4747,29.3722,2.41782,0.79884,0.0417142,0.033323,NONE,0,0,0,0,0,0,0
0.0855498,44.4747,29.3722,2.41782,0.79884,0.0417142,0.033323,NONE,0,0,0,0,0,0,0
0.0880218,44.4683,29.3777,2.41821,0.89394,0.0479918,0.0429018,NONE,0,0,0,0,0,0,0
0.0905267,44.4683,29.3777,2.41821,0.89394,0.0479918,0.0429018,NONE,0,0,0,0,0,0,0
0.0937697,44.4683,29.3777,2.41821,0.89394,0.0479918,0.0429018,NONE,0,0,0,0,0,0,0
0.10437,44.4612,29.3839,2.41872,0.98904,0.0437214,0.0432422,NONE,0,0,0,0,0,0,0
0.11008,44.4533,29.3907,2.41914,1.08414,0.051312,0.0556293,NONE,0,0,0,0,0,0,0
0.118502,44.4448,29.3981,2.4197,1.17924,0.0495257,0.0584026,NONE,0,0,0,0,0,0,0
0.121917,44.4448,29.3981,2.4197,1.17924,0.0495257,0.0584026,NONE,0,0,0,0,0,0,0
0.126851,44.4355,29.4061,2.42018,1.27434,0.0565843,0.0721077,NONE,0,0,0,0,0,0,0
0.129925,44.4355,29.4061,2.42018,1.27434,0.0565843,0.0721077,NONE,0,0,0,0,0,0,0
0.137182,44.4355,29.4061,2.42018,1.27434,0.0565843,0.0721077,NONE,0,0,0,0,0,0,0
0.140072,44.4255,29.4148,2.42079,1.36944,0.0558318,0.0764583,NONE,0,0,0,0,0,0,0
0.143627,44.4255,29.4148,2.42079,1.36944,0.0558318,0.0764583,NONE,0,0,0,0,0,0,0
0.153733,44.4148,29.4241,2.42133,1.46454,0.0622818,0.0912143,NONE,0,0,0,0,0,0,0
