t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
7.9503e-05,-75.7538,52.8964,-1.48757,0.12848,0,0,NONE,0,0,0,0,0,0,0
0.00449511,-75.7538,52.8964,-1.48757,0.12848,0,0,NONE,0,0,0,0,0,0,0
0.0173944,-75.7537,52.8947,-1.48766,0.22358,-0.0216747,-0.00484603,NONE,0,0,0,0,0,0,0
0.0204423,-75.7534,52.892,-1.48779,0.31868,-2.14898e-10,-6.84838e-11,NONE,0,0,0,0,0,0,0
0.0246106,-75.7534,52.892,-1.48779,0.31868,-2.14898e-10,-6.84838e-11,NONE,0,0,0,0,0,0,0
0.0326777,-75.7531,52.8883,-1.48797,0.41378,-0.0401135,-0.0165981,NONE,0,0,0,0,0,0,0
0.0366561,-75.7531,52.8883,-1.48797,0.41378,-0.0401135,-0.0165981,NONE,0,0,0,0,0,0,0
0.0407974,-75.7528,52.8837,-1.48819,0.50888,-0.00821829,-0.00418212,NONE,0,0,0,0,0,0,0
0.0506125,-75.7528,52.8837,-1.48819,0.50888,-0.00821829,-0.00418212,NONE,0,0,0,0,0,0,0
0.0550659,-75.7523,52.8782,-1.48826,0.60398,-0.027277,-0.0164748,NONE,0,0,0,0,0,0,0
0.0574967,-75.7523,52.8782,-1.48826,0.60398,-0.027277,-0.0164748,NONE,0,0,0,0,0,0,0
0.0613378,-75.7518,52.8717,-1.48855,0.69908,-0.0221106,-0.0154571,NONE,0,0,0,0,0,0,0
0.0687197,-75.7518,52.8717,-1.48855,0.69908,-0.0221106,-0.0154571,NONE,0,0,0,0,0,0,0
0.0735414,-75.7512,52.8642,-1.48877,0.79418,-0.0347148,-0.0275698,NONE,0,0,0,0,0,0,0
0.0856033,-75.7512,52.8642,-1.48877,0.79418,-0.0347148,-0.0275698,NONE,0,0,0,0,0,0,0
0.0903291,-75.7506,52.8558,-1.48916,0.88928,-0.0323433,-0.0287622,NONE,0,0,0,0,0,0,0
0.0926887,-75.7506,52.8558,-1.48916,0.88928,-0.0323433,-0.0287622,NONE,0,0,0,0,0,0,0
0.0974635,-75.7506,52.8558,-1.48916,0.88928,-0.0323433,-0.0287622,NONE,0,0,0,0,0,0,0
0.103695,-75.7499,52.8465,-1.48948,0.98438,-0.0426523,-0.041986,NONE,0,0,0,0,0,0,0
0.105752,-75.7499,52.8465,-1.48948,0.98438,-0.0426523,-0.041986,NONE,0,0,0,0,0,0,0
0.116747,-75.7491,52.8362,-1.48996,1.07948,-0.0416199,-0.0449279,NONE,0,0,0,0,0,0,0
0.119914,-75.7483,52.825,-1.49021,1.17458,-0.00286878,-0.00336961,NONE,0,0,0,0,0,0,0
0.122583,-75.7483,52.825,-1.49021,1.17458,-0.00286878,-0.00336961,NONE,0,0,0,0,0,0,0
0.124478,-75.7483,52.825,-1.49021,1.17458,-0.00286878,-0.00336961,NONE,0,0,0,0,0,0,0
0.130466,-75.7473,52.8128,-1.4901,1.26968,0.01212,0.0153885,NONE,0,0,0,0,0,0,0
0.132895,-75.7473,52.8128,-1.4901,1.26968,0.01212,0.0153885,NONE,0,0,0,0,0,0,0
0.136287,-75.7473,52.8128,-1.4901,1.26968,0.01212,0.0153885,NONE,0,0,0,0,0,0,0
0.140625,-75.7463,52.7997,-1.48994,1.36478,0.0288328,0.0393505,NONE,0,0,0,0,0,0,0
0.145189,-75.7463,52.7997,-1.48994,1.36478,0.0288328,0.0393505,NONE,0,0,0,0,0,0,0
0.152193,-75.7451,52.7856,-1.48941,1.45988,0.0841037,0.122781,NONE,0,0,0,0,0,0,0
0.154529,-75.7451,52.7856,-1.48941,1.45988,0.0841037,0.122781,NONE,0,0,0,0,0,0,0
0.156595,-75.7451,52.7856,-1.48941,1.45988,0.0841037,0.122781,NONE,0,0,0,0,0,0,0
0.161223,-75.7437,52.7706,-1.48834,1.55226,0.115796,0.179745,NONE,0,0,0,0,0,0,0
0.164497,-75.7437,52.7706,-1.48834,1.55226,0.115796,0.179745,NONE,0,0,0,0,0,0,0
0.169177,-75.7422,52.7547,-1.48708,1.63624,0.147137,0.240752,NONE,0,0,0,0,0,0,0
0.172318,-75.7422,52.7547,-1.48708,1.63624,0.147137,0.240752,NONE,0,0,0,0,0,0,0
0.176823,-75.7422,52.7547,-1.48708,1.63624,0.147137,0.240752,NONE,0,0,0,0,0,0,0
0.181118,-75.7406,52.738,-1.48526,1.71775,0.220741,0.379177,NONE,0,0,0,0,0,0,0
0.184348,-75.7406,52.738,-1.48526,1.71775,0.220741,0.379177,NONE,0,0,0,0,0,0,0
0.189827,-75.7388,52.7206,-1.48275,1.79385,0.26806,0.48086,NONE,0,0,0,0,0,0,0
0.192531,-75.7388,52.7206,-1.48275,1.79385,0.26806,0.48086,NONE,0,0,0,0,0,0,0
0.196141,-75.7388,52.7206,-1.48275,1.79385,0.26806,0.48086,NONE,0,0,0,0,0,0,0
0.200166,-75.7368,52.7024,-1.48011,1.8651,0.250564,0.467329,NONE,0,0,0,0,0,0,0
0.209376,-75.7368,52.7024,-1.48011,1.8651,0.250564,0.467329,NONE,0,0,0,0,0,0,0
0.212986,-75.7348,52.6835,-1.47767,1.93297,0.24992,0.483086,NONE,0,0,0,0,0,0,0
0.216399,-75.7348,52.6835,-1.47767,1.93297,0.24992,0.483086,NONE,0,0,0,0,0,0,0
0.220866,-75.7326,52.664,-1.47512,1.99612,0.248386,0.495808,NONE,0,0,0,0,0,0,0
0.224543,-75.7326,52.664,-1.47512,1.99612,0.248386,0.495808,NONE,0,0,0,0,0,0,0
0.228917,-75.7303,52.6438,-1.47266,2.05379,0.255861,0.525486,NONE,0,0,0,0,0,0,0
0.232364,-75.7303,52.6438,-1.47266,2.05379,0.255861,0.525486,NONE,0,0,0,0,0,0,0
0.239361,-75.7303,52.6438,-1.47266,2.05379,0.255861,0.525486,NONE,0,0,0,0,0,0,0
0.246785,-75.7279,52.6232,-1.47003,2.11086,0.257551,0.543653,NONE,0,0,0,0,0,0,0
0.248637,-75.7279,52.6232,-1.47003,2.11086,0.257551,0.543653,NONE,0,0,0,0,0,0,0
0.252724,-75.7254,52.6019,-1.46748,2.16521,0.265987,0.575917,NONE,0,0,0,0,0,0,0
0.254362,-75.7254,52.6019,-1.46748,2.16521,0.265987,0.575917,NONE,0,0,0,0,0,0,0
0.256178,-75.7254,52.6019,-1.46748,2.16521,0.265987,0.575917,NONE,0,0,0,0,0,0,0
