t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,collision
0.000107846,-75.7538,52.8966,-1.48757,0.118557,0,0,NONE,999.9,0,0
0.000198874,-75.7538,52.8966,-1.48757,0.118557,0,0,NONE,999.9,0,0
0.00110766,-75.7538,52.8966,-1.48757,0.118557,0,0,NONE,999.9,0,0
0.00949735,-75.7537,52.8949,-1.48766,0.213657,-0.0207128,-0.00442543,NONE,999.9,0,0
0.0138558,-75.7535,52.8923,-1.48805,0.308757,-0.0599257,-0.0185025,NONE,999.9,0,0
0.0171518,-75.7535,52.8923,-1.48805,0.308757,-0.0599257,-0.0185025,NONE,999.9,0,0
0.0207961,-75.7535,52.8923,-1.48805,0.308757,-0.0599257,-0.0185025,NONE,999.9,0,0
0.0304372,-75.7532,52.8888,-1.48856,0.403857,-0.0391515,-0.0158116,NONE,999.9,0,0
0.0329446,-75.7532,52.8888,-1.48856,0.403857,-0.0391515,-0.0158116,NONE,999.9,0,0
0.0354445,-75.7528,52.8843,-1.48922,0.498957,-0.0968411,-0.0483195,NONE,999.9,0,0
0.0374861,-75.7528,52.8843,-1.48922,0.498957,-0.0968411,-0.0483195,NONE,999.9,0,0
0.0404201,-75.7528,52.8843,-1.48922,0.498957,-0.0968411,-0.0483195,NONE,999.9,0,0
0.0448055,-75.7524,52.8788,-1.49002,0.592517,-0.0431718,-0.02558,NONE,999.9,0,0
0.0499423,-75.7524,52.8788,-1.49002,0.592517,-0.0431718,-0.02558,NONE,999.9,0,0
0.053417,-75.752,52.8725,-1.49058,0.681627,-0.0776984,-0.0529614,NONE,999.9,0,0
0.0566586,-75.752,52.8725,-1.49058,0.681627,-0.0776984,-0.0529614,NONE,999.9,0,0
0.0618662,-75.752,52.8725,-1.49058,0.681627,-0.0776984,-0.0529614,NONE,999.9,0,0
0.0678784,-75.7515,52.8652,-1.49147,0.776727,-0.0865343,-0.0672135,NONE,999.9,0,0
0.0702843,-75.7515,52.8652,-1.49147,0.776727,-0.0865343,-0.0672135,NONE,999.9,0,0
0.0736865,-75.7511,52.857,-1.49239,0.871827,-0.108302,-0.0944203,NONE,999.9,0,0
0.0766083,-75.7511,52.857,-1.49239,0.871827,-0.108302,-0.0944203,NONE,999.9,0,0
0.081159,-75.7511,52.857,-1.49239,0.871827,-0.108302,-0.0944203,NONE,999.9,0,0
0.0846899,-75.7505,52.8478,-1.49356,0.966927,-0.115476,-0.111657,NONE,999.9,0,0
0.0925357,-75.7505,52.8478,-1.49356,0.966927,-0.115476,-0.111657,NONE,999.9,0,0
0.0967058,-75.7499,52.8377,-1.4946,1.06203,-0.0866378,-0.0920117,NONE,999.9,0,0
0.0992044,-75.7499,52.8377,-1.4946,1.06203,-0.0866378,-0.0920117,NONE,999.9,0,0
0.101966,-75.7499,52.8377,-1.4946,1.06203,-0.0866378,-0.0920117,NONE,999.9,0,0
0.106074,-75.7492,52.8266,-1.49522,1.15364,-0.0328941,-0.0379482,NONE,999.9,0,0
0.108437,-75.7492,52.8266,-1.49522,1.15364,-0.0328941,-0.0379482,NONE,999.9,0,0
0.115845,-75.7484,52.8147,-1.49519,1.24091,0.0416865,0.051729,NONE,999.9,0,0
0.118721,-75.7484,52.8147,-1.49519,1.24091,0.0416865,0.051729,NONE,999.9,0,0
0.126158,-75.7484,52.8147,-1.49519,1.24091,0.0416865,0.051729,NONE,999.9,0,0
0.126225,-75.7474,52.8019,-1.49449,1.32402,0.0820649,0.108655,NONE,999.9,0,0
0.130036,-75.7474,52.8019,-1.49449,1.32402,0.0820649,0.108655,NONE,999.9,0,0
0.140626,-75.7463,52.7883,-1.49354,1.40318,0.118389,0.166121,NONE,999.9,0,0
0.145534,-75.745,52.7739,-1.49219,1.47857,0.139304,0.205971,NONE,999.9,0,0
0.147512,-75.745,52.7739,-1.49219,1.47857,0.139304,0.205971,NONE,999.9,0,0
0.150649,-75.745,52.7739,-1.49219,1.47857,0.139304,0.205971,NONE,999.9,0,0
0.162203,-75.7436,52.7588,-1.49073,1.55038,0.163236,0.253078,NONE,999.9,0,0
0.17407,-75.7421,52.7431,-1.48897,1.61878,0.176095,0.285059,NONE,999.9,0,0
0.178875,-75.7405,52.7266,-1.48718,1.68392,0.193907,0.326524,NONE,999.9,0,0
0.1808,-75.7405,52.7266,-1.48718,1.68392,0.193907,0.326524,NONE,999.9,0,0
0.198787,-75.7369,52.6919,-1.4831,1.80506,0.216751,0.391249,NONE,999.9,0,0
0.20059,-75.7369,52.6919,-1.4831,1.80506,0.216751,0.391249,NONE,999.9,0,0
0.213406,-75.735,52.6737,-1.48083,1.86135,0.222755,0.414626,NONE,999.9,0,0
0.217515,-75.733,52.6549,-1.47861,1.91496,0.234867,0.449762,NONE,999.9,0,0
0.228086,-75.733,52.6549,-1.47861,1.91496,0.234867,0.449762,NONE,999.9,0,0
0.236911,-75.7309,52.6356,-1.47617,1.96602,0.239268,0.470406,NONE,999.9,0,0
0.248148,-75.7287,52.6158,-1.47379,2.01465,0.249948,0.503557,NONE,999.9,0,0
0.250914,-75.7287,52.6158,-1.47379,2.01465,0.249948,0.503557,NONE,999.9,0,0
0.258685,-75.7264,52.5955,-1.47124,2.08329,0.249446,0.519668,NONE,999.9,0,0
0.258741,-75.7264,52.5955,-1.47124,2.08329,0.249446,0.519668,NONE,999.9,0,0
0.267501,-75.7239,52.5745,-1.46877,2.14866,0.257086,0.552389,NONE,999.9,0,0
0.269825,-75.7239,52.5745,-1.46877,2.14866,0.257086,0.552389,NONE,999.9,0,0
0.281587,-75.7213,52.5528,-1.4659,2.21092,0.324249,0.71689,NONE,999.9,0,0
0.29155,-75.7186,52.5306,-1.46236,2.27022,0.367154,0.833521,NONE,999.9,0,0
0.291653,-75.7186,52.5306,-1.46236,2.27022,0.367154,0.833521,NONE,999.9,0,0
0.295563,-75.7156,52.5078,-1.45856,2.32671,0.403983,0.939951,NONE,999.9,0,0
0.30245,-75.7156,52.5078,-1.45856,2.32671,0.403983,0.939951,NONE,999.9,0,0
0.306105,-75.7125,52.4845,-1.45433,2.3805,0.427685,1.01811,NONE,999.9,0,0
0.309034,-75.7125,52.4845,-1.45433,2.3805,0.427685,1.01811,NONE,999.9,0,0
0.330346,-75.7092,52.4606,-1.45,2.43174,0.451835,1.09875,NONE,999.9,0,0
0.330577,-75.7092,52.4606,-1.45,2.43174,0.451835,1.09875,NONE,999.9,0,0
0.33088,-75.7092,52.4606,-1.45,2.43174,0.451835,1.09875,NONE,999.9,0,0
0.331066,-75.7057,52.4363,-1.44533,2.48055,0.466935,1.15825,NONE,999.9,0,0
0.331102,-75.7057,52.4363,-1.44533,2.48055,0.466935,1.15825,NONE,999.9,0,0
0.338755,-75.7021,52.4115,-1.44064,2.52703,0.485011,1.22564,NONE,999.9,0,0
0.341529,-75.7021,52.4115,-1.44064,2.52703,0.485011,1.22564,NONE,999.9,0,0
0.350392,-75.6983,52.3863,-1.43566,2.5713,0.495746,1.27471,NONE,999.9,0,0
0.363289,-75.6943,52.3607,-1.4307,2.61347,0.510555,1.33432,NONE,999.9,0,0
0.363396,-75.6943,52.3607,-1.4307,2.61347,0.510555,1.33432,NONE,999.9,0,0
0.373249,-75.6901,52.3347,-1.42548,2.65363,0.518822,1.37676,NONE,999.9,0,0
0.377582,-75.6857,52.3084,-1.42029,2.69188,0.531687,1.43124,NONE,999.9,0,0
0.388119,-75.6857,52.3084,-1.42029,2.69188,0.531687,1.43124,NONE,999.9,0,0
0.395207,-75.6812,52.2816,-1.41487,2.72831,0.538417,1.46897,NONE,999.9,0,0
0.3989,-75.6764,52.2545,-1.40956,2.78202,0.537921,1.49651,NONE,999.9,0,0
0.401594,-75.6764,52.2545,-1.40956,2.78202,0.537921,1.49651,NONE,999.9,0,0
0.409057,-75.6714,52.2269,-1.40412,2.83317,0.537639,1.52322,NONE,999.9,0,0
0.417786,-75.6662,52.1988,-1.39877,2.88189,0.545086,1.57088,NONE,999.9,0,0
0.430055,-75.6662,52.1988,-1.39877,2.88189,0.545086,1.57088,NONE,999.9,0,0
0.432389,-75.6608,52.1702,-1.39323,2.92829,0.549599,1.60939,NONE,999.9,0,0
0.436369,-75.6552,52.1413,-1.38775,2.97249,0.559852,1.66415,NONE,999.9,0,0
0.438711,-75.6552,52.1413,-1.38775,2.97249,0.559852,1.66415,NONE,999.9,0,0
0.442624,-75.6552,52.1413,-1.38775,2.97249,0.559852,1.66415,NONE,999.9,0,0
0.456983,-75.6493,52.1119,-1.38205,3.01458,0.565909,1.70598,NONE,999.9,0,0
0.460084,-75.6432,52.0822,-1.3764,3.05468,0.576913,1.76228,NONE,999.9,0,0
0.461769,-75.6432,52.0822,-1.3764,3.05468,0.576913,1.76228,NONE,999.9,0,0
0.464886,-75.6369,52.0521,-1.37053,3.09286,0.583215,1.8038,NONE,999.9,0,0
0.468515,-75.6369,52.0521,-1.37053,3.09286,0.583215,1.8038,NONE,999.9,0,0
0.477692,-75.6303,52.0217,-1.36471,3.12923,0.594156,1.85925,NONE,999.9,0,0
0.48023,-75.6303,52.0217,-1.36471,3.12923,0.594156,1.85925,NONE,999.9,0,0
0.48066,-75.6303,52.0217,-1.36471,3.12923,0.594156,1.85925,NONE,999.9,0,0
0.484425,-75.6235,51.991,-1.35867,3.16387,0.600202,1.89897,NONE,999.9,0,0
0.489172,-75.6235,51.991,-1.35867,3.16387,0.600202,1.89897,NONE,999.9,0,0
0.493238,-75.6165,51.96,-1.35268,3.19687,0.61078,1.95258,NONE,999.9,0,0
0.496132,-75.6165,51.96,-1.35268,3.19687,0.61078,1.95258,NONE,999.9,0,0
0.500286,-75.6165,51.96,-1.35268,3.19687,0.61078,1.95258,NONE,999.9,0,0
0.509264,-75.6092,51.9287,-1.34647,3.22829,0.616395,1.98991,NONE,999.9,0,0
0.509322,-75.6092,51.9287,-1.34647,3.22829,0.616395,1.98991,NONE,999.9,0,0
0.514058,-75.6017,51.897,-1.3404,3.27344,0.613024,2.0067,NONE,999.9,0,0
0.516835,-75.6017,51.897,-1.3404,3.27344,0.613024,2.0067,NONE,999.9,0,0
0.520771,-75.6017,51.897,-1.3404,3.27344,0.613024,2.0067,NONE,999.9,0,0
