t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
9.5459e-05,-9.99917,7.475,0,0.118468,0,0,NONE,0,0,0,0,0,0,0
0.00894628,-9.99917,7.475,0,0.118468,0,0,NONE,0,0,0,0,0,0,0
0.0172144,-9.99751,7.475,8.81414e-05,0.213568,0.0207042,0.00442175,NONE,0,0,0,0,0,0,0
0.0227781,-9.9949,7.475,0.000475742,0.308668,0.0599085,0.0184918,NONE,0,0,0,0,0,0,0
0.0284754,-9.99134,7.475,0.00134843,0.403768,0.117751,0.0475439,NONE,0,0,0,0,0,0,0
0.032087,-9.99134,7.475,0.00134843,0.403768,0.117751,0.0475439,NONE,0,0,0,0,0,0,0
0.0428724,-9.98683,7.47501,0.00243657,0.498868,0.0968238,0.0483023,NONE,0,0,0,0,0,0,0
0.0489371,-9.98137,7.47506,0.00323189,0.59285,0.0430282,0.0255093,NONE,0,0,0,0,0,0,0
0.0521203,-9.98137,7.47506,0.00323189,0.59285,0.0430282,0.0255093,NONE,0,0,0,0,0,0,0
0.0570463,-9.97499,7.47517,0.00379864,0.682284,0.077613,0.0529541,NONE,0,0,0,0,0,0,0
0.0599959,-9.97499,7.47517,0.00379864,0.682284,0.077613,0.0529541,NONE,0,0,0,0,0,0,0
0.0628906,-9.97499,7.47517,0.00379864,0.682284,0.077613,0.0529541,NONE,0,0,0,0,0,0,0
0.071278,-9.96775,7.47534,0.00468946,0.767561,0.0862372,0.0661923,NONE,0,0,0,0,0,0,0
0.0777028,-9.95967,7.47554,0.00560361,0.848782,0.108624,0.0921982,NONE,0,0,0,0,0,0,0
0.0824145,-9.95967,7.47554,0.00560361,0.848782,0.108624,0.0921982,NONE,0,0,0,0,0,0,0
0.0898689,-9.95079,7.47579,0.00677898,0.927762,0.113573,0.105369,NONE,0,0,0,0,0,0,0
0.0933707,-9.95079,7.47579,0.00677898,0.927762,0.113573,0.105369,NONE,0,0,0,0,0,0,0
0.102732,-9.94114,7.47606,0.00794145,1.00257,0.131292,0.131629,NONE,0,0,0,0,0,0,0
0.104023,-9.94114,7.47606,0.00794145,1.00257,0.131292,0.131629,NONE,0,0,0,0,0,0,0
0.110547,-9.93076,7.47637,0.00933892,1.07382,0.135253,0.145237,NONE,0,0,0,0,0,0,0
0.114817,-9.93076,7.47637,0.00933892,1.07382,0.135253,0.145237,NONE,0,0,0,0,0,0,0
0.121509,-9.91969,7.47671,0.0107046,1.1429,0.150438,0.171936,NONE,0,0,0,0,0,0,0
0.126582,-9.90794,7.4771,0.0122913,1.20828,0.153845,0.185888,NONE,0,0,0,0,0,0,0
0.134334,-9.90794,7.4771,0.0122913,1.20828,0.153845,0.185888,NONE,0,0,0,0,0,0,0
0.140527,-9.89555,7.47752,0.0138338,1.27072,0.16749,0.212833,NONE,0,0,0,0,0,0,0
0.144163,-9.89555,7.47752,0.0138338,1.27072,0.16749,0.212833,NONE,0,0,0,0,0,0,0
0.151086,-9.88255,7.47798,0.0155894,1.33009,0.170332,0.226557,NONE,0,0,0,0,0,0,0
0.156721,-9.86897,7.47847,0.0172891,1.38741,0.182714,0.253499,NONE,0,0,0,0,0,0,0
0.159948,-9.86897,7.47847,0.0172891,1.38741,0.182714,0.253499,NONE,0,0,0,0,0,0,0
