t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
8.1074e-05,-9.99916,7.475,0,0.119316,0,0,NONE,0,0,0,0,0,0,0
0.0084431,-9.99749,7.475,8.85523e-05,0.214416,0.0207864,0.00445693,NONE,0,0,0,0,0,0,0
0.0166161,-9.99487,7.475,0.000477387,0.309516,0.060073,0.0185936,NONE,0,0,0,0,0,0,0
0.0254227,-9.9913,7.475,0.00135213,0.404616,0.117998,0.0477438,NONE,0,0,0,0,0,0,0
0.028933,-9.9913,7.475,0.00135213,0.404616,0.117998,0.0477438,NONE,0,0,0,0,0,0,0
0.0370283,-9.98678,7.47501,0.00290018,0.499716,0.194777,0.0973331,NONE,0,0,0,0,0,0,0
0.0434303,-9.98131,7.47511,0.00496986,0.594816,0.112219,0.0667496,NONE,0,0,0,0,0,0,0
0.0464319,-9.98131,7.47511,0.00496986,0.594816,0.112219,0.0667496,NONE,0,0,0,0,0,0,0
0.0587319,-9.9749,7.47546,0.00694201,0.688997,0.242292,0.166939,NONE,0,0,0,0,0,0,0
0.0653091,-9.96758,7.47601,0.0100048,0.7787,0.361825,0.281753,NONE,0,0,0,0,0,0,0
0.0692148,-9.96758,7.47601,0.0100048,0.7787,0.361825,0.281753,NONE,0,0,0,0,0,0,0
0.0754575,-9.9594,7.47676,0.0140676,0.864654,0.432498,0.373961,NONE,0,0,0,0,0,0,0
0.0783775,-9.9594,7.47676,0.0140676,0.864654,0.432498,0.373961,NONE,0,0,0,0,0,0,0
0.0853247,-9.95037,7.47765,0.0185326,0.949156,0.452787,0.429765,NONE,0,0,0,0,0,0,0
0.0897242,-9.95037,7.47765,0.0185326,0.949156,0.452787,0.429765,NONE,0,0,0,0,0,0,0
0.0960527,-9.94053,7.47864,0.0230329,1.0297,0.442115,0.455248,NONE,0,0,0,0,0,0,0
0.0995332,-9.94053,7.47864,0.0230329,1.0297,0.442115,0.455248,NONE,0,0,0,0,0,0,0
0.10562,-9.92989,7.47967,0.0273056,1.10854,0.408594,0.452943,NONE,0,0,0,0,0,0,0
0.109086,-9.92989,7.47967,0.0273056,1.10854,0.408594,0.452943,NONE,0,0,0,0,0,0,0
0.11903,-9.91847,7.48071,0.0311436,1.18423,0.355856,0.421414,NONE,0,0,0,0,0,0,0
