t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
8.7786e-05,28.6021,6.88904,-0.16205,0.135975,-2.99714e-05,-4.07534e-06,NONE,0,0,0,0,0,0,0

--- Experiment Summary ---
Scenario,Opp_bumper_slow_1.csv_FFG169.8840_SCD27.8500_Gap0.9890_Bub0.4950_Clr0.5600_WW0.5850_AW6.0500_SW0.0880_HB2.0400_CT0.2600_SA0.4950_DBS0.1090_SPD3.7600
Finish Reason,GOAL REACHED
Duration (s),0.00
Total Dist (m),0.00
Collision,NO
Min Dist (m),0.00
Unsafe Ratio,1.00
FGM Min Dist (m),1000000000.00
FGM Unsafe Ratio,0.00
FGM Track RMS (m),0.00
