t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
6.3243e-05,-7.00944,4.68155,-1.44834,2.07626,-0.681779,-1.41555,NONE,0,0,0,0,0,0,0
0.00543869,-7.00762,4.66087,-1.45522,2.07626,-0.677254,-1.40616,NONE,0,0,0,0,0,0,0
0.00817761,-7.00762,4.66087,-1.45522,2.07626,-0.677254,-1.40616,NONE,0,0,0,0,0,0,0
0.0131582,-7.00592,4.64017,-1.46193,2.07626,-0.68178,-1.41555,NONE,0,0,0,0,0,0,0
0.0161553,-7.00592,4.64017,-1.46193,2.07626,-0.68178,-1.41555,NONE,0,0,0,0,0,0,0
0.0201807,-7.00592,4.64017,-1.46193,2.07626,-0.68178,-1.41555,NONE,0,0,0,0,0,0,0
0.02598,-7.00439,4.61947,-1.46881,2.07626,-0.677255,-1.40616,NONE,0,0,0,0,0,0,0
0.0279775,-7.00439,4.61947,-1.46881,2.07626,-0.677255,-1.40616,NONE,0,0,0,0,0,0,0
0.0339598,-7.00298,4.59875,-1.47552,2.07626,-0.681781,-1.41556,NONE,0,0,0,0,0,0,0
0.0373465,-7.00298,4.59875,-1.47552,2.07626,-0.681781,-1.41556,NONE,0,0,0,0,0,0,0
0.0407417,-7.00298,4.59875,-1.47552,2.07626,-0.681781,-1.41556,NONE,0,0,0,0,0,0,0
0.045401,-7.00172,4.57803,-1.4824,2.07627,-0.677256,-1.40616,NONE,0,0,0,0,0,0,0
0.0484215,-7.00172,4.57803,-1.4824,2.07627,-0.677256,-1.40616,NONE,0,0,0,0,0,0,0
0.053781,-7.00059,4.5573,-1.48911,2.07627,-0.681782,-1.41556,NONE,0,0,0,0,0,0,0
0.0560674,-7.00059,4.5573,-1.48911,2.07627,-0.681782,-1.41556,NONE,0,0,0,0,0,0,0
0.0607125,-7.00059,4.5573,-1.48911,2.07627,-0.681782,-1.41556,NONE,0,0,0,0,0,0,0
0.0668867,-6.99962,4.53656,-1.49599,2.07627,-0.677257,-1.40617,NONE,0,0,0,0,0,0,0
0.0704245,-6.99962,4.53656,-1.49599,2.07627,-0.677257,-1.40617,NONE,0,0,0,0,0,0,0
0.0741035,-6.99877,4.51581,-1.5027,2.07627,-0.681783,-1.41556,NONE,0,0,0,0,0,0,0
0.0766222,-6.99877,4.51581,-1.5027,2.07627,-0.681783,-1.41556,NONE,0,0,0,0,0,0,0
0.0800353,-6.99877,4.51581,-1.5027,2.07627,-0.681783,-1.41556,NONE,0,0,0,0,0,0,0
0.0840964,-6.99808,4.49506,-1.50958,2.07627,-0.677258,-1.40617,NONE,0,0,0,0,0,0,0
0.0887154,-6.99808,4.49506,-1.50958,2.07627,-0.677258,-1.40617,NONE,0,0,0,0,0,0,0
0.0933079,-6.99751,4.47431,-1.51629,2.07627,-0.681784,-1.41557,NONE,0,0,0,0,0,0,0
0.0961135,-6.99751,4.47431,-1.51629,2.07627,-0.681784,-1.41557,NONE,0,0,0,0,0,0,0
0.0999015,-6.99751,4.47431,-1.51629,2.07627,-0.681784,-1.41557,NONE,0,0,0,0,0,0,0
0.104597,-6.9971,4.45355,-1.52317,2.07627,-0.677259,-1.40617,NONE,0,0,0,0,0,0,0
0.107895,-6.9971,4.45355,-1.52317,2.07627,-0.677259,-1.40617,NONE,0,0,0,0,0,0,0
0.113239,-6.99682,4.43279,-1.52988,2.07627,-0.681784,-1.41557,NONE,0,0,0,0,0,0,0
0.115906,-6.99682,4.43279,-1.52988,2.07627,-0.681784,-1.41557,NONE,0,0,0,0,0,0,0
0.120688,-6.99682,4.43279,-1.52988,2.07627,-0.681784,-1.41557,NONE,0,0,0,0,0,0,0
0.124571,-6.99669,4.41202,-1.53676,2.07627,-0.677259,-1.40617,NONE,0,0,0,0,0,0,0
0.127968,-6.99669,4.41202,-1.53676,2.07627,-0.677259,-1.40617,NONE,0,0,0,0,0,0,0
0.132966,-6.99669,4.39126,-1.54347,2.07627,-0.681785,-1.41557,NONE,0,0,0,0,0,0,0
0.135962,-6.99669,4.39126,-1.54347,2.07627,-0.681785,-1.41557,NONE,0,0,0,0,0,0,0
0.139764,-6.99669,4.39126,-1.54347,2.07627,-0.681785,-1.41557,NONE,0,0,0,0,0,0,0
0.144139,-6.99685,4.3705,-1.55035,2.07627,-0.67726,-1.40618,NONE,0,0,0,0,0,0,0
0.147785,-6.99685,4.3705,-1.55035,2.07627,-0.67726,-1.40618,NONE,0,0,0,0,0,0,0
0.153413,-6.99713,4.34974,-1.55706,2.07627,-0.681785,-1.41557,NONE,0,0,0,0,0,0,0
0.155813,-6.99713,4.34974,-1.55706,2.07627,-0.681785,-1.41557,NONE,0,0,0,0,0,0,0
0.16061,-6.99713,4.34974,-1.55706,2.07627,-0.681785,-1.41557,NONE,0,0,0,0,0,0,0
0.164443,-6.99756,4.32898,-1.56394,2.07628,-0.67726,-1.40618,NONE,0,0,0,0,0,0,0
0.168522,-6.99756,4.32898,-1.56394,2.07628,-0.67726,-1.40618,NONE,0,0,0,0,0,0,0
0.174072,-6.99813,4.30823,-1.57065,2.07628,-0.681786,-1.41558,NONE,0,0,0,0,0,0,0
0.176771,-6.99813,4.30823,-1.57065,2.07628,-0.681786,-1.41558,NONE,0,0,0,0,0,0,0
0.179749,-6.99813,4.30823,-1.57065,2.07628,-0.681786,-1.41558,NONE,0,0,0,0,0,0,0
0.184081,-6.99885,4.28748,-1.57753,2.07628,-0.677261,-1.40618,NONE,0,0,0,0,0,0,0
0.188167,-6.99885,4.28748,-1.57753,2.07628,-0.677261,-1.40618,NONE,0,0,0,0,0,0,0
0.193468,-6.99969,4.26673,-1.58424,2.07628,-0.681786,-1.41558,NONE,0,0,0,0,0,0,0
0.195941,-6.99969,4.26673,-1.58424,2.07628,-0.681786,-1.41558,NONE,0,0,0,0,0,0,0
0.199873,-6.99969,4.26673,-1.58424,2.07628,-0.681786,-1.41558,NONE,0,0,0,0,0,0,0
0.204671,-7.00069,4.24599,-1.59112,2.07628,-0.677261,-1.40618,NONE,0,0,0,0,0,0,0
0.208092,-7.00069,4.24599,-1.59112,2.07628,-0.677261,-1.40618,NONE,0,0,0,0,0,0,0
0.213101,-7.00182,4.22526,-1.59783,2.07628,-0.681787,-1.41558,NONE,0,0,0,0,0,0,0
0.215733,-7.00182,4.22526,-1.59783,2.07628,-0.681787,-1.41558,NONE,0,0,0,0,0,0,0
0.219803,-7.00182,4.22526,-1.59783,2.07628,-0.681787,-1.41558,NONE,0,0,0,0,0,0,0
0.223762,-7.0031,4.20454,-1.60471,2.07628,-0.677262,-1.40618,NONE,0,0,0,0,0,0,0
0.228066,-7.0031,4.20454,-1.60471,2.07628,-0.677262,-1.40618,NONE,0,0,0,0,0,0,0
0.233669,-7.00451,4.18382,-1.61142,2.07628,-0.681787,-1.41558,NONE,0,0,0,0,0,0,0
0.236295,-7.00451,4.18382,-1.61142,2.07628,-0.681787,-1.41558,NONE,0,0,0,0,0,0,0
0.24016,-7.00451,4.18382,-1.61142,2.07628,-0.681787,-1.41558,NONE,0,0,0,0,0,0,0
0.243985,-7.00607,4.16312,-1.6183,2.07628,-0.677262,-1.40619,NONE,0,0,0,0,0,0,0
0.248187,-7.00607,4.16312,-1.6183,2.07628,-0.677262,-1.40619,NONE,0,0,0,0,0,0,0
0.253418,-7.00777,4.14242,-1.62501,2.07628,-0.681788,-1.41558,NONE,0,0,0,0,0,0,0
0.255598,-7.00777,4.14242,-1.62501,2.07628,-0.681788,-1.41558,NONE,0,0,0,0,0,0,0
0.260221,-7.00777,4.14242,-1.62501,2.07628,-0.681788,-1.41558,NONE,0,0,0,0,0,0,0
0.264287,-7.00961,4.12174,-1.63189,2.07628,-0.677262,-1.40619,NONE,0,0,0,0,0,0,0
0.268906,-7.00961,4.12174,-1.63189,2.07628,-0.677262,-1.40619,NONE,0,0,0,0,0,0,0
0.274534,-7.01158,4.10107,-1.6386,2.07628,-0.681788,-1.41558,NONE,0,0,0,0,0,0,0
0.276806,-7.01158,4.10107,-1.6386,2.07628,-0.681788,-1.41558,NONE,0,0,0,0,0,0,0
0.279976,-7.01158,4.10107,-1.6386,2.07628,-0.681788,-1.41558,NONE,0,0,0,0,0,0,0
0.284174,-7.01371,4.08042,-1.64548,2.07628,-0.677263,-1.40619,NONE,0,0,0,0,0,0,0
0.287933,-7.01371,4.08042,-1.64548,2.07628,-0.677263,-1.40619,NONE,0,0,0,0,0,0,0
0.294202,-7.01596,4.05978,-1.65219,2.07628,-0.681788,-1.41558,NONE,0,0,0,0,0,0,0
0.296506,-7.01596,4.05978,-1.65219,2.07628,-0.681788,-1.41558,NONE,0,0,0,0,0,0,0
0.300177,-7.01596,4.05978,-1.65219,2.07628,-0.681788,-1.41558,NONE,0,0,0,0,0,0,0
0.307667,-7.01837,4.03916,-1.65907,2.07628,-0.677263,-1.40619,NONE,0,0,0,0,0,0,0
0.310272,-7.01837,4.03916,-1.65907,2.07628,-0.677263,-1.40619,NONE,0,0,0,0,0,0,0
0.314406,-7.0209,4.01855,-1.66578,2.07628,-0.681788,-1.41559,NONE,0,0,0,0,0,0,0
0.316244,-7.0209,4.01855,-1.66578,2.07628,-0.681788,-1.41559,NONE,0,0,0,0,0,0,0
0.320733,-7.0209,4.01855,-1.66578,2.07628,-0.681788,-1.41559,NONE,0,0,0,0,0,0,0
0.33193,-7.02358,3.99796,-1.67266,2.07628,-0.677263,-1.40619,NONE,0,0,0,0,0,0,0
0.336422,-7.0264,3.97739,-1.67937,2.07628,-0.681789,-1.41559,NONE,0,0,0,0,0,0,0
0.3403,-7.0264,3.97739,-1.67937,2.07628,-0.681789,-1.41559,NONE,0,0,0,0,0,0,0
0.344765,-7.02936,3.95684,-1.68625,2.07628,-0.677263,-1.40619,NONE,0,0,0,0,0,0,0
0.347884,-7.02936,3.95684,-1.68625,2.07628,-0.677263,-1.40619,NONE,0,0,0,0,0,0,0
0.353386,-7.03245,3.93631,-1.69296,2.07628,-0.681789,-1.41559,NONE,0,0,0,0,0,0,0
0.355631,-7.03245,3.93631,-1.69296,2.07628,-0.681789,-1.41559,NONE,0,0,0,0,0,0,0
0.360068,-7.03245,3.93631,-1.69296,2.07628,-0.681789,-1.41559,NONE,0,0,0,0,0,0,0
0.363903,-7.0357,3.9158,-1.69984,2.07628,-0.677264,-1.40619,NONE,0,0,0,0,0,0,0
0.368659,-7.0357,3.9158,-1.69984,2.07628,-0.677264,-1.40619,NONE,0,0,0,0,0,0,0
0.373133,-7.03907,3.89531,-1.70655,2.07628,-0.681789,-1.41559,NONE,0,0,0,0,0,0,0
0.375977,-7.03907,3.89531,-1.70655,2.07628,-0.681789,-1.41559,NONE,0,0,0,0,0,0,0
0.380106,-7.03907,3.89531,-1.70655,2.07628,-0.681789,-1.41559,NONE,0,0,0,0,0,0,0
0.384611,-7.04259,3.87485,-1.71344,2.07628,-0.677264,-1.40619,NONE,0,0,0,0,0,0,0
0.387786,-7.04259,3.87485,-1.71344,2.07628,-0.677264,-1.40619,NONE,0,0,0,0,0,0,0
0.393556,-7.04624,3.85441,-1.72014,2.07628,-0.681789,-1.41559,NONE,0,0,0,0,0,0,0
0.397498,-7.04624,3.85441,-1.72014,2.07628,-0.681789,-1.41559,NONE,0,0,0,0,0,0,0
0.400978,-7.04624,3.85441,-1.72014,2.07628,-0.681789,-1.41559,NONE,0,0,0,0,0,0,0
0.405427,-7.05004,3.834,-1.72703,2.07628,-0.677264,-1.40619,NONE,0,0,0,0,0,0,0
0.407694,-7.05004,3.834,-1.72703,2.07628,-0.677264,-1.40619,NONE,0,0,0,0,0,0,0
0.41304,-7.05397,3.81361,-1.73374,2.07628,-0.681789,-1.41559,NONE,0,0,0,0,0,0,0
0.415785,-7.05397,3.81361,-1.73374,2.07628,-0.681789,-1.41559,NONE,0,0,0,0,0,0,0
0.419897,-7.05397,3.81361,-1.73374,2.07628,-0.681789,-1.41559,NONE,0,0,0,0,0,0,0
0.423911,-7.05805,3.79325,-1.74062,2.07628,-0.677264,-1.40619,NONE,0,0,0,0,0,0,0
0.428034,-7.05805,3.79325,-1.74062,2.07628,-0.677264,-1.40619,NONE,0,0,0,0,0,0,0
0.433029,-7.06225,3.77292,-1.74733,2.07628,-0.68179,-1.41559,NONE,0,0,0,0,0,0,0
0.435808,-7.06225,3.77292,-1.74733,2.07628,-0.68179,-1.41559,NONE,0,0,0,0,0,0,0
0.439791,-7.06225,3.77292,-1.74733,2.07628,-0.68179,-1.41559,NONE,0,0,0,0,0,0,0
0.443934,-7.0666,3.75262,-1.75421,2.07628,-0.677264,-1.40619,NONE,0,0,0,0,0,0,0
0.447848,-7.0666,3.75262,-1.75421,2.07628,-0.677264,-1.40619,NONE,0,0,0,0,0,0,0
0.453055,-7.07108,3.73235,-1.76092,2.07629,-0.68179,-1.41559,NONE,0,0,0,0,0,0,0
0.455737,-7.07108,3.73235,-1.76092,2.07629,-0.68179,-1.41559,NONE,0,0,0,0,0,0,0
0.460215,-7.07108,3.73235,-1.76092,2.07629,-0.68179,-1.41559,NONE,0,0,0,0,0,0,0
0.464821,-7.07571,3.71211,-1.7678,2.07629,-0.677264,-1.40619,NONE,0,0,0,0,0,0,0
0.468283,-7.07571,3.71211,-1.7678,2.07629,-0.677264,-1.40619,NONE,0,0,0,0,0,0,0
0.473141,-7.08047,3.69189,-1.77451,2.07629,-0.68179,-1.41559,NONE,0,0,0,0,0,0,0
0.475993,-7.08047,3.69189,-1.77451,2.07629,-0.68179,-1.41559,NONE,0,0,0,0,0,0,0
0.479733,-7.08047,3.69189,-1.77451,2.07629,-0.68179,-1.41559,NONE,0,0,0,0,0,0,0
0.483855,-7.08537,3.67172,-1.78139,2.07629,-0.677265,-1.40619,NONE,0,0,0,0,0,0,0
0.488348,-7.08537,3.67172,-1.78139,2.07629,-0.677265,-1.40619,NONE,0,0,0,0,0,0,0
0.493399,-7.0904,3.65157,-1.7881,2.07629,-0.68179,-1.41559,NONE,0,0,0,0,0,0,0
0.495826,-7.0904,3.65157,-1.7881,2.07629,-0.68179,-1.41559,NONE,0,0,0,0,0,0,0
0.500034,-7.0904,3.65157,-1.7881,2.07629,-0.68179,-1.41559,NONE,0,0,0,0,0,0,0
0.50368,-7.09558,3.63147,-1.79498,2.07629,-0.677265,-1.40619,NONE,0,0,0,0,0,0,0
0.507849,-7.09558,3.63147,-1.79498,2.07629,-0.677265,-1.40619,NONE,0,0,0,0,0,0,0
0.513464,-7.10088,3.61139,-1.80169,2.07629,-0.68179,-1.41559,NONE,0,0,0,0,0,0,0
0.515808,-7.10088,3.61139,-1.80169,2.07629,-0.68179,-1.41559,NONE,0,0,0,0,0,0,0
0.520335,-7.10088,3.61139,-1.80169,2.07629,-0.68179,-1.41559,NONE,0,0,0,0,0,0,0
0.525371,-7.10633,3.59136,-1.80857,2.07629,-0.677265,-1.4062,NONE,0,0,0,0,0,0,0
0.527806,-7.10633,3.59136,-1.80857,2.07629,-0.677265,-1.4062,NONE,0,0,0,0,0,0,0
0.533697,-7.1119,3.57136,-1.81528,2.07629,-0.68179,-1.41559,NONE,0,0,0,0,0,0,0
0.536142,-7.1119,3.57136,-1.81528,2.07629,-0.68179,-1.41559,NONE,0,0,0,0,0,0,0
0.539719,-7.1119,3.57136,-1.81528,2.07629,-0.68179,-1.41559,NONE,0,0,0,0,0,0,0
0.543814,-7.11762,3.5514,-1.82216,2.07629,-0.677265,-1.4062,NONE,0,0,0,0,0,0,0
0.547785,-7.11762,3.5514,-1.82216,2.07629,-0.677265,-1.4062,NONE,0,0,0,0,0,0,0
0.553331,-7.12347,3.53148,-1.82887,2.07629,-0.68179,-1.41559,NONE,0,0,0,0,0,0,0
0.555888,-7.12347,3.53148,-1.82887,2.07629,-0.68179,-1.41559,NONE,0,0,0,0,0,0,0
0.559957,-7.12347,3.53148,-1.82887,2.07629,-0.68179,-1.41559,NONE,0,0,0,0,0,0,0
0.563725,-7.12946,3.5116,-1.83575,2.07629,-0.677265,-1.4062,NONE,0,0,0,0,0,0,0
0.567779,-7.12946,3.5116,-1.83575,2.07629,-0.677265,-1.4062,NONE,0,0,0,0,0,0,0
0.572733,-7.13558,3.49176,-1.84246,2.07629,-0.68179,-1.41559,NONE,0,0,0,0,0,0,0
0.575944,-7.13558,3.49176,-1.84246,2.07629,-0.68179,-1.41559,NONE,0,0,0,0,0,0,0
0.57977,-7.13558,3.49176,-1.84246,2.07629,-0.68179,-1.41559,NONE,0,0,0,0,0,0,0
0.584039,-7.14184,3.47196,-1.84934,2.07629,-0.677265,-1.4062,NONE,0,0,0,0,0,0,0
0.587943,-7.14184,3.47196,-1.84934,2.07629,-0.677265,-1.4062,NONE,0,0,0,0,0,0,0
0.593123,-7.14823,3.4522,-1.85605,2.07629,-0.68179,-1.41559,NONE,0,0,0,0,0,0,0
0.595863,-7.14823,3.4522,-1.85605,2.07629,-0.68179,-1.41559,NONE,0,0,0,0,0,0,0
0.599801,-7.14823,3.4522,-1.85605,2.07629,-0.68179,-1.41559,NONE,0,0,0,0,0,0,0
0.603818,-7.15476,3.43249,-1.86293,2.07629,-0.677265,-1.4062,NONE,0,0,0,0,0,0,0
0.607863,-7.15476,3.43249,-1.86293,2.07629,-0.677265,-1.4062,NONE,0,0,0,0,0,0,0
0.613518,-7.16141,3.41283,-1.86964,2.07629,-0.68179,-1.41559,NONE,0,0,0,0,0,0,0
0.615556,-7.16141,3.41283,-1.86964,2.07629,-0.68179,-1.41559,NONE,0,0,0,0,0,0,0
