t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
8.5658e-05,-9.99895,7.475,0,0.13314,0,0,NONE,0,0,0,0,0,0,0
0.00363441,-9.99895,7.475,0,0.13314,0,0,NONE,0,0,0,0,0,0,0
0.0103497,-9.99715,7.475,9.5252e-05,0.22824,0.0221265,0.00505015,NONE,0,0,0,0,0,0,0
0.0139423,-9.99715,7.475,9.5252e-05,0.22824,0.0221265,0.00505015,NONE,0,0,0,0,0,0,0
0.0195553,-9.99439,7.475,0.000504199,0.32334,0.0627561,0.0202916,NONE,0,0,0,0,0,0,0
0.022537,-9.99439,7.475,0.000504199,0.32334,0.0627561,0.0202916,NONE,0,0,0,0,0,0,0
0.0284673,-9.99068,7.475,0.00141251,0.41844,0.122029,0.051062,NONE,0,0,0,0,0,0,0
0.0320898,-9.99068,7.475,0.00141251,0.41844,0.122029,0.051062,NONE,0,0,0,0,0,0,0
0.039969,-9.98602,7.47501,0.00300763,0.51354,0.14652,0.0752438,NONE,0,0,0,0,0,0,0
0.0430699,-9.98602,7.47501,0.00300763,0.51354,0.14652,0.0752438,NONE,0,0,0,0,0,0,0
0.0495133,-9.98041,7.47521,0.00437681,0.60864,0.218041,0.132708,NONE,0,0,0,0,0,0,0
0.0523978,-9.98041,7.47521,0.00437681,0.60864,0.218041,0.132708,NONE,0,0,0,0,0,0,0
0.0588968,-9.97386,7.47558,0.00671558,0.70374,0.288026,0.202696,NONE,0,0,0,0,0,0,0
0.062245,-9.97386,7.47558,0.00671558,0.70374,0.288026,0.202696,NONE,0,0,0,0,0,0,0
0.0688895,-9.96637,7.47614,0.00998777,0.79884,0.379167,0.302894,NONE,0,0,0,0,0,0,0
0.0724418,-9.96637,7.47614,0.00998777,0.79884,0.379167,0.302894,NONE,0,0,0,0,0,0,0
0.0754042,-9.96637,7.47614,0.00998777,0.79884,0.379167,0.302894,NONE,0,0,0,0,0,0,0
0.0808021,-9.95794,7.47691,0.0141538,0.89394,0.442543,0.395607,NONE,0,0,0,0,0,0,0
0.0837527,-9.95794,7.47691,0.0141538,0.89394,0.442543,0.395607,NONE,0,0,0,0,0,0,0
0.0892814,-9.94857,7.47783,0.0187213,0.98904,0.464969,0.459873,NONE,0,0,0,0,0,0,0
0.0922289,-9.94857,7.47783,0.0187213,0.98904,0.464969,0.459873,NONE,0,0,0,0,0,0,0
0.099298,-9.93826,7.47885,0.0233689,1.08414,0.460162,0.49888,NONE,0,0,0,0,0,0,0
0.103861,-9.93826,7.47885,0.0233689,1.08414,0.460162,0.49888,NONE,0,0,0,0,0,0,0
0.109704,-9.92699,7.47994,0.0278583,1.17924,0.434003,0.511794,NONE,0,0,0,0,0,0,0
0.112756,-9.92699,7.47994,0.0278583,1.17924,0.434003,0.511794,NONE,0,0,0,0,0,0,0
0.115703,-9.92699,7.47994,0.0278583,1.17924,0.434003,0.511794,NONE,0,0,0,0,0,0,0
0.121197,-9.91478,7.48106,0.0319926,1.27434,0.389557,0.496428,NONE,0,0,0,0,0,0,0
0.124253,-9.91478,7.48106,0.0319926,1.27434,0.389557,0.496428,NONE,0,0,0,0,0,0,0
0.130478,-9.9016,7.48219,0.0355989,1.36944,0.328726,0.45017,NONE,0,0,0,0,0,0,0
0.134138,-9.9016,7.48219,0.0355989,1.36944,0.328726,0.45017,NONE,0,0,0,0,0,0,0
0.139732,-9.88748,7.4833,0.0385205,1.46454,0.252845,0.370302,NONE,0,0,0,0,0,0,0
0.142523,-9.88748,7.4833,0.0385205,1.46454,0.252845,0.370302,NONE,0,0,0,0,0,0,0
0.148128,-9.8724,7.48438,0.0407789,1.55964,0.212353,0.331193,NONE,0,0,0,0,0,0,0
0.150797,-9.8724,7.48438,0.0407789,1.55964,0.212353,0.331193,NONE,0,0,0,0,0,0,0
0.154178,-9.8724,7.48438,0.0407789,1.55964,0.212353,0.331193,NONE,0,0,0,0,0,0,0
0.161152,-9.85636,7.48546,0.0427838,1.65474,0.180311,0.298368,NONE,0,0,0,0,0,0,0
0.164622,-9.85636,7.48546,0.0427838,1.65474,0.180311,0.298368,NONE,0,0,0,0,0,0,0
0.171058,-9.83937,7.48655,0.0444425,1.74984,0.162566,0.284464,NONE,0,0,0,0,0,0,0
0.174097,-9.83937,7.48655,0.0444425,1.74984,0.162566,0.284464,NONE,0,0,0,0,0,0,0
0.179749,-9.82143,7.48766,0.0460263,1.84494,0.144905,0.267341,NONE,0,0,0,0,0,0,0
0.182569,-9.82143,7.48766,0.0460263,1.84494,0.144905,0.267341,NONE,0,0,0,0,0,0,0
0.188767,-9.80254,7.48881,0.0473792,1.94004,0.136171,0.264176,NONE,0,0,0,0,0,0,0
0.191681,-9.80254,7.48881,0.0473792,1.94004,0.136171,0.264176,NONE,0,0,0,0,0,0,0
0.195815,-9.80254,7.48881,0.0473792,1.94004,0.136171,0.264176,NONE,0,0,0,0,0,0,0
0.201955,-9.7827,7.49,0.0487348,2.03514,0.125355,0.255115,NONE,0,0,0,0,0,0,0
0.204927,-9.7827,7.49,0.0487348,2.03514,0.125355,0.255115,NONE,0,0,0,0,0,0,0
