t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
8.1043e-05,19.3991,-0.309295,2.29742,0.1902,-0.000166388,-3.16471e-05,NONE,0,0,0,0,0,0,0
0.00185947,19.3991,-0.309295,2.29742,0.1902,-0.000166388,-3.16471e-05,NONE,0,0,0,0,0,0,0
0.0057321,19.3991,-0.309295,2.29742,0.1902,-0.000166388,-3.16471e-05,NONE,0,0,0,0,0,0,0
0.00950898,19.3975,-0.307518,2.29754,0.2853,0.0274918,0.0078434,NONE,0,0,0,0,0,0,0
0.0134595,19.3975,-0.307518,2.29754,0.2853,0.0274918,0.0078434,NONE,0,0,0,0,0,0,0
0.0197082,19.3953,-0.305031,2.29803,0.3804,0.0736643,0.0280219,NONE,0,0,0,0,0,0,0
0.0214924,19.3953,-0.305031,2.29803,0.3804,0.0736643,0.0280219,NONE,0,0,0,0,0,0,0
0.0256939,19.3953,-0.305031,2.29803,0.3804,0.0736643,0.0280219,NONE,0,0,0,0,0,0,0
0.0296459,19.3924,-0.301836,2.29908,0.4755,0.138503,0.0658583,NONE,0,0,0,0,0,0,0
0.0336192,19.3924,-0.301836,2.29908,0.4755,0.138503,0.0658583,NONE,0,0,0,0,0,0,0
0.0391513,19.3889,-0.297973,2.30062,0.5706,0.0755283,0.0430964,NONE,0,0,0,0,0,0,0
0.0416763,19.3889,-0.297973,2.30062,0.5706,0.0755283,0.0430964,NONE,0,0,0,0,0,0,0
0.0456614,19.3889,-0.297973,2.30062,0.5706,0.0755283,0.0430964,NONE,0,0,0,0,0,0,0
0.0496562,19.3846,-0.293537,2.30214,0.6657,0.186453,0.124122,NONE,0,0,0,0,0,0,0
0.0536224,19.3846,-0.293537,2.30214,0.6657,0.186453,0.124122,NONE,0,0,0,0,0,0,0
0.0587698,19.3796,-0.288493,2.30445,0.7608,0.247726,0.18847,NONE,0,0,0,0,0,0,0
0.061732,19.3796,-0.288493,2.30445,0.7608,0.247726,0.18847,NONE,0,0,0,0,0,0,0
0.0656497,19.3796,-0.288493,2.30445,0.7608,0.247726,0.18847,NONE,0,0,0,0,0,0,0
0.0697981,19.3738,-0.282817,2.30718,0.8559,0.306057,0.261955,NONE,0,0,0,0,0,0,0
0.0738162,19.3738,-0.282817,2.30718,0.8559,0.306057,0.261955,NONE,0,0,0,0,0,0,0
0.0790188,19.3673,-0.276515,2.31048,0.951,0.342446,0.325666,NONE,0,0,0,0,0,0,0
0.0818001,19.3673,-0.276515,2.31048,0.951,0.342446,0.325666,NONE,0,0,0,0,0,0,0
0.0856618,19.3673,-0.276515,2.31048,0.951,0.342446,0.325666,NONE,0,0,0,0,0,0,0
0.0903502,19.3602,-0.269564,2.31392,1.0461,0.340039,0.355715,NONE,0,0,0,0,0,0,0
0.0940267,19.3602,-0.269564,2.31392,1.0461,0.340039,0.355715,NONE,0,0,0,0,0,0,0
0.0987476,19.3523,-0.261945,2.31736,1.1412,0.359661,0.410446,NONE,0,0,0,0,0,0,0
0.102568,19.3523,-0.261945,2.31736,1.1412,0.359661,0.410446,NONE,0,0,0,0,0,0,0
0.10576,19.3523,-0.261945,2.31736,1.1412,0.359661,0.410446,NONE,0,0,0,0,0,0,0
0.109644,19.3438,-0.253677,2.32108,1.2363,0.374151,0.462562,NONE,0,0,0,0,0,0,0
0.113566,19.3438,-0.253677,2.32108,1.2363,0.374151,0.462562,NONE,0,0,0,0,0,0,0
0.11863,19.3345,-0.244756,2.32489,1.3314,0.398243,0.53022,NONE,0,0,0,0,0,0,0
0.121551,19.3345,-0.244756,2.32489,1.3314,0.398243,0.53022,NONE,0,0,0,0,0,0,0
