t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
9.1208e-05,28.6711,18.1261,1.95669,0.101466,0,0,NONE,0,0,0,0,0,0,0

--- Experiment Summary ---
Scenario,Opp_bumper_slow_2.csv_FFG185.3234_SCD31.5880_Gap1.1770_Bub0.4591_Clr0.6086_WW0.6106_AW6.6524_SW0.0960_HB3.5999_CT0.4468_SA0.4524_DBS0.1139_SPD3.7035
Finish Reason,COLLISION DETECTED
Duration (s),0.00
Total Dist (m),0.00
Collision,YES
Min Dist (m),0.00
Unsafe Ratio,1.00
FGM Min Dist (m),1000000000.00
FGM Unsafe Ratio,0.00
FGM Track RMS (m),0.00
