t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
9.6756e-05,-9.9609,7.47478,-0.0102757,0.13314,0,0,NONE,0,0,0,0,0,0,0
0.0070024,-9.9591,7.47476,-0.0103709,0.22824,-0.0221265,-0.00505015,NONE,0,0,0,0,0,0,0
0.0126549,-9.9591,7.47476,-0.0103709,0.22824,-0.0221265,-0.00505015,NONE,0,0,0,0,0,0,0
0.0222139,-9.95634,7.47473,-0.0107799,0.32334,-0.0627561,-0.0202916,NONE,0,0,0,0,0,0,0
0.031304,-9.95263,7.47469,-0.0116882,0.41844,-0.122029,-0.051062,NONE,0,0,0,0,0,0,0
0.03777,-9.94797,7.47463,-0.0132833,0.51354,-0.14652,-0.0752438,NONE,0,0,0,0,0,0,0
0.0427238,-9.94797,7.47463,-0.0132833,0.51354,-0.14652,-0.0752438,NONE,0,0,0,0,0,0,0
0.0529771,-9.94237,7.47438,-0.0146525,0.60864,-0.218041,-0.132708,NONE,0,0,0,0,0,0,0
0.0607329,-9.93582,7.47394,-0.0169912,0.70374,-0.288026,-0.202696,NONE,0,0,0,0,0,0,0
0.0695641,-9.92833,7.4733,-0.0202634,0.79884,-0.379167,-0.302894,NONE,0,0,0,0,0,0,0
0.076428,-9.91992,7.47243,-0.0245723,0.89394,-0.487905,-0.436158,NONE,0,0,0,0,0,0,0
0.0809787,-9.91992,7.47243,-0.0245723,0.89394,-0.487905,-0.436158,NONE,0,0,0,0,0,0,0
0.0895729,-9.91057,7.47131,-0.030045,0.98904,-0.609993,-0.603307,NONE,0,0,0,0,0,0,0
0.0972187,-9.9003,7.46992,-0.0366475,1.08414,-0.697114,-0.755769,NONE,0,0,0,0,0,0,0
0.10069,-9.9003,7.46992,-0.0366475,1.08414,-0.697114,-0.755769,NONE,0,0,0,0,0,0,0
0.107045,-9.8891,7.46829,-0.043841,1.17924,-0.734747,-0.866443,NONE,0,0,0,0,0,0,0
0.112303,-9.8891,7.46829,-0.043841,1.17924,-0.734747,-0.866443,NONE,0,0,0,0,0,0,0
0.120834,-9.87697,7.46646,-0.0514035,1.27434,-0.788931,-1.00537,NONE,0,0,0,0,0,0,0
0.129815,-9.86391,7.46441,-0.0595812,1.36944,-0.836294,-1.14525,NONE,0,0,0,0,0,0,0
0.136116,-9.84992,7.46214,-0.0679977,1.46454,-0.840993,-1.23167,NONE,0,0,0,0,0,0,0
0.139444,-9.84992,7.46214,-0.0679977,1.46454,-0.840993,-1.23167,NONE,0,0,0,0,0,0,0
0.152853,-9.835,7.45968,-0.0764776,1.55964,-0.866684,-1.35172,NONE,0,0,0,0,0,0,0
0.160772,-9.81916,7.45698,-0.085318,1.65474,-0.891893,-1.47585,NONE,0,0,0,0,0,0,0
0.167495,-9.80239,7.45405,-0.0943517,1.74984,-0.925093,-1.61876,NONE,0,0,0,0,0,0,0
0.171219,-9.80239,7.45405,-0.0943517,1.74984,-0.925093,-1.61876,NONE,0,0,0,0,0,0,0
0.182839,-9.7847,7.45085,-0.103795,1.84494,-0.953519,-1.75918,NONE,0,0,0,0,0,0,0
0.192447,-9.7661,7.44737,-0.113447,1.94004,-0.986899,-1.91462,NONE,0,0,0,0,0,0,0
0.19935,-9.74659,7.44359,-0.123507,2.03514,-1.01481,-2.06529,NONE,0,0,0,0,0,0,0
0.208234,-9.72617,7.43951,-0.133593,2.12857,-0.995569,-2.11914,NONE,0,0,0,0,0,0,0
0.215396,-9.72617,7.43951,-0.133593,2.12857,-0.995569,-2.11914,NONE,0,0,0,0,0,0,0
0.222573,-9.70488,7.43515,-0.143496,2.21756,-0.996757,-2.21036,NONE,0,0,0,0,0,0,0
0.228895,-9.68277,7.43047,-0.153543,2.30231,-1.00247,-2.30799,NONE,0,0,0,0,0,0,0
0.233772,-9.68277,7.43047,-0.153543,2.30231,-1.00247,-2.30799,NONE,0,0,0,0,0,0,0
0.241428,-9.65988,7.4255,-0.163591,2.38304,-1.01806,-2.42608,NONE,0,0,0,0,0,0,0
0.251444,-9.63626,7.42019,-0.173902,2.45992,-1.0325,-2.53988,NONE,0,0,0,0,0,0,0
