t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
0.00018797,22.4488,7.60581,-0.199201,0.1902,1.09754e-05,2.08752e-06,NONE,0,0,0,0,0,0,0

--- Experiment Summary ---
Scenario,Opp_bumper_v_3.csv_FFG174.1200_SCD25.4500_Gap1.1280_Bub0.5370_Clr0.5420_WW0.7450_AW6.8900_SW0.0760_HB1.8650_CT0.2320_SA0.4720_DBS0.1180_SPD3.3000
Finish Reason,GOAL REACHED
Duration (s),0.00
Total Dist (m),0.00
Collision,NO
Min Dist (m),0.00
Unsafe Ratio,1.00
FGM Min Dist (m),1000000000.00
FGM Unsafe Ratio,0.00
FGM Track RMS (m),0.00
