t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
9.6724e-05,-9.99919,7.475,0,0.117483,0,0,NONE,0,0,0,0,0,0,0
0.00465215,-9.99754,7.475,8.7664e-05,0.212583,0.0206087,0.00438105,NONE,0,0,0,0,0,0,0
0.00850614,-9.99754,7.475,8.7664e-05,0.212583,0.0206087,0.00438105,NONE,0,0,0,0,0,0,0
0.0150102,-9.99494,7.475,0.000473832,0.307683,0.0597173,0.018374,NONE,0,0,0,0,0,0,0
0.0187429,-9.99494,7.475,0.000473832,0.307683,0.0597173,0.018374,NONE,0,0,0,0,0,0,0
0.0272781,-9.99138,7.475,0.00134413,0.402783,0.117463,0.0473122,NONE,0,0,0,0,0,0,0
0.0316736,-9.99138,7.475,0.00134413,0.402783,0.117463,0.0473122,NONE,0,0,0,0,0,0,0
0.0364398,-9.98689,7.47501,0.00242687,0.495227,0.0961171,0.0475998,NONE,0,0,0,0,0,0,0
0.0400719,-9.98689,7.47501,0.00242687,0.495227,0.0961171,0.0475998,NONE,0,0,0,0,0,0,0
0.0443777,-9.9815,7.47507,0.00353254,0.583473,0.0634956,0.037048,NONE,0,0,0,0,0,0,0
0.049531,-9.9815,7.47507,0.00353254,0.583473,0.0634956,0.037048,NONE,0,0,0,0,0,0,0
0.057647,-9.97525,7.47526,0.00459705,0.668121,0.106328,0.0710401,NONE,0,0,0,0,0,0,0
0.061264,-9.97525,7.47526,0.00459705,0.668121,0.106328,0.0710401,NONE,0,0,0,0,0,0,0
0.0675325,-9.96817,7.4755,0.00571726,0.748858,0.102891,0.0770505,NONE,0,0,0,0,0,0,0
0.0736356,-9.9603,7.47575,0.00676151,0.825755,0.118822,0.098118,NONE,0,0,0,0,0,0,0
0.0767186,-9.9603,7.47575,0.00676151,0.825755,0.118822,0.098118,NONE,0,0,0,0,0,0,0
0.0801664,-9.9603,7.47575,0.00676151,0.825755,0.118822,0.098118,NONE,0,0,0,0,0,0,0
0.0905434,-9.95168,7.47603,0.00801483,0.898621,0.11852,0.106504,NONE,0,0,0,0,0,0,0
0.0958665,-9.94235,7.47632,0.00920982,0.968023,0.13364,0.129367,NONE,0,0,0,0,0,0,0
0.0999896,-9.94235,7.47632,0.00920982,0.968023,0.13364,0.129367,NONE,0,0,0,0,0,0,0
0.104443,-9.93234,7.47665,0.0106185,1.03448,0.134779,0.139427,NONE,0,0,0,0,0,0,0
0.109367,-9.93234,7.47665,0.0106185,1.03448,0.134779,0.139427,NONE,0,0,0,0,0,0,0
0.114945,-9.92168,7.47701,0.0119711,1.0994,0.148852,0.163648,NONE,0,0,0,0,0,0,0
0.118319,-9.92168,7.47701,0.0119711,1.0994,0.148852,0.163648,NONE,0,0,0,0,0,0,0
0.124283,-9.91039,7.4774,0.0135354,1.16077,0.150606,0.174819,NONE,0,0,0,0,0,0,0
0.129231,-9.91039,7.4774,0.0135354,1.16077,0.150606,0.174819,NONE,0,0,0,0,0,0,0
0.133695,-9.89849,7.47782,0.0150409,1.21944,0.163762,0.199697,NONE,0,0,0,0,0,0,0
0.136873,-9.89849,7.47782,0.0150409,1.21944,0.163762,0.199697,NONE,0,0,0,0,0,0,0
0.140431,-9.89849,7.47782,0.0150409,1.21944,0.163762,0.199697,NONE,0,0,0,0,0,0,0
0.146501,-9.88603,7.47829,0.0167552,1.27519,0.165467,0.211001,NONE,0,0,0,0,0,0,0
0.151006,-9.88603,7.47829,0.0167552,1.27519,0.165467,0.211001,NONE,0,0,0,0,0,0,0
0.154764,-9.87302,7.47878,0.0184034,1.32853,0.17768,0.236052,NONE,0,0,0,0,0,0,0
0.158328,-9.87302,7.47878,0.0184034,1.32853,0.17768,0.236052,NONE,0,0,0,0,0,0,0
0.162636,-9.85949,7.47933,0.0202564,1.37987,0.17914,0.247189,NONE,0,0,0,0,0,0,0
0.165504,-9.85949,7.47933,0.0202564,1.37987,0.17914,0.247189,NONE,0,0,0,0,0,0,0
0.168491,-9.85949,7.47933,0.0202564,1.37987,0.17914,0.247189,NONE,0,0,0,0,0,0,0
0.172802,-9.84546,7.4799,0.0220363,1.42822,0.190586,0.272197,NONE,0,0,0,0,0,0,0
0.176221,-9.84546,7.4799,0.0220363,1.42822,0.190586,0.272197,NONE,0,0,0,0,0,0,0
0.182063,-9.84546,7.4799,0.0220363,1.42822,0.190586,0.272197,NONE,0,0,0,0,0,0,0
0.184412,-9.83096,7.48053,0.0240184,1.47459,0.191751,0.282754,NONE,0,0,0,0,0,0,0
0.188186,-9.83096,7.48053,0.0240184,1.47459,0.191751,0.282754,NONE,0,0,0,0,0,0,0
