t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
6.5904e-05,-9.99913,7.475,0,0.121272,0,0,NONE,0,0,0,0,0,0,0
0.00392277,-9.99913,7.475,0,0.121272,0,0,NONE,0,0,0,0,0,0,0
0.00738688,-9.99913,7.475,0,0.121272,0,0,NONE,0,0,0,0,0,0,0
0.0112772,-9.99744,7.475,8.95001e-05,0.216372,0.0209759,0.0045386,NONE,0,0,0,0,0,0,0
0.015209,-9.99744,7.475,8.95001e-05,0.216372,0.0209759,0.0045386,NONE,0,0,0,0,0,0,0
0.019964,-9.9948,7.475,0.00048118,0.311472,0.0604526,0.0188293,NONE,0,0,0,0,0,0,0
0.0232413,-9.9948,7.475,0.00048118,0.311472,0.0604526,0.0188293,NONE,0,0,0,0,0,0,0
0.0272489,-9.9948,7.475,0.00048118,0.311472,0.0604526,0.0188293,NONE,0,0,0,0,0,0,0
0.0312845,-9.99121,7.475,0.00136067,0.406572,0.118568,0.0482065,NONE,0,0,0,0,0,0,0
0.0352902,-9.99121,7.475,0.00136067,0.406572,0.118568,0.0482065,NONE,0,0,0,0,0,0,0
0.0400509,-9.98667,7.47501,0.00245562,0.501672,0.0830698,0.0416737,NONE,0,0,0,0,0,0,0
0.043156,-9.98667,7.47501,0.00245562,0.501672,0.0830698,0.0416737,NONE,0,0,0,0,0,0,0
0.0473694,-9.98667,7.47501,0.00245562,0.501672,0.0830698,0.0416737,NONE,0,0,0,0,0,0,0
0.0512372,-9.98118,7.47512,0.00317178,0.596772,0.127684,0.076198,NONE,0,0,0,0,0,0,0
0.0553044,-9.98118,7.47512,0.00317178,0.596772,0.127684,0.076198,NONE,0,0,0,0,0,0,0
0.0603684,-9.97474,7.47532,0.00442426,0.691872,0.134406,0.092992,NONE,0,0,0,0,0,0,0
0.0631954,-9.97474,7.47532,0.00442426,0.691872,0.134406,0.092992,NONE,0,0,0,0,0,0,0
0.0682899,-9.97474,7.47532,0.00442426,0.691872,0.134406,0.092992,NONE,0,0,0,0,0,0,0
0.071567,-9.96735,7.47557,0.00568102,0.786972,0.117021,0.0920921,NONE,0,0,0,0,0,0,0
0.075282,-9.96735,7.47557,0.00568102,0.786972,0.117021,0.0920921,NONE,0,0,0,0,0,0,0
0.0800288,-9.95901,7.47584,0.00683311,0.882072,0.127198,0.112198,NONE,0,0,0,0,0,0,0
0.0842087,-9.95901,7.47584,0.00683311,0.882072,0.127198,0.112198,NONE,0,0,0,0,0,0,0
0.0873377,-9.95901,7.47584,0.00683311,0.882072,0.127198,0.112198,NONE,0,0,0,0,0,0,0
0.0912242,-9.94974,7.47613,0.00816573,0.972875,0.128407,0.124924,NONE,0,0,0,0,0,0,0
0.0954167,-9.94974,7.47613,0.00816573,0.972875,0.128407,0.124924,NONE,0,0,0,0,0,0,0
0.10004,-9.93956,7.47646,0.00946471,1.06349,0.14266,0.151717,NONE,0,0,0,0,0,0,0
0.103334,-9.93956,7.47646,0.00946471,1.06349,0.14266,0.151717,NONE,0,0,0,0,0,0,0
0.10722,-9.93956,7.47646,0.00946471,1.06349,0.14266,0.151717,NONE,0,0,0,0,0,0,0
0.111243,-9.9285,7.47682,0.0109692,1.15003,0.146886,0.168923,NONE,0,0,0,0,0,0,0
0.115238,-9.9285,7.47682,0.0109692,1.15003,0.146886,0.168923,NONE,0,0,0,0,0,0,0
0.119974,-9.9166,7.47721,0.0124512,1.2326,0.160871,0.19829,NONE,0,0,0,0,0,0,0
0.123259,-9.9166,7.47721,0.0124512,1.2326,0.160871,0.19829,NONE,0,0,0,0,0,0,0
0.127373,-9.9166,7.47721,0.0124512,1.2326,0.160871,0.19829,NONE,0,0,0,0,0,0,0
0.131224,-9.90389,7.47766,0.0141419,1.31103,0.165465,0.21693,NONE,0,0,0,0,0,0,0
0.135241,-9.90389,7.47766,0.0141419,1.31103,0.165465,0.21693,NONE,0,0,0,0,0,0,0
0.141914,-9.8904,7.47813,0.0158036,1.38689,0.178531,0.247603,NONE,0,0,0,0,0,0,0
0.145668,-9.8904,7.47813,0.0158036,1.38689,0.178531,0.247603,NONE,0,0,0,0,0,0,0
0.149477,-9.8904,7.47813,0.0158036,1.38689,0.178531,0.247603,NONE,0,0,0,0,0,0,0
0.155039,-9.87619,7.47866,0.0176727,1.45747,0.182997,0.266714,NONE,0,0,0,0,0,0,0
0.161814,-9.86129,7.47923,0.0195036,1.5247,0.195315,0.297796,NONE,0,0,0,0,0,0,0
0.165716,-9.86129,7.47923,0.0195036,1.5247,0.195315,0.297796,NONE,0,0,0,0,0,0,0
0.169184,-9.86129,7.47923,0.0195036,1.5247,0.195315,0.297796,NONE,0,0,0,0,0,0,0
0.171768,-9.84572,7.47985,0.0215362,1.59277,0.198963,0.316902,NONE,0,0,0,0,0,0,0
0.175292,-9.84572,7.47985,0.0215362,1.59277,0.198963,0.316902,NONE,0,0,0,0,0,0,0
0.179867,-9.82948,7.48052,0.0235214,1.6565,0.210423,0.348565,NONE,0,0,0,0,0,0,0
0.183141,-9.82948,7.48052,0.0235214,1.6565,0.210423,0.348565,NONE,0,0,0,0,0,0,0
0.187296,-9.82948,7.48052,0.0235214,1.6565,0.210423,0.348565,NONE,0,0,0,0,0,0,0
0.19126,-9.81262,7.48125,0.0257053,1.7202,0.213821,0.367815,NONE,0,0,0,0,0,0,0
0.195358,-9.81262,7.48125,0.0257053,1.7202,0.213821,0.367815,NONE,0,0,0,0,0,0,0
0.20023,-9.79513,7.48203,0.0278338,1.78171,0.22438,0.399781,NONE,0,0,0,0,0,0,0
0.203151,-9.79513,7.48203,0.0278338,1.78171,0.22438,0.399781,NONE,0,0,0,0,0,0,0
0.207304,-9.79513,7.48203,0.0278338,1.78171,0.22438,0.399781,NONE,0,0,0,0,0,0,0
0.211244,-9.77703,7.48288,0.0301588,1.84075,0.227737,0.419206,NONE,0,0,0,0,0,0,0
0.215211,-9.77703,7.48288,0.0301588,1.84075,0.227737,0.419206,NONE,0,0,0,0,0,0,0
0.220665,-9.75836,7.48378,0.0324225,1.89821,0.237746,0.451292,NONE,0,0,0,0,0,0,0
0.223111,-9.75836,7.48378,0.0324225,1.89821,0.237746,0.451292,NONE,0,0,0,0,0,0,0
0.227248,-9.75836,7.48378,0.0324225,1.89821,0.237746,0.451292,NONE,0,0,0,0,0,0,0
0.231575,-9.73912,7.48475,0.0348798,1.95431,0.240682,0.470367,NONE,0,0,0,0,0,0,0
0.235369,-9.73912,7.48475,0.0348798,1.95431,0.240682,0.470367,NONE,0,0,0,0,0,0,0
0.240019,-9.71933,7.48578,0.0372693,2.00849,0.250168,0.502461,NONE,0,0,0,0,0,0,0
0.243296,-9.71933,7.48578,0.0372693,2.00849,0.250168,0.502461,NONE,0,0,0,0,0,0,0
0.247204,-9.71933,7.48578,0.0372693,2.00849,0.250168,0.502461,NONE,0,0,0,0,0,0,0
0.25121,-9.69901,7.48689,0.0398479,2.06337,0.252518,0.521037,NONE,0,0,0,0,0,0,0
0.255249,-9.69901,7.48689,0.0398479,2.06337,0.252518,0.521037,NONE,0,0,0,0,0,0,0
0.260004,-9.67815,7.48807,0.0423529,2.11533,0.261579,0.553328,NONE,0,0,0,0,0,0,0
0.263348,-9.67815,7.48807,0.0423529,2.11533,0.261579,0.553328,NONE,0,0,0,0,0,0,0
0.267247,-9.67815,7.48807,0.0423529,2.11533,0.261579,0.553328,NONE,0,0,0,0,0,0,0
0.271257,-9.65677,7.48933,0.0450459,2.16766,0.263783,0.571791,NONE,0,0,0,0,0,0,0
0.275472,-9.65677,7.48933,0.0450459,2.16766,0.263783,0.571791,NONE,0,0,0,0,0,0,0
0.279984,-9.63488,7.49066,0.0476608,2.21733,0.272457,0.604129,NONE,0,0,0,0,0,0,0
0.283146,-9.63488,7.49066,0.0476608,2.21733,0.272457,0.604129,NONE,0,0,0,0,0,0,0
0.287346,-9.63488,7.49066,0.0476608,2.21733,0.272457,0.604129,NONE,0,0,0,0,0,0,0
0.291339,-9.6125,7.49208,0.0504598,2.26898,0.274121,0.621975,NONE,0,0,0,0,0,0,0
0.295219,-9.6125,7.49208,0.0504598,2.26898,0.274121,0.621975,NONE,0,0,0,0,0,0,0
0.300022,-9.58961,7.49357,0.0531746,2.31853,0.282118,0.654097,NONE,0,0,0,0,0,0,0
0.303192,-9.58961,7.49357,0.0531746,2.31853,0.282118,0.654097,NONE,0,0,0,0,0,0,0
0.307388,-9.58961,7.49357,0.0531746,2.31853,0.282118,0.654097,NONE,0,0,0,0,0,0,0
0.311243,-9.56622,7.49516,0.0560686,2.36997,0.283502,0.671891,NONE,0,0,0,0,0,0,0
0.315304,-9.56622,7.49516,0.0560686,2.36997,0.283502,0.671891,NONE,0,0,0,0,0,0,0
0.319955,-9.54234,7.49684,0.0588778,2.41716,0.291718,0.705129,NONE,0,0,0,0,0,0,0
0.323234,-9.54234,7.49684,0.0588778,2.41716,0.291718,0.705129,NONE,0,0,0,0,0,0,0
0.327277,-9.54234,7.49684,0.0588778,2.41716,0.291718,0.705129,NONE,0,0,0,0,0,0,0
0.331211,-9.51798,7.49862,0.0618673,2.46732,0.292911,0.722705,NONE,0,0,0,0,0,0,0
0.335184,-9.51798,7.49862,0.0618673,2.46732,0.292911,0.722705,NONE,0,0,0,0,0,0,0
0.33994,-9.49312,7.50047,0.0646436,2.51901,0.264549,0.6664,NONE,0,0,0,0,0,0,0
0.343311,-9.49312,7.50047,0.0646436,2.51901,0.264549,0.6664,NONE,0,0,0,0,0,0,0
0.347265,-9.49312,7.50047,0.0646436,2.51901,0.264549,0.6664,NONE,0,0,0,0,0,0,0
0.351493,-9.46776,7.50239,0.0670748,2.5686,0.211903,0.544294,NONE,0,0,0,0,0,0,0
0.355246,-9.46776,7.50239,0.0670748,2.5686,0.211903,0.544294,NONE,0,0,0,0,0,0,0
0.360104,-9.44189,7.50435,0.0689633,2.61883,0.18135,0.474924,NONE,0,0,0,0,0,0,0
0.363309,-9.44189,7.50435,0.0689633,2.61883,0.18135,0.474924,NONE,0,0,0,0,0,0,0
0.367285,-9.44189,7.50435,0.0689633,2.61883,0.18135,0.474924,NONE,0,0,0,0,0,0,0
0.371225,-9.41554,7.50636,0.0707131,2.66783,0.156763,0.418216,NONE,0,0,0,0,0,0,0
0.375178,-9.41554,7.50636,0.0707131,2.66783,0.156763,0.418216,NONE,0,0,0,0,0,0,0
0.379978,-9.38869,7.50842,0.0721478,2.71674,0.144529,0.392648,NONE,0,0,0,0,0,0,0
0.383253,-9.38869,7.50842,0.0721478,2.71674,0.144529,0.392648,NONE,0,0,0,0,0,0,0
0.387299,-9.38869,7.50842,0.0721478,2.71674,0.144529,0.392648,NONE,0,0,0,0,0,0,0
0.391274,-9.36137,7.51054,0.0735962,2.76396,0.13232,0.365728,NONE,0,0,0,0,0,0,0
0.395323,-9.36137,7.51054,0.0735962,2.76396,0.13232,0.365728,NONE,0,0,0,0,0,0,0
0.39997,-9.33357,7.51272,0.0748289,2.81415,0.127953,0.360079,NONE,0,0,0,0,0,0,0
0.403238,-9.33357,7.51272,0.0748289,2.81415,0.127953,0.360079,NONE,0,0,0,0,0,0,0
0.407468,-9.33357,7.51272,0.0748289,2.81415,0.127953,0.360079,NONE,0,0,0,0,0,0,0
0.411267,-9.30527,7.51496,0.0761411,2.86212,0.12138,0.347403,NONE,0,0,0,0,0,0,0
0.415639,-9.30527,7.51496,0.0761411,2.86212,0.12138,0.347403,NONE,0,0,0,0,0,0,0
0.420055,-9.2765,7.51726,0.0772848,2.91122,0.120905,0.35198,NONE,0,0,0,0,0,0,0
0.423053,-9.2765,7.51726,0.0772848,2.91122,0.120905,0.35198,NONE,0,0,0,0,0,0,0
0.427172,-9.2765,7.51726,0.0772848,2.91122,0.120905,0.35198,NONE,0,0,0,0,0,0,0
0.43131,-9.24725,7.51964,0.0785425,2.95751,0.117221,0.346683,NONE,0,0,0,0,0,0,0
0.435289,-9.24725,7.51964,0.0785425,2.95751,0.117221,0.346683,NONE,0,0,0,0,0,0,0
0.440068,-9.21756,7.52206,0.0796556,3.00135,0.119182,0.357706,NONE,0,0,0,0,0,0,0
0.443305,-9.21756,7.52206,0.0796556,3.00135,0.119182,0.357706,NONE,0,0,0,0,0,0,0
0.447459,-9.21756,7.52206,0.0796556,3.00135,0.119182,0.357706,NONE,0,0,0,0,0,0,0
0.45126,-9.18741,7.52457,0.0809008,3.0481,0.116439,0.354916,NONE,0,0,0,0,0,0,0
0.45531,-9.18741,7.52457,0.0809008,3.0481,0.116439,0.354916,NONE,0,0,0,0,0,0,0
0.4603,-9.15681,7.52713,0.0820091,3.09283,0.118901,0.367741,NONE,0,0,0,0,0,0,0
0.463525,-9.15681,7.52713,0.0820091,3.09283,0.118901,0.367741,NONE,0,0,0,0,0,0,0
0.467359,-9.15681,7.52713,0.0820091,3.09283,0.118901,0.367741,NONE,0,0,0,0,0,0,0
0.471335,-9.12579,7.52976,0.0832598,3.13502,0.117391,0.368024,NONE,0,0,0,0,0,0,0
0.475312,-9.12579,7.52976,0.0832598,3.13502,0.117391,0.368024,NONE,0,0,0,0,0,0,0
0.480014,-9.09435,7.53246,0.08438,3.17615,0.120558,0.382909,NONE,0,0,0,0,0,0,0
0.483285,-9.09435,7.53246,0.08438,3.17615,0.120558,0.382909,NONE,0,0,0,0,0,0,0
