t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,collision
9.2825e-05,-75.7538,52.8966,-1.48757,0.118557,0,0,NONE,999.9,0,0
0.00316747,-75.7538,52.8966,-1.48757,0.118557,0,0,NONE,999.9,0,0
0.00773469,-75.7538,52.8966,-1.48757,0.118557,0,0,NONE,999.9,0,0
0.0110957,-75.7537,52.8949,-1.48766,0.213657,-0.0207128,-0.00442543,NONE,999.9,0,0
0.0149134,-75.7537,52.8949,-1.48766,0.213657,-0.0207128,-0.00442543,NONE,999.9,0,0
0.0201786,-75.7535,52.8923,-1.48805,0.308757,-0.0599257,-0.0185025,NONE,999.9,0,0
0.0231859,-75.7535,52.8923,-1.48805,0.308757,-0.0599257,-0.0185025,NONE,999.9,0,0
0.0270937,-75.7535,52.8923,-1.48805,0.308757,-0.0599257,-0.0185025,NONE,999.9,0,0
0.0310179,-75.7532,52.8888,-1.48856,0.403857,-0.0391515,-0.0158116,NONE,999.9,0,0
0.0355008,-75.7532,52.8888,-1.48856,0.403857,-0.0391515,-0.0158116,NONE,999.9,0,0
0.0398314,-75.7528,52.8843,-1.48922,0.498957,-0.0968411,-0.0483195,NONE,999.9,0,0
0.0428894,-75.7528,52.8843,-1.48922,0.498957,-0.0968411,-0.0483195,NONE,999.9,0,0
0.0470437,-75.7528,52.8843,-1.48922,0.498957,-0.0968411,-0.0483195,NONE,999.9,0,0
0.0512572,-75.7524,52.8788,-1.49002,0.592517,-0.0431718,-0.02558,NONE,999.9,0,0
0.0551034,-75.7524,52.8788,-1.49002,0.592517,-0.0431718,-0.02558,NONE,999.9,0,0
0.0599396,-75.752,52.8725,-1.49058,0.681627,-0.0776984,-0.0529614,NONE,999.9,0,0
0.0629613,-75.752,52.8725,-1.49058,0.681627,-0.0776984,-0.0529614,NONE,999.9,0,0
0.0673131,-75.752,52.8725,-1.49058,0.681627,-0.0776984,-0.0529614,NONE,999.9,0,0
0.0711215,-75.7515,52.8652,-1.49147,0.776727,-0.0865343,-0.0672135,NONE,999.9,0,0
0.075113,-75.7515,52.8652,-1.49147,0.776727,-0.0865343,-0.0672135,NONE,999.9,0,0
0.07976,-75.7511,52.857,-1.49239,0.871827,-0.108302,-0.0944203,NONE,999.9,0,0
0.0831362,-75.7511,52.857,-1.49239,0.871827,-0.108302,-0.0944203,NONE,999.9,0,0
0.0871398,-75.7511,52.857,-1.49239,0.871827,-0.108302,-0.0944203,NONE,999.9,0,0
0.0909897,-75.7505,52.8478,-1.49356,0.966927,-0.115476,-0.111657,NONE,999.9,0,0
0.095052,-75.7505,52.8478,-1.49356,0.966927,-0.115476,-0.111657,NONE,999.9,0,0
0.0999887,-75.7499,52.8377,-1.4946,1.06203,-0.0866378,-0.0920117,NONE,999.9,0,0
0.103154,-75.7499,52.8377,-1.4946,1.06203,-0.0866378,-0.0920117,NONE,999.9,0,0
0.107181,-75.7499,52.8377,-1.4946,1.06203,-0.0866378,-0.0920117,NONE,999.9,0,0
0.1111,-75.7492,52.8266,-1.49522,1.15364,-0.0328941,-0.0379482,NONE,999.9,0,0
0.115294,-75.7492,52.8266,-1.49522,1.15364,-0.0328941,-0.0379482,NONE,999.9,0,0
0.1203,-75.7484,52.8147,-1.49519,1.24091,0.0416865,0.051729,NONE,999.9,0,0
0.123248,-75.7484,52.8147,-1.49519,1.24091,0.0416865,0.051729,NONE,999.9,0,0
0.127098,-75.7484,52.8147,-1.49519,1.24091,0.0416865,0.051729,NONE,999.9,0,0
0.131325,-75.7474,52.8019,-1.49449,1.32402,0.0820649,0.108655,NONE,999.9,0,0
