t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,collision
9.45e-05,42.4465,30.943,2.60419,3.78739,0.508477,1.9258,NONE,999.9,0,0
0.0044683,42.4141,30.9627,2.60928,3.79507,0.494181,1.87545,NONE,999.9,0,0
0.00773257,42.4141,30.9627,2.60928,3.79507,0.494181,1.87545,NONE,999.9,0,0
0.012203,42.4141,30.9627,2.60928,3.79507,0.494181,1.87545,NONE,999.9,0,0
0.0159964,42.3815,30.9823,2.61411,3.80238,0.48831,1.85674,NONE,999.9,0,0
0.0194765,42.3815,30.9823,2.61411,3.80238,0.48831,1.85674,NONE,999.9,0,0
0.0242896,42.3488,31.0017,2.61903,3.80934,0.480533,1.83052,NONE,999.9,0,0
0.0276891,42.3488,31.0017,2.61903,3.80934,0.480533,1.83052,NONE,999.9,0,0
0.0321729,42.3488,31.0017,2.61903,3.80934,0.480533,1.83052,NONE,999.9,0,0
0.035918,42.3159,31.021,2.62375,3.81598,0.479467,1.82964,NONE,999.9,0,0
0.0410888,42.3159,31.021,2.62375,3.81598,0.479467,1.82964,NONE,999.9,0,0
0.0443139,42.2829,31.0402,2.6286,3.82229,0.4752,1.81636,NONE,999.9,0,0
0.0478074,42.2829,31.0402,2.6286,3.82229,0.4752,1.81636,NONE,999.9,0,0
0.0514413,42.2829,31.0402,2.6286,3.82229,0.4752,1.81636,NONE,999.9,0,0
0.0555552,42.2498,31.0593,2.63328,3.82831,0.476676,1.82486,NONE,999.9,0,0
0.0612982,42.2498,31.0593,2.63328,3.82831,0.476676,1.82486,NONE,999.9,0,0
0.0651063,42.2165,31.0782,2.63812,3.83404,0.474223,1.81819,NONE,999.9,0,0
0.0674883,42.2165,31.0782,2.63812,3.83404,0.474223,1.81819,NONE,999.9,0,0
0.0714714,42.2165,31.0782,2.63812,3.83404,0.474223,1.81819,NONE,999.9,0,0
0.0766911,42.183,31.097,2.64279,3.8395,0.476975,1.83134,NONE,999.9,0,0
0.0797064,42.183,31.097,2.64279,3.8395,0.476975,1.83134,NONE,999.9,0,0
0.0851465,42.1494,31.1157,2.64763,3.8447,0.475397,1.82776,NONE,999.9,0,0
0.0876404,42.1494,31.1157,2.64763,3.8447,0.475397,1.82776,NONE,999.9,0,0
0.0919026,42.1494,31.1157,2.64763,3.8447,0.475397,1.82776,NONE,999.9,0,0
0.0959652,42.1157,31.1342,2.65232,3.84965,0.478732,1.84295,NONE,999.9,0,0
0.100145,42.1157,31.1342,2.65232,3.84965,0.478732,1.84295,NONE,999.9,0,0
0.104839,42.0819,31.1526,2.65719,3.85437,0.477523,1.84055,NONE,999.9,0,0
0.10762,42.0819,31.1526,2.65719,3.85437,0.477523,1.84055,NONE,999.9,0,0
0.112229,42.0819,31.1526,2.65719,3.85437,0.477523,1.84055,NONE,999.9,0,0
0.115627,42.0479,31.1709,2.6619,3.85886,0.481075,1.8564,NONE,999.9,0,0
0.11974,42.0479,31.1709,2.6619,3.85886,0.481075,1.8564,NONE,999.9,0,0
0.124672,42.0138,31.189,2.66678,3.86314,0.479971,1.85419,NONE,999.9,0,0
0.12787,42.0138,31.189,2.66678,3.86314,0.479971,1.85419,NONE,999.9,0,0
0.131578,42.0138,31.189,2.66678,3.86314,0.479971,1.85419,NONE,999.9,0,0
0.136362,41.9796,31.2069,2.67121,3.86721,0.392472,1.51777,NONE,999.9,0,0
0.139682,41.9796,31.2069,2.67121,3.86721,0.392472,1.51777,NONE,999.9,0,0
0.146058,41.9453,31.2249,2.67473,3.87109,0.331014,1.28138,NONE,999.9,0,0
0.148458,41.9453,31.2249,2.67473,3.87109,0.331014,1.28138,NONE,999.9,0,0
0.152128,41.9453,31.2249,2.67473,3.87109,0.331014,1.28138,NONE,999.9,0,0
0.15595,41.9109,31.2427,2.67786,3.87479,0.281112,1.08925,NONE,999.9,0,0
0.16039,41.9109,31.2427,2.67786,3.87479,0.281112,1.08925,NONE,999.9,0,0
0.165184,41.8764,31.2604,2.68041,3.87831,0.248224,0.962689,NONE,999.9,0,0
0.16841,41.8764,31.2604,2.68041,3.87831,0.248224,0.962689,NONE,999.9,0,0
0.172318,41.8764,31.2604,2.68041,3.87831,0.248224,0.962689,NONE,999.9,0,0
0.176085,41.8419,31.2781,2.68283,3.88166,0.219964,0.853825,NONE,999.9,0,0
0.179716,41.8419,31.2781,2.68283,3.88166,0.219964,0.853825,NONE,999.9,0,0
0.185481,41.8073,31.2957,2.68486,3.88486,0.203413,0.790231,NONE,999.9,0,0
0.187462,41.8073,31.2957,2.68486,3.88486,0.203413,0.790231,NONE,999.9,0,0
0.191866,41.8073,31.2957,2.68486,3.88486,0.203413,0.790231,NONE,999.9,0,0
0.195973,41.7726,31.3132,2.68689,3.8879,0.187436,0.728732,NONE,999.9,0,0
0.199445,41.7726,31.3132,2.68689,3.8879,0.187436,0.728732,NONE,999.9,0,0
0.204351,41.7378,31.3306,2.68865,3.8908,0.18008,0.700656,NONE,999.9,0,0
0.207994,41.7378,31.3306,2.68865,3.8908,0.18008,0.700656,NONE,999.9,0,0
0.211618,41.7378,31.3306,2.68865,3.8908,0.18008,0.700656,NONE,999.9,0,0
0.216215,41.7029,31.3479,2.69079,3.89355,0.262607,1.02247,NONE,999.9,0,0
0.219965,41.7029,31.3479,2.69079,3.89355,0.262607,1.02247,NONE,999.9,0,0
0.224315,41.668,31.3651,2.69381,3.89618,0.321148,1.25125,NONE,999.9,0,0
0.227632,41.668,31.3651,2.69381,3.89618,0.321148,1.25125,NONE,999.9,0,0
0.23145,41.668,31.3651,2.69381,3.89618,0.321148,1.25125,NONE,999.9,0,0
0.235645,41.6329,31.3821,2.69719,3.89869,0.369598,1.44095,NONE,999.9,0,0
0.239814,41.6329,31.3821,2.69719,3.89869,0.369598,1.44095,NONE,999.9,0,0
0.246581,41.5978,31.399,2.70114,3.90107,0.402051,1.56843,NONE,999.9,0,0
0.250419,41.5978,31.399,2.70114,3.90107,0.402051,1.56843,NONE,999.9,0,0
0.253585,41.5978,31.399,2.70114,3.90107,0.402051,1.56843,NONE,999.9,0,0
0.257195,41.5625,31.4158,2.70523,3.90334,0.430575,1.68068,NONE,999.9,0,0
0.259511,41.5625,31.4158,2.70523,3.90334,0.430575,1.68068,NONE,999.9,0,0
0.266442,41.5272,31.4325,2.70971,3.9055,0.447844,1.74906,NONE,999.9,0,0
0.269536,41.5272,31.4325,2.70971,3.9055,0.447844,1.74906,NONE,999.9,0,0
0.272371,41.5272,31.4325,2.70971,3.9055,0.447844,1.74906,NONE,999.9,0,0
0.2768,41.4918,31.449,2.71417,3.91284,0.46042,1.80155,NONE,999.9,0,0
0.280357,41.4918,31.449,2.71417,3.91284,0.46042,1.80155,NONE,999.9,0,0
0.292145,41.4562,31.4654,2.71889,3.91982,0.466093,1.827,NONE,999.9,0,0
0.295586,41.4205,31.4817,2.72351,3.92647,0.474521,1.8632,NONE,999.9,0,0
0.297534,41.4205,31.4817,2.72351,3.92647,0.474521,1.8632,NONE,999.9,0,0
0.299417,41.4205,31.4817,2.72351,3.92647,0.474521,1.8632,NONE,999.9,0,0
0.304459,41.3847,31.4978,2.72835,3.93281,0.477052,1.87616,NONE,999.9,0,0
0.307982,41.3847,31.4978,2.72835,3.93281,0.477052,1.87616,NONE,999.9,0,0
0.311719,41.3847,31.4978,2.72835,3.93281,0.477052,1.87616,NONE,999.9,0,0
0.316122,41.3488,31.5138,2.73307,3.93884,0.483112,1.9029,NONE,999.9,0,0
0.319509,41.3488,31.5138,2.73307,3.93884,0.483112,1.9029,NONE,999.9,0,0
0.324417,41.3127,31.5297,2.73799,3.94459,0.483858,1.90862,NONE,999.9,0,0
0.32756,41.3127,31.5297,2.73799,3.94459,0.483858,1.90862,NONE,999.9,0,0
0.33202,41.3127,31.5297,2.73799,3.94459,0.483858,1.90862,NONE,999.9,0,0
0.335641,41.2765,31.5455,2.74275,3.95327,0.48566,1.91994,NONE,999.9,0,0
0.339345,41.2765,31.5455,2.74275,3.95327,0.48566,1.91994,NONE,999.9,0,0
0.344909,41.2401,31.5611,2.74768,3.96154,0.483505,1.91542,NONE,999.9,0,0
0.348591,41.2401,31.5611,2.74768,3.96154,0.483505,1.91542,NONE,999.9,0,0
0.351544,41.2401,31.5611,2.74768,3.96154,0.483505,1.91542,NONE,999.9,0,0
0.355607,41.2036,31.5766,2.75245,3.96941,0.486192,1.92989,NONE,999.9,0,0
0.359424,41.2036,31.5766,2.75245,3.96941,0.486192,1.92989,NONE,999.9,0,0
0.364568,41.167,31.5919,2.75739,3.97691,0.484692,1.92758,NONE,999.9,0,0
0.367458,41.167,31.5919,2.75739,3.97691,0.484692,1.92758,NONE,999.9,0,0
0.371539,41.167,31.5919,2.75739,3.97691,0.484692,1.92758,NONE,999.9,0,0
0.376214,41.1302,31.6072,2.76217,3.98405,0.487859,1.94366,NONE,999.9,0,0
0.380071,41.1302,31.6072,2.76217,3.98405,0.487859,1.94366,NONE,999.9,0,0
0.385973,41.0933,31.6222,2.76712,3.99086,0.4867,1.94235,NONE,999.9,0,0
0.388438,41.0933,31.6222,2.76712,3.99086,0.4867,1.94235,NONE,999.9,0,0
0.391576,41.0933,31.6222,2.76712,3.99086,0.4867,1.94235,NONE,999.9,0,0
0.395703,41.0562,31.6372,2.77192,3.99734,0.490104,1.95911,NONE,999.9,0,0
0.399835,41.0562,31.6372,2.77192,3.99734,0.490104,1.95911,NONE,999.9,0,0
0.404269,41.019,31.6519,2.7769,4.00351,0.489097,1.9581,NONE,999.9,0,0
0.40847,41.019,31.6519,2.7769,4.00351,0.489097,1.9581,NONE,999.9,0,0
0.411882,41.019,31.6519,2.7769,4.00351,0.489097,1.9581,NONE,999.9,0,0
0.417218,40.9817,31.6666,2.78173,4.00939,0.492593,1.97499,NONE,999.9,0,0
0.419443,40.9817,31.6666,2.78173,4.00939,0.492593,1.97499,NONE,999.9,0,0
0.424867,40.9443,31.681,2.78673,4.01498,0.491627,1.97387,NONE,999.9,0,0
0.427355,40.9443,31.681,2.78673,4.01498,0.491627,1.97387,NONE,999.9,0,0
0.431687,40.9443,31.681,2.78673,4.01498,0.491627,1.97387,NONE,999.9,0,0
0.43556,40.9068,31.6953,2.79158,4.02032,0.49513,1.99058,NONE,999.9,0,0
0.439739,40.9068,31.6953,2.79158,4.02032,0.49513,1.99058,NONE,999.9,0,0
0.445209,40.8691,31.7095,2.79661,4.02539,0.494142,1.98912,NONE,999.9,0,0
0.447893,40.8691,31.7095,2.79661,4.02539,0.494142,1.98912,NONE,999.9,0,0
0.451968,40.8691,31.7095,2.79661,4.02539,0.494142,1.98912,NONE,999.9,0,0
0.45571,40.8314,31.7235,2.80149,4.03023,0.497606,2.00547,NONE,999.9,0,0
