t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,collision
8.4273e-05,44.4994,29.3505,2.41495,0.11706,0,0,NONE,999.9,0,0
0.00396935,44.4994,29.3505,2.41495,0.11706,0,0,NONE,999.9,0,0
0.00806398,44.4994,29.3505,2.41495,0.11706,0,0,NONE,999.9,0,0
0.0121058,44.4982,29.3516,2.41504,0.21216,0.0205676,0.00436362,NONE,999.9,0,0
0.0156352,44.4982,29.3516,2.41504,0.21216,0.0205676,0.00436362,NONE,999.9,0,0
0.0207531,44.4962,29.3534,2.41516,0.30726,2.14898e-10,6.60297e-11,NONE,999.9,0,0
0.0233361,44.4962,29.3534,2.41516,0.30726,2.14898e-10,6.60297e-11,NONE,999.9,0,0
0.0273207,44.4962,29.3534,2.41516,0.30726,2.14898e-10,6.60297e-11,NONE,999.9,0,0
0.0314748,44.4936,29.3557,2.41534,0.40236,0.0390064,0.0156946,NONE,999.9,0,0
0.0355713,44.4936,29.3557,2.41534,0.40236,0.0390064,0.0156946,NONE,999.9,0,0
0.0407801,44.4902,29.3587,2.41555,0.49746,4.29797e-10,2.13807e-10,NONE,999.9,0,0
0.04341,44.4902,29.3587,2.41555,0.49746,4.29797e-10,2.13807e-10,NONE,999.9,0,0
0.0472978,44.4902,29.3587,2.41555,0.49746,4.29797e-10,2.13807e-10,NONE,999.9,0,0
0.0514893,44.4861,29.3623,2.4157,0.59256,0.00885433,0.00524672,NONE,999.9,0,0
0.0559074,44.4861,29.3623,2.4157,0.59256,0.00885433,0.00524672,NONE,999.9,0,0
0.0622588,44.4813,29.3665,2.41594,0.68766,0.0145278,0.0099902,NONE,999.9,0,0
0.0645953,44.4813,29.3665,2.41594,0.68766,0.0145278,0.0099902,NONE,999.9,0,0
0.067528,44.4813,29.3665,2.41594,0.68766,0.0145278,0.0099902,NONE,999.9,0,0
0.0715915,44.4758,29.3714,2.41613,0.78276,0.0323713,0.025339,NONE,999.9,0,0
0.0755052,44.4758,29.3714,2.41613,0.78276,0.0323713,0.025339,NONE,999.9,0,0
0.0804986,44.4695,29.3768,2.41651,0.87786,0.0314168,0.0275795,NONE,999.9,0,0
0.083626,44.4695,29.3768,2.41651,0.87786,0.0314168,0.0275795,NONE,999.9,0,0
0.0876548,44.4695,29.3768,2.41651,0.87786,0.0314168,0.0275795,NONE,999.9,0,0
0.0914738,44.4626,29.3829,2.41683,0.969163,0.0424147,0.0411067,NONE,999.9,0,0
0.0957395,44.4626,29.3829,2.41683,0.969163,0.0424147,0.0411067,NONE,999.9,0,0
0.101077,44.455,29.3896,2.4173,1.05612,0.0409812,0.0432812,NONE,999.9,0,0
0.103446,44.455,29.3896,2.4173,1.05612,0.0409812,0.0432812,NONE,999.9,0,0
0.107764,44.455,29.3896,2.4173,1.05612,0.0409812,0.0432812,NONE,999.9,0,0
0.111465,44.4467,29.3968,2.4177,1.13895,0.0500696,0.0570269,NONE,999.9,0,0
0.115451,44.4467,29.3968,2.4177,1.13895,0.0500696,0.0570269,NONE,999.9,0,0
0.120138,44.4378,29.4045,2.41825,1.21784,0.048699,0.0593075,NONE,999.9,0,0
0.123653,44.4378,29.4045,2.41825,1.21784,0.048699,0.0593075,NONE,999.9,0,0
0.127622,44.4378,29.4045,2.41825,1.21784,0.048699,0.0593075,NONE,999.9,0,0
0.131499,44.4283,29.4128,2.41872,1.29298,0.0567333,0.0733548,NONE,999.9,0,0
0.135604,44.4283,29.4128,2.41872,1.29298,0.0567333,0.0733548,NONE,999.9,0,0
0.140487,44.4183,29.4215,2.41934,1.36454,0.0553517,0.0755296,NONE,999.9,0,0
0.143462,44.4183,29.4215,2.41934,1.36454,0.0553517,0.0755296,NONE,999.9,0,0
0.147668,44.4183,29.4215,2.41934,1.36454,0.0553517,0.0755296,NONE,999.9,0,0
0.151826,44.4077,29.4307,2.41987,1.4327,0.0626727,0.0897913,NONE,999.9,0,0
0.155329,44.4077,29.4307,2.41987,1.4327,0.0626727,0.0897913,NONE,999.9,0,0
0.160811,44.3967,29.4403,2.42055,1.49762,0.0612271,0.091695,NONE,999.9,0,0
0.163531,44.3967,29.4403,2.42055,1.49762,0.0612271,0.091695,NONE,999.9,0,0
0.167802,44.3967,29.4403,2.42055,1.49762,0.0612271,0.091695,NONE,999.9,0,0
0.171536,44.3851,29.4504,2.42114,1.58035,0.0669312,0.105774,NONE,999.9,0,0
0.175383,44.3851,29.4504,2.42114,1.58035,0.0669312,0.105774,NONE,999.9,0,0
0.180338,44.3728,29.461,2.42186,1.65914,0.0661964,0.109829,NONE,999.9,0,0
0.183421,44.3728,29.461,2.42186,1.65914,0.0661964,0.109829,NONE,999.9,0,0
0.187656,44.3728,29.461,2.42186,1.65914,0.0661964,0.109829,NONE,999.9,0,0
0.191463,44.36,29.4721,2.42249,1.73418,0.0722654,0.125321,NONE,999.9,0,0
0.195623,44.36,29.4721,2.42249,1.73418,0.0722654,0.125321,NONE,999.9,0,0
0.200626,44.3466,29.4836,2.42327,1.80566,0.0717236,0.129508,NONE,999.9,0,0
0.20354,44.3466,29.4836,2.42327,1.80566,0.0717236,0.129508,NONE,999.9,0,0
0.207806,44.3466,29.4836,2.42327,1.80566,0.0717236,0.129508,NONE,999.9,0,0
0.211528,44.3327,29.4957,2.42396,1.87374,0.0775869,0.145377,NONE,999.9,0,0
0.215341,44.3327,29.4957,2.42396,1.87374,0.0775869,0.145377,NONE,999.9,0,0
0.220497,44.3182,29.5081,2.42479,1.93858,0.0769629,0.149198,NONE,999.9,0,0
0.223251,44.3182,29.5081,2.42479,1.93858,0.0769629,0.149198,NONE,999.9,0,0
0.227832,44.3182,29.5081,2.42479,1.93858,0.0769629,0.149198,NONE,999.9,0,0
0.231735,44.3033,29.521,2.42553,2.00033,0.0825632,0.165154,NONE,999.9,0,0
0.235484,44.3033,29.521,2.42553,2.00033,0.0825632,0.165154,NONE,999.9,0,0
0.240273,44.2879,29.5342,2.42642,2.05915,0.0818086,0.168456,NONE,999.9,0,0
0.243564,44.2879,29.5342,2.42642,2.05915,0.0818086,0.168456,NONE,999.9,0,0
0.247819,44.2879,29.5342,2.42642,2.05915,0.0818086,0.168456,NONE,999.9,0,0
0.252147,44.2721,29.5478,2.4272,2.11518,0.0871667,0.184373,NONE,999.9,0,0
0.255421,44.2721,29.5478,2.4272,2.11518,0.0871667,0.184373,NONE,999.9,0,0
0.260903,44.2558,29.5617,2.42813,2.16854,0.0862784,0.187098,NONE,999.9,0,0
0.263873,44.2558,29.5617,2.42813,2.16854,0.0862784,0.187098,NONE,999.9,0,0
0.26756,44.2558,29.5617,2.42813,2.16854,0.0862784,0.187098,NONE,999.9,0,0
0.271424,44.2392,29.576,2.42895,2.21936,0.0914245,0.202904,NONE,999.9,0,0
