t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,collision
0.000133747,44.4994,29.3505,2.41499,0.116266,0,0,NONE,999.9,0,0
0.00325531,44.4994,29.3505,2.41499,0.116266,0,0,NONE,999.9,0,0
0.00804493,44.4982,29.3516,2.41508,0.211366,0.0204907,0.00433104,NONE,999.9,0,0
0.011248,44.4982,29.3516,2.41508,0.211366,0.0204907,0.00433104,NONE,999.9,0,0
0.0164112,44.4982,29.3516,2.41508,0.211366,0.0204907,0.00433104,NONE,999.9,0,0
0.0198241,44.4962,29.3533,2.4152,0.306466,2.14898e-10,6.58591e-11,NONE,999.9,0,0
0.0234877,44.4962,29.3533,2.4152,0.306466,2.14898e-10,6.58591e-11,NONE,999.9,0,0
0.0301624,44.4936,29.3557,2.41537,0.397725,0.0385571,0.0153351,NONE,999.9,0,0
0.0358044,44.4936,29.3557,2.41537,0.397725,0.0385571,0.0153351,NONE,999.9,0,0
0.0397224,44.4903,29.3586,2.41558,0.484645,4.16215e-10,2.01716e-10,NONE,999.9,0,0
0.0432972,44.4903,29.3586,2.41558,0.484645,4.16215e-10,2.01716e-10,NONE,999.9,0,0
0.048707,44.4864,29.3621,2.41574,0.567432,0.00996987,0.00565722,NONE,999.9,0,0
0.051156,44.4864,29.3621,2.41574,0.567432,0.00996987,0.00565722,NONE,999.9,0,0
0.0553662,44.4864,29.3621,2.41574,0.567432,0.00996987,0.00565722,NONE,999.9,0,0
0.0594032,44.4818,29.3661,2.41599,0.646282,0.0129632,0.00837786,NONE,999.9,0,0
0.0636481,44.4818,29.3661,2.41599,0.646282,0.0129632,0.00837786,NONE,999.9,0,0
0.0686578,44.4767,29.3706,2.41617,0.721383,0.0328857,0.0237232,NONE,999.9,0,0
0.0715675,44.4767,29.3706,2.41617,0.721383,0.0328857,0.0237232,NONE,999.9,0,0
0.0753096,44.4767,29.3706,2.41617,0.721383,0.0328857,0.0237232,NONE,999.9,0,0
0.0794356,44.471,29.3756,2.41655,0.792912,0.0286455,0.0227134,NONE,999.9,0,0
0.083691,44.471,29.3756,2.41655,0.792912,0.0286455,0.0227134,NONE,999.9,0,0
0.0883485,44.4647,29.3811,2.41684,0.877659,0.0405356,0.0355764,NONE,999.9,0,0
0.0919996,44.4647,29.3811,2.41684,0.877659,0.0405356,0.0355764,NONE,999.9,0,0
0.0956593,44.4647,29.3811,2.41684,0.877659,0.0405356,0.0355764,NONE,999.9,0,0
0.0995162,44.4578,29.3871,2.41729,0.958375,0.0375545,0.0359913,NONE,999.9,0,0
0.103579,44.4578,29.3871,2.41729,0.958375,0.0375545,0.0359913,NONE,999.9,0,0
0.108728,44.4502,29.3937,2.41765,1.03525,0.0473464,0.0490156,NONE,999.9,0,0
0.111174,44.4502,29.3937,2.41765,1.03525,0.0473464,0.0490156,NONE,999.9,0,0
0.115284,44.4502,29.3937,2.41765,1.03525,0.0473464,0.0490156,NONE,999.9,0,0
0.119832,44.4422,29.4007,2.41818,1.10848,0.0448029,0.049663,NONE,999.9,0,0
0.124104,44.4422,29.4007,2.41818,1.10848,0.0448029,0.049663,NONE,999.9,0,0
0.129213,44.4335,29.4082,2.41861,1.17822,0.0534185,0.0629387,NONE,999.9,0,0
0.131823,44.4335,29.4082,2.41861,1.17822,0.0534185,0.0629387,NONE,999.9,0,0
0.135513,44.4335,29.4082,2.41861,1.17822,0.0534185,0.0629387,NONE,999.9,0,0
0.139332,44.4244,29.4161,2.41919,1.24464,0.0510883,0.0635867,NONE,999.9,0,0
0.143522,44.4244,29.4161,2.41919,1.24464,0.0510883,0.0635867,NONE,999.9,0,0
0.148899,44.4148,29.4245,2.41968,1.30791,0.0589159,0.0770567,NONE,999.9,0,0
0.151232,44.4148,29.4245,2.41968,1.30791,0.0589159,0.0770567,NONE,999.9,0,0
0.155595,44.4148,29.4245,2.41968,1.30791,0.0589159,0.0770567,NONE,999.9,0,0
0.159533,44.4047,29.4333,2.42032,1.36817,0.0566636,0.0775253,NONE,999.9,0,0
0.163409,44.4047,29.4333,2.42032,1.36817,0.0566636,0.0775253,NONE,999.9,0,0
0.16851,44.3941,29.4424,2.42086,1.42556,0.0639131,0.0911121,NONE,999.9,0,0
0.171809,44.3941,29.4424,2.42086,1.42556,0.0639131,0.0911121,NONE,999.9,0,0
0.175621,44.3941,29.4424,2.42086,1.42556,0.0639131,0.0911121,NONE,999.9,0,0
0.179422,44.3831,29.452,2.42155,1.48023,0.0616681,0.0912826,NONE,999.9,0,0
0.183664,44.3831,29.452,2.42155,1.48023,0.0616681,0.0912826,NONE,999.9,0,0
0.190171,44.3717,29.4618,2.42214,1.53229,0.068469,0.104914,NONE,999.9,0,0
0.196225,44.3717,29.4618,2.42214,1.53229,0.068469,0.104914,NONE,999.9,0,0
0.20025,44.3599,29.472,2.42288,1.58188,0.0661944,0.104712,NONE,999.9,0,0
0.203586,44.3599,29.472,2.42288,1.58188,0.0661944,0.104712,NONE,999.9,0,0
0.208159,44.3478,29.4825,2.4235,1.62911,0.0726335,0.118328,NONE,999.9,0,0
0.211587,44.3478,29.4825,2.4235,1.62911,0.0726335,0.118328,NONE,999.9,0,0
0.215501,44.3478,29.4825,2.4235,1.62911,0.0726335,0.118328,NONE,999.9,0,0
0.219809,44.3353,29.4933,2.42429,1.67409,0.0703101,0.117706,NONE,999.9,0,0
0.223428,44.3353,29.4933,2.42429,1.67409,0.0703101,0.117706,NONE,999.9,0,0
0.228089,44.3224,29.5043,2.42495,1.71694,0.0764494,0.131259,NONE,999.9,0,0
0.23125,44.3224,29.5043,2.42495,1.71694,0.0764494,0.131259,NONE,999.9,0,0
0.235365,44.3224,29.5043,2.42495,1.71694,0.0764494,0.131259,NONE,999.9,0,0
0.239227,44.3092,29.5157,2.42577,1.7719,0.0738392,0.130836,NONE,999.9,0,0
0.243181,44.3092,29.5157,2.42577,1.7719,0.0738392,0.130836,NONE,999.9,0,0
0.249667,44.2956,29.5274,2.42647,1.82425,0.0792023,0.144485,NONE,999.9,0,0
0.252557,44.2956,29.5274,2.42647,1.82425,0.0792023,0.144485,NONE,999.9,0,0
0.255581,44.2956,29.5274,2.42647,1.82425,0.0792023,0.144485,NONE,999.9,0,0
0.259324,44.2815,29.5395,2.42732,1.87411,0.077358,0.144977,NONE,999.9,0,0
0.263192,44.2815,29.5395,2.42732,1.87411,0.077358,0.144977,NONE,999.9,0,0
0.268208,44.2671,29.5518,2.42805,1.9216,0.0828819,0.159265,NONE,999.9,0,0
0.271083,44.2671,29.5518,2.42805,1.9216,0.0828819,0.159265,NONE,999.9,0,0
0.275179,44.2671,29.5518,2.42805,1.9216,0.0828819,0.159265,NONE,999.9,0,0
0.279397,44.2523,29.5644,2.42894,1.96683,0.0811504,0.159609,NONE,999.9,0,0
0.283441,44.2523,29.5644,2.42894,1.96683,0.0811504,0.159609,NONE,999.9,0,0
0.288937,44.2372,29.5774,2.42971,2.0099,0.086557,0.173971,NONE,999.9,0,0
0.291185,44.2372,29.5774,2.42971,2.0099,0.086557,0.173971,NONE,999.9,0,0
0.295263,44.2372,29.5774,2.42971,2.0099,0.086557,0.173971,NONE,999.9,0,0
0.299707,44.2218,29.5905,2.43064,2.05094,0.0847851,0.173889,NONE,999.9,0,0
0.303781,44.2218,29.5905,2.43064,2.05094,0.0847851,0.173889,NONE,999.9,0,0
0.308253,44.206,29.604,2.43144,2.09002,0.0900253,0.188154,NONE,999.9,0,0
0.311192,44.206,29.604,2.43144,2.09002,0.0900253,0.188154,NONE,999.9,0,0
0.315617,44.206,29.604,2.43144,2.09002,0.0900253,0.188154,NONE,999.9,0,0
0.319221,44.19,29.6176,2.4324,2.12724,0.0881766,0.187572,NONE,999.9,0,0
0.323262,44.19,29.6176,2.4324,2.12724,0.0881766,0.187572,NONE,999.9,0,0
0.327938,44.1736,29.6315,2.43324,2.16269,0.093253,0.201677,NONE,999.9,0,0
0.331099,44.1736,29.6315,2.43324,2.16269,0.093253,0.201677,NONE,999.9,0,0
0.335309,44.1736,29.6315,2.43324,2.16269,0.093253,0.201677,NONE,999.9,0,0
0.339137,44.157,29.6456,2.43423,2.19645,0.091321,0.200582,NONE,999.9,0,0
0.343073,44.157,29.6456,2.43423,2.19645,0.091321,0.200582,NONE,999.9,0,0
0.349152,44.1401,29.6599,2.4351,2.22861,0.0962471,0.214498,NONE,999.9,0,0
0.352055,44.1401,29.6599,2.4351,2.22861,0.0962471,0.214498,NONE,999.9,0,0
0.355098,44.1401,29.6599,2.4351,2.22861,0.0962471,0.214498,NONE,999.9,0,0
0.3594,44.1229,29.6744,2.43613,2.25925,0.0942333,0.212896,NONE,999.9,0,0
0.363363,44.1229,29.6744,2.43613,2.25925,0.0942333,0.212896,NONE,999.9,0,0
0.368743,44.1056,29.689,2.43702,2.28842,0.0990235,0.226607,NONE,999.9,0,0
0.371342,44.1056,29.689,2.43702,2.28842,0.0990235,0.226607,NONE,999.9,0,0
0.37509,44.1056,29.689,2.43702,2.28842,0.0990235,0.226607,NONE,999.9,0,0
0.379711,44.0879,29.7038,2.43807,2.31621,0.0969314,0.224513,NONE,999.9,0,0
0.38361,44.0879,29.7038,2.43807,2.31621,0.0969314,0.224513,NONE,999.9,0,0
0.388213,44.0701,29.7188,2.43899,2.34267,0.101598,0.238012,NONE,999.9,0,0
0.391207,44.0701,29.7188,2.43899,2.34267,0.101598,0.238012,NONE,999.9,0,0
0.395059,44.0701,29.7188,2.43899,2.34267,0.101598,0.238012,NONE,999.9,0,0
0.399621,44.0521,29.734,2.44007,2.36788,0.0994319,0.235443,NONE,999.9,0,0
0.403891,44.0521,29.734,2.44007,2.36788,0.0994319,0.235443,NONE,999.9,0,0
0.407941,44.0338,29.7493,2.44101,2.39189,0.103987,0.248726,NONE,999.9,0,0
0.411509,44.0338,29.7493,2.44101,2.39189,0.103987,0.248726,NONE,999.9,0,0
0.41612,44.0338,29.7493,2.44101,2.39189,0.103987,0.248726,NONE,999.9,0,0
0.419818,44.0154,29.7647,2.44212,2.41476,0.10175,0.245701,NONE,999.9,0,0
0.423156,44.0154,29.7647,2.44212,2.41476,0.10175,0.245701,NONE,999.9,0,0
0.427647,43.9968,29.7802,2.44308,2.43654,0.106203,0.258767,NONE,999.9,0,0
0.431443,43.9968,29.7802,2.44308,2.43654,0.106203,0.258767,NONE,999.9,0,0
0.435721,43.9968,29.7802,2.44308,2.43654,0.106203,0.258767,NONE,999.9,0,0
0.439194,43.9779,29.7959,2.44421,2.45728,0.103898,0.255307,NONE,999.9,0,0
0.443339,43.9779,29.7959,2.44421,2.45728,0.103898,0.255307,NONE,999.9,0,0
0.448914,43.959,29.8116,2.44519,2.47704,0.108257,0.268157,NONE,999.9,0,0
0.451209,43.959,29.8116,2.44519,2.47704,0.108257,0.268157,NONE,999.9,0,0
0.455214,43.959,29.8116,2.44519,2.47704,0.108257,0.268157,NONE,999.9,0,0
0.459616,43.9398,29.8275,2.44633,2.50719,0.104864,0.262914,NONE,999.9,0,0
0.463267,43.9398,29.8275,2.44633,2.50719,0.104864,0.262914,NONE,999.9,0,0
0.468868,43.9204,29.8436,2.44732,2.53591,0.108288,0.274608,NONE,999.9,0,0
0.471181,43.9204,29.8436,2.44732,2.53591,0.108288,0.274608,NONE,999.9,0,0
0.47588,43.9204,29.8436,2.44732,2.53591,0.108288,0.274608,NONE,999.9,0,0
0.479398,43.9007,29.8598,2.44847,2.56326,0.105921,0.271502,NONE,999.9,0,0
0.483712,43.9007,29.8598,2.44847,2.56326,0.105921,0.271502,NONE,999.9,0,0
0.487937,43.8808,29.8762,2.44947,2.58931,0.109918,0.284612,NONE,999.9,0,0
0.491118,43.8808,29.8762,2.44947,2.58931,0.109918,0.284612,NONE,999.9,0,0
0.495194,43.8808,29.8762,2.44947,2.58931,0.109918,0.284612,NONE,999.9,0,0
0.499642,43.8607,29.8928,2.45064,2.61412,0.107887,0.28203,NONE,999.9,0,0
0.503689,43.8607,29.8928,2.45064,2.61412,0.107887,0.28203,NONE,999.9,0,0
