t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,collision
7.4502e-05,44.4994,29.3506,2.41499,0.118685,0,0,NONE,999.9,0,0
0.00409703,44.4994,29.3506,2.41499,0.118685,0,0,NONE,999.9,0,0
0.00935395,44.4981,29.3517,2.41508,0.213785,0.0207252,0.00443075,NONE,999.9,0,0
0.0119674,44.4981,29.3517,2.41508,0.213785,0.0207252,0.00443075,NONE,999.9,0,0
0.0161598,44.4981,29.3517,2.41508,0.213785,0.0207252,0.00443075,NONE,999.9,0,0
0.02011,44.4962,29.3534,2.4152,0.308885,2.14898e-10,6.6379e-11,NONE,999.9,0,0
0.0241549,44.4962,29.3534,2.4152,0.308885,2.14898e-10,6.6379e-11,NONE,999.9,0,0
0.0292292,44.4935,29.3558,2.41538,0.403985,0.039164,0.0158217,NONE,999.9,0,0
0.0321043,44.4935,29.3558,2.41538,0.403985,0.039164,0.0158217,NONE,999.9,0,0
0.0359597,44.4935,29.3558,2.41538,0.403985,0.039164,0.0158217,NONE,999.9,0,0
0.0399371,44.4901,29.3588,2.41559,0.499085,4.29797e-10,2.14505e-10,NONE,999.9,0,0
0.0442049,44.4901,29.3588,2.41559,0.499085,4.29797e-10,2.14505e-10,NONE,999.9,0,0
0.0496965,44.4861,29.3624,2.41575,0.59328,0.00909471,0.00539571,NONE,999.9,0,0
0.0520013,44.4861,29.3624,2.41575,0.59328,0.00909471,0.00539571,NONE,999.9,0,0
0.0560194,44.4861,29.3624,2.41575,0.59328,0.00909471,0.00539571,NONE,999.9,0,0
0.0598314,44.4813,29.3666,2.41599,0.682996,0.0144876,0.009895,NONE,999.9,0,0
0.063982,44.4813,29.3666,2.41599,0.682996,0.0144876,0.009895,NONE,999.9,0,0
0.0697188,44.4758,29.3714,2.41618,0.768446,0.0330218,0.0253755,NONE,999.9,0,0
0.0721887,44.4758,29.3714,2.41618,0.768446,0.0330218,0.0253755,NONE,999.9,0,0
0.0762113,44.4758,29.3714,2.41618,0.768446,0.0330218,0.0253755,NONE,999.9,0,0
0.0800067,44.4697,29.3767,2.41657,0.849833,0.0307068,0.0260957,NONE,999.9,0,0
0.0843021,44.4697,29.3767,2.41657,0.849833,0.0307068,0.0260957,NONE,999.9,0,0
0.0891303,44.463,29.3825,2.41687,0.92735,0.0424138,0.0393325,NONE,999.9,0,0
0.0921283,44.463,29.3825,2.41687,0.92735,0.0424138,0.0393325,NONE,999.9,0,0
0.0959053,44.463,29.3825,2.41687,0.92735,0.0424138,0.0393325,NONE,999.9,0,0
0.0999631,44.4557,29.3889,2.41734,1.00118,0.0394423,0.0394889,NONE,999.9,0,0
0.103987,44.4557,29.3889,2.41734,1.00118,0.0394423,0.0394889,NONE,999.9,0,0
0.108548,44.4479,29.3957,2.41772,1.0715,0.0490654,0.0525737,NONE,999.9,0,0
0.111825,44.4479,29.3957,2.41772,1.0715,0.0490654,0.0525737,NONE,999.9,0,0
0.116701,44.4479,29.3957,2.41772,1.0715,0.0490654,0.0525737,NONE,999.9,0,0
0.119916,44.4396,29.4029,2.41826,1.13848,0.0462964,0.0527074,NONE,999.9,0,0
0.124027,44.4396,29.4029,2.41826,1.13848,0.0462964,0.0527074,NONE,999.9,0,0
0.1291,44.4308,29.4106,2.4187,1.20227,0.0548092,0.0658955,NONE,999.9,0,0
0.13208,44.4308,29.4106,2.4187,1.20227,0.0548092,0.0658955,NONE,999.9,0,0
0.136703,44.4308,29.4106,2.4187,1.20227,0.0548092,0.0658955,NONE,999.9,0,0
0.139938,44.4215,29.4187,2.41931,1.26303,0.0521748,0.0658982,NONE,999.9,0,0
0.144071,44.4215,29.4187,2.41931,1.26303,0.0521748,0.0658982,NONE,999.9,0,0
0.149503,44.4116,29.4273,2.4198,1.33942,0.0591406,0.0792139,NONE,999.9,0,0
0.152,44.4116,29.4273,2.4198,1.33942,0.0591406,0.0792139,NONE,999.9,0,0
