t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,collision
0.000119619,44.4994,29.3505,2.41499,0.116062,0,0,NONE,999.9,0,0
0.00317991,44.4994,29.3505,2.41499,0.116062,0,0,NONE,999.9,0,0
0.00791467,44.4982,29.3516,2.41508,0.211162,0.0204709,0.00432266,NONE,999.9,0,0
0.01071,44.4982,29.3516,2.41508,0.211162,0.0204709,0.00432266,NONE,999.9,0,0
0.0152207,44.4982,29.3516,2.41508,0.211162,0.0204709,0.00432266,NONE,999.9,0,0
0.019744,44.4963,29.3533,2.4152,0.306262,2.14899e-10,6.58152e-11,NONE,999.9,0,0
0.0233192,44.4963,29.3533,2.4152,0.306262,2.14899e-10,6.58152e-11,NONE,999.9,0,0
0.0275998,44.4936,29.3557,2.41538,0.401362,0.0389096,0.0156168,NONE,999.9,0,0
0.03072,44.4936,29.3557,2.41538,0.401362,0.0389096,0.0156168,NONE,999.9,0,0
0.0354072,44.4936,29.3557,2.41538,0.401362,0.0389096,0.0156168,NONE,999.9,0,0
0.0400079,44.4903,29.3587,2.41559,0.496462,4.29797e-10,2.13378e-10,NONE,999.9,0,0
0.043197,44.4903,29.3587,2.41559,0.496462,4.29797e-10,2.13378e-10,NONE,999.9,0,0
0.0488895,44.4862,29.3623,2.41574,0.591562,0.00879427,0.00520235,NONE,999.9,0,0
0.0512611,44.4862,29.3623,2.41574,0.591562,0.00879427,0.00520235,NONE,999.9,0,0
0.0549822,44.4862,29.3623,2.41574,0.591562,0.00879427,0.00520235,NONE,999.9,0,0
0.0588415,44.4814,29.3665,2.41598,0.686662,0.0144535,0.00992467,NONE,999.9,0,0
0.063017,44.4814,29.3665,2.41598,0.686662,0.0144535,0.00992467,NONE,999.9,0,0
0.068878,44.4759,29.3713,2.41617,0.781009,0.032392,0.0252984,NONE,999.9,0,0
0.0709214,44.4759,29.3713,2.41617,0.781009,0.032392,0.0252984,NONE,999.9,0,0
0.0747869,44.4759,29.3713,2.41617,0.781009,0.032392,0.0252984,NONE,999.9,0,0
0.0792579,44.4696,29.3768,2.41655,0.870869,0.0311819,0.0271553,NONE,999.9,0,0
0.0841676,44.4696,29.3768,2.41655,0.870869,0.0311819,0.0271553,NONE,999.9,0,0
0.0883636,44.4628,29.3828,2.41686,0.956457,0.0424947,0.0406444,NONE,999.9,0,0
0.0909117,44.4628,29.3828,2.41686,0.956457,0.0424947,0.0406444,NONE,999.9,0,0
0.0951092,44.4628,29.3828,2.41686,0.956457,0.0424947,0.0406444,NONE,999.9,0,0
0.0990948,44.4552,29.3893,2.41734,1.03798,0.0405228,0.0420617,NONE,999.9,0,0
