t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,collision
0.000107366,44.4994,29.3505,2.41495,0.118058,0,0,NONE,999.9,0,0
0.00338668,44.4994,29.3505,2.41495,0.118058,0,0,NONE,999.9,0,0
0.00811454,44.4981,29.3516,2.41504,0.213158,0.0206644,0.00440478,NONE,999.9,0,0
0.0111321,44.4981,29.3516,2.41504,0.213158,0.0206644,0.00440478,NONE,999.9,0,0
0.0153396,44.4981,29.3516,2.41504,0.213158,0.0206644,0.00440478,NONE,999.9,0,0
0.019297,44.4962,29.3534,2.41516,0.308258,2.14898e-10,6.62442e-11,NONE,999.9,0,0
0.0229886,44.4962,29.3534,2.41516,0.308258,2.14898e-10,6.62442e-11,NONE,999.9,0,0
0.028549,44.4935,29.3557,2.41534,0.403358,0.0391032,0.0157726,NONE,999.9,0,0
0.0320044,44.4935,29.3557,2.41534,0.403358,0.0391032,0.0157726,NONE,999.9,0,0
0.034859,44.4935,29.3557,2.41534,0.403358,0.0391032,0.0157726,NONE,999.9,0,0
0.0391499,44.4902,29.3587,2.41555,0.498458,4.29797e-10,2.14236e-10,NONE,999.9,0,0
0.0430651,44.4902,29.3587,2.41555,0.498458,4.29797e-10,2.14236e-10,NONE,999.9,0,0
0.0484253,44.4861,29.3624,2.4157,0.593558,0.00891415,0.00529107,NONE,999.9,0,0
0.0515915,44.4861,29.3624,2.4157,0.593558,0.00891415,0.00529107,NONE,999.9,0,0
0.0551539,44.4861,29.3624,2.4157,0.593558,0.00891415,0.00529107,NONE,999.9,0,0
0.05978,44.4813,29.3666,2.41594,0.688658,0.0146016,0.0100555,NONE,999.9,0,0
0.0639954,44.4813,29.3666,2.41594,0.688658,0.0146016,0.0100555,NONE,999.9,0,0
0.0680799,44.4757,29.3714,2.41614,0.783758,0.0324067,0.025399,NONE,999.9,0,0
0.0709437,44.4757,29.3714,2.41614,0.783758,0.0324067,0.025399,NONE,999.9,0,0
0.0752477,44.4757,29.3714,2.41614,0.783758,0.0324067,0.025399,NONE,999.9,0,0
0.0796056,44.4695,29.3769,2.41652,0.878858,0.0314554,0.0276448,NONE,999.9,0,0
0.0838439,44.4695,29.3769,2.41652,0.878858,0.0314554,0.0276448,NONE,999.9,0,0
0.0884587,44.4625,29.383,2.41683,0.973958,0.0422599,0.0411594,NONE,999.9,0,0
0.0913564,44.4625,29.383,2.41683,0.973958,0.0422599,0.0411594,NONE,999.9,0,0
0.0954003,44.4625,29.383,2.41683,0.973958,0.0422599,0.0411594,NONE,999.9,0,0
0.099643,44.4548,29.3897,2.4173,1.06674,0.0411902,0.0439392,NONE,999.9,0,0
0.103461,44.4548,29.3897,2.4173,1.06674,0.0411902,0.0439392,NONE,999.9,0,0
0.108143,44.4464,29.397,2.4177,1.15511,0.0500902,0.0578597,NONE,999.9,0,0
0.11125,44.4464,29.397,2.4177,1.15511,0.0500902,0.0578597,NONE,999.9,0,0
0.115377,44.4464,29.397,2.4177,1.15511,0.0500902,0.0578597,NONE,999.9,0,0
0.120636,44.4374,29.4049,2.41826,1.23928,0.0491758,0.0609423,NONE,999.9,0,0
0.123322,44.4374,29.4049,2.41826,1.23928,0.0491758,0.0609423,NONE,999.9,0,0
0.128749,44.4278,29.4133,2.41873,1.31944,0.0570739,0.0753057,NONE,999.9,0,0
0.131803,44.4278,29.4133,2.41873,1.31944,0.0570739,0.0753057,NONE,999.9,0,0
0.135076,44.4278,29.4133,2.41873,1.31944,0.0570739,0.0753057,NONE,999.9,0,0
0.139478,44.4175,29.4222,2.41936,1.39579,0.0561245,0.0783383,NONE,999.9,0,0
0.143361,44.4175,29.4222,2.41936,1.39579,0.0561245,0.0783383,NONE,999.9,0,0
0.148696,44.4067,29.4316,2.41989,1.46852,0.0633216,0.0929888,NONE,999.9,0,0
0.151689,44.4067,29.4316,2.41989,1.46852,0.0633216,0.0929888,NONE,999.9,0,0
0.155368,44.4067,29.4316,2.41989,1.46852,0.0633216,0.0929888,NONE,999.9,0,0
0.159506,44.3954,29.4414,2.42058,1.53778,0.0622745,0.0957646,NONE,999.9,0,0
0.163218,44.3954,29.4414,2.42058,1.53778,0.0622745,0.0957646,NONE,999.9,0,0
0.168174,44.3835,29.4517,2.42118,1.60375,0.0689481,0.110576,NONE,999.9,0,0
0.17099,44.3835,29.4517,2.42118,1.60375,0.0689481,0.110576,NONE,999.9,0,0
0.175206,44.3835,29.4517,2.42118,1.60375,0.0689481,0.110576,NONE,999.9,0,0
0.178949,44.3711,29.4624,2.42192,1.66659,0.0677829,0.112966,NONE,999.9,0,0
0.183628,44.3711,29.4624,2.42192,1.66659,0.0677829,0.112966,NONE,999.9,0,0
0.188836,44.3582,29.4736,2.42257,1.74828,0.0727387,0.127167,NONE,999.9,0,0
0.191486,44.3582,29.4736,2.42257,1.74828,0.0727387,0.127167,NONE,999.9,0,0
0.195132,44.3582,29.4736,2.42257,1.74828,0.0727387,0.127167,NONE,999.9,0,0
0.198982,44.3447,29.4853,2.42335,1.82608,0.0720467,0.131563,NONE,999.9,0,0
0.203137,44.3447,29.4853,2.42335,1.82608,0.0720467,0.131563,NONE,999.9,0,0
0.207864,44.3306,29.4975,2.42404,1.90018,0.0776185,0.147489,NONE,999.9,0,0
0.211389,44.3306,29.4975,2.42404,1.90018,0.0776185,0.147489,NONE,999.9,0,0
0.215221,44.3306,29.4975,2.42404,1.90018,0.0776185,0.147489,NONE,999.9,0,0
0.222022,44.3159,29.5101,2.42488,1.97076,0.0772063,0.152155,NONE,999.9,0,0
0.224909,44.3159,29.5101,2.42488,1.97076,0.0772063,0.152155,NONE,999.9,0,0
0.228417,44.3007,29.5232,2.42561,2.03798,0.0826942,0.16853,NONE,999.9,0,0
0.231279,44.3007,29.5232,2.42561,2.03798,0.0826942,0.16853,NONE,999.9,0,0
0.235174,44.3007,29.5232,2.42561,2.03798,0.0826942,0.16853,NONE,999.9,0,0
0.239238,44.2851,29.5367,2.4265,2.10201,0.0822252,0.172838,NONE,999.9,0,0
0.243232,44.2851,29.5367,2.4265,2.10201,0.0822252,0.172838,NONE,999.9,0,0
0.248508,44.2689,29.5506,2.42729,2.16299,0.0875148,0.189294,NONE,999.9,0,0
0.251267,44.2689,29.5506,2.42729,2.16299,0.0875148,0.189294,NONE,999.9,0,0
0.25556,44.2689,29.5506,2.42729,2.16299,0.0875148,0.189294,NONE,999.9,0,0
0.259166,44.2522,29.5649,2.42822,2.22108,0.0869214,0.193059,NONE,999.9,0,0
0.262951,44.2522,29.5649,2.42822,2.22108,0.0869214,0.193059,NONE,999.9,0,0
0.268361,44.2352,29.5795,2.42905,2.2764,0.0920099,0.209451,NONE,999.9,0,0
0.271098,44.2352,29.5795,2.42905,2.2764,0.0920099,0.209451,NONE,999.9,0,0
0.274983,44.2352,29.5795,2.42905,2.2764,0.0920099,0.209451,NONE,999.9,0,0
0.279212,44.2177,29.5944,2.43004,2.32909,0.0912842,0.212609,NONE,999.9,0,0
0.283222,44.2177,29.5944,2.43004,2.32909,0.0912842,0.212609,NONE,999.9,0,0
0.288585,44.1998,29.6097,2.43091,2.37927,0.0961903,0.228863,NONE,999.9,0,0
0.290726,44.1998,29.6097,2.43091,2.37927,0.0961903,0.228863,NONE,999.9,0,0
0.294985,44.1998,29.6097,2.43091,2.37927,0.0961903,0.228863,NONE,999.9,0,0
0.299239,44.1815,29.6253,2.43193,2.42707,0.0953383,0.231393,NONE,999.9,0,0
0.30338,44.1815,29.6253,2.43193,2.42707,0.0953383,0.231393,NONE,999.9,0,0
0.307911,44.1628,29.6412,2.43284,2.4726,0.100082,0.247464,NONE,999.9,0,0
0.311394,44.1628,29.6412,2.43284,2.4726,0.100082,0.247464,NONE,999.9,0,0
0.315294,44.1628,29.6412,2.43284,2.4726,0.100082,0.247464,NONE,999.9,0,0
0.319793,44.1438,29.6573,2.43391,2.51596,0.0991129,0.249364,NONE,999.9,0,0
0.323031,44.1438,29.6573,2.43391,2.51596,0.0991129,0.249364,NONE,999.9,0,0
0.328723,44.1245,29.6738,2.43485,2.55726,0.103713,0.265221,NONE,999.9,0,0
0.331352,44.1245,29.6738,2.43485,2.55726,0.103713,0.265221,NONE,999.9,0,0
0.334915,44.1245,29.6738,2.43485,2.55726,0.103713,0.265221,NONE,999.9,0,0
0.338932,44.1048,29.6904,2.43595,2.5966,0.102635,0.266501,NONE,999.9,0,0
0.343201,44.1048,29.6904,2.43595,2.5966,0.102635,0.266501,NONE,999.9,0,0
0.348752,44.0848,29.7073,2.43693,2.63406,0.107105,0.282122,NONE,999.9,0,0
0.351497,44.0848,29.7073,2.43693,2.63406,0.107105,0.282122,NONE,999.9,0,0
0.355114,44.0848,29.7073,2.43693,2.63406,0.107105,0.282122,NONE,999.9,0,0
0.358958,44.0645,29.7244,2.43807,2.66975,0.105926,0.282795,NONE,999.9,0,0
0.363297,44.0645,29.7244,2.43807,2.66975,0.105926,0.282795,NONE,999.9,0,0
0.368951,44.0439,29.7418,2.43907,2.72233,0.107784,0.293423,NONE,999.9,0,0
0.370925,44.0439,29.7418,2.43907,2.72233,0.107784,0.293423,NONE,999.9,0,0
0.375135,44.0439,29.7418,2.43907,2.72233,0.107784,0.293423,NONE,999.9,0,0
0.379173,44.0229,29.7594,2.44021,2.77242,0.105744,0.293166,NONE,999.9,0,0
0.38401,44.0229,29.7594,2.44021,2.77242,0.105744,0.293166,NONE,999.9,0,0
0.388501,44.0015,29.7774,2.44121,2.82012,0.109156,0.307833,NONE,999.9,0,0
0.390887,44.0015,29.7774,2.44121,2.82012,0.109156,0.307833,NONE,999.9,0,0
0.394897,44.0015,29.7774,2.44121,2.82012,0.109156,0.307833,NONE,999.9,0,0
