t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,collision
9.0504e-05,44.4994,29.3505,2.41495,0.118058,0,0,NONE,999.9,0,0
0.00331706,44.4994,29.3505,2.41495,0.118058,0,0,NONE,999.9,0,0
0.00684061,44.4994,29.3505,2.41495,0.118058,0,0,NONE,999.9,0,0
0.0108806,44.4981,29.3516,2.41504,0.213158,0.0206644,0.00440478,NONE,999.9,0,0
0.0147116,44.4981,29.3516,2.41504,0.213158,0.0206644,0.00440478,NONE,999.9,0,0
0.019838,44.4962,29.3534,2.41516,0.308258,2.14898e-10,6.62442e-11,NONE,999.9,0,0
0.0231912,44.4962,29.3534,2.41516,0.308258,2.14898e-10,6.62442e-11,NONE,999.9,0,0
0.0267431,44.4962,29.3534,2.41516,0.308258,2.14898e-10,6.62442e-11,NONE,999.9,0,0
0.0307753,44.4935,29.3557,2.41534,0.403358,0.0391032,0.0157726,NONE,999.9,0,0
0.0348612,44.4935,29.3557,2.41534,0.403358,0.0391032,0.0157726,NONE,999.9,0,0
0.040784,44.4902,29.3587,2.41555,0.498458,4.29797e-10,2.14236e-10,NONE,999.9,0,0
0.0434166,44.4902,29.3587,2.41555,0.498458,4.29797e-10,2.14236e-10,NONE,999.9,0,0
0.0470431,44.4902,29.3587,2.41555,0.498458,4.29797e-10,2.14236e-10,NONE,999.9,0,0
0.0511895,44.4861,29.3624,2.4157,0.593558,0.00891415,0.00529107,NONE,999.9,0,0
0.0563685,44.4861,29.3624,2.4157,0.593558,0.00891415,0.00529107,NONE,999.9,0,0
0.0605606,44.4813,29.3666,2.41594,0.688658,0.0146016,0.0100555,NONE,999.9,0,0
0.0628473,44.4813,29.3666,2.41594,0.688658,0.0146016,0.0100555,NONE,999.9,0,0
0.066782,44.4813,29.3666,2.41594,0.688658,0.0146016,0.0100555,NONE,999.9,0,0
0.0712993,44.4757,29.3714,2.41614,0.783758,0.0324067,0.025399,NONE,999.9,0,0
0.0749735,44.4757,29.3714,2.41614,0.783758,0.0324067,0.025399,NONE,999.9,0,0
0.079797,44.4695,29.3769,2.41652,0.878858,0.0314554,0.0276448,NONE,999.9,0,0
0.0827254,44.4695,29.3769,2.41652,0.878858,0.0314554,0.0276448,NONE,999.9,0,0
0.0871346,44.4695,29.3769,2.41652,0.878858,0.0314554,0.0276448,NONE,999.9,0,0
0.0908391,44.4625,29.383,2.41683,0.973958,0.0422599,0.0411594,NONE,999.9,0,0
0.0950559,44.4625,29.383,2.41683,0.973958,0.0422599,0.0411594,NONE,999.9,0,0
0.0997872,44.4548,29.3897,2.4173,1.06674,0.0411902,0.0439392,NONE,999.9,0,0
0.102793,44.4548,29.3897,2.4173,1.06674,0.0411902,0.0439392,NONE,999.9,0,0
0.106986,44.4548,29.3897,2.4173,1.06674,0.0411902,0.0439392,NONE,999.9,0,0
0.111648,44.4464,29.397,2.4177,1.15511,0.0500902,0.0578597,NONE,999.9,0,0
0.114706,44.4464,29.397,2.4177,1.15511,0.0500902,0.0578597,NONE,999.9,0,0
0.120122,44.4374,29.4049,2.41826,1.23928,0.0491758,0.0609423,NONE,999.9,0,0
0.123764,44.4374,29.4049,2.41826,1.23928,0.0491758,0.0609423,NONE,999.9,0,0
0.127022,44.4374,29.4049,2.41826,1.23928,0.0491758,0.0609423,NONE,999.9,0,0
0.130607,44.4278,29.4133,2.41873,1.31944,0.0570739,0.0753057,NONE,999.9,0,0
0.134894,44.4278,29.4133,2.41873,1.31944,0.0570739,0.0753057,NONE,999.9,0,0
0.140446,44.4175,29.4222,2.41936,1.39579,0.0561245,0.0783383,NONE,999.9,0,0
0.145413,44.4175,29.4222,2.41936,1.39579,0.0561245,0.0783383,NONE,999.9,0,0
0.14685,44.4175,29.4222,2.41936,1.39579,0.0561245,0.0783383,NONE,999.9,0,0
0.150777,44.4067,29.4316,2.41989,1.46852,0.0633216,0.0929888,NONE,999.9,0,0
0.155287,44.4067,29.4316,2.41989,1.46852,0.0633216,0.0929888,NONE,999.9,0,0
0.160308,44.3954,29.4414,2.42058,1.53778,0.0622745,0.0957646,NONE,999.9,0,0
0.162625,44.3954,29.4414,2.42058,1.53778,0.0622745,0.0957646,NONE,999.9,0,0
0.166824,44.3954,29.4414,2.42058,1.53778,0.0622745,0.0957646,NONE,999.9,0,0
