t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,collision
0.000228612,44.4994,29.3505,2.41499,0.115562,0,0,NONE,999.9,0,0
0.00402104,44.4994,29.3505,2.41499,0.115562,0,0,NONE,999.9,0,0
0.00844239,44.4982,29.3516,2.41508,0.210662,0.0204225,0.00430225,NONE,999.9,0,0
0.0119883,44.4982,29.3516,2.41508,0.210662,0.0204225,0.00430225,NONE,999.9,0,0
0.0163314,44.4982,29.3516,2.41508,0.210662,0.0204225,0.00430225,NONE,999.9,0,0
0.020413,44.4963,29.3533,2.4152,0.305762,2.14898e-10,6.57079e-11,NONE,999.9,0,0
0.0243753,44.4963,29.3533,2.4152,0.305762,2.14898e-10,6.57079e-11,NONE,999.9,0,0
0.0290945,44.4936,29.3557,2.41537,0.400862,0.0388612,0.015578,NONE,999.9,0,0
0.0324304,44.4936,29.3557,2.41537,0.400862,0.0388612,0.015578,NONE,999.9,0,0
0.0364688,44.4936,29.3557,2.41537,0.400862,0.0388612,0.015578,NONE,999.9,0,0
0.0434194,44.4903,29.3586,2.41558,0.495962,4.29797e-10,2.13163e-10,NONE,999.9,0,0
0.0444301,44.4903,29.3586,2.41558,0.495962,4.29797e-10,2.13163e-10,NONE,999.9,0,0
0.0484282,44.4862,29.3622,2.41574,0.591062,0.00876415,0.00518016,NONE,999.9,0,0
0.0519391,44.4862,29.3622,2.41574,0.591062,0.00876415,0.00518016,NONE,999.9,0,0
0.0561393,44.4862,29.3622,2.41574,0.591062,0.00876415,0.00518016,NONE,999.9,0,0
0.0601798,44.4814,29.3665,2.41598,0.686162,0.0144161,0.00989182,NONE,999.9,0,0
0.0642471,44.4814,29.3665,2.41598,0.686162,0.0144161,0.00989182,NONE,999.9,0,0
0.0684819,44.4759,29.3713,2.41617,0.77751,0.0325982,0.0253454,NONE,999.9,0,0
0.0719438,44.4759,29.3713,2.41617,0.77751,0.0325982,0.0253454,NONE,999.9,0,0
0.0758774,44.4759,29.3713,2.41617,0.77751,0.0325982,0.0253454,NONE,999.9,0,0
0.0798659,44.4697,29.3767,2.41655,0.864513,0.0310517,0.0268446,NONE,999.9,0,0
0.0839635,44.4697,29.3767,2.41655,0.864513,0.0310517,0.0268446,NONE,999.9,0,0
0.0905669,44.4629,29.3826,2.41686,0.947379,0.0424912,0.0402553,NONE,999.9,0,0
0.0931474,44.4629,29.3826,2.41686,0.947379,0.0424912,0.0402553,NONE,999.9,0,0
0.0963136,44.4629,29.3826,2.41686,0.947379,0.0424912,0.0402553,NONE,999.9,0,0
0.0999039,44.4555,29.3891,2.41734,1.02631,0.0402011,0.0412587,NONE,999.9,0,0
0.103905,44.4555,29.3891,2.41734,1.02631,0.0402011,0.0412587,NONE,999.9,0,0
0.108541,44.4474,29.3961,2.41772,1.10148,0.0495879,0.05462,NONE,999.9,0,0
0.111979,44.4474,29.3961,2.41772,1.10148,0.0495879,0.05462,NONE,999.9,0,0
0.115955,44.4474,29.3961,2.41772,1.10148,0.0495879,0.05462,NONE,999.9,0,0
0.119892,44.4389,29.4036,2.41827,1.17308,0.0474183,0.0556253,NONE,999.9,0,0
0.123981,44.4389,29.4036,2.41827,1.17308,0.0474183,0.0556253,NONE,999.9,0,0
0.128624,44.4298,29.4115,2.41873,1.24127,0.0557138,0.0691559,NONE,999.9,0,0
0.132109,44.4298,29.4115,2.41873,1.24127,0.0557138,0.0691559,NONE,999.9,0,0
0.136039,44.4298,29.4115,2.41873,1.24127,0.0557138,0.0691559,NONE,999.9,0,0
0.139915,44.4201,29.4199,2.41934,1.30622,0.0536111,0.0700281,NONE,999.9,0,0
0.144046,44.4201,29.4199,2.41934,1.30622,0.0536111,0.0700281,NONE,999.9,0,0
0.148581,44.41,29.4287,2.41985,1.38755,0.0603002,0.0836697,NONE,999.9,0,0
0.151962,44.41,29.4287,2.41985,1.38755,0.0603002,0.0836697,NONE,999.9,0,0
0.155942,44.41,29.4287,2.41985,1.38755,0.0603002,0.0836697,NONE,999.9,0,0
0.159926,44.3992,29.4381,2.4205,1.46502,0.0592165,0.0867532,NONE,999.9,0,0
0.16426,44.3992,29.4381,2.4205,1.46502,0.0592165,0.0867532,NONE,999.9,0,0
0.168992,44.3879,29.4479,2.42107,1.53879,0.0659536,0.101489,NONE,999.9,0,0
0.172549,44.3879,29.4479,2.42107,1.53879,0.0659536,0.101489,NONE,999.9,0,0
0.176353,44.3879,29.4479,2.42107,1.53879,0.0659536,0.101489,NONE,999.9,0,0
0.180454,44.376,29.4582,2.42179,1.60907,0.0650207,0.104623,NONE,999.9,0,0
0.184464,44.376,29.4582,2.42179,1.60907,0.0650207,0.104623,NONE,999.9,0,0
0.189029,44.3635,29.469,2.42241,1.676,0.0714073,0.119678,NONE,999.9,0,0
0.192618,44.3635,29.469,2.42241,1.676,0.0714073,0.119678,NONE,999.9,0,0
0.196367,44.3635,29.469,2.42241,1.676,0.0714073,0.119678,NONE,999.9,0,0
0.200283,44.3506,29.4801,2.42318,1.73974,0.0704014,0.12248,NONE,999.9,0,0
0.204306,44.3506,29.4801,2.42318,1.73974,0.0704014,0.12248,NONE,999.9,0,0
0.209318,44.3372,29.4917,2.42385,1.80046,0.0764455,0.137637,NONE,999.9,0,0
0.212448,44.3372,29.4917,2.42385,1.80046,0.0764455,0.137637,NONE,999.9,0,0
0.216421,44.3372,29.4917,2.42385,1.80046,0.0764455,0.137637,NONE,999.9,0,0
0.220461,44.3234,29.5036,2.42467,1.85829,0.0753261,0.139977,NONE,999.9,0,0
0.224469,44.3234,29.5036,2.42467,1.85829,0.0753261,0.139977,NONE,999.9,0,0
0.23,44.3091,29.5159,2.42539,1.91337,0.0810753,0.155127,NONE,999.9,0,0
0.232707,44.3091,29.5159,2.42539,1.91337,0.0810753,0.155127,NONE,999.9,0,0
0.236366,44.3091,29.5159,2.42539,1.91337,0.0810753,0.155127,NONE,999.9,0,0
0.240792,44.2944,29.5286,2.42626,1.96583,0.079837,0.156946,NONE,999.9,0,0
0.244617,44.2944,29.5286,2.42626,1.96583,0.079837,0.156946,NONE,999.9,0,0
0.249449,44.2793,29.5416,2.42702,2.01579,0.0853349,0.172018,NONE,999.9,0,0
0.25258,44.2793,29.5416,2.42702,2.01579,0.0853349,0.172018,NONE,999.9,0,0
0.257178,44.2793,29.5416,2.42702,2.01579,0.0853349,0.172018,NONE,999.9,0,0
0.261847,44.2638,29.5548,2.42794,2.06338,0.0839816,0.173286,NONE,999.9,0,0
0.265251,44.2638,29.5548,2.42794,2.06338,0.0839816,0.173286,NONE,999.9,0,0
0.269649,44.2479,29.5684,2.42873,2.10871,0.0892637,0.188231,NONE,999.9,0,0
0.272729,44.2479,29.5684,2.42873,2.10871,0.0892637,0.188231,NONE,999.9,0,0
0.277376,44.2479,29.5684,2.42873,2.10871,0.0892637,0.188231,NONE,999.9,0,0
0.281163,44.2317,29.5822,2.42969,2.15188,0.0878017,0.188939,NONE,999.9,0,0
0.284659,44.2317,29.5822,2.42969,2.15188,0.0878017,0.188939,NONE,999.9,0,0
0.29064,44.2152,29.5964,2.43052,2.193,0.0928963,0.203721,NONE,999.9,0,0
0.293079,44.2152,29.5964,2.43052,2.193,0.0928963,0.203721,NONE,999.9,0,0
0.29662,44.2152,29.5964,2.43052,2.193,0.0928963,0.203721,NONE,999.9,0,0
0.30067,44.1984,29.6107,2.43151,2.23216,0.0913321,0.203868,NONE,999.9,0,0
0.304927,44.1984,29.6107,2.43151,2.23216,0.0913321,0.203868,NONE,999.9,0,0
0.310905,44.1812,29.6253,2.43238,2.26946,0.0962619,0.218463,NONE,999.9,0,0
0.312905,44.1812,29.6253,2.43238,2.26946,0.0962619,0.218463,NONE,999.9,0,0
0.316999,44.1812,29.6253,2.43238,2.26946,0.0962619,0.218463,NONE,999.9,0,0
0.321145,44.1638,29.6401,2.43341,2.30499,0.0946021,0.218057,NONE,999.9,0,0
0.324837,44.1638,29.6401,2.43341,2.30499,0.0946021,0.218057,NONE,999.9,0,0
0.333105,44.1461,29.6551,2.4343,2.33883,0.0993854,0.232446,NONE,999.9,0,0
0.336955,44.1461,29.6551,2.4343,2.33883,0.0993854,0.232446,NONE,999.9,0,0
0.341633,44.1281,29.6703,2.43536,2.37106,0.0976356,0.2315,NONE,999.9,0,0
0.345057,44.1281,29.6703,2.43536,2.37106,0.0976356,0.2315,NONE,999.9,0,0
0.349808,44.1098,29.6858,2.43629,2.41833,0.100443,0.242906,NONE,999.9,0,0
0.352606,44.1098,29.6858,2.43629,2.41833,0.100443,0.242906,NONE,999.9,0,0
0.356967,44.1098,29.6858,2.43629,2.41833,0.100443,0.242906,NONE,999.9,0,0
0.360605,44.0912,29.7015,2.43735,2.46336,0.0983235,0.242206,NONE,999.9,0,0
0.365002,44.0912,29.7015,2.43735,2.46336,0.0983235,0.242206,NONE,999.9,0,0
0.369683,44.0722,29.7175,2.43828,2.50625,0.10233,0.256463,NONE,999.9,0,0
0.373463,44.0722,29.7175,2.43828,2.50625,0.10233,0.256463,NONE,999.9,0,0
0.376918,44.0722,29.7175,2.43828,2.50625,0.10233,0.256463,NONE,999.9,0,0
0.380687,44.0528,29.7338,2.43937,2.54709,0.100897,0.256994,NONE,999.9,0,0
0.384795,44.0528,29.7338,2.43937,2.54709,0.100897,0.256994,NONE,999.9,0,0
0.390705,44.0332,29.7503,2.44033,2.586,0.105239,0.272148,NONE,999.9,0,0
0.392692,44.0332,29.7503,2.44033,2.586,0.105239,0.272148,NONE,999.9,0,0
0.396568,44.0332,29.7503,2.44033,2.586,0.105239,0.272148,NONE,999.9,0,0
0.40087,44.0132,29.767,2.44145,2.62305,0.103979,0.272744,NONE,999.9,0,0
0.404686,44.0132,29.767,2.44145,2.62305,0.103979,0.272744,NONE,999.9,0,0
0.410281,43.993,29.784,2.44244,2.65835,0.108358,0.288054,NONE,999.9,0,0
0.412564,43.993,29.784,2.44244,2.65835,0.108358,0.288054,NONE,999.9,0,0
0.416544,43.993,29.784,2.44244,2.65835,0.108358,0.288054,NONE,999.9,0,0
0.420353,43.9724,29.8011,2.44359,2.69196,0.107092,0.288287,NONE,999.9,0,0
0.424347,43.9724,29.8011,2.44359,2.69196,0.107092,0.288287,NONE,999.9,0,0
0.429524,43.9516,29.8184,2.44461,2.72398,0.111407,0.303471,NONE,999.9,0,0
0.432824,43.9516,29.8184,2.44461,2.72398,0.111407,0.303471,NONE,999.9,0,0
