t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,collision
0.000147109,44.4994,29.3505,2.41499,0.118058,0,0,NONE,999.9,0,0
0.00267691,44.4994,29.3505,2.41499,0.118058,0,0,NONE,999.9,0,0
0.00667921,44.4994,29.3505,2.41499,0.118058,0,0,NONE,999.9,0,0
0.0110193,44.4981,29.3516,2.41508,0.213158,0.0206644,0.00440478,NONE,999.9,0,0
0.0146888,44.4981,29.3516,2.41508,0.213158,0.0206644,0.00440478,NONE,999.9,0,0
0.0195898,44.4962,29.3534,2.4152,0.308258,2.14898e-10,6.62442e-11,NONE,999.9,0,0
0.0224395,44.4962,29.3534,2.4152,0.308258,2.14898e-10,6.62442e-11,NONE,999.9,0,0
0.0268308,44.4962,29.3534,2.4152,0.308258,2.14898e-10,6.62442e-11,NONE,999.9,0,0
0.0305377,44.4935,29.3557,2.41538,0.403358,0.0391032,0.0157726,NONE,999.9,0,0
0.0345775,44.4935,29.3557,2.41538,0.403358,0.0391032,0.0157726,NONE,999.9,0,0
0.0395239,44.4902,29.3587,2.41559,0.498458,4.29797e-10,2.14236e-10,NONE,999.9,0,0
0.0430215,44.4902,29.3587,2.41559,0.498458,4.29797e-10,2.14236e-10,NONE,999.9,0,0
0.0466307,44.4902,29.3587,2.41559,0.498458,4.29797e-10,2.14236e-10,NONE,999.9,0,0
0.0510232,44.4861,29.3624,2.41575,0.593558,0.00891415,0.00529107,NONE,999.9,0,0
0.0546115,44.4861,29.3624,2.41575,0.593558,0.00891415,0.00529107,NONE,999.9,0,0
0.0601064,44.4813,29.3666,2.41598,0.688658,0.0146016,0.0100555,NONE,999.9,0,0
0.0627716,44.4813,29.3666,2.41598,0.688658,0.0146016,0.0100555,NONE,999.9,0,0
0.0665293,44.4813,29.3666,2.41598,0.688658,0.0146016,0.0100555,NONE,999.9,0,0
0.0705383,44.4757,29.3714,2.41618,0.783758,0.0324067,0.025399,NONE,999.9,0,0
0.0748197,44.4757,29.3714,2.41618,0.783758,0.0324067,0.025399,NONE,999.9,0,0
0.0801192,44.4695,29.3769,2.41656,0.878858,0.0314554,0.0276448,NONE,999.9,0,0
0.0827676,44.4695,29.3769,2.41656,0.878858,0.0314554,0.0276448,NONE,999.9,0,0
0.0864715,44.4695,29.3769,2.41656,0.878858,0.0314554,0.0276448,NONE,999.9,0,0
0.0903967,44.4625,29.383,2.41687,0.973958,0.0422599,0.0411594,NONE,999.9,0,0
0.0949383,44.4625,29.383,2.41687,0.973958,0.0422599,0.0411594,NONE,999.9,0,0
0.0992043,44.4548,29.3897,2.41734,1.06674,0.0411902,0.0439392,NONE,999.9,0,0
0.102873,44.4548,29.3897,2.41734,1.06674,0.0411902,0.0439392,NONE,999.9,0,0
0.107243,44.4548,29.3897,2.41734,1.06674,0.0411902,0.0439392,NONE,999.9,0,0
0.110768,44.4464,29.397,2.41774,1.15511,0.0500902,0.0578597,NONE,999.9,0,0
0.114836,44.4464,29.397,2.41774,1.15511,0.0500902,0.0578597,NONE,999.9,0,0
0.119157,44.4374,29.4049,2.4183,1.23928,0.0491758,0.0609423,NONE,999.9,0,0
0.122404,44.4374,29.4049,2.4183,1.23928,0.0491758,0.0609423,NONE,999.9,0,0
0.126602,44.4374,29.4049,2.4183,1.23928,0.0491758,0.0609423,NONE,999.9,0,0
0.130427,44.4278,29.4133,2.41877,1.31944,0.0570739,0.0753057,NONE,999.9,0,0
0.13448,44.4278,29.4133,2.41877,1.31944,0.0570739,0.0753057,NONE,999.9,0,0
0.13985,44.4175,29.4222,2.4194,1.39579,0.0561245,0.0783383,NONE,999.9,0,0
0.142531,44.4175,29.4222,2.4194,1.39579,0.0561245,0.0783383,NONE,999.9,0,0
0.146486,44.4175,29.4222,2.4194,1.39579,0.0561245,0.0783383,NONE,999.9,0,0
0.150625,44.4067,29.4316,2.41994,1.46852,0.0633216,0.0929888,NONE,999.9,0,0
0.154466,44.4067,29.4316,2.41994,1.46852,0.0633216,0.0929888,NONE,999.9,0,0
0.159289,44.3953,29.4414,2.42062,1.53778,0.0622745,0.0957646,NONE,999.9,0,0
0.162366,44.3953,29.4414,2.42062,1.53778,0.0622745,0.0957646,NONE,999.9,0,0
0.166603,44.3953,29.4414,2.42062,1.53778,0.0622745,0.0957646,NONE,999.9,0,0
0.170677,44.3835,29.4517,2.42122,1.60375,0.0689481,0.110576,NONE,999.9,0,0
0.174632,44.3835,29.4517,2.42122,1.60375,0.0689481,0.110576,NONE,999.9,0,0
0.179317,44.3711,29.4624,2.42197,1.66659,0.0677829,0.112966,NONE,999.9,0,0
0.182676,44.3711,29.4624,2.42197,1.66659,0.0677829,0.112966,NONE,999.9,0,0
0.186502,44.3711,29.4624,2.42197,1.66659,0.0677829,0.112966,NONE,999.9,0,0
0.190604,44.3582,29.4736,2.42261,1.74828,0.0727387,0.127167,NONE,999.9,0,0
0.194455,44.3582,29.4736,2.42261,1.74828,0.0727387,0.127167,NONE,999.9,0,0
0.199562,44.3447,29.4853,2.42339,1.82608,0.0720467,0.131563,NONE,999.9,0,0
0.202614,44.3447,29.4853,2.42339,1.82608,0.0720467,0.131563,NONE,999.9,0,0
0.206536,44.3447,29.4853,2.42339,1.82608,0.0720467,0.131563,NONE,999.9,0,0
0.210463,44.3306,29.4975,2.42408,1.90018,0.0776185,0.147489,NONE,999.9,0,0
0.214548,44.3306,29.4975,2.42408,1.90018,0.0776185,0.147489,NONE,999.9,0,0
0.219276,44.3159,29.5101,2.42492,1.97076,0.0772063,0.152155,NONE,999.9,0,0
0.222468,44.3159,29.5101,2.42492,1.97076,0.0772063,0.152155,NONE,999.9,0,0
0.226787,44.3159,29.5101,2.42492,1.97076,0.0772063,0.152155,NONE,999.9,0,0
0.230597,44.3007,29.5232,2.42566,2.03798,0.0826942,0.16853,NONE,999.9,0,0
0.235266,44.3007,29.5232,2.42566,2.03798,0.0826942,0.16853,NONE,999.9,0,0
0.239415,44.285,29.5367,2.42654,2.10201,0.0822252,0.172838,NONE,999.9,0,0
0.242461,44.285,29.5367,2.42654,2.10201,0.0822252,0.172838,NONE,999.9,0,0
0.246433,44.285,29.5367,2.42654,2.10201,0.0822252,0.172838,NONE,999.9,0,0
0.250409,44.2689,29.5506,2.42733,2.16299,0.0875148,0.189294,NONE,999.9,0,0
0.254335,44.2689,29.5506,2.42733,2.16299,0.0875148,0.189294,NONE,999.9,0,0
0.259242,44.2522,29.5648,2.42827,2.22108,0.0869214,0.193059,NONE,999.9,0,0
0.262624,44.2522,29.5648,2.42827,2.22108,0.0869214,0.193059,NONE,999.9,0,0
0.266698,44.2522,29.5648,2.42827,2.22108,0.0869214,0.193059,NONE,999.9,0,0
0.270738,44.2351,29.5795,2.4291,2.2764,0.0920099,0.209451,NONE,999.9,0,0
0.274643,44.2351,29.5795,2.4291,2.2764,0.0920099,0.209451,NONE,999.9,0,0
0.279345,44.2176,29.5944,2.43008,2.32909,0.0912842,0.212609,NONE,999.9,0,0
0.282418,44.2176,29.5944,2.43008,2.32909,0.0912842,0.212609,NONE,999.9,0,0
0.286539,44.2176,29.5944,2.43008,2.32909,0.0912842,0.212609,NONE,999.9,0,0
0.290468,44.1997,29.6097,2.43095,2.37927,0.0961903,0.228863,NONE,999.9,0,0
0.294675,44.1997,29.6097,2.43095,2.37927,0.0961903,0.228863,NONE,999.9,0,0
0.299651,44.1814,29.6253,2.43197,2.42707,0.0953383,0.231393,NONE,999.9,0,0
