t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,collision
8.3144e-05,1.4742,0.0251664,2.93695,0.117983,0,0,FRENET,0.4,0.2,0
0.0029299,1.4742,0.0251664,2.93695,0.117983,0,0,FRENET,0.4,0.2,0
0.00670297,1.4742,0.0251664,2.93695,0.117983,0,0,FRENET,0.4,0.2,0
0.0109624,1.47258,0.0255028,2.93687,0.213083,-0.0206572,-0.0044017,FRENET,0.4,0.2,0
0.0149477,1.47258,0.0255028,2.93687,0.213083,-0.0206572,-0.0044017,FRENET,0.4,0.2,0
0.0193359,1.47003,0.0260329,2.93675,0.308183,-2.14898e-10,-6.62282e-11,FRENET,0.4,0.2,0
0.0227515,1.47003,0.0260329,2.93675,0.308183,-2.14898e-10,-6.62282e-11,FRENET,0.4,0.2,0
0.0264906,1.47003,0.0260329,2.93675,0.308183,-2.14898e-10,-6.62282e-11,FRENET,0.4,0.2,0
0.0312901,1.46654,0.0267567,2.93657,0.403283,-0.0390959,-0.0157667,FRENET,0.4,0.2,0
0.0348924,1.46654,0.0267567,2.93657,0.403283,-0.0390959,-0.0157667,FRENET,0.4,0.2,0
0.0395373,1.46213,0.0276752,2.93636,0.498383,-4.29797e-10,-2.14204e-10,FRENET,0.4,0.2,0
0.0424959,1.46213,0.0276752,2.93636,0.498383,-4.29797e-10,-2.14204e-10,FRENET,0.4,0.2,0
0.0464886,1.46213,0.0276752,2.93636,0.498383,-4.29797e-10,-2.14204e-10,FRENET,0.4,0.2,0
0.0505757,1.45679,0.0287936,2.9362,0.593483,-0.0089097,-0.00528776,FRENET,0.4,0.2,0
0.0545138,1.45679,0.0287936,2.9362,0.593483,-0.0089097,-0.00528776,FRENET,0.4,0.2,0
0.0590511,1.45052,0.0301376,2.93596,0.688583,-0.0145961,-0.0100506,FRENET,0.4,0.2,0
0.0628451,1.45052,0.0301376,2.93596,0.688583,-0.0145961,-0.0100506,FRENET,0.4,0.2,0
0.0682169,1.45052,0.0301376,2.93596,0.688583,-0.0145961,-0.0100506,FRENET,0.4,0.2,0
0.0722245,1.44332,0.0316823,2.93577,0.783683,-0.0324041,-0.0253945,FRENET,0.4,0.2,0
0.0749595,1.44332,0.0316823,2.93577,0.783683,-0.0324041,-0.0253945,FRENET,0.4,0.2,0
0.0796724,1.4352,0.0334397,2.93539,0.878783,-0.0314525,-0.0276399,FRENET,0.4,0.2,0
0.0828626,1.4352,0.0334397,2.93539,0.878783,-0.0314525,-0.0276399,FRENET,0.4,0.2,0
0.0868586,1.4352,0.0334397,2.93539,0.878783,-0.0314525,-0.0276399,FRENET,0.4,0.2,0
