t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,collision
0.000102766,1.47412,0.0251818,2.93695,0.123049,0,0,FRENET,0.4,0.2,0
0.00408817,1.47412,0.0251818,2.93695,0.123049,0,0,FRENET,0.4,0.2,0
0.00870413,1.47245,0.0255286,2.93686,0.218149,-0.0211482,-0.00461346,FRENET,0.4,0.2,0
0.0124993,1.47245,0.0255286,2.93686,0.218149,-0.0211482,-0.00461346,FRENET,0.4,0.2,0
0.0165325,1.47245,0.0255286,2.93686,0.218149,-0.0211482,-0.00461346,FRENET,0.4,0.2,0
0.0202236,1.46985,0.0260689,2.93674,0.313249,-2.14898e-10,-6.73167e-11,FRENET,0.4,0.2,0
0.0240445,1.46985,0.0260689,2.93674,0.313249,-2.14898e-10,-6.73167e-11,FRENET,0.4,0.2,0
0.028873,1.46632,0.0268031,2.93656,0.408349,-0.039587,-0.0161653,FRENET,0.4,0.2,0
0.0318543,1.46632,0.0268031,2.93656,0.408349,-0.039587,-0.0161653,FRENET,0.4,0.2,0
0.0358495,1.46632,0.0268031,2.93656,0.408349,-0.039587,-0.0161653,FRENET,0.4,0.2,0
0.040545,1.46186,0.0277319,2.93635,0.503449,-0.00813058,-0.00409333,FRENET,0.4,0.2,0
0.0440261,1.46186,0.0277319,2.93635,0.503449,-0.00813058,-0.00409333,FRENET,0.4,0.2,0
0.0492782,1.45646,0.0288654,2.93627,0.598549,-0.0273988,-0.0163995,FRENET,0.4,0.2,0
0.0518017,1.45646,0.0288654,2.93627,0.598549,-0.0273988,-0.0163995,FRENET,0.4,0.2,0
0.0558624,1.45646,0.0288654,2.93627,0.598549,-0.0273988,-0.0163995,FRENET,0.4,0.2,0
0.0620383,1.45015,0.0302177,2.93599,0.693649,-0.0220562,-0.0152993,FRENET,0.4,0.2,0
0.0650202,1.45015,0.0302177,2.93599,0.693649,-0.0220562,-0.0152993,FRENET,0.4,0.2,0
0.0691303,1.4429,0.0317715,2.93577,0.788749,-0.0346462,-0.0273271,FRENET,0.4,0.2,0
0.0717902,1.4429,0.0317715,2.93577,0.788749,-0.0346462,-0.0273271,FRENET,0.4,0.2,0
0.0765248,1.4429,0.0317715,2.93577,0.788749,-0.0346462,-0.0273271,FRENET,0.4,0.2,0
0.0816738,1.43472,0.0335389,2.93538,0.883849,-0.0321683,-0.0284319,FRENET,0.4,0.2,0
0.0837045,1.43472,0.0335389,2.93538,0.883849,-0.0321683,-0.0284319,FRENET,0.4,0.2,0
0.089373,1.42562,0.0355053,2.93506,0.978949,-0.0425091,-0.0416142,FRENET,0.4,0.2,0
0.0917672,1.42562,0.0355053,2.93506,0.978949,-0.0425091,-0.0416142,FRENET,0.4,0.2,0
0.0961101,1.42562,0.0355053,2.93506,0.978949,-0.0425091,-0.0416142,FRENET,0.4,0.2,0
0.100002,1.41559,0.0376848,2.93459,1.07405,-0.0414312,-0.0444992,FRENET,0.4,0.2,0
0.104887,1.41559,0.0376848,2.93459,1.07405,-0.0414312,-0.0444992,FRENET,0.4,0.2,0
0.109042,1.40463,0.0400634,2.93418,1.16915,-0.0499965,-0.0584534,FRENET,0.4,0.2,0
0.112205,1.40463,0.0400634,2.93418,1.16915,-0.0499965,-0.0584534,FRENET,0.4,0.2,0
0.116248,1.40463,0.0400634,2.93418,1.16915,-0.0499965,-0.0584534,FRENET,0.4,0.2,0
0.119807,1.39274,0.0426562,2.93363,1.26425,-0.0495941,-0.0626993,FRENET,0.4,0.2,0
0.123882,1.39274,0.0426562,2.93363,1.26425,-0.0495941,-0.0626993,FRENET,0.4,0.2,0
0.129014,1.37992,0.0454493,2.93315,1.35935,-0.0569816,-0.0774579,FRENET,0.4,0.2,0
0.132404,1.37992,0.0454493,2.93315,1.35935,-0.0569816,-0.0774579,FRENET,0.4,0.2,0
0.136404,1.37992,0.0454493,2.93315,1.35935,-0.0569816,-0.0774579,FRENET,0.4,0.2,0
0.140038,1.36618,0.0484585,2.93253,1.45445,-0.0569577,-0.0828421,FRENET,0.4,0.2,0
0.143854,1.36618,0.0484585,2.93253,1.45445,-0.0569577,-0.0828421,FRENET,0.4,0.2,0
0.148647,1.35151,0.0516697,2.93198,1.54955,-0.0634933,-0.0983859,FRENET,0.4,0.2,0
0.151783,1.35151,0.0516697,2.93198,1.54955,-0.0634933,-0.0983859,FRENET,0.4,0.2,0
0.155863,1.35151,0.0516697,2.93198,1.54955,-0.0634933,-0.0983859,FRENET,0.4,0.2,0
0.160124,1.33591,0.0550992,2.93129,1.64465,-0.0636734,-0.10472,FRENET,0.4,0.2,0
0.164271,1.33591,0.0550992,2.93129,1.64465,-0.0636734,-0.10472,FRENET,0.4,0.2,0
0.169013,1.3194,0.0587128,2.93085,1.73578,-0.018169,-0.0315373,FRENET,0.4,0.2,0
0.172334,1.3194,0.0587128,2.93085,1.73578,-0.018169,-0.0315373,FRENET,0.4,0.2,0
0.175867,1.3194,0.0587128,2.93085,1.73578,-0.018169,-0.0315373,FRENET,0.4,0.2,0
0.180129,1.30201,0.0624705,2.93085,1.82257,0.00639591,0.011657,FRENET,0.4,0.2,0
