t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,collision
7.7901e-05,-75.7538,52.8964,-1.48757,0.131092,0,0,FGM,0.530328,0.111689,0
0.00340288,-75.7538,52.8964,-1.48757,0.131092,0,0,FGM,0.530328,0.111689,0
0.0075506,-75.7538,52.8964,-1.48757,0.131092,0,0,FGM,0.530328,0.111689,0
0.0114419,-75.7537,52.8946,-1.48767,0.226192,-0.0219279,-0.00495992,FGM,0.530328,0.111689,0
0.0153389,-75.7537,52.8946,-1.48767,0.226192,-0.0219279,-0.00495992,FGM,0.530328,0.111689,0
0.0201654,-75.7534,52.8919,-1.48779,0.321292,-2.14898e-10,-6.90451e-11,FGM,0.530328,0.111689,0
0.0234077,-75.7534,52.8919,-1.48779,0.321292,-2.14898e-10,-6.90451e-11,FGM,0.530328,0.111689,0
0.0274724,-75.7534,52.8919,-1.48779,0.321292,-2.14898e-10,-6.90451e-11,FGM,0.530328,0.111689,0
0.0315654,-75.7531,52.8882,-1.48798,0.416392,-0.0403667,-0.0168084,FGM,0.338353,0.172416,0
0.0354546,-75.7531,52.8882,-1.48798,0.416392,-0.0403667,-0.0168084,FGM,0.338353,0.172416,0
0.0400569,-75.7528,52.8836,-1.48819,0.511492,-0.00826048,-0.00422517,FGM,0.338353,0.172416,0
0.0432594,-75.7528,52.8836,-1.48819,0.511492,-0.00826048,-0.00422517,FGM,0.338353,0.172416,0
0.0472431,-75.7528,52.8836,-1.48819,0.511492,-0.00826048,-0.00422517,FGM,0.338353,0.172416,0
0.0514832,-75.7523,52.878,-1.48827,0.606592,-0.0272214,-0.0165123,FGM,0.338353,0.172416,0
0.0555793,-75.7523,52.878,-1.48827,0.606592,-0.0272214,-0.0165123,FGM,0.338353,0.172416,0
0.0601307,-75.7518,52.8715,-1.48856,0.701692,-0.0221396,-0.0155352,FGM,0.338353,0.172416,0
0.063558,-75.7518,52.8715,-1.48856,0.701692,-0.0221396,-0.0155352,FGM,0.338353,0.172416,0
0.0675297,-75.7518,52.8715,-1.48856,0.701692,-0.0221396,-0.0155352,FGM,0.338353,0.172416,0
0.0713683,-75.7512,52.864,-1.48878,0.796792,-0.034749,-0.0276877,FGM,0.338353,0.172416,0
0.0754164,-75.7512,52.864,-1.48878,0.796792,-0.034749,-0.0276877,FGM,0.338353,0.172416,0
0.0803191,-75.7506,52.8556,-1.48917,0.891892,-0.0324273,-0.0289217,FGM,0.338353,0.172416,0
0.0839656,-75.7506,52.8556,-1.48917,0.891892,-0.0324273,-0.0289217,FGM,0.0864404,0.256861,0
0.0874315,-75.7506,52.8556,-1.48917,0.891892,-0.0324273,-0.0289217,FGM,0.0864404,0.256861,0
0.0913795,-75.7499,52.8462,-1.48949,0.986992,-0.042721,-0.0421653,FGM,0.0864404,0.256861,0
0.0955816,-75.7499,52.8462,-1.48949,0.986992,-0.042721,-0.0421653,FGM,0.0864404,0.256861,0
0.100017,-75.7491,52.8359,-1.48997,1.08209,-0.0417104,-0.0451344,FGM,0.0864404,0.256861,0
0.103328,-75.7491,52.8359,-1.48997,1.08209,-0.0417104,-0.0451344,FGM,0.0864404,0.256861,0
0.107348,-75.7491,52.8359,-1.48997,1.08209,-0.0417104,-0.0451344,FGM,0.0864404,0.256861,0
0.111443,-75.7483,52.8246,-1.49022,1.17719,-0.00292995,-0.00344911,FGM,0.0864404,0.256861,0
0.11543,-75.7483,52.8246,-1.49022,1.17719,-0.00292995,-0.00344911,FGM,0.0864404,0.256861,0
0.119991,-75.7473,52.8124,-1.49011,1.27229,0.0121012,0.0153963,FGM,0.0864404,0.256861,0
0.123451,-75.7473,52.8124,-1.49011,1.27229,0.0121012,0.0153963,FGM,0.0864404,0.256861,0
0.127717,-75.7473,52.8124,-1.49011,1.27229,0.0121012,0.0153963,FGM,0.0864404,0.256861,0
0.13141,-75.7462,52.7993,-1.48995,1.36739,0.0288255,0.0394157,FGM,0,0.338393,0
0.13539,-75.7462,52.7993,-1.48995,1.36739,0.0288255,0.0394157,FGM,0,0.338393,0
0.139916,-75.745,52.7852,-1.48958,1.46249,0.0351965,0.0514746,FGM,0,0.338393,0
0.143444,-75.745,52.7852,-1.48958,1.46249,0.0351965,0.0514746,FGM,0,0.338393,0
0.147418,-75.745,52.7852,-1.48958,1.46249,0.0351965,0.0514746,FGM,0,0.338393,0
0.151468,-75.7438,52.7701,-1.48922,1.55759,0.0463347,0.0721706,FGM,0,0.338393,0
0.155309,-75.7438,52.7701,-1.48922,1.55759,0.0463347,0.0721706,FGM,0,0.338393,0
0.159791,-75.7424,52.7541,-1.48869,1.65269,0.0500135,0.0826569,FGM,0,0.338393,0
0.163392,-75.7424,52.7541,-1.48869,1.65269,0.0500135,0.0826569,FGM,0,0.338393,0
0.167352,-75.7424,52.7541,-1.48869,1.65269,0.0500135,0.0826569,FGM,0,0.338393,0
0.171246,-75.7409,52.7372,-1.4882,1.74779,0.0585412,0.102318,FGM,0,0.338393,0
0.175451,-75.7409,52.7372,-1.4882,1.74779,0.0585412,0.102318,FGM,0,0.338393,0
0.180092,-75.7394,52.7193,-1.48755,1.84049,0.0610558,0.112372,FGM,0.0797625,0.284315,0
0.183482,-75.7394,52.7193,-1.48755,1.84049,0.0610558,0.112372,FGM,0.0797625,0.284315,0
0.187367,-75.7394,52.7193,-1.48755,1.84049,0.0610558,0.112372,FGM,0.0797625,0.284315,0
0.19138,-75.7377,52.7006,-1.48695,1.92344,0.0690258,0.132767,FGM,0.0797625,0.284315,0
0.195529,-75.7377,52.7006,-1.48695,1.92344,0.0690258,0.132767,FGM,0.0797625,0.284315,0
0.200142,-75.736,52.681,-1.48619,2.00244,0.0708455,0.141864,FGM,0.0797625,0.284315,0
0.203428,-75.736,52.681,-1.48619,2.00244,0.0708455,0.141864,FGM,0.0797625,0.284315,0
0.207353,-75.736,52.681,-1.48619,2.00244,0.0708455,0.141864,FGM,0.0797625,0.284315,0
0.211354,-75.7341,52.6607,-1.48551,2.07769,0.0776336,0.161299,FGM,0.0797625,0.284315,0
0.21535,-75.7341,52.6607,-1.48551,2.07769,0.0776336,0.161299,FGM,0.0797625,0.284315,0
0.220115,-75.7322,52.6397,-1.48446,2.14936,0.138937,0.298625,FGM,0.0797625,0.284315,0
0.223466,-75.7322,52.6397,-1.48446,2.14936,0.138937,0.298625,FGM,0.0797625,0.284315,0
0.227369,-75.7322,52.6397,-1.48446,2.14936,0.138937,0.298625,FGM,0.0797625,0.284315,0
0.231421,-75.7301,52.6179,-1.48281,2.21762,0.176891,0.392278,FGM,0,0.34202,0
0.235362,-75.7301,52.6179,-1.48281,2.21762,0.176891,0.392278,FGM,0,0.34202,0
0.240201,-75.7279,52.5956,-1.48092,2.2738,0.212377,0.482903,FGM,0,0.34202,0
0.243515,-75.7279,52.5956,-1.48092,2.2738,0.212377,0.482903,FGM,0,0.34202,0
0.247513,-75.7279,52.5956,-1.48092,2.2738,0.212377,0.482903,FGM,0,0.34202,0
0.251434,-75.7256,52.5727,-1.47862,2.32731,0.233407,0.543209,FGM,0,0.34202,0
0.25536,-75.7256,52.5727,-1.47862,2.32731,0.233407,0.543209,FGM,0,0.34202,0
0.260079,-75.7232,52.5493,-1.47624,2.37827,0.254429,0.605102,FGM,0,0.34202,0
0.263433,-75.7232,52.5493,-1.47624,2.37827,0.254429,0.605102,FGM,0,0.34202,0
0.267315,-75.7232,52.5493,-1.47624,2.37827,0.254429,0.605102,FGM,0,0.34202,0
0.271391,-75.7206,52.5254,-1.47357,2.42682,0.265983,0.645492,FGM,0,0.34202,0
0.275404,-75.7206,52.5254,-1.47357,2.42682,0.265983,0.645492,FGM,0,0.34202,0
0.280029,-75.718,52.501,-1.4709,2.47305,0.280541,0.693792,FRENET,0.697657,0.0184794,0
0.283444,-75.718,52.501,-1.4709,2.47305,0.280541,0.693792,FRENET,0.697657,0.0184794,0
0.287233,-75.718,52.501,-1.4709,2.47305,0.280541,0.693792,FRENET,0.697657,0.0184794,0
0.291562,-75.7152,52.4769,-1.4677,2.37795,0.329201,0.782823,FRENET,0.697657,0.0184794,0
0.295486,-75.7152,52.4769,-1.4677,2.37795,0.329201,0.782823,FRENET,0.697657,0.0184794,0
0.300128,-75.7126,52.4538,-1.46433,2.28285,0.366633,0.836967,FRENET,0.697657,0.0184794,0
0.303361,-75.7126,52.4538,-1.46433,2.28285,0.366633,0.836967,FRENET,0.697657,0.0184794,0
0.307476,-75.7126,52.4538,-1.46433,2.28285,0.366633,0.836967,FRENET,0.697657,0.0184794,0
0.3115,-75.7099,52.4315,-1.46013,2.20327,0.485052,1.0687,FRENET,0.697657,0.0184794,0
0.315432,-75.7099,52.4315,-1.46013,2.20327,0.485052,1.0687,FRENET,0.697657,0.0184794,0
0.320157,-75.7071,52.41,-1.45455,2.13883,0.63819,1.36498,FRENET,0.697657,0.0184794,0
0.323261,-75.7071,52.41,-1.45455,2.13883,0.63819,1.36498,FRENET,0.697657,0.0184794,0
0.327393,-75.7071,52.41,-1.45455,2.13883,0.63819,1.36498,FRENET,0.697657,0.0184794,0
0.331412,-75.7041,52.3891,-1.44772,2.08665,0.698638,1.45781,FRENET,0.691231,0.0184794,0
0.335413,-75.7041,52.3891,-1.44772,2.08665,0.698638,1.45781,FRENET,0.691231,0.0184794,0
0.340073,-75.7011,52.3687,-1.44067,2.04439,0.726833,1.48593,FRENET,0.691231,0.0184794,0
0.343388,-75.7011,52.3687,-1.44067,2.04439,0.726833,1.48593,FRENET,0.691231,0.0184794,0
0.347383,-75.7011,52.3687,-1.44067,2.04439,0.726833,1.48593,FRENET,0.691231,0.0184794,0
0.35152,-75.6979,52.3486,-1.43333,2.01017,0.720927,1.44919,FRENET,0.691231,0.0184794,0
0.355386,-75.6979,52.3486,-1.43333,2.01017,0.720927,1.44919,FRENET,0.691231,0.0184794,0
0.360166,-75.6946,52.3289,-1.42624,1.98246,0.715819,1.41908,FRENET,0.691231,0.0184794,0
0.36338,-75.6946,52.3289,-1.42624,1.98246,0.715819,1.41908,FRENET,0.691231,0.0184794,0
0.367269,-75.6946,52.3289,-1.42624,1.98246,0.715819,1.41908,FRENET,0.691231,0.0184794,0
0.371498,-75.6912,52.3095,-1.41909,1.96002,0.696024,1.36422,FRENET,0.691231,0.0184794,0
0.375533,-75.6912,52.3095,-1.41909,1.96002,0.696024,1.36422,FRENET,0.691231,0.0184794,0
0.380054,-75.6876,52.2903,-1.41227,1.94184,0.686844,1.33374,FRENET,0.7187,0.0184794,0
0.383387,-75.6876,52.2903,-1.41227,1.94184,0.686844,1.33374,FRENET,0.7187,0.0184794,0
0.387405,-75.6876,52.2903,-1.41227,1.94184,0.686844,1.33374,FRENET,0.7187,0.0184794,0
0.391491,-75.6839,52.2714,-1.40541,1.92713,0.668324,1.28795,FRENET,0.7187,0.0184794,0
0.395513,-75.6839,52.2714,-1.40541,1.92713,0.668324,1.28795,FRENET,0.7187,0.0184794,0
0.400047,-75.6802,52.2525,-1.39885,1.91521,0.662335,1.26851,FRENET,0.7187,0.0184794,0
0.403365,-75.6802,52.2525,-1.39885,1.91521,0.662335,1.26851,FRENET,0.7187,0.0184794,0
0.407425,-75.6802,52.2525,-1.39885,1.91521,0.662335,1.26851,FRENET,0.7187,0.0184794,0
0.411396,-75.6763,52.2338,-1.39221,1.90556,0.64782,1.23446,FRENET,0.7187,0.0184794,0
0.415528,-75.6763,52.2338,-1.39221,1.90556,0.64782,1.23446,FRENET,0.7187,0.0184794,0
0.420218,-75.6722,52.2152,-1.38584,1.89774,0.645536,1.22506,FRENET,0.7187,0.0184794,0
0.423439,-75.6722,52.2152,-1.38584,1.89774,0.645536,1.22506,FRENET,0.7187,0.0184794,0
0.427517,-75.6722,52.2152,-1.38584,1.89774,0.645536,1.22506,FRENET,0.7187,0.0184794,0
0.431572,-75.6681,52.1967,-1.37935,1.89142,0.634398,1.19991,FRENET,0.309463,0.252808,0
0.43539,-75.6681,52.1967,-1.37935,1.89142,0.634398,1.19991,FRENET,0.309463,0.252808,0
0.440064,-75.6638,52.1782,-1.37318,1.91597,0.619138,1.18625,FRENET,0.309463,0.252808,0
0.444463,-75.6638,52.1782,-1.37318,1.91597,0.619138,1.18625,FRENET,0.309463,0.252808,0
0.447564,-75.6638,52.1782,-1.37318,1.91597,0.619138,1.18625,FRENET,0.309463,0.252808,0
0.451423,-75.6593,52.1595,-1.36697,1.93936,0.608843,1.18077,FRENET,0.309463,0.252808,0
0.455568,-75.6593,52.1595,-1.36697,1.93936,0.608843,1.18077,FRENET,0.309463,0.252808,0
0.460253,-75.6547,52.1405,-1.3612,1.96163,0.536372,1.05216,FRENET,0.309463,0.252808,0
0.463584,-75.6547,52.1405,-1.3612,1.96163,0.536372,1.05216,FRENET,0.309463,0.252808,0
0.467563,-75.6547,52.1405,-1.3612,1.96163,0.536372,1.05216,FRENET,0.309463,0.252808,0
0.471609,-75.65,52.1214,-1.3561,1.98285,0.503483,0.998331,FRENET,0.309463,0.252808,0
0.475573,-75.65,52.1214,-1.3561,1.98285,0.503483,0.998331,FRENET,0.309463,0.252808,0
0.480125,-75.6451,52.102,-1.35111,2.00306,0.47978,0.961027,FRENET,0.325988,0.252808,0
0.483594,-75.6451,52.102,-1.35111,2.00306,0.47978,0.961027,FRENET,0.325988,0.252808,0
0.487346,-75.6451,52.102,-1.35111,2.00306,0.47978,0.961027,FRENET,0.325988,0.252808,0
0.491579,-75.6402,52.0825,-1.34643,2.0223,0.474316,0.959211,FRENET,0.325988,0.252808,0
0.495449,-75.6402,52.0825,-1.34643,2.0223,0.474316,0.959211,FRENET,0.325988,0.252808,0
0.500169,-75.6351,52.0628,-1.34165,2.04064,0.466223,0.951391,FRENET,0.325988,0.252808,0
0.503592,-75.6351,52.0628,-1.34165,2.04064,0.466223,0.951391,FRENET,0.325988,0.252808,0
0.507499,-75.6351,52.0628,-1.34165,2.04064,0.466223,0.951391,FRENET,0.325988,0.252808,0
0.511716,-75.6299,52.043,-1.33732,2.05809,0.38985,0.802349,FRENET,0.325988,0.252808,0
0.515466,-75.6299,52.043,-1.33732,2.05809,0.38985,0.802349,FRENET,0.325988,0.252808,0
0.520205,-75.6247,52.023,-1.33371,2.07472,0.351728,0.72974,FRENET,0.325988,0.252808,0
0.523409,-75.6247,52.023,-1.33371,2.07472,0.351728,0.72974,FRENET,0.325988,0.252808,0
0.527483,-75.6247,52.023,-1.33371,2.07472,0.351728,0.72974,FRENET,0.325988,0.252808,0
0.531568,-75.6194,52.0029,-1.33027,2.09056,0.323047,0.67535,FRENET,0.321687,0.252808,0
0.535482,-75.6194,52.0029,-1.33027,2.09056,0.323047,0.67535,FRENET,0.321687,0.252808,0
0.540132,-75.614,51.9826,-1.32718,2.10565,0.312967,0.658999,FRENET,0.321687,0.252808,0
0.543474,-75.614,51.9826,-1.32718,2.10565,0.312967,0.658999,FRENET,0.321687,0.252808,0
0.547365,-75.614,51.9826,-1.32718,2.10565,0.312967,0.658999,FRENET,0.321687,0.252808,0
0.551561,-75.6085,51.9622,-1.32403,2.12002,0.30096,0.638041,FRENET,0.321687,0.252808,0
0.555616,-75.6085,51.9622,-1.32403,2.12002,0.30096,0.638041,FRENET,0.321687,0.252808,0
0.56011,-75.603,51.9416,-1.32112,2.14559,0.298218,0.639853,FRENET,0.321687,0.252808,0
0.563434,-75.603,51.9416,-1.32112,2.14559,0.298218,0.639853,FRENET,0.321687,0.252808,0
0.567537,-75.603,51.9416,-1.32112,2.14559,0.298218,0.639853,FRENET,0.321687,0.252808,0
0.571495,-75.5973,51.9208,-1.31809,2.16995,0.291811,0.633213,FRENET,0.321687,0.252808,0
0.575667,-75.5973,51.9208,-1.31809,2.16995,0.291811,0.633213,FRENET,0.321687,0.252808,0
0.580069,-75.5915,51.8998,-1.31524,2.19314,0.295085,0.647165,FRENET,0.316883,0.252808,0
0.583471,-75.5915,51.8998,-1.31524,2.19314,0.295085,0.647165,FRENET,0.316883,0.252808,0
0.587502,-75.5915,51.8998,-1.31524,2.19314,0.295085,0.647165,FRENET,0.316883,0.252808,0
0.591519,-75.5856,51.8785,-1.31222,2.21524,0.292247,0.647398,FRENET,0.316883,0.252808,0
0.595447,-75.5856,51.8785,-1.31222,2.21524,0.292247,0.647398,FRENET,0.316883,0.252808,0
0.59995,-75.5796,51.8571,-1.30935,2.23628,0.29756,0.665428,FRENET,0.316883,0.252808,0
0.603408,-75.5796,51.8571,-1.30935,2.23628,0.29756,0.665428,FRENET,0.316883,0.252808,0
0.607487,-75.5796,51.8571,-1.30935,2.23628,0.29756,0.665428,FRENET,0.316883,0.252808,0
0.61161,-75.5735,51.8355,-1.30631,2.25633,0.295924,0.667703,FRENET,0.316883,0.252808,0
0.615501,-75.5735,51.8355,-1.30631,2.25633,0.295924,0.667703,FRENET,0.316883,0.252808,0
0.620777,-75.5672,51.8137,-1.30339,2.27542,0.301864,0.686868,FRENET,0.316883,0.252808,0
0.623662,-75.5672,51.8137,-1.30339,2.27542,0.301864,0.686868,FRENET,0.316883,0.252808,0
0.627659,-75.5672,51.8137,-1.30339,2.27542,0.301864,0.686868,FRENET,0.316883,0.252808,0
0.631597,-75.5609,51.7917,-1.3003,2.2936,0.300577,0.689404,FRENET,0.334097,0.252808,0
0.635617,-75.5609,51.7917,-1.3003,2.2936,0.300577,0.689404,FRENET,0.334097,0.252808,0
0.640025,-75.5544,51.7696,-1.29735,2.31092,0.306631,0.7086,FRENET,0.334097,0.252808,0
0.643617,-75.5544,51.7696,-1.29735,2.31092,0.306631,0.7086,FRENET,0.334097,0.252808,0
0.647407,-75.5544,51.7696,-1.29735,2.31092,0.306631,0.7086,FRENET,0.334097,0.252808,0
0.651662,-75.5478,51.7474,-1.29421,2.32742,0.305375,0.710735,FRENET,0.334097,0.252808,0
0.655633,-75.5478,51.7474,-1.29421,2.32742,0.305375,0.710735,FRENET,0.334097,0.252808,0
0.66017,-75.5412,51.725,-1.2912,2.34313,0.311355,0.729544,FRENET,0.334097,0.252808,0
0.663553,-75.5412,51.725,-1.2912,2.34313,0.311355,0.729544,FRENET,0.334097,0.252808,0
0.667488,-75.5412,51.725,-1.2912,2.34313,0.311355,0.729544,FRENET,0.334097,0.252808,0
0.671425,-75.5344,51.7025,-1.28802,2.35809,0.310012,0.731037,FRENET,0.334097,0.252808,0
0.675522,-75.5344,51.7025,-1.28802,2.35809,0.310012,0.731037,FRENET,0.334097,0.252808,0
0.680063,-75.5275,51.6799,-1.28497,2.37234,0.315851,0.749306,FRENET,0.635504,0.0215242,0
0.683414,-75.5275,51.6799,-1.28497,2.37234,0.315851,0.749306,FRENET,0.635504,0.0215242,0
0.687552,-75.5275,51.6799,-1.28497,2.37234,0.315851,0.749306,FRENET,0.635504,0.0215242,0
0.691465,-75.5204,51.657,-1.28154,2.41391,0.378895,0.914617,FRENET,0.635504,0.0215242,0
0.69552,-75.5204,51.657,-1.28154,2.41391,0.378895,0.914617,FRENET,0.635504,0.0215242,0
0.700152,-75.5131,51.6338,-1.27747,2.4535,0.418903,1.02778,FRENET,0.635504,0.0215242,0
0.703607,-75.5131,51.6338,-1.27747,2.4535,0.418903,1.02778,FRENET,0.635504,0.0215242,0
0.707465,-75.5131,51.6338,-1.27747,2.4535,0.418903,1.02778,FRENET,0.635504,0.0215242,0
0.711711,-75.5056,51.6103,-1.27317,2.4912,0.453576,1.12995,FRENET,0.635504,0.0215242,0
0.715599,-75.5056,51.6103,-1.27317,2.4912,0.453576,1.12995,FRENET,0.635504,0.0215242,0
0.720674,-75.4978,51.5864,-1.26845,2.52712,0.474771,1.1998,FRENET,0.635504,0.0215242,0
0.723674,-75.4978,51.5864,-1.26845,2.52712,0.474771,1.1998,FRENET,0.635504,0.0215242,0
0.727538,-75.4978,51.5864,-1.26845,2.52712,0.474771,1.1998,FRENET,0.635504,0.0215242,0
0.731552,-75.4897,51.5623,-1.26366,2.56132,0.496694,1.27219,FRENET,0.639081,0.0215242,0
