t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,collision
8.3608e-05,-75.7538,52.8964,-1.48757,0.131092,0,0,FGM,0.530108,0.11175,0
0.00406519,-75.7538,52.8964,-1.48757,0.131092,0,0,FGM,0.530108,0.11175,0
0.00878392,-75.7537,52.8946,-1.48767,0.226192,-0.0219279,-0.00495992,FGM,0.530108,0.11175,0
0.011858,-75.7537,52.8946,-1.48767,0.226192,-0.0219279,-0.00495992,FGM,0.530108,0.11175,0
0.0161764,-75.7537,52.8946,-1.48767,0.226192,-0.0219279,-0.00495992,FGM,0.530108,0.11175,0
0.0199072,-75.7534,52.8919,-1.48779,0.321292,-2.14898e-10,-6.90451e-11,FGM,0.530108,0.11175,0
0.0239357,-75.7534,52.8919,-1.48779,0.321292,-2.14898e-10,-6.90451e-11,FGM,0.530108,0.11175,0
0.0287854,-75.7531,52.8882,-1.48798,0.416392,-0.0403667,-0.0168084,FGM,0.390786,0.156725,0
0.0320402,-75.7531,52.8882,-1.48798,0.416392,-0.0403667,-0.0168084,FGM,0.390786,0.156725,0
0.0360409,-75.7531,52.8882,-1.48798,0.416392,-0.0403667,-0.0168084,FGM,0.390786,0.156725,0
0.0399112,-75.7528,52.8836,-1.48819,0.511492,-0.00826048,-0.00422517,FGM,0.390786,0.156725,0
0.0440559,-75.7528,52.8836,-1.48819,0.511492,-0.00826048,-0.00422517,FGM,0.390786,0.156725,0
0.0486587,-75.7523,52.878,-1.48827,0.606592,-0.0272214,-0.0165123,FGM,0.390786,0.156725,0
0.0519349,-75.7523,52.878,-1.48827,0.606592,-0.0272214,-0.0165123,FGM,0.390786,0.156725,0
0.0559422,-75.7523,52.878,-1.48827,0.606592,-0.0272214,-0.0165123,FGM,0.390786,0.156725,0
0.0599737,-75.7518,52.8715,-1.48856,0.701692,-0.0221396,-0.0155352,FGM,0.390786,0.156725,0
0.0640503,-75.7518,52.8715,-1.48856,0.701692,-0.0221396,-0.0155352,FGM,0.390786,0.156725,0
0.0687148,-75.7512,52.864,-1.48878,0.796792,-0.034749,-0.0276877,FGM,0.390786,0.156725,0
0.0718783,-75.7512,52.864,-1.48878,0.796792,-0.034749,-0.0276877,FGM,0.390786,0.156725,0
0.0758492,-75.7512,52.864,-1.48878,0.796792,-0.034749,-0.0276877,FGM,0.390786,0.156725,0
0.0799938,-75.7506,52.8556,-1.48917,0.891892,-0.0324273,-0.0289217,FGM,0.084884,0.257422,0
0.0839593,-75.7506,52.8556,-1.48917,0.891892,-0.0324273,-0.0289217,FGM,0.084884,0.257422,0
0.0887608,-75.7499,52.8462,-1.48949,0.986992,-0.042721,-0.0421653,FGM,0.084884,0.257422,0
0.091948,-75.7499,52.8462,-1.48949,0.986992,-0.042721,-0.0421653,FGM,0.084884,0.257422,0
0.0959675,-75.7499,52.8462,-1.48949,0.986992,-0.042721,-0.0421653,FGM,0.084884,0.257422,0
0.100173,-75.7491,52.8359,-1.48997,1.08209,-0.0417104,-0.0451344,FGM,0.084884,0.257422,0
0.103969,-75.7491,52.8359,-1.48997,1.08209,-0.0417104,-0.0451344,FGM,0.084884,0.257422,0
