t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
3.0328e-05,-75.7538,52.8964,-1.48757,0.131838,0,0,FGM,0.516695,0.115004,0.526256,0.516695,0.129399,0.115004,0
0.00361998,-75.7538,52.8964,-1.48757,0.131838,0,0,FGM,0.516695,0.115004,0.526256,0.516695,0.129399,0.115004,0
0.00762068,-75.7538,52.8964,-1.48757,0.131838,0,0,FGM,0.516695,0.115004,0.526256,0.516695,0.129399,0.115004,0
0.0115897,-75.7537,52.8946,-1.48767,0.226938,-0.0220003,-0.00499271,FGM,0.516695,0.115004,0.526256,0.516695,0.129399,0.115004,0
0.0156026,-75.7537,52.8946,-1.48767,0.226938,-0.0220003,-0.00499271,FGM,0.516695,0.115004,0.526256,0.516695,0.129399,0.115004,0
0.0200129,-75.7534,52.8919,-1.48779,0.322038,-2.14899e-10,-6.92055e-11,FGM,0.516695,0.115004,0.526256,0.516695,0.129399,0.115004,0
0.0235992,-75.7534,52.8919,-1.48779,0.322038,-2.14899e-10,-6.92055e-11,FGM,0.516695,0.115004,0.526256,0.516695,0.129399,0.115004,0
0.027602,-75.7534,52.8919,-1.48779,0.322038,-2.14899e-10,-6.92055e-11,FGM,0.516695,0.115004,0.526256,0.516695,0.129399,0.115004,0
0.0316217,-75.7531,52.8882,-1.48798,0.417138,-0.0404391,-0.0168687,FGM,0.351954,0.169631,0.527718,0.351954,0.129399,0.169631,0
0.0356264,-75.7531,52.8882,-1.48798,0.417138,-0.0404391,-0.0168687,FGM,0.351954,0.169631,0.527718,0.351954,0.129399,0.169631,0
0.0400014,-75.7527,52.8835,-1.4882,0.512238,-0.00827253,-0.00423751,FGM,0.351954,0.169631,0.527718,0.351954,0.129399,0.169631,0
0.04359,-75.7527,52.8835,-1.4882,0.512238,-0.00827253,-0.00423751,FGM,0.351954,0.169631,0.527718,0.351954,0.129399,0.169631,0
0.047639,-75.7527,52.8835,-1.4882,0.512238,-0.00827253,-0.00423751,FGM,0.351954,0.169631,0.527718,0.351954,0.129399,0.169631,0
0.0516334,-75.7523,52.878,-1.48827,0.607338,-0.0272058,-0.0165231,FGM,0.351954,0.169631,0.527718,0.351954,0.129399,0.169631,0
0.0555936,-75.7523,52.878,-1.48827,0.607338,-0.0272058,-0.0165231,FGM,0.351954,0.169631,0.527718,0.351954,0.129399,0.169631,0
0.0600282,-75.7518,52.8714,-1.48856,0.702438,-0.0221482,-0.0155577,FGM,0.351954,0.169631,0.527718,0.351954,0.129399,0.169631,0
0.0636282,-75.7518,52.8714,-1.48856,0.702438,-0.0221482,-0.0155577,FGM,0.351954,0.169631,0.527718,0.351954,0.129399,0.169631,0
0.0676092,-75.7518,52.8714,-1.48856,0.702438,-0.0221482,-0.0155577,FGM,0.351954,0.169631,0.527718,0.351954,0.129399,0.169631,0
0.0716304,-75.7512,52.864,-1.48878,0.797538,-0.0347589,-0.0277215,FGM,0.351954,0.169631,0.527718,0.351954,0.129399,0.169631,0
0.0755947,-75.7512,52.864,-1.48878,0.797538,-0.0347589,-0.0277215,FGM,0.351954,0.169631,0.527718,0.351954,0.129399,0.169631,0
0.0800244,-75.7506,52.8555,-1.48917,0.892638,-0.0324514,-0.0289673,FGM,0.351954,0.169631,0.527718,0.351954,0.129399,0.169631,0
0.0836242,-75.7506,52.8555,-1.48917,0.892638,-0.0324514,-0.0289673,FGM,0.0860512,0.253936,0.51968,0.0860512,0.129399,0.253936,0
0.0875957,-75.7506,52.8555,-1.48917,0.892638,-0.0324514,-0.0289673,FGM,0.0860512,0.253936,0.51968,0.0860512,0.129399,0.253936,0
0.0916206,-75.7499,52.8462,-1.48949,0.987738,-0.0427407,-0.0422166,FGM,0.0860512,0.253936,0.51968,0.0860512,0.129399,0.253936,0
0.0955977,-75.7499,52.8462,-1.48949,0.987738,-0.0427407,-0.0422166,FGM,0.0860512,0.253936,0.51968,0.0860512,0.129399,0.253936,0
0.0999978,-75.7491,52.8358,-1.48997,1.08284,-0.0417362,-0.0451935,FGM,0.0860512,0.253936,0.51968,0.0860512,0.129399,0.253936,0
0.103626,-75.7491,52.8358,-1.48997,1.08284,-0.0417362,-0.0451935,FGM,0.0860512,0.253936,0.51968,0.0860512,0.129399,0.253936,0
0.107625,-75.7491,52.8358,-1.48997,1.08284,-0.0417362,-0.0451935,FGM,0.0860512,0.253936,0.51968,0.0860512,0.129399,0.253936,0
0.11166,-75.7483,52.8246,-1.49022,1.17794,-0.00294742,-0.00347188,FGM,0.0860512,0.253936,0.51968,0.0860512,0.129399,0.253936,0
0.115625,-75.7483,52.8246,-1.49022,1.17794,-0.00294742,-0.00347188,FGM,0.0860512,0.253936,0.51968,0.0860512,0.129399,0.253936,0
0.12001,-75.7473,52.8123,-1.49011,1.27304,0.0120958,0.0153985,FGM,0.0860512,0.253936,0.51968,0.0860512,0.129399,0.253936,0
0.123646,-75.7473,52.8123,-1.49011,1.27304,0.0120958,0.0153985,FGM,0.0860512,0.253936,0.51968,0.0860512,0.129399,0.253936,0
0.127619,-75.7473,52.8123,-1.49011,1.27304,0.0120958,0.0153985,FGM,0.0860512,0.253936,0.51968,0.0860512,0.129399,0.253936,0
0.131657,-75.7462,52.7992,-1.48996,1.36814,0.0288234,0.0394344,FGM,0,0.336672,0.526885,0,0.129399,0.336672,0
0.135632,-75.7462,52.7992,-1.48996,1.36814,0.0288234,0.0394344,FGM,0,0.336672,0.526885,0,0.129399,0.336672,0
0.14007,-75.745,52.7851,-1.48958,1.46324,0.0352007,0.051507,FGM,0,0.336672,0.526885,0,0.129399,0.336672,0
0.143645,-75.745,52.7851,-1.48958,1.46324,0.0352007,0.051507,FGM,0,0.336672,0.526885,0,0.129399,0.336672,0
0.147659,-75.745,52.7851,-1.48958,1.46324,0.0352007,0.051507,FGM,0,0.336672,0.526885,0,0.129399,0.336672,0
0.151609,-75.7438,52.77,-1.48923,1.55834,0.04634,0.0722133,FGM,0,0.336672,0.526885,0,0.129399,0.336672,0
0.155596,-75.7438,52.77,-1.48923,1.55834,0.04634,0.0722133,FGM,0,0.336672,0.526885,0,0.129399,0.336672,0
0.160037,-75.7424,52.754,-1.48869,1.65344,0.0500225,0.0827091,FGM,0,0.336672,0.526885,0,0.129399,0.336672,0
0.163656,-75.7424,52.754,-1.48869,1.65344,0.0500225,0.0827091,FGM,0,0.336672,0.526885,0,0.129399,0.336672,0
0.167673,-75.7424,52.754,-1.48869,1.65344,0.0500225,0.0827091,FGM,0,0.336672,0.526885,0,0.129399,0.336672,0
0.171585,-75.7409,52.7371,-1.4882,1.74854,0.0585504,0.102378,FGM,0,0.336672,0.526885,0,0.129399,0.336672,0
0.175641,-75.7409,52.7371,-1.4882,1.74854,0.0585504,0.102378,FGM,0,0.336672,0.526885,0,0.129399,0.336672,0
