t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
3.6216e-05,-75.7538,52.8964,-1.48757,0.131405,0,0,FGM,0.523103,0.111517,0.704394,0.523103,0.0184794,0.111517,0
0.00398277,-75.7538,52.8964,-1.48757,0.131405,0,0,FGM,0.523103,0.111517,0.704394,0.523103,0.0184794,0.111517,0
0.00838713,-75.7537,52.8946,-1.48767,0.226505,-0.0219584,-0.00497369,FGM,0.523103,0.111517,0.704394,0.523103,0.0184794,0.111517,0
0.0119332,-75.7537,52.8946,-1.48767,0.226505,-0.0219584,-0.00497369,FGM,0.523103,0.111517,0.704394,0.523103,0.0184794,0.111517,0
0.0159294,-75.7537,52.8946,-1.48767,0.226505,-0.0219584,-0.00497369,FGM,0.523103,0.111517,0.704394,0.523103,0.0184794,0.111517,0
0.0199361,-75.7534,52.8919,-1.48779,0.321605,-2.14898e-10,-6.91125e-11,FGM,0.523103,0.111517,0.704394,0.523103,0.0184794,0.111517,0
0.0239539,-75.7534,52.8919,-1.48779,0.321605,-2.14898e-10,-6.91125e-11,FGM,0.523103,0.111517,0.704394,0.523103,0.0184794,0.111517,0
0.0283931,-75.7531,52.8882,-1.48798,0.416705,-0.0403971,-0.0168337,FGM,0.523103,0.111517,0.704394,0.523103,0.0184794,0.111517,0
0.0319805,-75.7531,52.8882,-1.48798,0.416705,-0.0403971,-0.0168337,FGM,0.523103,0.111517,0.704394,0.523103,0.0184794,0.111517,0
0.0359411,-75.7531,52.8882,-1.48798,0.416705,-0.0403971,-0.0168337,FGM,0.348695,0.167688,0.708291,0.348695,0.0184794,0.167688,0
0.0399396,-75.7527,52.8836,-1.48819,0.511805,-0.00826555,-0.00423035,FGM,0.348695,0.167688,0.708291,0.348695,0.0184794,0.167688,0
0.0439524,-75.7527,52.8836,-1.48819,0.511805,-0.00826555,-0.00423035,FGM,0.348695,0.167688,0.708291,0.348695,0.0184794,0.167688,0
0.0483845,-75.7523,52.878,-1.48827,0.606905,-0.0272148,-0.0165168,FGM,0.348695,0.167688,0.708291,0.348695,0.0184794,0.167688,0
0.0519601,-75.7523,52.878,-1.48827,0.606905,-0.0272148,-0.0165168,FGM,0.348695,0.167688,0.708291,0.348695,0.0184794,0.167688,0
0.0559391,-75.7523,52.878,-1.48827,0.606905,-0.0272148,-0.0165168,FGM,0.348695,0.167688,0.708291,0.348695,0.0184794,0.167688,0
0.0599387,-75.7518,52.8715,-1.48856,0.702005,-0.0221432,-0.0155446,FGM,0.348695,0.167688,0.708291,0.348695,0.0184794,0.167688,0
0.0639562,-75.7518,52.8715,-1.48856,0.702005,-0.0221432,-0.0155446,FGM,0.348695,0.167688,0.708291,0.348695,0.0184794,0.167688,0
0.068382,-75.7512,52.864,-1.48878,0.797105,-0.0347531,-0.0277019,FGM,0.348695,0.167688,0.708291,0.348695,0.0184794,0.167688,0
0.0719777,-75.7512,52.864,-1.48878,0.797105,-0.0347531,-0.0277019,FGM,0.348695,0.167688,0.708291,0.348695,0.0184794,0.167688,0
0.0759435,-75.7512,52.864,-1.48878,0.797105,-0.0347531,-0.0277019,FGM,0.348695,0.167688,0.708291,0.348695,0.0184794,0.167688,0
0.0799793,-75.7506,52.8556,-1.48917,0.892205,-0.0324374,-0.0289409,FGM,0.348695,0.167688,0.708291,0.348695,0.0184794,0.167688,0
0.083984,-75.7506,52.8556,-1.48917,0.892205,-0.0324374,-0.0289409,FGM,0.0838668,0.25171,0.698394,0.0838668,0.0184794,0.25171,0
0.0883598,-75.7499,52.8462,-1.48949,0.987305,-0.0427293,-0.0421869,FGM,0.0838668,0.25171,0.698394,0.0838668,0.0184794,0.25171,0
0.0919862,-75.7499,52.8462,-1.48949,0.987305,-0.0427293,-0.0421869,FGM,0.0838668,0.25171,0.698394,0.0838668,0.0184794,0.25171,0
0.0960113,-75.7499,52.8462,-1.48949,0.987305,-0.0427293,-0.0421869,FGM,0.0838668,0.25171,0.698394,0.0838668,0.0184794,0.25171,0
0.0999924,-75.7491,52.8359,-1.48997,1.08241,-0.0417212,-0.0451593,FGM,0.0838668,0.25171,0.698394,0.0838668,0.0184794,0.25171,0
0.103936,-75.7491,52.8359,-1.48997,1.08241,-0.0417212,-0.0451593,FGM,0.0838668,0.25171,0.698394,0.0838668,0.0184794,0.25171,0
0.108369,-75.7483,52.8246,-1.49022,1.17751,-0.0029373,-0.00345868,FGM,0.0838668,0.25171,0.698394,0.0838668,0.0184794,0.25171,0
0.111943,-75.7483,52.8246,-1.49022,1.17751,-0.0029373,-0.00345868,FGM,0.0838668,0.25171,0.698394,0.0838668,0.0184794,0.25171,0
0.11595,-75.7483,52.8246,-1.49022,1.17751,-0.0029373,-0.00345868,FGM,0.0838668,0.25171,0.698394,0.0838668,0.0184794,0.25171,0
0.119936,-75.7473,52.8124,-1.49011,1.27261,0.012099,0.0153972,FGM,0.0838668,0.25171,0.698394,0.0838668,0.0184794,0.25171,0
0.123947,-75.7473,52.8124,-1.49011,1.27261,0.012099,0.0153972,FGM,0.0838668,0.25171,0.698394,0.0838668,0.0184794,0.25171,0
