t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
2.9661e-05,-75.7538,52.8964,-1.48757,0.131445,0,0,FGM,0.509323,0.113693,0.525535,0.509323,0.129399,0.113693,0
0.00357159,-75.7538,52.8964,-1.48757,0.131445,0,0,FGM,0.509323,0.113693,0.525535,0.509323,0.129399,0.113693,0
0.00771005,-75.7538,52.8964,-1.48757,0.131445,0,0,FGM,0.509323,0.113693,0.525535,0.509323,0.129399,0.113693,0
0.011571,-75.7537,52.8946,-1.48767,0.226545,-0.0219622,-0.00497541,FGM,0.509323,0.113693,0.525535,0.509323,0.129399,0.113693,0
0.0155661,-75.7537,52.8946,-1.48767,0.226545,-0.0219622,-0.00497541,FGM,0.466873,0.13322,0.523286,0.466873,0.129399,0.13322,0
0.0200007,-75.7534,52.8919,-1.48779,0.321645,-2.14898e-10,-6.91209e-11,FGM,0.466873,0.13322,0.523286,0.466873,0.129399,0.13322,0
0.0235582,-75.7534,52.8919,-1.48779,0.321645,-2.14898e-10,-6.91209e-11,FGM,0.466873,0.13322,0.523286,0.466873,0.129399,0.13322,0
0.0275604,-75.7534,52.8919,-1.48779,0.321645,-2.14898e-10,-6.91209e-11,FGM,0.466873,0.13322,0.523286,0.466873,0.129399,0.13322,0
0.031597,-75.7531,52.8882,-1.48798,0.416745,-0.0404009,-0.0168369,FGM,0.466873,0.13322,0.523286,0.466873,0.129399,0.13322,0
0.0355817,-75.7531,52.8882,-1.48798,0.416745,-0.0404009,-0.0168369,FGM,0.466873,0.13322,0.523286,0.466873,0.129399,0.13322,0
0.0399943,-75.7527,52.8836,-1.48819,0.511845,-0.00826618,-0.004231,FGM,0.466873,0.13322,0.523286,0.466873,0.129399,0.13322,0
0.0436123,-75.7527,52.8836,-1.48819,0.511845,-0.00826618,-0.004231,FGM,0.466873,0.13322,0.523286,0.466873,0.129399,0.13322,0
0.0476099,-75.7527,52.8836,-1.48819,0.511845,-0.00826618,-0.004231,FGM,0.466873,0.13322,0.523286,0.466873,0.129399,0.13322,0
0.0516204,-75.7523,52.878,-1.48827,0.606945,-0.027214,-0.0165174,FGM,0.466873,0.13322,0.523286,0.466873,0.129399,0.13322,0
0.0555733,-75.7523,52.878,-1.48827,0.606945,-0.027214,-0.0165174,FGM,0.466873,0.13322,0.523286,0.466873,0.129399,0.13322,0
0.0600134,-75.7518,52.8715,-1.48856,0.702045,-0.0221436,-0.0155458,FGM,0.466873,0.13322,0.523286,0.466873,0.129399,0.13322,0
0.0635761,-75.7518,52.8715,-1.48856,0.702045,-0.0221436,-0.0155458,FGM,0.466873,0.13322,0.523286,0.466873,0.129399,0.13322,0
0.0675584,-75.7518,52.8715,-1.48856,0.702045,-0.0221436,-0.0155458,FGM,0.188786,0.21866,0.699389,0.188786,0.0184794,0.21866,0
0.0715679,-75.7512,52.864,-1.48878,0.797145,-0.0347536,-0.0277037,FGM,0.188786,0.21866,0.699389,0.188786,0.0184794,0.21866,0
0.0755686,-75.7512,52.864,-1.48878,0.797145,-0.0347536,-0.0277037,FGM,0.188786,0.21866,0.699389,0.188786,0.0184794,0.21866,0
0.080012,-75.7506,52.8556,-1.48917,0.892245,-0.0324387,-0.0289433,FGM,0.188786,0.21866,0.699389,0.188786,0.0184794,0.21866,0
0.0835732,-75.7506,52.8556,-1.48917,0.892245,-0.0324387,-0.0289433,FGM,0.188786,0.21866,0.699389,0.188786,0.0184794,0.21866,0
0.0875312,-75.7506,52.8556,-1.48917,0.892245,-0.0324387,-0.0289433,FGM,0.188786,0.21866,0.699389,0.188786,0.0184794,0.21866,0
0.0915234,-75.7499,52.8462,-1.48949,0.987345,-0.0427303,-0.0421895,FGM,0.188786,0.21866,0.699389,0.188786,0.0184794,0.21866,0
0.0955481,-75.7499,52.8462,-1.48949,0.987345,-0.0427303,-0.0421895,FGM,0.188786,0.21866,0.699389,0.188786,0.0184794,0.21866,0
0.0999951,-75.7491,52.8359,-1.48997,1.08244,-0.0417226,-0.0451624,FGM,0.188786,0.21866,0.699389,0.188786,0.0184794,0.21866,0
0.103527,-75.7491,52.8359,-1.48997,1.08244,-0.0417226,-0.0451624,FGM,0.188786,0.21866,0.699389,0.188786,0.0184794,0.21866,0
0.107549,-75.7491,52.8359,-1.48997,1.08244,-0.0417226,-0.0451624,FGM,0.188786,0.21866,0.699389,0.188786,0.0184794,0.21866,0
0.111576,-75.7483,52.8246,-1.49038,1.17754,-0.0502472,-0.0591683,FGM,0.188786,0.21866,0.699389,0.188786,0.0184794,0.21866,0
0.115512,-75.7483,52.8246,-1.49038,1.17754,-0.0502472,-0.0591683,FGM,0,0.307841,0.698518,0,0.0184794,0.307841,0
0.119984,-75.7474,52.8124,-1.49093,1.27264,-0.049882,-0.0634821,FGM,0,0.307841,0.698518,0,0.0184794,0.307841,0
0.123599,-75.7474,52.8124,-1.49093,1.27264,-0.049882,-0.0634821,FGM,0,0.307841,0.698518,0,0.0184794,0.307841,0
0.127572,-75.7474,52.8124,-1.49093,1.27264,-0.049882,-0.0634821,FGM,0,0.307841,0.698518,0,0.0184794,0.307841,0
0.131607,-75.7464,52.7992,-1.49141,1.36774,-0.0572381,-0.0782871,FGM,0,0.307841,0.698518,0,0.0184794,0.307841,0
0.135599,-75.7464,52.7992,-1.49141,1.36774,-0.0572381,-0.0782871,FGM,0,0.307841,0.698518,0,0.0184794,0.307841,0
0.13998,-75.7454,52.7851,-1.49204,1.46284,-0.0572349,-0.0837257,FGM,0,0.307841,0.698518,0,0.0184794,0.307841,0
0.143653,-75.7454,52.7851,-1.49204,1.46284,-0.0572349,-0.0837257,FGM,0,0.307841,0.698518,0,0.0184794,0.307841,0
