t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
7.9553e-05,44.4992,29.3507,2.41499,0.136944,0,0,FGM,1.67557,0.0577134,1.23924,1.67557,0.0217868,0.0577134,0
0.00349548,44.4992,29.3507,2.41499,0.136944,0,0,FGM,1.67557,0.0577134,1.23924,1.67557,0.0217868,0.0577134,0
0.00736646,44.4992,29.3507,2.41499,0.136944,0,0,FGM,1.67557,0.0577134,1.23924,1.67557,0.0217868,0.0577134,0
0.0112609,44.4978,29.352,2.41509,0.232044,0.0224953,0.0052199,FGM,1.67557,0.0577134,1.23924,1.67557,0.0217868,0.0577134,0
0.015373,44.4978,29.352,2.41509,0.232044,0.0224953,0.0052199,FGM,1.67557,0.0577134,1.23924,1.67557,0.0217868,0.0577134,0
0.0199637,44.4957,29.3538,2.4155,0.327144,0.0634944,0.0207718,FGM,1.67557,0.0577134,1.23924,1.67557,0.0217868,0.0577134,0
0.0233511,44.4957,29.3538,2.4155,0.327144,0.0634944,0.0207718,FGM,1.67557,0.0577134,1.23924,1.67557,0.0217868,0.0577134,0
0.0272742,44.4957,29.3538,2.4155,0.327144,0.0634944,0.0207718,FGM,1.67557,0.0577134,1.23924,1.67557,0.0217868,0.0577134,0
0.0314355,44.4929,29.3563,2.41604,0.422244,0.040934,0.0172842,FGM,1.62417,0.0649803,1.24031,1.62417,0.0217868,0.0649803,0
0.0355173,44.4929,29.3563,2.41604,0.422244,0.040934,0.0172842,FGM,1.62417,0.0649803,1.24031,1.62417,0.0217868,0.0649803,0
0.0399576,44.4894,29.3594,2.41673,0.517344,0.0695871,0.0360005,FGM,1.62417,0.0649803,1.24031,1.62417,0.0217868,0.0649803,0
0.0433485,44.4894,29.3594,2.41673,0.517344,0.0695871,0.0360005,FGM,1.62417,0.0649803,1.24031,1.62417,0.0217868,0.0649803,0
0.0474453,44.4894,29.3594,2.41673,0.517344,0.0695871,0.0360005,FGM,1.62417,0.0649803,1.24031,1.62417,0.0217868,0.0649803,0
0.0514182,44.4851,29.3631,2.41733,0.612444,0.0733699,0.044935,FGM,1.62417,0.0649803,1.24031,1.62417,0.0217868,0.0649803,0
0.0553799,44.4851,29.3631,2.41733,0.612444,0.0733699,0.044935,FGM,1.62417,0.0649803,1.24031,1.62417,0.0217868,0.0649803,0
0.0598621,44.4801,29.3674,2.41789,0.707544,0.046543,0.0329312,FGM,1.62417,0.0649803,1.24031,1.62417,0.0217868,0.0649803,0
0.0633692,44.4801,29.3674,2.41789,0.707544,0.046543,0.0329312,FGM,1.62417,0.0649803,1.24031,1.62417,0.0217868,0.0649803,0
0.0674018,44.4801,29.3674,2.41789,0.707544,0.046543,0.0329312,FGM,1.62417,0.0649803,1.24031,1.62417,0.0217868,0.0649803,0
0.0714586,44.4744,29.3723,2.41829,0.802644,0.0486782,0.0390713,FGM,1.62417,0.0649803,1.24031,1.62417,0.0217868,0.0649803,0
0.0752772,44.4744,29.3723,2.41829,0.802644,0.0486782,0.0390713,FGM,1.62417,0.0649803,1.24031,1.62417,0.0217868,0.0649803,0
0.0800247,44.468,29.3779,2.41879,0.897744,0.0415551,0.0373059,FGM,1.52409,0.0769409,1.24568,1.52409,0.0217868,0.0769409,0
0.0834463,44.468,29.3779,2.41879,0.897744,0.0415551,0.0373059,FGM,1.52409,0.0769409,1.24568,1.52409,0.0217868,0.0769409,0
0.0873053,44.468,29.3779,2.41879,0.897744,0.0415551,0.0373059,FGM,1.52409,0.0769409,1.24568,1.52409,0.0217868,0.0769409,0
0.091343,44.4608,29.3841,2.41919,0.992844,0.0491462,0.0487945,FGM,1.52409,0.0769409,1.24568,1.52409,0.0217868,0.0769409,0
0.0953881,44.4608,29.3841,2.41919,0.992844,0.0491462,0.0487945,FGM,1.52409,0.0769409,1.24568,1.52409,0.0217868,0.0769409,0
0.100035,44.453,29.3909,2.41972,1.08794,0.0465187,0.0506097,FGM,1.52409,0.0769409,1.24568,1.52409,0.0217868,0.0769409,0
0.103284,44.453,29.3909,2.41972,1.08794,0.0465187,0.0506097,FGM,1.52409,0.0769409,1.24568,1.52409,0.0217868,0.0769409,0
0.107404,44.453,29.3909,2.41972,1.08794,0.0465187,0.0506097,FGM,1.52409,0.0769409,1.24568,1.52409,0.0217868,0.0769409,0
0.111304,44.4444,29.3984,2.42017,1.18304,0.0538887,0.0637528,FGM,1.52409,0.0769409,1.24568,1.52409,0.0217868,0.0769409,0
0.115469,44.4444,29.3984,2.42017,1.18304,0.0538887,0.0637528,FGM,1.52409,0.0769409,1.24568,1.52409,0.0217868,0.0769409,0
0.119892,44.4351,29.4064,2.42075,1.27814,0.0527457,0.0674166,FGM,1.52409,0.0769409,1.24568,1.52409,0.0217868,0.0769409,0
0.123344,44.4351,29.4064,2.42075,1.27814,0.0527457,0.0674166,FGM,1.52409,0.0769409,1.24568,1.52409,0.0217868,0.0769409,0
0.127444,44.4351,29.4064,2.42075,1.27814,0.0527457,0.0674166,FGM,1.52409,0.0769409,1.24568,1.52409,0.0217868,0.0769409,0
0.131348,44.4251,29.4151,2.42126,1.37324,0.0594942,0.0817001,FGM,1.43545,0.0778809,1.25098,1.43545,0.0217868,0.0778809,0
0.135509,44.4251,29.4151,2.42126,1.37324,0.0594942,0.0817001,FGM,1.43545,0.0778809,1.25098,1.43545,0.0217868,0.0778809,0
0.140074,44.4143,29.4244,2.42191,1.46834,0.0590649,0.0867276,FGM,1.43545,0.0778809,1.25098,1.43545,0.0217868,0.0778809,0
0.143481,44.4143,29.4244,2.42191,1.46834,0.0590649,0.0867276,FGM,1.43545,0.0778809,1.25098,1.43545,0.0217868,0.0778809,0
0.147571,44.4143,29.4244,2.42191,1.46834,0.0590649,0.0867276,FGM,1.43545,0.0778809,1.25098,1.43545,0.0217868,0.0778809,0
0.151492,44.4028,29.4343,2.42248,1.56344,0.0652225,0.101972,FGM,1.43545,0.0778809,1.25098,1.43545,0.0217868,0.0778809,0
0.155438,44.4028,29.4343,2.42248,1.56344,0.0652225,0.101972,FGM,1.43545,0.0778809,1.25098,1.43545,0.0217868,0.0778809,0
0.16002,44.3906,29.4448,2.42318,1.65854,0.0651625,0.108075,FGM,1.43545,0.0778809,1.25098,1.43545,0.0217868,0.0778809,0
0.163333,44.3906,29.4448,2.42318,1.65854,0.0651625,0.108075,FGM,1.43545,0.0778809,1.25098,1.43545,0.0217868,0.0778809,0
0.167481,44.3906,29.4448,2.42318,1.65854,0.0651625,0.108075,FGM,1.43545,0.0778809,1.25098,1.43545,0.0217868,0.0778809,0
0.171487,44.3777,29.456,2.42381,1.75364,0.0707804,0.124124,FGM,1.43545,0.0778809,1.25098,1.43545,0.0217868,0.0778809,0
0.175375,44.3777,29.456,2.42381,1.75364,0.0707804,0.124124,FGM,1.43545,0.0778809,1.25098,1.43545,0.0217868,0.0778809,0
0.179849,44.3641,29.4677,2.42457,1.84874,0.0708989,0.131074,FGM,1.4199,0.0774411,1.24468,1.4199,0.0217868,0.0774411,0
0.183499,44.3641,29.4677,2.42457,1.84874,0.0708989,0.131074,FGM,1.4199,0.0774411,1.24468,1.4199,0.0217868,0.0774411,0
0.187514,44.3641,29.4677,2.42457,1.84874,0.0708989,0.131074,FGM,1.4199,0.0774411,1.24468,1.4199,0.0217868,0.0774411,0
0.191401,44.3497,29.4801,2.42525,1.94384,0.0760192,0.147769,FGM,1.4199,0.0774411,1.24468,1.4199,0.0217868,0.0774411,0
0.19537,44.3497,29.4801,2.42525,1.94384,0.0760192,0.147769,FGM,1.4199,0.0774411,1.24468,1.4199,0.0217868,0.0774411,0
0.200137,44.3346,29.4931,2.42607,2.03894,0.076199,0.155366,FGM,1.4199,0.0774411,1.24468,1.4199,0.0217868,0.0774411,0
0.203462,44.3346,29.4931,2.42607,2.03894,0.076199,0.155366,FGM,1.4199,0.0774411,1.24468,1.4199,0.0217868,0.0774411,0
0.207374,44.3346,29.4931,2.42607,2.03894,0.076199,0.155366,FGM,1.4199,0.0774411,1.24468,1.4199,0.0217868,0.0774411,0
0.211458,44.3188,29.5067,2.4268,2.13404,0.0808551,0.172548,FGM,1.4199,0.0774411,1.24468,1.4199,0.0217868,0.0774411,0
0.215353,44.3188,29.5067,2.4268,2.13404,0.0808551,0.172548,FGM,1.4199,0.0774411,1.24468,1.4199,0.0217868,0.0774411,0
0.219944,44.3022,29.5209,2.42766,2.22914,0.0810201,0.180606,FGM,1.4199,0.0774411,1.24468,1.4199,0.0217868,0.0774411,0
0.223378,44.3022,29.5209,2.42766,2.22914,0.0810201,0.180606,FGM,1.4199,0.0774411,1.24468,1.4199,0.0217868,0.0774411,0
0.227329,44.3022,29.5209,2.42766,2.22914,0.0810201,0.180606,FGM,1.4199,0.0774411,1.24468,1.4199,0.0217868,0.0774411,0
0.231415,44.285,29.5357,2.42844,2.32424,0.0852395,0.198117,FGM,1.26227,0.075798,1.25288,1.26227,0.0217868,0.075798,0
0.235391,44.285,29.5357,2.42844,2.32424,0.0852395,0.198117,FGM,1.26227,0.075798,1.25288,1.26227,0.0217868,0.075798,0
0.239878,44.2669,29.5511,2.42934,2.41934,0.0853386,0.206463,FGM,1.26227,0.075798,1.25288,1.26227,0.0217868,0.075798,0
0.243383,44.2669,29.5511,2.42934,2.41934,0.0853386,0.206463,FGM,1.26227,0.075798,1.25288,1.26227,0.0217868,0.075798,0
0.247315,44.2669,29.5511,2.42934,2.41934,0.0853386,0.206463,FGM,1.26227,0.075798,1.25288,1.26227,0.0217868,0.075798,0
0.251302,44.2482,29.5672,2.43017,2.51352,0.089239,0.224304,FGM,1.26227,0.075798,1.25288,1.26227,0.0217868,0.075798,0
0.255386,44.2482,29.5672,2.43017,2.51352,0.089239,0.224304,FGM,1.26227,0.075798,1.25288,1.26227,0.0217868,0.075798,0
0.259851,44.2287,29.5838,2.43111,2.60323,0.089617,0.233293,FGM,1.26227,0.075798,1.25288,1.26227,0.0217868,0.075798,0
0.263387,44.2287,29.5838,2.43111,2.60323,0.089617,0.233293,FGM,1.26227,0.075798,1.25288,1.26227,0.0217868,0.075798,0
0.2674,44.2287,29.5838,2.43111,2.60323,0.089617,0.233293,FGM,1.26227,0.075798,1.25288,1.26227,0.0217868,0.075798,0
0.271525,44.2086,29.601,2.43198,2.68866,0.0939102,0.252493,FGM,1.26227,0.075798,1.25288,1.26227,0.0217868,0.075798,0
0.275505,44.2086,29.601,2.43198,2.68866,0.0939102,0.252493,FGM,1.26227,0.075798,1.25288,1.26227,0.0217868,0.075798,0
0.280223,44.1878,29.6187,2.43298,2.77004,0.09444,0.261602,FGM,1.09537,0.091577,1.24404,1.09537,0.0217868,0.091577,0
0.283422,44.1878,29.6187,2.43298,2.77004,0.09444,0.261602,FGM,1.09537,0.091577,1.24404,1.09537,0.0217868,0.091577,0
0.287502,44.1878,29.6187,2.43298,2.77004,0.09444,0.261602,FGM,1.09537,0.091577,1.24404,1.09537,0.0217868,0.091577,0
0.291603,44.1664,29.6369,2.43389,2.84754,0.0987966,0.281327,FGM,1.09537,0.091577,1.24404,1.09537,0.0217868,0.091577,0
0.295449,44.1664,29.6369,2.43389,2.84754,0.0987966,0.281327,FGM,1.09537,0.091577,1.24404,1.09537,0.0217868,0.091577,0
