t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
3.3025e-05,44.4992,29.3507,2.41499,0.136944,0,0,FGM,1.68029,0.053865,1.24221,1.68029,0.0217868,0.053865,0
0.00400347,44.4992,29.3507,2.41499,0.136944,0,0,FGM,1.68029,0.053865,1.24221,1.68029,0.0217868,0.053865,0
0.00838436,44.4978,29.352,2.41509,0.232044,0.0224953,0.0052199,FGM,1.68029,0.053865,1.24221,1.68029,0.0217868,0.053865,0
0.0120062,44.4978,29.352,2.41509,0.232044,0.0224953,0.0052199,FGM,1.68029,0.053865,1.24221,1.68029,0.0217868,0.053865,0
0.0160057,44.4978,29.352,2.41509,0.232044,0.0224953,0.0052199,FGM,1.68029,0.053865,1.24221,1.68029,0.0217868,0.053865,0
0.0200452,44.4957,29.3538,2.4155,0.327144,0.0634944,0.0207718,FGM,1.68029,0.053865,1.24221,1.68029,0.0217868,0.053865,0
0.0240433,44.4957,29.3538,2.4155,0.327144,0.0634944,0.0207718,FGM,1.68029,0.053865,1.24221,1.68029,0.0217868,0.053865,0
0.0284142,44.4929,29.3563,2.41604,0.422244,0.040934,0.0172842,FGM,1.68029,0.053865,1.24221,1.68029,0.0217868,0.053865,0
0.0320353,44.4929,29.3563,2.41604,0.422244,0.040934,0.0172842,FGM,1.68029,0.053865,1.24221,1.68029,0.0217868,0.053865,0
0.0360389,44.4929,29.3563,2.41604,0.422244,0.040934,0.0172842,FGM,1.62617,0.0686859,1.24854,1.62617,0.0217868,0.0686859,0
0.0400352,44.4894,29.3594,2.41673,0.517344,0.0695871,0.0360005,FGM,1.62617,0.0686859,1.24854,1.62617,0.0217868,0.0686859,0
0.0440325,44.4894,29.3594,2.41673,0.517344,0.0695871,0.0360005,FGM,1.62617,0.0686859,1.24854,1.62617,0.0217868,0.0686859,0
0.0484001,44.4851,29.3631,2.41733,0.612444,0.0733699,0.044935,FGM,1.62617,0.0686859,1.24854,1.62617,0.0217868,0.0686859,0
0.052032,44.4851,29.3631,2.41733,0.612444,0.0733699,0.044935,FGM,1.62617,0.0686859,1.24854,1.62617,0.0217868,0.0686859,0
0.0560311,44.4851,29.3631,2.41733,0.612444,0.0733699,0.044935,FGM,1.62617,0.0686859,1.24854,1.62617,0.0217868,0.0686859,0
0.0600243,44.4801,29.3674,2.41789,0.707544,0.046543,0.0329312,FGM,1.62617,0.0686859,1.24854,1.62617,0.0217868,0.0686859,0
0.0640484,44.4801,29.3674,2.41789,0.707544,0.046543,0.0329312,FGM,1.62617,0.0686859,1.24854,1.62617,0.0217868,0.0686859,0
0.0684086,44.4744,29.3723,2.41829,0.802644,0.0486782,0.0390713,FGM,1.62617,0.0686859,1.24854,1.62617,0.0217868,0.0686859,0
0.0720354,44.4744,29.3723,2.41829,0.802644,0.0486782,0.0390713,FGM,1.62617,0.0686859,1.24854,1.62617,0.0217868,0.0686859,0
0.0760203,44.4744,29.3723,2.41829,0.802644,0.0486782,0.0390713,FGM,1.62617,0.0686859,1.24854,1.62617,0.0217868,0.0686859,0
0.0800274,44.468,29.3779,2.41879,0.897744,0.0415551,0.0373059,FGM,1.62617,0.0686859,1.24854,1.62617,0.0217868,0.0686859,0
0.084058,44.468,29.3779,2.41879,0.897744,0.0415551,0.0373059,FGM,1.53422,0.0778812,1.24862,1.53422,0.0217868,0.0778812,0
0.0884008,44.4608,29.3841,2.41919,0.992844,0.0491462,0.0487945,FGM,1.53422,0.0778812,1.24862,1.53422,0.0217868,0.0778812,0
0.0920306,44.4608,29.3841,2.41919,0.992844,0.0491462,0.0487945,FGM,1.53422,0.0778812,1.24862,1.53422,0.0217868,0.0778812,0
0.0960319,44.4608,29.3841,2.41919,0.992844,0.0491462,0.0487945,FGM,1.53422,0.0778812,1.24862,1.53422,0.0217868,0.0778812,0
0.100025,44.453,29.3909,2.41972,1.08794,0.0465187,0.0506097,FGM,1.53422,0.0778812,1.24862,1.53422,0.0217868,0.0778812,0
0.104018,44.453,29.3909,2.41972,1.08794,0.0465187,0.0506097,FGM,1.53422,0.0778812,1.24862,1.53422,0.0217868,0.0778812,0
0.108404,44.4444,29.3984,2.42017,1.18304,0.0538887,0.0637528,FGM,1.53422,0.0778812,1.24862,1.53422,0.0217868,0.0778812,0
0.112037,44.4444,29.3984,2.42017,1.18304,0.0538887,0.0637528,FGM,1.53422,0.0778812,1.24862,1.53422,0.0217868,0.0778812,0
0.116047,44.4444,29.3984,2.42017,1.18304,0.0538887,0.0637528,FGM,1.53422,0.0778812,1.24862,1.53422,0.0217868,0.0778812,0
0.120069,44.4351,29.4064,2.42075,1.27814,0.0527457,0.0674166,FGM,1.53422,0.0778812,1.24862,1.53422,0.0217868,0.0778812,0
0.12404,44.4351,29.4064,2.42075,1.27814,0.0527457,0.0674166,FGM,1.53422,0.0778812,1.24862,1.53422,0.0217868,0.0778812,0
0.128382,44.4251,29.4151,2.42126,1.37324,0.0594942,0.0817001,FGM,1.53422,0.0778812,1.24862,1.53422,0.0217868,0.0778812,0
0.132037,44.4251,29.4151,2.42126,1.37324,0.0594942,0.0817001,FGM,1.53422,0.0778812,1.24862,1.53422,0.0217868,0.0778812,0
0.13603,44.4251,29.4151,2.42126,1.37324,0.0594942,0.0817001,FGM,1.42506,0.0794547,1.25094,1.42506,0.0217868,0.0794547,0
0.140038,44.4143,29.4244,2.42191,1.46834,0.0590649,0.0867276,FGM,1.42506,0.0794547,1.25094,1.42506,0.0217868,0.0794547,0
0.144029,44.4143,29.4244,2.42191,1.46834,0.0590649,0.0867276,FGM,1.42506,0.0794547,1.25094,1.42506,0.0217868,0.0794547,0
0.148384,44.4028,29.4343,2.42248,1.56344,0.0652225,0.101972,FGM,1.42506,0.0794547,1.25094,1.42506,0.0217868,0.0794547,0
0.152056,44.4028,29.4343,2.42248,1.56344,0.0652225,0.101972,FGM,1.42506,0.0794547,1.25094,1.42506,0.0217868,0.0794547,0
0.156043,44.4028,29.4343,2.42248,1.56344,0.0652225,0.101972,FGM,1.42506,0.0794547,1.25094,1.42506,0.0217868,0.0794547,0
0.160043,44.3906,29.4448,2.42318,1.65854,0.0651625,0.108075,FGM,1.42506,0.0794547,1.25094,1.42506,0.0217868,0.0794547,0
0.164029,44.3906,29.4448,2.42318,1.65854,0.0651625,0.108075,FGM,1.42506,0.0794547,1.25094,1.42506,0.0217868,0.0794547,0
0.168403,44.3777,29.456,2.42381,1.75364,0.0707804,0.124124,FGM,1.42506,0.0794547,1.25094,1.42506,0.0217868,0.0794547,0
0.17206,44.3777,29.456,2.42381,1.75364,0.0707804,0.124124,FGM,1.42506,0.0794547,1.25094,1.42506,0.0217868,0.0794547,0
0.176033,44.3777,29.456,2.42381,1.75364,0.0707804,0.124124,FGM,1.42506,0.0794547,1.25094,1.42506,0.0217868,0.0794547,0
0.180038,44.3641,29.4677,2.42457,1.84874,0.0708989,0.131074,FGM,1.42506,0.0794547,1.25094,1.42506,0.0217868,0.0794547,0
0.184039,44.3641,29.4677,2.42457,1.84874,0.0708989,0.131074,FGM,1.41316,0.0773925,1.24236,1.41316,0.0217868,0.0773925,0
0.188408,44.3497,29.4801,2.42525,1.94384,0.0760192,0.147769,FGM,1.41316,0.0773925,1.24236,1.41316,0.0217868,0.0773925,0
0.192037,44.3497,29.4801,2.42525,1.94384,0.0760192,0.147769,FGM,1.41316,0.0773925,1.24236,1.41316,0.0217868,0.0773925,0
0.196032,44.3497,29.4801,2.42525,1.94384,0.0760192,0.147769,FGM,1.41316,0.0773925,1.24236,1.41316,0.0217868,0.0773925,0
0.200028,44.3346,29.4931,2.42607,2.03894,0.076199,0.155366,FGM,1.41316,0.0773925,1.24236,1.41316,0.0217868,0.0773925,0
0.204007,44.3346,29.4931,2.42607,2.03894,0.076199,0.155366,FGM,1.41316,0.0773925,1.24236,1.41316,0.0217868,0.0773925,0
0.208389,44.3188,29.5067,2.4268,2.13404,0.0808551,0.172548,FGM,1.41316,0.0773925,1.24236,1.41316,0.0217868,0.0773925,0
0.212043,44.3188,29.5067,2.4268,2.13404,0.0808551,0.172548,FGM,1.41316,0.0773925,1.24236,1.41316,0.0217868,0.0773925,0
0.216042,44.3188,29.5067,2.4268,2.13404,0.0808551,0.172548,FGM,1.41316,0.0773925,1.24236,1.41316,0.0217868,0.0773925,0
0.220042,44.3022,29.5209,2.42766,2.22914,0.0810201,0.180606,FGM,1.41316,0.0773925,1.24236,1.41316,0.0217868,0.0773925,0
0.224036,44.3022,29.5209,2.42766,2.22914,0.0810201,0.180606,FGM,1.41316,0.0773925,1.24236,1.41316,0.0217868,0.0773925,0
0.228405,44.285,29.5357,2.42844,2.32424,0.0852395,0.198117,FGM,1.41316,0.0773925,1.24236,1.41316,0.0217868,0.0773925,0
0.232029,44.285,29.5357,2.42844,2.32424,0.0852395,0.198117,FGM,1.41316,0.0773925,1.24236,1.41316,0.0217868,0.0773925,0
0.23603,44.285,29.5357,2.42844,2.32424,0.0852395,0.198117,FGM,1.26124,0.0763523,1.24764,1.26124,0.0217868,0.0763523,0
0.240022,44.2669,29.5511,2.42934,2.41934,0.0853386,0.206463,FGM,1.26124,0.0763523,1.24764,1.26124,0.0217868,0.0763523,0
0.244034,44.2669,29.5511,2.42934,2.41934,0.0853386,0.206463,FGM,1.26124,0.0763523,1.24764,1.26124,0.0217868,0.0763523,0
0.248411,44.2482,29.5672,2.43017,2.51352,0.089239,0.224304,FGM,1.26124,0.0763523,1.24764,1.26124,0.0217868,0.0763523,0
0.252028,44.2482,29.5672,2.43017,2.51352,0.089239,0.224304,FGM,1.26124,0.0763523,1.24764,1.26124,0.0217868,0.0763523,0
0.256034,44.2482,29.5672,2.43017,2.51352,0.089239,0.224304,FGM,1.26124,0.0763523,1.24764,1.26124,0.0217868,0.0763523,0
0.260056,44.2287,29.5838,2.43111,2.60323,0.089617,0.233293,FGM,1.26124,0.0763523,1.24764,1.26124,0.0217868,0.0763523,0
0.264075,44.2287,29.5838,2.43111,2.60323,0.089617,0.233293,FGM,1.26124,0.0763523,1.24764,1.26124,0.0217868,0.0763523,0
0.268419,44.2086,29.601,2.43198,2.68866,0.0939102,0.252493,FGM,1.26124,0.0763523,1.24764,1.26124,0.0217868,0.0763523,0
0.272047,44.2086,29.601,2.43198,2.68866,0.0939102,0.252493,FGM,1.26124,0.0763523,1.24764,1.26124,0.0217868,0.0763523,0
0.276045,44.2086,29.601,2.43198,2.68866,0.0939102,0.252493,FGM,1.26124,0.0763523,1.24764,1.26124,0.0217868,0.0763523,0
0.280047,44.1878,29.6187,2.43298,2.77004,0.09444,0.261602,FGM,1.26124,0.0763523,1.24764,1.26124,0.0217868,0.0763523,0
0.284047,44.1878,29.6187,2.43298,2.77004,0.09444,0.261602,FGM,1.12585,0.0926662,1.24811,1.12585,0.0217868,0.0926662,0
0.28841,44.1664,29.6369,2.43389,2.84754,0.0987966,0.281327,FGM,1.12585,0.0926662,1.24811,1.12585,0.0217868,0.0926662,0
0.292009,44.1664,29.6369,2.43389,2.84754,0.0987966,0.281327,FGM,1.12585,0.0926662,1.24811,1.12585,0.0217868,0.0926662,0
0.296052,44.1664,29.6369,2.43389,2.84754,0.0987966,0.281327,FGM,1.12585,0.0926662,1.24811,1.12585,0.0217868,0.0926662,0
0.300028,44.1444,29.6555,2.43493,2.92136,0.0992934,0.290072,FGM,1.12585,0.0926662,1.24811,1.12585,0.0217868,0.0926662,0
0.30402,44.1444,29.6555,2.43493,2.92136,0.0992934,0.290072,FGM,1.12585,0.0926662,1.24811,1.12585,0.0217868,0.0926662,0
0.308425,44.1219,29.6746,2.43589,2.99167,0.103609,0.309964,FGM,1.12585,0.0926662,1.24811,1.12585,0.0217868,0.0926662,0
0.312049,44.1219,29.6746,2.43589,2.99167,0.103609,0.309964,FGM,1.12585,0.0926662,1.24811,1.12585,0.0217868,0.0926662,0
0.31607,44.1219,29.6746,2.43589,2.99167,0.103609,0.309964,FGM,1.12585,0.0926662,1.24811,1.12585,0.0217868,0.0926662,0
0.320051,44.0988,29.6942,2.43699,3.05864,0.104014,0.318142,FGM,1.12585,0.0926662,1.24811,1.12585,0.0217868,0.0926662,0
0.324031,44.0988,29.6942,2.43699,3.05864,0.104014,0.318142,FGM,1.12585,0.0926662,1.24811,1.12585,0.0217868,0.0926662,0
0.32843,44.0752,29.7141,2.43799,3.12242,0.108256,0.338021,FGM,1.12585,0.0926662,1.24811,1.12585,0.0217868,0.0926662,0
0.332048,44.0752,29.7141,2.43799,3.12242,0.108256,0.338021,FGM,1.12585,0.0926662,1.24811,1.12585,0.0217868,0.0926662,0
0.336033,44.0752,29.7141,2.43799,3.12242,0.108256,0.338021,FGM,1.10647,0.108884,1.24543,1.10647,0.0272957,0.108884,0
0.34005,44.0511,29.7345,2.43914,3.18317,0.108554,0.345546,FGM,1.10647,0.108884,1.24543,1.10647,0.0272957,0.108884,0
