t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
7.7841e-05,44.4992,29.3507,2.41499,0.136944,0,0,FGM,1.68562,0.0508767,1.24144,1.68562,0.0217868,0.0508767,0
0.00279436,44.4992,29.3507,2.41499,0.136944,0,0,FGM,1.68562,0.0508767,1.24144,1.68562,0.0217868,0.0508767,0
0.00705897,44.4992,29.3507,2.41499,0.136944,0,0,FGM,1.68562,0.0508767,1.24144,1.68562,0.0217868,0.0508767,0
0.0109144,44.4978,29.352,2.41509,0.232044,0.0224953,0.0052199,FGM,1.68562,0.0508767,1.24144,1.68562,0.0217868,0.0508767,0
0.0149617,44.4978,29.352,2.41509,0.232044,0.0224953,0.0052199,FGM,1.68562,0.0508767,1.24144,1.68562,0.0217868,0.0508767,0
0.0197049,44.4957,29.3538,2.4155,0.327144,0.0634944,0.0207718,FGM,1.68562,0.0508767,1.24144,1.68562,0.0217868,0.0508767,0
0.0232398,44.4957,29.3538,2.4155,0.327144,0.0634944,0.0207718,FGM,1.68562,0.0508767,1.24144,1.68562,0.0217868,0.0508767,0
0.0268088,44.4957,29.3538,2.4155,0.327144,0.0634944,0.0207718,FGM,1.68562,0.0508767,1.24144,1.68562,0.0217868,0.0508767,0
0.0307963,44.4929,29.3563,2.41604,0.422244,0.040934,0.0172842,FGM,1.68562,0.0508767,1.24144,1.68562,0.0217868,0.0508767,0
0.0349902,44.4929,29.3563,2.41604,0.422244,0.040934,0.0172842,FGM,1.68562,0.0508767,1.24144,1.68562,0.0217868,0.0508767,0
0.0401004,44.4894,29.3594,2.41673,0.517344,0.0695871,0.0360005,FGM,1.62293,0.0686219,1.24448,1.62293,0.0217868,0.0686219,0
0.0429163,44.4894,29.3594,2.41673,0.517344,0.0695871,0.0360005,FGM,1.62293,0.0686219,1.24448,1.62293,0.0217868,0.0686219,0
0.0468231,44.4894,29.3594,2.41673,0.517344,0.0695871,0.0360005,FGM,1.62293,0.0686219,1.24448,1.62293,0.0217868,0.0686219,0
0.0512336,44.4851,29.3631,2.41733,0.612444,0.0733699,0.044935,FGM,1.62293,0.0686219,1.24448,1.62293,0.0217868,0.0686219,0
0.054975,44.4851,29.3631,2.41733,0.612444,0.0733699,0.044935,FGM,1.62293,0.0686219,1.24448,1.62293,0.0217868,0.0686219,0
0.0598917,44.4801,29.3674,2.41789,0.707544,0.046543,0.0329312,FGM,1.62293,0.0686219,1.24448,1.62293,0.0217868,0.0686219,0
0.0629301,44.4801,29.3674,2.41789,0.707544,0.046543,0.0329312,FGM,1.62293,0.0686219,1.24448,1.62293,0.0217868,0.0686219,0
0.0669025,44.4801,29.3674,2.41789,0.707544,0.046543,0.0329312,FGM,1.62293,0.0686219,1.24448,1.62293,0.0217868,0.0686219,0
0.0709142,44.4744,29.3723,2.41829,0.802644,0.0486782,0.0390713,FGM,1.62293,0.0686219,1.24448,1.62293,0.0217868,0.0686219,0
0.0751892,44.4744,29.3723,2.41829,0.802644,0.0486782,0.0390713,FGM,1.62293,0.0686219,1.24448,1.62293,0.0217868,0.0686219,0
0.07968,44.468,29.3779,2.41879,0.897744,0.0415551,0.0373059,FGM,1.62293,0.0686219,1.24448,1.62293,0.0217868,0.0686219,0
0.0828968,44.468,29.3779,2.41879,0.897744,0.0415551,0.0373059,FGM,1.62293,0.0686219,1.24448,1.62293,0.0217868,0.0686219,0
0.0869344,44.468,29.3779,2.41879,0.897744,0.0415551,0.0373059,FGM,1.62293,0.0686219,1.24448,1.62293,0.0217868,0.0686219,0
0.0910214,44.4608,29.3841,2.41919,0.992844,0.0491462,0.0487945,FGM,1.51465,0.0792789,1.24439,1.51465,0.0217868,0.0792789,0
0.0948101,44.4608,29.3841,2.41919,0.992844,0.0491462,0.0487945,FGM,1.51465,0.0792789,1.24439,1.51465,0.0217868,0.0792789,0
0.0999065,44.453,29.3909,2.41972,1.08794,0.0465187,0.0506097,FGM,1.51465,0.0792789,1.24439,1.51465,0.0217868,0.0792789,0
0.10287,44.453,29.3909,2.41972,1.08794,0.0465187,0.0506097,FGM,1.51465,0.0792789,1.24439,1.51465,0.0217868,0.0792789,0
0.10708,44.453,29.3909,2.41972,1.08794,0.0465187,0.0506097,FGM,1.51465,0.0792789,1.24439,1.51465,0.0217868,0.0792789,0
0.11106,44.4444,29.3984,2.42017,1.18304,0.0538887,0.0637528,FGM,1.51465,0.0792789,1.24439,1.51465,0.0217868,0.0792789,0
0.114897,44.4444,29.3984,2.42017,1.18304,0.0538887,0.0637528,FGM,1.51465,0.0792789,1.24439,1.51465,0.0217868,0.0792789,0
0.119864,44.4351,29.4064,2.42075,1.27814,0.0527457,0.0674166,FGM,1.51465,0.0792789,1.24439,1.51465,0.0217868,0.0792789,0
0.122913,44.4351,29.4064,2.42075,1.27814,0.0527457,0.0674166,FGM,1.51465,0.0792789,1.24439,1.51465,0.0217868,0.0792789,0
0.127105,44.4351,29.4064,2.42075,1.27814,0.0527457,0.0674166,FGM,1.51465,0.0792789,1.24439,1.51465,0.0217868,0.0792789,0
0.13117,44.4251,29.4151,2.42126,1.37324,0.0594942,0.0817001,FGM,1.51465,0.0792789,1.24439,1.51465,0.0217868,0.0792789,0
0.134865,44.4251,29.4151,2.42126,1.37324,0.0594942,0.0817001,FGM,1.51465,0.0792789,1.24439,1.51465,0.0217868,0.0792789,0
0.139782,44.4143,29.4244,2.42191,1.46834,0.0590649,0.0867276,FGM,1.40522,0.0835857,1.2515,1.40522,0.0217868,0.0835857,0
0.142897,44.4143,29.4244,2.42191,1.46834,0.0590649,0.0867276,FGM,1.40522,0.0835857,1.2515,1.40522,0.0217868,0.0835857,0
0.147136,44.4143,29.4244,2.42191,1.46834,0.0590649,0.0867276,FGM,1.40522,0.0835857,1.2515,1.40522,0.0217868,0.0835857,0
0.150901,44.4028,29.4343,2.42248,1.56344,0.0652225,0.101972,FGM,1.40522,0.0835857,1.2515,1.40522,0.0217868,0.0835857,0
0.155469,44.4028,29.4343,2.42248,1.56344,0.0652225,0.101972,FGM,1.40522,0.0835857,1.2515,1.40522,0.0217868,0.0835857,0
