t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,collision
7.4389e-05,44.4992,29.3507,2.41499,0.136944,0,0,FGM,1.66862,0.055508,0
0.00403981,44.4992,29.3507,2.41499,0.136944,0,0,FGM,1.66862,0.055508,0
0.00867857,44.4978,29.352,2.41509,0.232044,0.0224953,0.0052199,FGM,1.66862,0.055508,0
0.0119904,44.4978,29.352,2.41509,0.232044,0.0224953,0.0052199,FGM,1.66862,0.055508,0
0.0159501,44.4978,29.352,2.41509,0.232044,0.0224953,0.0052199,FGM,1.66862,0.055508,0
0.0199695,44.4957,29.3538,2.4155,0.327144,0.0634944,0.0207718,FGM,1.66862,0.055508,0
0.0241118,44.4957,29.3538,2.4155,0.327144,0.0634944,0.0207718,FGM,1.66862,0.055508,0
0.0287979,44.4929,29.3563,2.41604,0.422244,0.040934,0.0172842,FGM,1.62739,0.065195,0
0.0320282,44.4929,29.3563,2.41604,0.422244,0.040934,0.0172842,FGM,1.62739,0.065195,0
0.03592,44.4929,29.3563,2.41604,0.422244,0.040934,0.0172842,FGM,1.62739,0.065195,0
0.0400376,44.4894,29.3594,2.41673,0.517344,0.0695871,0.0360005,FGM,1.62739,0.065195,0
0.0441022,44.4894,29.3594,2.41673,0.517344,0.0695871,0.0360005,FGM,1.62739,0.065195,0
0.0486692,44.4851,29.3631,2.41733,0.612444,0.0733699,0.044935,FGM,1.62739,0.065195,0
0.0520795,44.4851,29.3631,2.41733,0.612444,0.0733699,0.044935,FGM,1.62739,0.065195,0
0.0562105,44.4851,29.3631,2.41733,0.612444,0.0733699,0.044935,FGM,1.62739,0.065195,0
0.0601245,44.4801,29.3674,2.41789,0.707544,0.046543,0.0329312,FGM,1.62739,0.065195,0
0.0642193,44.4801,29.3674,2.41789,0.707544,0.046543,0.0329312,FGM,1.62739,0.065195,0
0.0688231,44.4744,29.3723,2.41829,0.802644,0.0486782,0.0390713,FGM,1.62739,0.065195,0
0.0722012,44.4744,29.3723,2.41829,0.802644,0.0486782,0.0390713,FGM,1.62739,0.065195,0
0.0761377,44.4744,29.3723,2.41829,0.802644,0.0486782,0.0390713,FGM,1.62739,0.065195,0
0.0801979,44.468,29.3779,2.41879,0.897744,0.0415551,0.0373059,FGM,1.51461,0.081639,0
0.0840724,44.468,29.3779,2.41879,0.897744,0.0415551,0.0373059,FGM,1.51461,0.081639,0
0.0888876,44.4608,29.3841,2.41919,0.992844,0.0491462,0.0487945,FGM,1.51461,0.081639,0
0.0922652,44.4608,29.3841,2.41919,0.992844,0.0491462,0.0487945,FGM,1.51461,0.081639,0
0.0960523,44.4608,29.3841,2.41919,0.992844,0.0491462,0.0487945,FGM,1.51461,0.081639,0
0.100301,44.453,29.3909,2.41972,1.08794,0.0465187,0.0506097,FGM,1.51461,0.081639,0
0.104327,44.453,29.3909,2.41972,1.08794,0.0465187,0.0506097,FGM,1.51461,0.081639,0
0.108817,44.4444,29.3984,2.42017,1.18304,0.0538887,0.0637528,FGM,1.51461,0.081639,0
0.112201,44.4444,29.3984,2.42017,1.18304,0.0538887,0.0637528,FGM,1.51461,0.081639,0
0.116571,44.4444,29.3984,2.42017,1.18304,0.0538887,0.0637528,FGM,1.51461,0.081639,0
0.120169,44.4351,29.4064,2.42075,1.27814,0.0527457,0.0674166,FGM,1.51461,0.081639,0
0.124072,44.4351,29.4064,2.42075,1.27814,0.0527457,0.0674166,FGM,1.51461,0.081639,0
0.128928,44.4251,29.4151,2.42126,1.37324,0.0594942,0.0817001,FGM,1.41057,0.0886925,0
0.132333,44.4251,29.4151,2.42126,1.37324,0.0594942,0.0817001,FGM,1.41057,0.0886925,0
0.13609,44.4251,29.4151,2.42126,1.37324,0.0594942,0.0817001,FGM,1.41057,0.0886925,0
0.140063,44.4143,29.4244,2.42191,1.46834,0.0590649,0.0867276,FGM,1.41057,0.0886925,0
0.144209,44.4143,29.4244,2.42191,1.46834,0.0590649,0.0867276,FGM,1.41057,0.0886925,0
0.148923,44.4028,29.4343,2.42248,1.56344,0.0652225,0.101972,FGM,1.41057,0.0886925,0
0.152128,44.4028,29.4343,2.42248,1.56344,0.0652225,0.101972,FGM,1.41057,0.0886925,0
0.156064,44.4028,29.4343,2.42248,1.56344,0.0652225,0.101972,FGM,1.41057,0.0886925,0
0.160111,44.3906,29.4448,2.42318,1.65854,0.0651625,0.108075,FGM,1.41057,0.0886925,0
0.164576,44.3906,29.4448,2.42318,1.65854,0.0651625,0.108075,FGM,1.41057,0.0886925,0
0.168932,44.3777,29.456,2.42381,1.75364,0.0707804,0.124124,FGM,1.41057,0.0886925,0
0.172087,44.3777,29.456,2.42381,1.75364,0.0707804,0.124124,FGM,1.41057,0.0886925,0
0.176176,44.3777,29.456,2.42381,1.75364,0.0707804,0.124124,FGM,1.41057,0.0886925,0
0.180136,44.3641,29.4677,2.42457,1.84874,0.0708989,0.131074,FGM,1.43515,0.0725819,0
0.184516,44.3641,29.4677,2.42457,1.84874,0.0708989,0.131074,FGM,1.43515,0.0725819,0
0.188901,44.3497,29.4801,2.42525,1.94384,0.0760192,0.147769,FGM,1.43515,0.0725819,0
0.19208,44.3497,29.4801,2.42525,1.94384,0.0760192,0.147769,FGM,1.43515,0.0725819,0
0.196153,44.3497,29.4801,2.42525,1.94384,0.0760192,0.147769,FGM,1.43515,0.0725819,0
0.200154,44.3346,29.4931,2.42607,2.03894,0.076199,0.155366,FGM,1.43515,0.0725819,0
0.204188,44.3346,29.4931,2.42607,2.03894,0.076199,0.155366,FGM,1.43515,0.0725819,0
0.208757,44.3188,29.5067,2.4268,2.13404,0.0808551,0.172548,FGM,1.43515,0.0725819,0
0.212171,44.3188,29.5067,2.4268,2.13404,0.0808551,0.172548,FGM,1.43515,0.0725819,0
0.2161,44.3188,29.5067,2.4268,2.13404,0.0808551,0.172548,FGM,1.43515,0.0725819,0
0.220122,44.3022,29.5209,2.42766,2.22914,0.0810201,0.180606,FGM,1.43515,0.0725819,0
0.224194,44.3022,29.5209,2.42766,2.22914,0.0810201,0.180606,FGM,1.43515,0.0725819,0
0.22868,44.285,29.5357,2.42844,2.32424,0.0852395,0.198117,FGM,1.43515,0.0725819,0
