t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
2.8809e-05,44.4992,29.3507,2.41499,0.136944,0,0,FGM,1.66984,0.0560251,1.24817,1.66984,0.0217868,0.0560251,0
0.00399197,44.4992,29.3507,2.41499,0.136944,0,0,FGM,1.66984,0.0560251,1.24817,1.66984,0.0217868,0.0560251,0
0.00836684,44.4978,29.352,2.41509,0.232044,0.0224953,0.0052199,FGM,1.66984,0.0560251,1.24817,1.66984,0.0217868,0.0560251,0
0.0119839,44.4978,29.352,2.41509,0.232044,0.0224953,0.0052199,FGM,1.66984,0.0560251,1.24817,1.66984,0.0217868,0.0560251,0
0.0159883,44.4978,29.352,2.41509,0.232044,0.0224953,0.0052199,FGM,1.66984,0.0560251,1.24817,1.66984,0.0217868,0.0560251,0
0.0199868,44.4957,29.3538,2.4155,0.327144,0.0634944,0.0207718,FGM,1.66984,0.0560251,1.24817,1.66984,0.0217868,0.0560251,0
0.0240154,44.4957,29.3538,2.4155,0.327144,0.0634944,0.0207718,FGM,1.66984,0.0560251,1.24817,1.66984,0.0217868,0.0560251,0
0.0283597,44.4929,29.3563,2.41604,0.422244,0.040934,0.0172842,FGM,1.66984,0.0560251,1.24817,1.66984,0.0217868,0.0560251,0
0.031985,44.4929,29.3563,2.41604,0.422244,0.040934,0.0172842,FGM,1.6404,0.06525,1.23708,1.6404,0.0217868,0.06525,0
0.0359835,44.4929,29.3563,2.41604,0.422244,0.040934,0.0172842,FGM,1.6404,0.06525,1.23708,1.6404,0.0217868,0.06525,0
0.0399888,44.4894,29.3594,2.41673,0.517344,0.0695871,0.0360005,FGM,1.6404,0.06525,1.23708,1.6404,0.0217868,0.06525,0
0.0439967,44.4894,29.3594,2.41673,0.517344,0.0695871,0.0360005,FGM,1.6404,0.06525,1.23708,1.6404,0.0217868,0.06525,0
0.0483569,44.4851,29.3631,2.41733,0.612444,0.0733699,0.044935,FGM,1.6404,0.06525,1.23708,1.6404,0.0217868,0.06525,0
0.051986,44.4851,29.3631,2.41733,0.612444,0.0733699,0.044935,FGM,1.6404,0.06525,1.23708,1.6404,0.0217868,0.06525,0
0.0559864,44.4851,29.3631,2.41733,0.612444,0.0733699,0.044935,FGM,1.6404,0.06525,1.23708,1.6404,0.0217868,0.06525,0
0.0599838,44.4801,29.3674,2.41789,0.707544,0.046543,0.0329312,FGM,1.6404,0.06525,1.23708,1.6404,0.0217868,0.06525,0
0.0639869,44.4801,29.3674,2.41789,0.707544,0.046543,0.0329312,FGM,1.6404,0.06525,1.23708,1.6404,0.0217868,0.06525,0
0.0683556,44.4744,29.3723,2.41829,0.802644,0.0486782,0.0390713,FGM,1.6404,0.06525,1.23708,1.6404,0.0217868,0.06525,0
0.0719881,44.4744,29.3723,2.41829,0.802644,0.0486782,0.0390713,FGM,1.6404,0.06525,1.23708,1.6404,0.0217868,0.06525,0
0.0759898,44.4744,29.3723,2.41829,0.802644,0.0486782,0.0390713,FGM,1.6404,0.06525,1.23708,1.6404,0.0217868,0.06525,0
0.0799883,44.468,29.3779,2.41879,0.897744,0.0415551,0.0373059,FGM,1.52025,0.0832873,1.24675,1.52025,0.0217868,0.0832873,0
0.0839899,44.468,29.3779,2.41879,0.897744,0.0415551,0.0373059,FGM,1.52025,0.0832873,1.24675,1.52025,0.0217868,0.0832873,0
0.0883892,44.4608,29.3841,2.41919,0.992844,0.0491462,0.0487945,FGM,1.52025,0.0832873,1.24675,1.52025,0.0217868,0.0832873,0
0.0920399,44.4608,29.3841,2.41919,0.992844,0.0491462,0.0487945,FGM,1.52025,0.0832873,1.24675,1.52025,0.0217868,0.0832873,0
0.0960199,44.4608,29.3841,2.41919,0.992844,0.0491462,0.0487945,FGM,1.52025,0.0832873,1.24675,1.52025,0.0217868,0.0832873,0
0.100052,44.453,29.3909,2.41972,1.08794,0.0465187,0.0506097,FGM,1.52025,0.0832873,1.24675,1.52025,0.0217868,0.0832873,0
0.104019,44.453,29.3909,2.41972,1.08794,0.0465187,0.0506097,FGM,1.52025,0.0832873,1.24675,1.52025,0.0217868,0.0832873,0
0.108391,44.4444,29.3984,2.42017,1.18304,0.0538887,0.0637528,FGM,1.52025,0.0832873,1.24675,1.52025,0.0217868,0.0832873,0
0.11204,44.4444,29.3984,2.42017,1.18304,0.0538887,0.0637528,FGM,1.52025,0.0832873,1.24675,1.52025,0.0217868,0.0832873,0
0.116027,44.4444,29.3984,2.42017,1.18304,0.0538887,0.0637528,FGM,1.52025,0.0832873,1.24675,1.52025,0.0217868,0.0832873,0
0.120036,44.4351,29.4064,2.42075,1.27814,0.0527457,0.0674166,FGM,1.52025,0.0832873,1.24675,1.52025,0.0217868,0.0832873,0
0.124028,44.4351,29.4064,2.42075,1.27814,0.0527457,0.0674166,FGM,1.52025,0.0832873,1.24675,1.52025,0.0217868,0.0832873,0
0.12838,44.4251,29.4151,2.42126,1.37324,0.0594942,0.0817001,FGM,1.52025,0.0832873,1.24675,1.52025,0.0217868,0.0832873,0
0.132034,44.4251,29.4151,2.42126,1.37324,0.0594942,0.0817001,FGM,1.40466,0.089312,1.24453,1.40466,0.0217868,0.089312,0
0.136019,44.4251,29.4151,2.42126,1.37324,0.0594942,0.0817001,FGM,1.40466,0.089312,1.24453,1.40466,0.0217868,0.089312,0
0.139986,44.4143,29.4244,2.42191,1.46834,0.0590649,0.0867276,FGM,1.40466,0.089312,1.24453,1.40466,0.0217868,0.089312,0
0.144038,44.4143,29.4244,2.42191,1.46834,0.0590649,0.0867276,FGM,1.40466,0.089312,1.24453,1.40466,0.0217868,0.089312,0
0.148355,44.4028,29.4343,2.42248,1.56344,0.0652225,0.101972,FGM,1.40466,0.089312,1.24453,1.40466,0.0217868,0.089312,0
0.152033,44.4028,29.4343,2.42248,1.56344,0.0652225,0.101972,FGM,1.40466,0.089312,1.24453,1.40466,0.0217868,0.089312,0
0.156037,44.4028,29.4343,2.42248,1.56344,0.0652225,0.101972,FGM,1.40466,0.089312,1.24453,1.40466,0.0217868,0.089312,0
0.160031,44.3906,29.4448,2.42318,1.65854,0.0651625,0.108075,FGM,1.40466,0.089312,1.24453,1.40466,0.0217868,0.089312,0
0.164026,44.3906,29.4448,2.42318,1.65854,0.0651625,0.108075,FGM,1.40466,0.089312,1.24453,1.40466,0.0217868,0.089312,0
0.16835,44.3777,29.456,2.42381,1.75364,0.0707804,0.124124,FGM,1.40466,0.089312,1.24453,1.40466,0.0217868,0.089312,0
0.172024,44.3777,29.456,2.42381,1.75364,0.0707804,0.124124,FGM,1.40466,0.089312,1.24453,1.40466,0.0217868,0.089312,0
