t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,collision
8.5612e-05,44.4992,29.3507,2.41499,0.136944,0,0,FGM,1.66495,0.0561077,0
0.00340919,44.4992,29.3507,2.41499,0.136944,0,0,FGM,1.66495,0.0561077,0
0.00737963,44.4992,29.3507,2.41499,0.136944,0,0,FGM,1.66495,0.0561077,0
0.011226,44.4978,29.352,2.41509,0.232044,0.0224953,0.0052199,FGM,1.66495,0.0561077,0
0.0154671,44.4978,29.352,2.41509,0.232044,0.0224953,0.0052199,FGM,1.66495,0.0561077,0
0.0200942,44.4957,29.3538,2.4155,0.327144,0.0634944,0.0207718,FGM,1.66495,0.0561077,0
0.0234142,44.4957,29.3538,2.4155,0.327144,0.0634944,0.0207718,FGM,1.66495,0.0561077,0
0.0273348,44.4957,29.3538,2.4155,0.327144,0.0634944,0.0207718,FGM,1.66495,0.0561077,0
0.0314522,44.4929,29.3563,2.41604,0.422244,0.040934,0.0172842,FGM,1.66495,0.0561077,0
0.0354745,44.4929,29.3563,2.41604,0.422244,0.040934,0.0172842,FGM,1.64065,0.0651562,0
0.0401603,44.4894,29.3594,2.41673,0.517344,0.0695871,0.0360005,FGM,1.64065,0.0651562,0
0.0433952,44.4894,29.3594,2.41673,0.517344,0.0695871,0.0360005,FGM,1.64065,0.0651562,0
0.0473814,44.4894,29.3594,2.41673,0.517344,0.0695871,0.0360005,FGM,1.64065,0.0651562,0
0.0514451,44.4851,29.3631,2.41733,0.612444,0.0733699,0.044935,FGM,1.64065,0.0651562,0
0.0554104,44.4851,29.3631,2.41733,0.612444,0.0733699,0.044935,FGM,1.64065,0.0651562,0
0.0601302,44.4801,29.3674,2.41789,0.707544,0.046543,0.0329312,FGM,1.64065,0.0651562,0
0.063454,44.4801,29.3674,2.41789,0.707544,0.046543,0.0329312,FGM,1.64065,0.0651562,0
0.0674419,44.4801,29.3674,2.41789,0.707544,0.046543,0.0329312,FGM,1.64065,0.0651562,0
0.0714652,44.4744,29.3723,2.41829,0.802644,0.0486782,0.0390713,FGM,1.64065,0.0651562,0
0.0753032,44.4744,29.3723,2.41829,0.802644,0.0486782,0.0390713,FGM,1.64065,0.0651562,0
0.0800606,44.468,29.3779,2.41879,0.897744,0.0415551,0.0373059,FGM,1.64065,0.0651562,0
0.0833009,44.468,29.3779,2.41879,0.897744,0.0415551,0.0373059,FGM,1.52065,0.0838852,0
0.0873872,44.468,29.3779,2.41879,0.897744,0.0415551,0.0373059,FGM,1.52065,0.0838852,0
0.0912812,44.4608,29.3841,2.41919,0.992844,0.0491462,0.0487945,FGM,1.52065,0.0838852,0
0.0953071,44.4608,29.3841,2.41919,0.992844,0.0491462,0.0487945,FGM,1.52065,0.0838852,0
0.100143,44.453,29.3909,2.41972,1.08794,0.0465187,0.0506097,FGM,1.52065,0.0838852,0
0.103425,44.453,29.3909,2.41972,1.08794,0.0465187,0.0506097,FGM,1.52065,0.0838852,0
0.107632,44.453,29.3909,2.41972,1.08794,0.0465187,0.0506097,FGM,1.52065,0.0838852,0
0.111592,44.4444,29.3984,2.42017,1.18304,0.0538887,0.0637528,FGM,1.52065,0.0838852,0
0.11535,44.4444,29.3984,2.42017,1.18304,0.0538887,0.0637528,FGM,1.52065,0.0838852,0
0.120204,44.4351,29.4064,2.42075,1.27814,0.0527457,0.0674166,FGM,1.52065,0.0838852,0
0.1234,44.4351,29.4064,2.42075,1.27814,0.0527457,0.0674166,FGM,1.52065,0.0838852,0
0.127477,44.4351,29.4064,2.42075,1.27814,0.0527457,0.0674166,FGM,1.52065,0.0838852,0
0.131371,44.4251,29.4151,2.42126,1.37324,0.0594942,0.0817001,FGM,1.52065,0.0838852,0
0.135477,44.4251,29.4151,2.42126,1.37324,0.0594942,0.0817001,FGM,1.40535,0.0890548,0
0.140048,44.4143,29.4244,2.42191,1.46834,0.0590649,0.0867276,FGM,1.40535,0.0890548,0
0.143529,44.4143,29.4244,2.42191,1.46834,0.0590649,0.0867276,FGM,1.40535,0.0890548,0
0.147593,44.4143,29.4244,2.42191,1.46834,0.0590649,0.0867276,FGM,1.40535,0.0890548,0
