t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
0.000172162,-9.99917,7.475,0,0.118905,0,0,FGM,0.413101,0.15091,0.404954,0.413101,0.0473625,0.15091,0
0.00231366,-9.99917,7.475,0,0.118905,0,0,FGM,0.413101,0.15091,0.404954,0.413101,0.0473625,0.15091,0
0.00667529,-9.9975,7.475,8.83533e-05,0.214005,0.0207465,0.00443987,FGM,0.413101,0.15091,0.404954,0.413101,0.0473625,0.15091,0
0.00975511,-9.9975,7.475,8.83533e-05,0.214005,0.0207465,0.00443987,FGM,0.413101,0.15091,0.404954,0.413101,0.0473625,0.15091,0
0.0137575,-9.9975,7.475,8.83533e-05,0.214005,0.0207465,0.00443987,FGM,0.413101,0.15091,0.404954,0.413101,0.0473625,0.15091,0
0.0179986,-9.99489,7.475,0.00047659,0.309105,0.0599933,0.0185443,FGM,0.413101,0.15091,0.404954,0.413101,0.0473625,0.15091,0
0.0219147,-9.99489,7.475,0.00047659,0.309105,0.0599933,0.0185443,FGM,0.413101,0.15091,0.404954,0.413101,0.0473625,0.15091,0
0.0266246,-9.99132,7.475,0.00135034,0.404205,0.117878,0.047647,FGM,0.413101,0.15091,0.404954,0.413101,0.0473625,0.15091,0
0.0297857,-9.99132,7.475,0.00135034,0.404205,0.117878,0.047647,FGM,0.420825,0.166929,0.416244,0.420825,0.0473625,0.166929,0
0.0337752,-9.99132,7.475,0.00135034,0.404205,0.117878,0.047647,FGM,0.420825,0.166929,0.416244,0.420825,0.0473625,0.166929,0
0.03772,-9.9868,7.47501,0.00243954,0.499305,0.0969087,0.048387,FGM,0.420825,0.166929,0.416244,0.420825,0.0473625,0.166929,0
0.0416555,-9.9868,7.47501,0.00243954,0.499305,0.0969087,0.048387,FGM,0.420825,0.166929,0.416244,0.420825,0.0473625,0.166929,0
0.0466181,-9.98134,7.47507,0.00354849,0.594405,0.0605998,0.0360208,FGM,0.420825,0.166929,0.416244,0.420825,0.0473625,0.166929,0
0.0497431,-9.98134,7.47507,0.00354849,0.594405,0.0605998,0.0360208,FGM,0.420825,0.166929,0.416244,0.420825,0.0473625,0.166929,0
0.0540014,-9.98134,7.47507,0.00354849,0.594405,0.0605998,0.0360208,FGM,0.420825,0.166929,0.416244,0.420825,0.0473625,0.166929,0
0.0580885,-9.97494,7.47526,0.00459585,0.685439,0.106394,0.0729263,FGM,0.420825,0.166929,0.416244,0.420825,0.0473625,0.166929,0
0.0617818,-9.97494,7.47526,0.00459585,0.685439,0.106394,0.0729263,FGM,0.420825,0.166929,0.416244,0.420825,0.0473625,0.166929,0
0.066589,-9.96766,7.47551,0.0057266,0.772143,0.105343,0.0813397,FGM,0.420825,0.166929,0.416244,0.420825,0.0473625,0.166929,0
0.0697676,-9.96766,7.47551,0.0057266,0.772143,0.105343,0.0813397,FGM,0.420825,0.166929,0.416244,0.420825,0.0473625,0.166929,0
0.0737716,-9.96766,7.47551,0.0057266,0.772143,0.105343,0.0813397,FGM,0.420825,0.166929,0.416244,0.420825,0.0473625,0.166929,0
