t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
0.000117872,-9.99917,7.475,0,0.118911,0,0,FGM,0.421589,0.146981,0.414447,0.421589,0.0473625,0.146981,0
0.00244655,-9.99917,7.475,0,0.118911,0,0,FGM,0.421589,0.146981,0.414447,0.421589,0.0473625,0.146981,0
0.00651923,-9.99917,7.475,0,0.118911,0,0,FGM,0.420367,0.148899,0.413652,0.420367,0.0473625,0.148899,0
0.0104246,-9.9975,7.475,8.8356e-05,0.214011,0.0207471,0.0044401,FGM,0.420367,0.148899,0.413652,0.420367,0.0473625,0.148899,0
0.0144497,-9.9975,7.475,8.8356e-05,0.214011,0.0207471,0.0044401,FGM,0.420367,0.148899,0.413652,0.420367,0.0473625,0.148899,0
0.0204268,-9.99489,7.475,0.000476601,0.309111,0.0599944,0.0185449,FGM,0.420367,0.148899,0.413652,0.420367,0.0473625,0.148899,0
0.0229765,-9.99489,7.475,0.000476601,0.309111,0.0599944,0.0185449,FGM,0.420367,0.148899,0.413652,0.420367,0.0473625,0.148899,0
0.0264948,-9.99489,7.475,0.000476601,0.309111,0.0599944,0.0185449,FGM,0.420367,0.148899,0.413652,0.420367,0.0473625,0.148899,0
0.0306337,-9.99132,7.475,0.00135036,0.404211,0.11788,0.0476483,FGM,0.420367,0.148899,0.413652,0.420367,0.0473625,0.148899,0
0.0346101,-9.99132,7.475,0.00135036,0.404211,0.11788,0.0476483,FGM,0.420367,0.148899,0.413652,0.420367,0.0473625,0.148899,0
0.0397794,-9.9868,7.47501,0.00243958,0.499311,0.0969097,0.0483881,FGM,0.420367,0.148899,0.413652,0.420367,0.0473625,0.148899,0
0.0426121,-9.9868,7.47501,0.00243958,0.499311,0.0969097,0.0483881,FGM,0.420367,0.148899,0.413652,0.420367,0.0473625,0.148899,0
0.0462868,-9.9868,7.47501,0.00243958,0.499311,0.0969097,0.0483881,FGM,0.420367,0.148899,0.413652,0.420367,0.0473625,0.148899,0
0.0505443,-9.98133,7.47506,0.00323547,0.594411,0.0427794,0.0254285,FGM,0.420367,0.148899,0.413652,0.420367,0.0473625,0.148899,0
0.0545004,-9.98133,7.47506,0.00323547,0.594411,0.0427794,0.0254285,FGM,0.420367,0.148899,0.413652,0.420367,0.0473625,0.148899,0
0.0599168,-9.97494,7.47517,0.00380116,0.68538,0.0773792,0.0530342,FGM,0.425866,0.177682,0.419155,0.425866,0.0473625,0.177682,0
0.0623405,-9.97494,7.47517,0.00380116,0.68538,0.0773792,0.0530342,FGM,0.425866,0.177682,0.419155,0.425866,0.0473625,0.177682,0
0.0663769,-9.97494,7.47517,0.00380116,0.68538,0.0773792,0.0530342,FGM,0.425866,0.177682,0.419155,0.425866,0.0473625,0.177682,0
0.0703647,-9.96765,7.47534,0.00469132,0.771707,0.0863955,0.066672,FGM,0.425866,0.177682,0.419155,0.425866,0.0473625,0.177682,0
0.0745508,-9.96765,7.47534,0.00469132,0.771707,0.0863955,0.066672,FGM,0.425866,0.177682,0.419155,0.425866,0.0473625,0.177682,0
0.0801252,-9.95953,7.47554,0.00560795,0.85393,0.108833,0.0929357,FGM,0.425866,0.177682,0.419155,0.425866,0.0473625,0.177682,0
0.0826545,-9.95953,7.47554,0.00560795,0.85393,0.108833,0.0929357,FGM,0.425866,0.177682,0.419155,0.425866,0.0473625,0.177682,0
0.0866005,-9.95953,7.47554,0.00560795,0.85393,0.108833,0.0929357,FGM,0.425866,0.177682,0.419155,0.425866,0.0473625,0.177682,0
0.0909974,-9.9506,7.47579,0.00678711,0.932242,0.113999,0.106274,FGM,0.425866,0.177682,0.419155,0.425866,0.0473625,0.177682,0
0.0943967,-9.9506,7.47579,0.00678711,0.932242,0.113999,0.106274,FGM,0.425866,0.177682,0.419155,0.425866,0.0473625,0.177682,0
0.099988,-9.94091,7.47606,0.00795389,1.00683,0.131723,0.132623,FGM,0.425866,0.177682,0.419155,0.425866,0.0473625,0.177682,0
0.102579,-9.94091,7.47606,0.00795389,1.00683,0.131723,0.132623,FGM,0.425866,0.177682,0.419155,0.425866,0.0473625,0.177682,0
0.1064,-9.94091,7.47606,0.00795389,1.00683,0.131723,0.132623,FGM,0.413625,0.228364,0.402724,0.413625,0.0473625,0.228364,0
0.110311,-9.93049,7.47638,0.00935588,1.07787,0.135718,0.146287,FGM,0.413625,0.228364,0.402724,0.413625,0.0473625,0.228364,0
0.114461,-9.93049,7.47638,0.00935588,1.07787,0.135718,0.146287,FGM,0.413625,0.228364,0.402724,0.413625,0.0473625,0.228364,0
0.119851,-9.91937,7.47672,0.0107261,1.14637,0.150903,0.172991,FGM,0.413625,0.228364,0.402724,0.413625,0.0473625,0.228364,0
0.122226,-9.91937,7.47672,0.0107261,1.14637,0.150903,0.172991,FGM,0.413625,0.228364,0.402724,0.413625,0.0473625,0.228364,0
0.126386,-9.91937,7.47672,0.0107261,1.14637,0.150903,0.172991,FGM,0.413625,0.228364,0.402724,0.413625,0.0473625,0.228364,0
