t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
8.1705e-05,-9.99917,7.475,0,0.118894,0,0,FGM,0.424015,0.14879,0.415189,0.424015,0.0473625,0.14879,0
0.00408193,-9.99917,7.475,0,0.118894,0,0,FGM,0.424015,0.14879,0.415189,0.424015,0.0473625,0.14879,0
0.00897626,-9.9975,7.475,8.83478e-05,0.213994,0.0207454,0.00443939,FGM,0.424015,0.14879,0.415189,0.424015,0.0473625,0.14879,0
0.0122852,-9.9975,7.475,8.83478e-05,0.213994,0.0207454,0.00443939,FGM,0.424015,0.14879,0.415189,0.424015,0.0473625,0.14879,0
0.0160331,-9.9975,7.475,8.83478e-05,0.213994,0.0207454,0.00443939,FGM,0.424015,0.14879,0.415189,0.424015,0.0473625,0.14879,0
0.0202908,-9.99489,7.475,0.000476568,0.309094,0.0599911,0.0185429,FGM,0.424015,0.14879,0.415189,0.424015,0.0473625,0.14879,0
0.0241716,-9.99489,7.475,0.000476568,0.309094,0.0599911,0.0185429,FGM,0.424015,0.14879,0.415189,0.424015,0.0473625,0.14879,0
0.0289411,-9.99132,7.475,0.00135029,0.404194,0.117875,0.0476443,FGM,0.415035,0.160832,0.411869,0.415035,0.0473625,0.160832,0
0.0321381,-9.99132,7.475,0.00135029,0.404194,0.117875,0.0476443,FGM,0.415035,0.160832,0.411869,0.415035,0.0473625,0.160832,0
0.0361026,-9.99132,7.475,0.00135029,0.404194,0.117875,0.0476443,FGM,0.415035,0.160832,0.411869,0.415035,0.0473625,0.160832,0
0.0400897,-9.9868,7.47501,0.00243947,0.499294,0.0969064,0.0483848,FGM,0.415035,0.160832,0.411869,0.415035,0.0473625,0.160832,0
0.044053,-9.9868,7.47501,0.00243947,0.499294,0.0969064,0.0483848,FGM,0.415035,0.160832,0.411869,0.415035,0.0473625,0.160832,0
0.0487662,-9.98134,7.47507,0.00354855,0.593962,0.0608627,0.0361501,FGM,0.415035,0.160832,0.411869,0.415035,0.0473625,0.160832,0
0.0522001,-9.98134,7.47507,0.00354855,0.593962,0.0608627,0.0361501,FGM,0.415035,0.160832,0.411869,0.415035,0.0473625,0.160832,0
0.0560899,-9.98134,7.47507,0.00354855,0.593962,0.0608627,0.0361501,FGM,0.415035,0.160832,0.411869,0.415035,0.0473625,0.160832,0
0.0602089,-9.97495,7.47526,0.00459811,0.684128,0.106496,0.0728569,FGM,0.415035,0.160832,0.411869,0.415035,0.0473625,0.160832,0
0.0641429,-9.97495,7.47526,0.00459811,0.684128,0.106496,0.0728569,FGM,0.415035,0.160832,0.411869,0.415035,0.0473625,0.160832,0
0.068952,-9.96768,7.47551,0.0057285,0.770007,0.105143,0.080961,FGM,0.415035,0.160832,0.411869,0.415035,0.0473625,0.160832,0
0.0723133,-9.96768,7.47551,0.0057285,0.770007,0.105143,0.080961,FGM,0.415035,0.160832,0.411869,0.415035,0.0473625,0.160832,0
0.0759868,-9.96768,7.47551,0.0057285,0.770007,0.105143,0.080961,FGM,0.416709,0.206453,0.407212,0.416709,0.0473625,0.206453,0
0.0801053,-9.95958,7.47576,0.00679883,0.851802,0.121162,0.103206,FGM,0.416709,0.206453,0.407212,0.416709,0.0473625,0.206453,0
0.0840599,-9.95958,7.47576,0.00679883,0.851802,0.121162,0.103206,FGM,0.416709,0.206453,0.407212,0.416709,0.0473625,0.206453,0
0.0888745,-9.95067,7.47604,0.00807881,0.930404,0.122148,0.113646,FGM,0.416709,0.206453,0.407212,0.416709,0.0473625,0.206453,0
0.0920938,-9.95067,7.47604,0.00807881,0.930404,0.122148,0.113646,FGM,0.416709,0.206453,0.407212,0.416709,0.0473625,0.206453,0
0.095923,-9.95067,7.47604,0.00807881,0.930404,0.122148,0.113646,FGM,0.416709,0.206453,0.407212,0.416709,0.0473625,0.206453,0
0.0999429,-9.941,7.47635,0.00931262,1.00527,0.137172,0.137894,FGM,0.416709,0.206453,0.407212,0.416709,0.0473625,0.206453,0
0.103814,-9.941,7.47635,0.00931262,1.00527,0.137172,0.137894,FGM,0.416709,0.206453,0.407212,0.416709,0.0473625,0.206453,0
0.108936,-9.9306,7.47669,0.0107595,1.07657,0.139394,0.150068,FGM,0.416709,0.206453,0.407212,0.416709,0.0473625,0.206453,0
0.112064,-9.9306,7.47669,0.0107595,1.07657,0.139394,0.150068,FGM,0.416709,0.206453,0.407212,0.416709,0.0473625,0.206453,0
0.116178,-9.9306,7.47669,0.0107595,1.07657,0.139394,0.150068,FGM,0.416709,0.206453,0.407212,0.416709,0.0473625,0.206453,0
0.120144,-9.9195,7.47706,0.0121602,1.14449,0.153444,0.175615,FGM,0.416709,0.206453,0.407212,0.416709,0.0473625,0.206453,0
0.124042,-9.9195,7.47706,0.0121602,1.14449,0.153444,0.175615,FGM,0.416709,0.206453,0.407212,0.416709,0.0473625,0.206453,0
0.128902,-9.90773,7.47747,0.0137723,1.20917,0.15594,0.188557,FGM,0.420759,0.228957,0.413365,0.420759,0.0473625,0.228957,0
0.132082,-9.90773,7.47747,0.0137723,1.20917,0.15594,0.188557,FGM,0.420759,0.228957,0.413365,0.420759,0.0473625,0.228957,0
0.136152,-9.90773,7.47747,0.0137723,1.20917,0.15594,0.188557,FGM,0.420759,0.228957,0.413365,0.420759,0.0473625,0.228957,0
0.140181,-9.89533,7.47791,0.0153323,1.27383,0.168817,0.215044,FGM,0.420759,0.228957,0.413365,0.420759,0.0473625,0.228957,0
0.144149,-9.89533,7.47791,0.0153323,1.27383,0.168817,0.215044,FGM,0.420759,0.228957,0.413365,0.420759,0.0473625,0.228957,0
0.148951,-9.88229,7.4784,0.017099,1.33542,0.171461,0.228972,FGM,0.420759,0.228957,0.413365,0.420759,0.0473625,0.228957,0
0.152174,-9.88229,7.4784,0.017099,1.33542,0.171461,0.228972,FGM,0.420759,0.228957,0.413365,0.420759,0.0473625,0.228957,0
0.15611,-9.88229,7.4784,0.017099,1.33542,0.171461,0.228972,FGM,0.420759,0.228957,0.413365,0.420759,0.0473625,0.228957,0
0.160129,-9.86865,7.47892,0.0188098,1.39407,0.183694,0.256083,FGM,0.420759,0.228957,0.413365,0.420759,0.0473625,0.228957,0
