t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
7.8991e-05,-9.99917,7.475,0,0.118825,0,0,FGM,0.424331,0.147121,0.41505,0.424331,0.0473625,0.147121,0
0.00316721,-9.99917,7.475,0,0.118825,0,0,FGM,0.424331,0.147121,0.41505,0.424331,0.0473625,0.147121,0
0.00720664,-9.99917,7.475,0,0.118825,0,0,FGM,0.413866,0.148949,0.405582,0.413866,0.0473625,0.148949,0
0.0111221,-9.9975,7.475,8.83145e-05,0.213925,0.0207388,0.00443655,FGM,0.413866,0.148949,0.405582,0.413866,0.0473625,0.148949,0
0.0152127,-9.9975,7.475,8.83145e-05,0.213925,0.0207388,0.00443655,FGM,0.413866,0.148949,0.405582,0.413866,0.0473625,0.148949,0
0.0199325,-9.99489,7.475,0.000476435,0.309025,0.0599778,0.0185346,FGM,0.413866,0.148949,0.405582,0.413866,0.0473625,0.148949,0
0.0230851,-9.99489,7.475,0.000476435,0.309025,0.0599778,0.0185346,FGM,0.413866,0.148949,0.405582,0.413866,0.0473625,0.148949,0
0.0270016,-9.99489,7.475,0.000476435,0.309025,0.0599778,0.0185346,FGM,0.413866,0.148949,0.405582,0.413866,0.0473625,0.148949,0
0.031226,-9.99132,7.475,0.00134999,0.404125,0.117855,0.0476281,FGM,0.413866,0.148949,0.405582,0.413866,0.0473625,0.148949,0
0.0350734,-9.99132,7.475,0.00134999,0.404125,0.117855,0.0476281,FGM,0.413866,0.148949,0.405582,0.413866,0.0473625,0.148949,0
0.0399758,-9.98681,7.47501,0.002439,0.499225,0.0968931,0.0483715,FGM,0.413866,0.148949,0.405582,0.413866,0.0473625,0.148949,0
0.0430892,-9.98681,7.47501,0.002439,0.499225,0.0968931,0.0483715,FGM,0.413866,0.148949,0.405582,0.413866,0.0473625,0.148949,0
0.0469099,-9.98681,7.47501,0.002439,0.499225,0.0968931,0.0483715,FGM,0.413866,0.148949,0.405582,0.413866,0.0473625,0.148949,0
0.0510185,-9.98134,7.47507,0.00354795,0.594002,0.0607739,0.0360998,FGM,0.413866,0.148949,0.405582,0.413866,0.0473625,0.148949,0
0.0552649,-9.98134,7.47507,0.00354795,0.594002,0.0607739,0.0360998,FGM,0.416817,0.18247,0.414609,0.416817,0.0473625,0.18247,0
0.0599534,-9.97495,7.47526,0.00459531,0.685336,0.106391,0.0729134,FGM,0.416817,0.18247,0.414609,0.416817,0.0473625,0.18247,0
0.0633206,-9.97495,7.47526,0.00459531,0.685336,0.106391,0.0729134,FGM,0.416817,0.18247,0.414609,0.416817,0.0473625,0.18247,0
0.0671093,-9.97495,7.47526,0.00459531,0.685336,0.106391,0.0729134,FGM,0.416817,0.18247,0.414609,0.416817,0.0473625,0.18247,0
0.0711372,-9.96766,7.47551,0.00572608,0.772328,0.105379,0.081387,FGM,0.416817,0.18247,0.414609,0.416817,0.0473625,0.18247,0
0.0751274,-9.96766,7.47551,0.00572608,0.772328,0.105379,0.081387,FGM,0.416817,0.18247,0.414609,0.416817,0.0473625,0.18247,0
0.0804339,-9.95953,7.47576,0.00679956,0.855183,0.121431,0.103845,FGM,0.416817,0.18247,0.414609,0.416817,0.0473625,0.18247,0
0.0831645,-9.95953,7.47576,0.00679956,0.855183,0.121431,0.103845,FGM,0.416817,0.18247,0.414609,0.416817,0.0473625,0.18247,0
0.0868876,-9.95953,7.47576,0.00679956,0.855183,0.121431,0.103845,FGM,0.416817,0.18247,0.414609,0.416817,0.0473625,0.18247,0
0.0911646,-9.95059,7.47605,0.00808287,0.934098,0.122564,0.114487,FGM,0.416817,0.18247,0.414609,0.416817,0.0473625,0.18247,0
0.0952266,-9.95059,7.47605,0.00808287,0.934098,0.122564,0.114487,FGM,0.416817,0.18247,0.414609,0.416817,0.0473625,0.18247,0
0.099745,-9.94088,7.47635,0.00932104,1.00926,0.137582,0.138856,FGM,0.416817,0.18247,0.414609,0.416817,0.0473625,0.18247,0
0.103321,-9.94088,7.47635,0.00932104,1.00926,0.137582,0.138856,FRENET,0.40811,0.0473625,0.40811,0.418461,0.0473625,0.218684,0
0.107277,-9.94088,7.47635,0.00932104,1.00926,0.137582,0.138856,FRENET,0.40811,0.0473625,0.40811,0.418461,0.0473625,0.218684,0
0.111067,-9.93065,7.47669,0.0107857,1.03804,0.137721,0.142959,FRENET,0.40811,0.0473625,0.40811,0.418461,0.0473625,0.218684,0
0.114982,-9.93065,7.47669,0.0107857,1.03804,0.137721,0.142959,FRENET,0.40811,0.0473625,0.40811,0.418461,0.0473625,0.218684,0
0.119929,-9.92013,7.47704,0.012151,1.06545,0.151281,0.161182,FRENET,0.40811,0.0473625,0.40811,0.418461,0.0473625,0.218684,0
0.123294,-9.92013,7.47704,0.012151,1.06545,0.151281,0.161182,FRENET,0.40811,0.0473625,0.40811,0.418461,0.0473625,0.218684,0
0.127291,-9.92013,7.47704,0.012151,1.06545,0.151281,0.161182,FRENET,0.40811,0.0473625,0.40811,0.418461,0.0473625,0.218684,0
0.131082,-9.90936,7.47742,0.0137269,1.09155,0.147362,0.160854,FRENET,0.40811,0.0473625,0.40811,0.418461,0.0473625,0.218684,0
0.134964,-9.90936,7.47742,0.0137269,1.09155,0.147362,0.160854,FRENET,0.40811,0.0473625,0.40811,0.418461,0.0473625,0.218684,0
0.139966,-9.89832,7.47779,0.014947,1.11642,0.0898464,0.100306,FRENET,0.40811,0.0473625,0.40811,0.418461,0.0473625,0.218684,0
0.143156,-9.89832,7.47779,0.014947,1.11642,0.0898464,0.100306,FRENET,0.40811,0.0473625,0.40811,0.418461,0.0473625,0.218684,0
0.147064,-9.89832,7.47779,0.014947,1.11642,0.0898464,0.100306,FRENET,0.40811,0.0473625,0.40811,0.418461,0.0473625,0.218684,0
0.151081,-9.88704,7.4781,0.0154511,1.1401,0.00771231,0.00879281,FRENET,0.40811,0.0473625,0.40811,0.418461,0.0473625,0.218684,0
0.154973,-9.88704,7.4781,0.0154511,1.1401,0.00771231,0.00879281,FRENET,0.398815,0.0473625,0.398815,0.417517,0.0473625,0.236624,0
0.159711,-9.87553,7.47833,0.015295,1.16266,-0.0174267,-0.0202613,FRENET,0.398815,0.0473625,0.398815,0.417517,0.0473625,0.236624,0
0.163215,-9.87553,7.47833,0.015295,1.16266,-0.0174267,-0.0202613,FRENET,0.398815,0.0473625,0.398815,0.417517,0.0473625,0.236624,0
0.166976,-9.87553,7.47833,0.015295,1.16266,-0.0174267,-0.0202613,FRENET,0.398815,0.0473625,0.398815,0.417517,0.0473625,0.236624,0
0.171054,-9.8638,7.47852,0.0150757,1.18414,-0.0407702,-0.0482777,FRENET,0.398815,0.0473625,0.398815,0.417517,0.0473625,0.236624,0
0.17513,-9.8638,7.47852,0.0150757,1.18414,-0.0407702,-0.0482777,FRENET,0.398815,0.0473625,0.398815,0.417517,0.0473625,0.236624,0
0.179859,-9.85186,7.47866,0.0145751,1.2046,-0.0419294,-0.0505083,FRENET,0.398815,0.0473625,0.398815,0.417517,0.0473625,0.236624,0
0.183134,-9.85186,7.47866,0.0145751,1.2046,-0.0419294,-0.0505083,FRENET,0.398815,0.0473625,0.398815,0.417517,0.0473625,0.236624,0
0.187087,-9.85186,7.47866,0.0145751,1.2046,-0.0419294,-0.0505083,FRENET,0.398815,0.0473625,0.398815,0.417517,0.0473625,0.236624,0
0.190928,-9.83971,7.4788,0.0141745,1.22409,-0.0542263,-0.066378,FRENET,0.398815,0.0473625,0.398815,0.417517,0.0473625,0.236624,0
0.195022,-9.83971,7.4788,0.0141745,1.22409,-0.0542263,-0.066378,FRENET,0.398815,0.0473625,0.398815,0.417517,0.0473625,0.236624,0
0.199662,-9.82738,7.4789,0.0135679,1.24265,-0.0503173,-0.0625271,FRENET,0.398815,0.0473625,0.398815,0.417517,0.0473625,0.236624,0
0.202978,-9.82738,7.4789,0.0135679,1.24265,-0.0503173,-0.0625271,FRENET,0.410879,0.0473625,0.410879,0.418359,0.0473625,0.241611,0
0.207064,-9.82738,7.4789,0.0135679,1.24265,-0.0503173,-0.0625271,FRENET,0.410879,0.0473625,0.410879,0.418359,0.0473625,0.241611,0
0.211123,-9.81487,7.479,0.0131001,1.26033,-0.0596688,-0.0752026,FRENET,0.410879,0.0473625,0.410879,0.418359,0.0473625,0.241611,0
0.215091,-9.81487,7.479,0.0131001,1.26033,-0.0596688,-0.0752026,FRENET,0.410879,0.0473625,0.410879,0.418359,0.0473625,0.241611,0
0.219856,-9.80218,7.47908,0.0124465,1.27717,-0.054357,-0.0694234,FRENET,0.410879,0.0473625,0.410879,0.418359,0.0473625,0.241611,0
0.222997,-9.80218,7.47908,0.0124465,1.27717,-0.054357,-0.0694234,FRENET,0.410879,0.0473625,0.410879,0.418359,0.0473625,0.241611,0
0.227092,-9.80218,7.47908,0.0124465,1.27717,-0.054357,-0.0694234,FRENET,0.410879,0.0473625,0.410879,0.418359,0.0473625,0.241611,0
0.2311,-9.78933,7.47917,0.0119444,1.29321,-0.0626221,-0.0809837,FRENET,0.410879,0.0473625,0.410879,0.418359,0.0473625,0.241611,0
0.235131,-9.78933,7.47917,0.0119444,1.29321,-0.0626221,-0.0809837,FRENET,0.410879,0.0473625,0.410879,0.418359,0.0473625,0.241611,0
0.239749,-9.77632,7.47923,0.0112636,1.30849,-0.0568536,-0.0743923,FRENET,0.410879,0.0473625,0.410879,0.418359,0.0473625,0.241611,0
0.243006,-9.77632,7.47923,0.0112636,1.30849,-0.0568536,-0.0743923,FRENET,0.410879,0.0473625,0.410879,0.418359,0.0473625,0.241611,0
0.246991,-9.77632,7.47923,0.0112636,1.30849,-0.0568536,-0.0743923,FRENET,0.410879,0.0473625,0.410879,0.418359,0.0473625,0.241611,0
0.250966,-9.76316,7.47929,0.0107396,1.32304,-0.0646028,-0.0854719,FRENET,0.416145,0.0492687,0.416145,0.423155,0.0492687,0.246519,0
0.255127,-9.76316,7.47929,0.0107396,1.32304,-0.0646028,-0.0854719,FRENET,0.416145,0.0492687,0.416145,0.423155,0.0492687,0.246519,0
0.259757,-9.74981,7.47934,0.0100434,1.34682,-0.0588174,-0.0792164,FRENET,0.416145,0.0492687,0.416145,0.423155,0.0492687,0.246519,0
0.262926,-9.74981,7.47934,0.0100434,1.34682,-0.0588174,-0.0792164,FRENET,0.416145,0.0492687,0.416145,0.423155,0.0492687,0.246519,0
