t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
8.7037e-05,-9.99917,7.475,0,0.118961,0,0,FGM,0.424947,0.146041,0.241099,0.424947,0.258958,0.146041,0
0.0043453,-9.99917,7.475,0,0.118961,0,0,FGM,0.424947,0.146041,0.241099,0.424947,0.258958,0.146041,0
0.01143,-9.9975,7.475,8.83801e-05,0.214061,0.0207519,0.00444216,FGM,0.424947,0.146041,0.241099,0.424947,0.258958,0.146041,0
0.0146906,-9.9975,7.475,8.83801e-05,0.214061,0.0207519,0.00444216,FGM,0.424947,0.146041,0.241099,0.424947,0.258958,0.146041,0
0.0200349,-9.99489,7.475,0.000476698,0.309161,0.060004,0.0185509,FGM,0.424947,0.146041,0.241099,0.424947,0.258958,0.146041,0
0.0232488,-9.99489,7.475,0.000476698,0.309161,0.060004,0.0185509,FGM,0.424947,0.146041,0.241099,0.424947,0.258958,0.146041,0
0.0267066,-9.99489,7.475,0.000476698,0.309161,0.060004,0.0185509,FGM,0.424947,0.146041,0.241099,0.424947,0.258958,0.146041,0
0.0311382,-9.99132,7.475,0.00135058,0.404261,0.117894,0.04766,FGM,0.422687,0.169677,0.250957,0.422687,0.258958,0.169677,0
0.0340193,-9.99132,7.475,0.00135058,0.404261,0.117894,0.04766,FGM,0.422687,0.169677,0.250957,0.422687,0.258958,0.169677,0
0.039799,-9.9868,7.47501,0.00243992,0.499361,0.0969194,0.0483977,FGM,0.422687,0.169677,0.250957,0.422687,0.258958,0.169677,0
0.0424303,-9.9868,7.47501,0.00243992,0.499361,0.0969194,0.0483977,FGM,0.422687,0.169677,0.250957,0.422687,0.258958,0.169677,0
0.046239,-9.9868,7.47501,0.00243992,0.499361,0.0969194,0.0483977,FGM,0.422687,0.169677,0.250957,0.422687,0.258958,0.169677,0
0.0516103,-9.98133,7.47507,0.00354898,0.594336,0.0606943,0.0360728,FGM,0.422687,0.169677,0.250957,0.422687,0.258958,0.169677,0
0.0545863,-9.98133,7.47507,0.00354898,0.594336,0.0606943,0.0360728,FGM,0.422687,0.169677,0.250957,0.422687,0.258958,0.169677,0
0.0597945,-9.97494,7.47526,0.00459758,0.684795,0.10646,0.0729033,FGM,0.422687,0.169677,0.250957,0.422687,0.258958,0.169677,0
0.0626202,-9.97494,7.47526,0.00459758,0.684795,0.10646,0.0729033,FGM,0.422687,0.169677,0.250957,0.422687,0.258958,0.169677,0
0.0664393,-9.97494,7.47526,0.00459758,0.684795,0.10646,0.0729033,FGM,0.422687,0.169677,0.250957,0.422687,0.258958,0.169677,0
0.0714732,-9.96766,7.47551,0.00572819,0.770952,0.105228,0.081126,FGM,0.422687,0.169677,0.250957,0.422687,0.258958,0.169677,0
0.0747612,-9.96766,7.47551,0.00572819,0.770952,0.105228,0.081126,FGM,0.422687,0.169677,0.250957,0.422687,0.258958,0.169677,0
0.0797228,-9.95955,7.47576,0.00679962,0.853013,0.121261,0.103437,FGM,0.415363,0.197922,0.270636,0.415363,0.258958,0.197922,0
0.081973,-9.95955,7.47576,0.00679962,0.853013,0.121261,0.103437,FGM,0.415363,0.197922,0.270636,0.415363,0.258958,0.197922,0
0.0861382,-9.95955,7.47576,0.00679962,0.853013,0.121261,0.103437,FGM,0.415363,0.197922,0.270636,0.415363,0.258958,0.197922,0
0.0902522,-9.95063,7.47604,0.00808075,0.932011,0.12232,0.114004,FGM,0.415363,0.197922,0.270636,0.415363,0.258958,0.197922,0
0.094176,-9.95063,7.47604,0.00808075,0.932011,0.12232,0.114004,FGM,0.415363,0.197922,0.270636,0.415363,0.258958,0.197922,0
0.0996673,-9.94094,7.47635,0.00931648,1.00725,0.137344,0.13834,FGM,0.415363,0.197922,0.270636,0.415363,0.258958,0.197922,0
0.102267,-9.94094,7.47635,0.00931648,1.00725,0.137344,0.13834,FGM,0.415363,0.197922,0.270636,0.415363,0.258958,0.197922,0
0.106478,-9.94094,7.47635,0.00931648,1.00725,0.137344,0.13834,FGM,0.415363,0.197922,0.270636,0.415363,0.258958,0.197922,0
0.111976,-9.93051,7.47669,0.0107652,1.07892,0.139635,0.150654,FGM,0.415363,0.197922,0.270636,0.415363,0.258958,0.197922,0
0.114211,-9.93051,7.47669,0.0107652,1.07892,0.139635,0.150654,FGM,0.415363,0.197922,0.270636,0.415363,0.258958,0.197922,0
0.119842,-9.91939,7.47706,0.0121685,1.14717,0.153685,0.176304,FGM,0.415363,0.197922,0.270636,0.415363,0.258958,0.197922,0
0.122192,-9.91939,7.47706,0.0121685,1.14717,0.153685,0.176304,FGM,0.415363,0.197922,0.270636,0.415363,0.258958,0.197922,0
0.126113,-9.91939,7.47706,0.0121685,1.14717,0.153685,0.176304,FGM,0.42713,0.238485,0.416152,0.42713,0.381943,0.238485,0
0.131444,-9.9076,7.47747,0.0137832,1.21219,0.156242,0.189395,FGM,0.42713,0.238485,0.416152,0.42713,0.381943,0.238485,0
0.134099,-9.9076,7.47747,0.0137832,1.21219,0.156242,0.189395,FGM,0.42713,0.238485,0.416152,0.42713,0.381943,0.238485,0
0.139823,-9.89516,7.47791,0.0153464,1.27656,0.169155,0.215935,FGM,0.42713,0.238485,0.416152,0.42713,0.381943,0.238485,0
0.142066,-9.89516,7.47791,0.0153464,1.27656,0.169155,0.215935,FGM,0.42713,0.238485,0.416152,0.42713,0.381943,0.238485,0
0.146113,-9.89516,7.47791,0.0153464,1.27656,0.169155,0.215935,FGM,0.42713,0.238485,0.416152,0.42713,0.381943,0.238485,0
0.150198,-9.8821,7.4784,0.0171165,1.33786,0.171796,0.22984,FGM,0.42713,0.238485,0.416152,0.42713,0.381943,0.238485,0
0.154272,-9.8821,7.4784,0.0171165,1.33786,0.171796,0.22984,FGM,0.42713,0.238485,0.416152,0.42713,0.381943,0.238485,0
0.159634,-9.86844,7.47892,0.0188305,1.39626,0.18401,0.256925,FGM,0.42713,0.238485,0.416152,0.42713,0.381943,0.238485,0
0.162103,-9.86844,7.47892,0.0188305,1.39626,0.18401,0.256925,FGM,0.42713,0.238485,0.416152,0.42713,0.381943,0.238485,0
0.165821,-9.86844,7.47892,0.0188305,1.39626,0.18401,0.256925,FGM,0.42713,0.238485,0.416152,0.42713,0.381943,0.238485,0
0.169986,-9.85421,7.47949,0.0207496,1.45187,0.186411,0.270646,FGM,0.42713,0.238485,0.416152,0.42713,0.381943,0.238485,0
0.174002,-9.85421,7.47949,0.0207496,1.45187,0.186411,0.270646,FGM,0.42713,0.238485,0.416152,0.42713,0.381943,0.238485,0
0.179523,-9.83944,7.4801,0.0226043,1.50485,0.197823,0.297693,FGM,0.428881,0.263393,0.418924,0.428881,0.381943,0.263393,0
0.182142,-9.83944,7.4801,0.0226043,1.50485,0.197823,0.297693,FGM,0.428881,0.263393,0.418924,0.428881,0.381943,0.263393,0
0.186156,-9.83944,7.4801,0.0226043,1.50485,0.197823,0.297693,FGM,0.428881,0.263393,0.418924,0.428881,0.381943,0.263393,0
0.189964,-9.82414,7.48076,0.0246593,1.55777,0.199728,0.311131,FGM,0.428881,0.263393,0.418924,0.428881,0.381943,0.263393,0
0.193796,-9.82414,7.48076,0.0246593,1.55777,0.199728,0.311131,FGM,0.428881,0.263393,0.418924,0.428881,0.381943,0.263393,0
0.199367,-9.80832,7.48147,0.0266425,1.60818,0.21036,0.338296,FGM,0.428881,0.263393,0.418924,0.428881,0.381943,0.263393,0
0.201814,-9.80832,7.48147,0.0266425,1.60818,0.21036,0.338296,FGM,0.428881,0.263393,0.418924,0.428881,0.381943,0.263393,0
0.20593,-9.80832,7.48147,0.0266425,1.60818,0.21036,0.338296,FGM,0.428881,0.263393,0.418924,0.428881,0.381943,0.263393,0
0.210036,-9.79202,7.48223,0.0288245,1.65619,0.212229,0.351492,FGM,0.428881,0.263393,0.418924,0.428881,0.381943,0.263393,0
0.213859,-9.79202,7.48223,0.0288245,1.65619,0.212229,0.351492,FGM,0.428881,0.263393,0.418924,0.428881,0.381943,0.263393,0
0.219303,-9.77525,7.48303,0.0309288,1.70192,0.222358,0.378435,FGM,0.428881,0.263393,0.418924,0.428881,0.381943,0.263393,0
0.222123,-9.77525,7.48303,0.0309288,1.70192,0.222358,0.378435,FGM,0.428881,0.263393,0.418924,0.428881,0.381943,0.263393,0
