t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
3.1364e-05,-8.49204,8.65484,0.0207275,0.339103,0.473475,0.160557,NONE,0,0,0,0,0,0,0
0.00420943,-8.49204,8.65484,0.0207275,0.339103,0.473475,0.160557,NONE,0,0,0,0,0,0,0

--- Experiment Summary ---
Scenario,Mux_playground_WS1.92_WT2.06_WC1.40_WCL2.29_WD2.63_DM0.50_Opp_bumper_v_3.csv
Mode,MUX_OBSTACLE
Finish Reason,COLLISION DETECTED
Duration (s),0.00
Total Dist (m),0.00
Collision,YES
FRENET Usage (%),0.00
FGM Usage (%),0.00
Max Speed (m/s),0.34
Max Lat Acc (m/s^2),0.16
Global Min Dist (m),0.00
Global Unsafe Ratio,1.00
Global Track RMS (m),0.00
Global Lat Acc RMS,0.16
FGM Min Dist (m),1000000000.00
FGM Unsafe Ratio,0.00
FGM Track RMS (m),0.00
