t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
2.2269e-05,-6.44161,7.14509,-0.000130078,0.165553,-1.87051e-10,-3.09669e-11,NONE,0,0,0,0,0,0,0
0.00497586,-6.43972,7.14509,-0.000225407,0.212276,-0.0205789,-0.00436839,NONE,0,0,0,0,0,0,0

--- Experiment Summary ---
Scenario,Mux_playground_WS2.20_WT1.49_WC0.77_WCL1.17_WD1.19_DM0.34_Opp_bumper_v_5.csv
Mode,MUX_OBSTACLE
Finish Reason,COLLISION DETECTED
Duration (s),0.00
Total Dist (m),0.00
Collision,YES
FRENET Usage (%),0.00
FGM Usage (%),0.00
Max Speed (m/s),0.21
Max Lat Acc (m/s^2),0.00
Global Min Dist (m),0.00
Global Unsafe Ratio,1.00
Global Track RMS (m),0.00
Global Lat Acc RMS,0.00
FGM Min Dist (m),1000000000.00
FGM Unsafe Ratio,0.00
FGM Track RMS (m),0.00
