t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
8.8481e-05,-9.99917,7.475,0,0.1189,0,0,FGM,0.407724,0.143647,0.3021,0.407724,0.258958,0.143647,0
0.00263603,-9.99917,7.475,0,0.1189,0,0,FGM,0.407724,0.143647,0.3021,0.407724,0.258958,0.143647,0
0.00682086,-9.99917,7.475,0,0.1189,0,0,FGM,0.407724,0.143647,0.3021,0.407724,0.258958,0.143647,0
0.0107212,-9.9975,7.475,8.83508e-05,0.214,0.020746,0.00443966,FGM,0.407724,0.143647,0.3021,0.407724,0.258958,0.143647,0
0.0146301,-9.9975,7.475,8.83508e-05,0.214,0.020746,0.00443966,FGM,0.407724,0.143647,0.3021,0.407724,0.258958,0.143647,0
0.0210679,-9.99489,7.475,0.00047658,0.3091,0.0599923,0.0185436,FGM,0.407724,0.143647,0.3021,0.407724,0.258958,0.143647,0
0.0236634,-9.99489,7.475,0.00047658,0.3091,0.0599923,0.0185436,FGM,0.407724,0.143647,0.3021,0.407724,0.258958,0.143647,0
0.0266575,-9.99489,7.475,0.00047658,0.3091,0.0599923,0.0185436,FGM,0.418628,0.161087,0.285151,0.418628,0.258958,0.161087,0
0.0305702,-9.99132,7.475,0.00135032,0.4042,0.117877,0.0476458,FGM,0.418628,0.161087,0.285151,0.418628,0.258958,0.161087,0
0.0347199,-9.99132,7.475,0.00135032,0.4042,0.117877,0.0476458,FGM,0.418628,0.161087,0.285151,0.418628,0.258958,0.161087,0
0.0403573,-9.9868,7.47501,0.00243951,0.4993,0.0969077,0.048386,FGM,0.418628,0.161087,0.285151,0.418628,0.258958,0.161087,0
0.0425676,-9.9868,7.47501,0.00243951,0.4993,0.0969077,0.048386,FGM,0.418628,0.161087,0.285151,0.418628,0.258958,0.161087,0
0.0466702,-9.9868,7.47501,0.00243951,0.4993,0.0969077,0.048386,FGM,0.418628,0.161087,0.285151,0.418628,0.258958,0.161087,0
0.0507807,-9.98134,7.47507,0.00354845,0.5944,0.0605982,0.0360196,FGM,0.418628,0.161087,0.285151,0.418628,0.258958,0.161087,0
0.0547503,-9.98134,7.47507,0.00354845,0.5944,0.0605982,0.0360196,FGM,0.418628,0.161087,0.285151,0.418628,0.258958,0.161087,0
0.0602999,-9.97494,7.47526,0.00459581,0.685425,0.106393,0.0729243,FGM,0.418628,0.161087,0.285151,0.418628,0.258958,0.161087,0
0.0625458,-9.97494,7.47526,0.00459581,0.685425,0.106393,0.0729243,FGM,0.418628,0.161087,0.285151,0.418628,0.258958,0.161087,0
0.0666615,-9.97494,7.47526,0.00459581,0.685425,0.106393,0.0729243,FGM,0.418628,0.161087,0.285151,0.418628,0.258958,0.161087,0
0.0707969,-9.96766,7.47551,0.00572655,0.772121,0.10534,0.0813352,FGM,0.418628,0.161087,0.285151,0.418628,0.258958,0.161087,0
0.074837,-9.96766,7.47551,0.00572655,0.772121,0.10534,0.0813352,FGM,0.418628,0.161087,0.285151,0.418628,0.258958,0.161087,0
0.0801841,-9.95953,7.47576,0.00679952,0.854694,0.121393,0.103754,FGM,0.421516,0.207314,0.26627,0.421516,0.258958,0.207314,0
0.0827257,-9.95953,7.47576,0.00679952,0.854694,0.121393,0.103754,FGM,0.421516,0.207314,0.26627,0.421516,0.258958,0.207314,0
0.0865824,-9.95953,7.47576,0.00679952,0.854694,0.121393,0.103754,FGM,0.421516,0.207314,0.26627,0.421516,0.258958,0.207314,0
0.0907838,-9.95059,7.47605,0.00808234,0.933376,0.122485,0.114324,FGM,0.421516,0.207314,0.26627,0.421516,0.258958,0.207314,0
0.0946412,-9.95059,7.47605,0.00808234,0.933376,0.122485,0.114324,FGM,0.421516,0.207314,0.26627,0.421516,0.258958,0.207314,0
0.100204,-9.94089,7.47635,0.0093196,1.00832,0.137502,0.138646,FGM,0.421516,0.207314,0.26627,0.421516,0.258958,0.207314,0
0.10268,-9.94089,7.47635,0.0093196,1.00832,0.137502,0.138646,FGM,0.421516,0.207314,0.26627,0.421516,0.258958,0.207314,0
0.106822,-9.94089,7.47635,0.0093196,1.00832,0.137502,0.138646,FGM,0.421516,0.207314,0.26627,0.421516,0.258958,0.207314,0
0.110649,-9.93045,7.47669,0.0107699,1.07969,0.139765,0.150903,FGM,0.421516,0.207314,0.26627,0.421516,0.258958,0.207314,0
0.114676,-9.93045,7.47669,0.0107699,1.07969,0.139765,0.150903,FGM,0.421516,0.207314,0.26627,0.421516,0.258958,0.207314,0
0.120265,-9.91932,7.47706,0.0121743,1.14768,0.153798,0.17651,FGM,0.421516,0.207314,0.26627,0.421516,0.258958,0.207314,0
0.122732,-9.91932,7.47706,0.0121743,1.14768,0.153798,0.17651,FGM,0.421516,0.207314,0.26627,0.421516,0.258958,0.207314,0
0.126808,-9.91932,7.47706,0.0121743,1.14768,0.153798,0.17651,FGM,0.420705,0.236449,0.268154,0.420705,0.258958,0.236449,0
0.130676,-9.90753,7.47748,0.01379,1.21243,0.15632,0.189527,FGM,0.420705,0.236449,0.268154,0.420705,0.258958,0.236449,0
0.134822,-9.90753,7.47748,0.01379,1.21243,0.15632,0.189527,FGM,0.420705,0.236449,0.268154,0.420705,0.258958,0.236449,0
0.140128,-9.89509,7.47792,0.0153538,1.27671,0.169207,0.216028,FGM,0.420705,0.236449,0.268154,0.420705,0.258958,0.236449,0
0.142695,-9.89509,7.47792,0.0153538,1.27671,0.169207,0.216028,FGM,0.420705,0.236449,0.268154,0.420705,0.258958,0.236449,0
0.146771,-9.89509,7.47792,0.0153538,1.27671,0.169207,0.216028,FGM,0.420705,0.236449,0.268154,0.420705,0.258958,0.236449,0
0.150727,-9.88203,7.4784,0.0171244,1.33794,0.17183,0.229898,FGM,0.420705,0.236449,0.268154,0.420705,0.258958,0.236449,0
0.154608,-9.88203,7.4784,0.0171244,1.33794,0.17183,0.229898,FGM,0.420705,0.236449,0.268154,0.420705,0.258958,0.236449,0
0.160007,-9.86836,7.47892,0.0188387,1.39625,0.184036,0.256961,FGM,0.420705,0.236449,0.268154,0.420705,0.258958,0.236449,0
0.1629,-9.86836,7.47892,0.0188387,1.39625,0.184036,0.256961,FGM,0.420705,0.236449,0.268154,0.420705,0.258958,0.236449,0
0.166724,-9.86836,7.47892,0.0188387,1.39625,0.184036,0.256961,FGM,0.420705,0.236449,0.268154,0.420705,0.258958,0.236449,0
0.170665,-9.85414,7.4795,0.020758,1.4518,0.186425,0.270652,FGM,0.420705,0.236449,0.268154,0.420705,0.258958,0.236449,0
0.174769,-9.85414,7.4795,0.020758,1.4518,0.186425,0.270652,FGM,0.420705,0.236449,0.268154,0.420705,0.258958,0.236449,0
0.180144,-9.83937,7.4801,0.0226128,1.5047,0.197831,0.297677,FGM,0.421526,0.266141,0.257084,0.421526,0.258958,0.266141,0
0.182831,-9.83937,7.4801,0.0226128,1.5047,0.197831,0.297677,FGM,0.421526,0.266141,0.257084,0.421526,0.258958,0.266141,0
0.186905,-9.83937,7.4801,0.0226128,1.5047,0.197831,0.297677,FGM,0.421526,0.266141,0.257084,0.421526,0.258958,0.266141,0
0.190703,-9.82408,7.48077,0.0246689,1.55616,0.199798,0.310917,FGM,0.421526,0.266141,0.257084,0.421526,0.258958,0.266141,0
0.194739,-9.82408,7.48077,0.0246689,1.55616,0.199798,0.310917,FGM,0.421526,0.266141,0.257084,0.421526,0.258958,0.266141,0
0.200472,-9.80828,7.48147,0.0266524,1.60517,0.210453,0.337814,FGM,0.421526,0.266141,0.257084,0.421526,0.258958,0.266141,0
0.203151,-9.80828,7.48147,0.0266524,1.60517,0.210453,0.337814,FGM,0.421526,0.266141,0.257084,0.421526,0.258958,0.266141,0
0.206617,-9.80828,7.48147,0.0266524,1.60517,0.210453,0.337814,FGM,0.421526,0.266141,0.257084,0.421526,0.258958,0.266141,0
0.210724,-9.79202,7.48223,0.0288352,1.65186,0.212186,0.350501,FGM,0.421526,0.266141,0.257084,0.421526,0.258958,0.266141,0
0.21485,-9.79202,7.48223,0.0288352,1.65186,0.212186,0.350501,FGM,0.421526,0.266141,0.257084,0.421526,0.258958,0.266141,0
0.220358,-9.7753,7.48303,0.0309383,1.69632,0.222258,0.377021,FGM,0.421526,0.266141,0.257084,0.421526,0.258958,0.266141,0
0.222637,-9.7753,7.48303,0.0309383,1.69632,0.222258,0.377021,FGM,0.421526,0.266141,0.257084,0.421526,0.258958,0.266141,0
