t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
0.000113905,-9.99917,7.475,0,0.119055,0,0,FGM,0.423102,0.144997,0.423102,0.423102,0.381943,0.144997,0
0.0025117,-9.99917,7.475,0,0.119055,0,0,FGM,0.423102,0.144997,0.423102,0.423102,0.381943,0.144997,0
0.00627174,-9.99917,7.475,0,0.119055,0,0,FGM,0.423102,0.144997,0.423102,0.423102,0.381943,0.144997,0
0.0106508,-9.9975,7.475,8.8426e-05,0.214155,0.0207611,0.0044461,FGM,0.423102,0.144997,0.423102,0.423102,0.381943,0.144997,0
0.0141346,-9.9975,7.475,8.8426e-05,0.214155,0.0207611,0.0044461,FGM,0.423102,0.144997,0.423102,0.423102,0.381943,0.144997,0
0.0197628,-9.99488,7.475,0.000476881,0.309255,0.0600224,0.0185623,FGM,0.423102,0.144997,0.423102,0.423102,0.381943,0.144997,0
0.0222637,-9.99488,7.475,0.000476881,0.309255,0.0600224,0.0185623,FGM,0.423102,0.144997,0.423102,0.423102,0.381943,0.144997,0
0.0262034,-9.99488,7.475,0.000476881,0.309255,0.0600224,0.0185623,FGM,0.419304,0.164714,0.424896,0.419304,0.381943,0.164714,0
0.0303565,-9.99131,7.475,0.00135099,0.404355,0.117922,0.0476824,FGM,0.419304,0.164714,0.424896,0.419304,0.381943,0.164714,0
0.0342391,-9.99131,7.475,0.00135099,0.404355,0.117922,0.0476824,FGM,0.419304,0.164714,0.424896,0.419304,0.381943,0.164714,0
0.0397151,-9.98679,7.47501,0.00244056,0.499455,0.0969378,0.0484161,FGM,0.419304,0.164714,0.424896,0.419304,0.381943,0.164714,0
0.0422634,-9.98679,7.47501,0.00244056,0.499455,0.0969378,0.0484161,FGM,0.419304,0.164714,0.424896,0.419304,0.381943,0.164714,0
0.0462605,-9.98679,7.47501,0.00244056,0.499455,0.0969378,0.0484161,FGM,0.419304,0.164714,0.424896,0.419304,0.381943,0.164714,0
0.0505116,-9.98133,7.47506,0.00323663,0.594473,0.0428324,0.0254627,FGM,0.419304,0.164714,0.424896,0.419304,0.381943,0.164714,0
0.0544086,-9.98133,7.47506,0.00323663,0.594473,0.0428324,0.0254627,FGM,0.419304,0.164714,0.424896,0.419304,0.381943,0.164714,0
0.0599999,-9.97493,7.47517,0.00380278,0.684972,0.0774656,0.0530617,FGM,0.419304,0.164714,0.424896,0.419304,0.381943,0.164714,0
0.0622918,-9.97493,7.47517,0.00380278,0.684972,0.0774656,0.0530617,FGM,0.419304,0.164714,0.424896,0.419304,0.381943,0.164714,0
0.0664992,-9.97493,7.47517,0.00380278,0.684972,0.0774656,0.0530617,FGM,0.419304,0.164714,0.424896,0.419304,0.381943,0.164714,0
0.0703429,-9.96765,7.47534,0.00469331,0.771168,0.0863978,0.0666272,FGM,0.419304,0.164714,0.424896,0.419304,0.381943,0.164714,0
0.074499,-9.96765,7.47534,0.00469331,0.771168,0.0863978,0.0666272,FGM,0.41297,0.200441,0.238184,0.41297,0.258958,0.200441,0
0.0800178,-9.95953,7.47554,0.00560974,0.853531,0.108799,0.0928634,FGM,0.41297,0.200441,0.238184,0.41297,0.258958,0.200441,0
