t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
0.000107251,24.084,7.50499,0.0975626,0.13181,0.0102628,0.00135275,FRENET,0,2.08912,0,0.0995688,2.08912,0.622042,0

--- Experiment Summary ---
Scenario,Mux_playground_WS2.9819_WT1.4202_WC0.4224_WCL0.4294_WD0.4704_DM0.1345_Opp_bumper_slow_1.csv
Mode,MUX_OBSTACLE
Finish Reason,GOAL REACHED
Duration (s),0.00
Total Dist (m),0.00
Collision,NO
FRENET Usage (%),100.00
FGM Usage (%),0.00
Max Speed (m/s),0.13
Max Lat Acc (m/s^2),0.00
Global Min Dist (m),0.00
Global Unsafe Ratio,1.00
Global Track RMS (m),2.09
Global Lat Acc RMS,0.00
FGM Min Dist (m),1000000000.00
FGM Unsafe Ratio,0.00
FGM Track RMS (m),0.00
