W_TIME,W_DIST,W_SAFE,W_COMF,W_LAT,W_ACC,mean_J_final,min_J_final,mean_T_lap,min_T_lap,runs,success_ratio,crash_or_stuck_runs,min_min_d,mean_unsafe_ratio,max_a_lat,mean_planner_time_ratio_fgm,min_fgm_min_d,mean_fgm_track_rms,mean_avoid_fgm_time_ratio,mean_avoid_fgm_dist_ratio,max_max_speed
1.3866,1.0629,0.8841,0.8504,1.3767,0.2115,52.63,52.63,52.63,52.63,1,1.0,0,0.0,0.09246601643498963,9.08594,1.0000768049155146,0.0,0.3157578853184409,,,
1.4183,0.9121,2.9772,0.9777,0.5069,0.1288,72.34,72.34,72.34,72.34,1,1.0,0,0.0,0.07103490508266994,9.80214,1.0000556730876293,0.0,0.30638665122809816,,,
1.7818,0.6781,2.316,0.5751,0.719,0.1492,72.95,72.95,72.95,72.95,1,1.0,0,0.0,0.10518518518518519,9.79903,1.0000548726953469,0.0,0.30749051604811506,,,
1.236,0.3505,2.8861,0.8526,0.5532,0.1633,73.52,73.52,73.52,73.52,1,1.0,0,0.0,0.03970467596390484,9.81299,1.0000546926274336,0.0,0.3086129937639767,,,
1.3465,0.353,2.4932,0.5484,0.6115,0.1539,73.64,73.64,73.64,73.64,1,1.0,0,0.0,0.030775970647828707,9.35988,1.000054764512596,0.0,0.31715576664635964,,,
1.6935,0.5144,2.9497,0.4106,0.7772,0.1512,73.78,73.78,73.78,73.78,1,1.0,0,0.0,0.05356174780440204,13.083,1.000054215234481,0.0,0.3095219697913832,,,
1.59,1.09,2.62,0.71,1.12,0.31,73.79,73.79,73.79,73.79,1,1.0,0,0.0,0.03967694726001409,9.68529,1.00005420641804,0.0,0.31705743455935137,,,
1.64,1.14,2.65,0.75,1.13,0.32,73.81,73.81,73.81,73.81,1,1.0,0,0.0,0.09933344171679402,9.70062,1.0000541946672445,0.0,0.32773587266781873,,,
1.7615,0.5972,2.3654,0.6445,0.6267,0.1301,73.82,73.82,73.82,73.82,1,1.0,0,0.0,0.08734809027777778,9.88498,1.0000542564158212,0.0,0.31640307296582804,,,
1.83,1.09,2.7,0.73,1.15,0.33,73.86,73.86,73.86,73.86,1,1.0,0,0.0,0.07570670421314848,8.12001,1.0000541565123204,0.0,0.3089102383105264,,,
1.37,1.03,2.81,0.58,1.09,0.29,73.86,73.86,73.86,73.86,1,1.0,0,0.0,0.11366836347882595,9.21596,1.0000541565123207,0.0,0.31279881810465016,,,
1.1838,0.9684,2.908,0.7348,0.4507,0.1402,73.88,73.88,73.88,73.88,1,1.0,0,0.0,0.12315646258503402,9.62612,1.0000544247305978,0.0,0.3192190372441943,,,
1.0494,0.7938,2.0411,0.8521,0.4032,0.1544,73.93,73.93,73.93,73.93,1,1.0,0,0.0,0.05290802648137003,9.43048,1.0000547165681768,0.0,0.3176539772566905,,,
1.39,0.43,1.52,0.85,1.12,0.39,73.96,73.96,73.96,73.96,1,1.0,0,0.0,0.037153209669568976,10.0005,1.000054083288264,0.0,0.31213535237750895,,,
1.7967,0.985,2.3225,0.9319,0.923,0.1398,74.08,74.08,74.08,74.08,1,1.0,0,0.0,0.05076747844009329,9.44627,1.0000542417010196,0.0,0.2986814845568397,,,
1.44,0.46,1.59,0.88,1.17,0.41,74.08,74.08,74.08,74.08,1,1.0,0,0.0,0.1587387290103126,9.92566,1.0000539956803456,0.0,0.31053385371081293,,,
1.29,1.41,2.58,0.73,1.22,0.37,74.1,74.1,74.1,74.1,1,1.0,0,0.0,0.055057756666306815,9.24746,1.0000539811066127,0.0,0.3056848880624356,,,
1.49,1.19,2.2,0.77,1.17,0.34,74.11,74.11,74.11,74.11,1,1.0,0,0.0,0.03670120898100173,8.19127,1.0000539752793223,0.0,0.3103954699592415,,,
1.52,0.5,1.67,0.95,1.25,0.44,74.11,74.11,74.11,74.11,1,1.0,0,0.0,0.0831174438687392,10.7538,1.000053975279322,0.0,0.3248409215152386,,,
1.2062,0.9076,2.6482,0.9791,0.9266,0.158,74.14,74.14,74.14,74.14,1,1.0,0,0.0,0.10946106490981747,9.53539,1.0000540044283628,0.0,0.3170704765471433,,,
