t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
8.8714e-05,-9.99918,7.475,0,0.118134,0,0,NONE,0,0,0,0,0,0,0
0.0205654,-9.99752,7.475,8.79797e-05,0.213234,0.0206718,0.00440794,NONE,0,0,0,0,0,0,0
0.0285603,-9.99491,7.475,0.000475095,0.308334,0.0598437,0.0184519,NONE,0,0,0,0,0,0,0
0.0501083,-9.99136,7.475,0.00134697,0.403434,0.117653,0.0474654,NONE,0,0,0,0,0,0,0
0.0665599,-9.98685,7.47501,0.002891,0.498534,0.194316,0.0968733,NONE,0,0,0,0,0,0,0
0.0765688,-9.9814,7.47511,0.00495935,0.59002,0.115409,0.0680936,NONE,0,0,0,0,0,0,0
0.0938299,-9.97508,7.47547,0.00696637,0.676289,0.245857,0.166271,NONE,0,0,0,0,0,0,0
0.104728,-9.96793,7.47602,0.0100567,0.758256,0.363427,0.275571,NONE,0,0,0,0,0,0,0
0.111743,-9.95999,7.47678,0.0142684,0.837581,0.478619,0.400882,NONE,0,0,0,0,0,0,0
0.116626,-9.95999,7.47678,0.0142684,0.837581,0.478619,0.400882,NONE,0,0,0,0,0,0,0
0.134018,-9.95129,7.47775,0.0194949,0.912563,0.548806,0.50082,NONE,0,0,0,0,0,0,0
0.14339,-9.94187,7.47889,0.0251082,0.985271,0.565903,0.557567,NONE,0,0,0,0,0,0,0
0.151591,-9.93174,7.48015,0.0308997,1.0557,0.606117,0.639879,NONE,0,0,0,0,0,0,0
0.164079,-9.92094,7.48155,0.0371754,1.12278,0.635891,0.713968,NONE,0,0,0,0,0,0,0
0.173575,-9.90949,7.48306,0.0434847,1.18716,0.619383,0.735308,NONE,0,0,0,0,0,0,0
0.18845,-9.89742,7.48467,0.0496751,1.24943,0.633904,0.792017,NONE,0,0,0,0,0,0,0
0.197319,-9.88473,7.48639,0.0561342,1.31016,0.64565,0.845902,NONE,0,0,0,0,0,0,0
0.211552,-9.87146,7.48824,0.0626494,1.36983,0.670746,0.918809,NONE,0,0,0,0,0,0,0
0.22836,-9.85761,7.49023,0.0695059,1.42908,0.687669,0.982736,NONE,0,0,0,0,0,0,0
0.24513,-9.8432,7.49237,0.0764554,1.48449,0.715232,1.06175,NONE,0,0,0,0,0,0,0
0.267407,-9.82827,7.49468,0.0837681,1.53726,0.733571,1.12769,NONE,0,0,0,0,0,0,0
0.276332,-9.8128,7.49715,0.0911601,1.59479,0.758097,1.20901,NONE,0,0,0,0,0,0,0
0.289799,-9.79681,7.49981,0.0988998,1.64899,0.776427,1.28032,NONE,0,0,0,0,0,0,0
0.305757,-9.78028,7.50265,0.106725,1.70386,0.801763,1.36609,NONE,0,0,0,0,0,0,0
0.327303,-9.76324,7.50571,0.114895,1.7588,0.819037,1.44052,NONE,0,0,0,0,0,0,0
0.337741,-9.74568,7.50896,0.122921,1.81422,0.778555,1.41247,NONE,0,0,0,0,0,0,0
0.354553,-9.72759,7.51236,0.130577,1.86701,0.76848,1.43476,NONE,0,0,0,0,0,0,0
0.364624,-9.70895,7.51596,0.138273,1.92842,0.760104,1.4658,NONE,0,0,0,0,0,0,0
0.39412,-9.68975,7.51976,0.145845,1.9869,0.767872,1.52569,NONE,0,0,0,0,0,0,0
0.416233,-9.66998,7.52379,0.1536,2.04921,0.77149,1.58095,NONE,0,0,0,0,0,0,0
0.421744,-9.64959,7.52805,0.161304,2.11599,0.782108,1.65493,NONE,0,0,0,0,0,0,0
0.432458,-9.62857,7.53258,0.169218,2.1845,0.789321,1.72428,NONE,0,0,0,0,0,0,0
0.45006,-9.60689,7.53738,0.17711,2.25756,0.80122,1.8088,NONE,0,0,0,0,0,0,0
0.458777,-9.58452,7.54248,0.185224,2.33101,0.810413,1.88908,NONE,0,0,0,0,0,0,0
0.469881,-9.56144,7.54788,0.19333,2.40906,0.822382,1.98116,NONE,0,0,0,0,0,0,0
0.485234,-9.53765,7.55362,0.201667,2.48471,0.83379,2.07172,NONE,0,0,0,0,0,0,0
0.49532,-9.51318,7.55966,0.209834,2.55676,0.791367,2.02333,NONE,0,0,0,0,0,0,0
0.508225,-9.48805,7.56598,0.217578,2.62538,0.771264,2.02486,NONE,0,0,0,0,0,0,0
0.52563,-9.46309,7.57241,0.225886,2.53028,0.858204,2.1715,NONE,0,0,0,0,0,0,0
0.548252,-9.43908,7.57872,0.234681,2.43518,0.919893,2.24011,NONE,0,0,0,0,0,0,0
0.558738,-9.41598,7.58501,0.244479,2.35241,1.05063,2.47152,NONE,0,0,0,0,0,0,0
0.57404,-9.39368,7.59137,0.255719,2.28538,1.20438,2.75246,NONE,0,0,0,0,0,0,0
0.587866,-9.37206,7.59789,0.268172,2.2311,1.25725,2.80506,NONE,0,0,0,0,0,0,0
0.603922,-9.35099,7.60454,0.280729,2.18715,1.27144,2.78083,NONE,0,0,0,0,0,0,0
0.617625,-9.3304,7.61137,0.293434,2.15155,1.24937,2.68808,NONE,0,0,0,0,0,0,0
0.631549,-9.3102,7.61833,0.305383,2.12273,1.13,2.39868,NONE,0,0,0,0,0,0,0
0.651221,-9.28978,7.62561,0.315593,2.21199,0.94522,2.09082,NONE,0,0,0,0,0,0,0
0.667321,-9.26863,7.63342,0.324786,2.29701,0.911893,2.09463,NONE,0,0,0,0,0,0,0
0.681228,-9.2468,7.64177,0.333941,2.37799,0.911542,2.16764,NONE,0,0,0,0,0,0,0
0.700439,-9.22431,7.6506,0.342906,2.45511,0.87486,2.14788,NONE,0,0,0,0,0,0,0
0.709142,-9.20117,7.65985,0.351339,2.52857,0.806134,2.03837,NONE,0,0,0,0,0,0,0
0.72024,-9.17741,7.66948,0.35894,2.59854,0.709336,1.84324,NONE,0,0,0,0,0,0,0
0.734405,-9.15304,7.67941,0.365446,2.66518,0.587997,1.56712,NONE,0,0,0,0,0,0,0
0.757834,-9.12807,7.6896,0.370629,2.72865,0.445189,1.21477,NONE,0,0,0,0,0,0,0
0.761503,-9.10251,7.69999,0.374286,2.7891,0.283546,0.790839,NONE,0,0,0,0,0,0,0
0.774906,-9.07637,7.71052,0.376242,2.84668,0.105307,0.299776,NONE,0,0,0,0,0,0,0
0.78879,-9.04967,7.72115,0.376574,2.90152,-0.0186737,-0.0541822,NONE,0,0,0,0,0,0,0
0.8053,-9.02244,7.7319,0.375958,2.95375,-0.112415,-0.332046,NONE,0,0,0,0,0,0,0
0.813667,-8.99469,7.74273,0.374425,3.0035,-0.177185,-0.532175,NONE,0,0,0,0,0,0,0
0.825883,-8.96646,7.75367,0.372448,3.05089,-0.229045,-0.698792,NONE,0,0,0,0,0,0,0
0.832175,-8.93777,7.76468,0.369905,3.09602,-0.263946,-0.817181,NONE,0,0,0,0,0,0,0
0.83923,-8.93777,7.76468,0.369905,3.09602,-0.263946,-0.817181,NONE,0,0,0,0,0,0,0
0.846883,-8.90864,7.77576,0.367172,3.13793,-0.2949,-0.925375,NONE,0,0,0,0,0,0,0
0.862094,-8.87908,7.7869,0.364052,3.17891,-0.314124,-0.99857,NONE,0,0,0,0,0,0,0
0.867377,-8.84913,7.7981,0.360878,3.21655,-0.333895,-1.07399,NONE,0,0,0,0,0,0,0
0.878034,-8.81879,7.80932,0.357406,3.2524,-0.345442,-1.12352,NONE,0,0,0,0,0,0,0
0.886705,-8.7881,7.82058,0.353954,3.28669,-0.358811,-1.1793,NONE,0,0,0,0,0,0,0
0.899526,-8.75705,7.83185,0.350257,3.31935,-0.365686,-1.21384,NONE,0,0,0,0,0,0,0
0.906755,-8.72569,7.84313,0.346612,3.34668,-0.37778,-1.26431,NONE,0,0,0,0,0,0,0
0.923507,-8.69404,7.85438,0.342726,3.37166,-0.383942,-1.29452,NONE,0,0,0,0,0,0,0
0.923927,-8.66212,7.86563,0.338917,3.39654,-0.392668,-1.33371,NONE,0,0,0,0,0,0,0
0.929729,-8.66212,7.86563,0.338917,3.39654,-0.392668,-1.33371,NONE,0,0,0,0,0,0,0
0.935217,-8.62993,7.87683,0.334897,3.42044,-0.395701,-1.35347,NONE,0,0,0,0,0,0,0
0.944161,-8.59748,7.88801,0.33098,3.4431,-0.402879,-1.38715,NONE,0,0,0,0,0,0,0
0.96182,-8.56479,7.89913,0.326861,3.46411,-0.405215,-1.40371,NONE,0,0,0,0,0,0,0
0.966841,-8.53186,7.91021,0.322853,3.48413,-0.411786,-1.43471,NONE,0,0,0,0,0,0,0
0.970421,-8.53186,7.91021,0.322853,3.48413,-0.411786,-1.43471,NONE,0,0,0,0,0,0,0
0.980804,-8.49873,7.92122,0.318631,3.49836,-0.416274,-1.45628,NONE,0,0,0,0,0,0,0
0.996032,-8.46543,7.93216,0.314507,3.51192,-0.424243,-1.48991,NONE,0,0,0,0,0,0,0
1.00817,-8.43195,7.943,0.310179,3.52639,-0.425298,-1.49977,NONE,0,0,0,0,0,0,0
1.01663,-8.3983,7.95377,0.305977,3.54018,-0.43081,-1.52514,NONE,0,0,0,0,0,0,0
1.03405,-8.36448,7.96444,0.301582,3.55223,-0.431939,-1.53435,NONE,0,0,0,0,0,0,0
1.04743,-8.33051,7.97502,0.297315,3.56362,-0.437514,-1.55913,NONE,0,0,0,0,0,0,0
1.05805,-8.29638,7.98549,0.292858,3.57486,-0.43757,-1.56425,NONE,0,0,0,0,0,0,0
1.06567,-8.26212,7.99587,0.288539,3.5856,-0.442269,-1.5858,NONE,0,0,0,0,0,0,0
1.07303,-8.22771,8.00612,0.284037,3.59583,-0.441971,-1.58925,NONE,0,0,0,0,0,0,0
1.09027,-8.19316,8.01627,0.279672,3.60466,-0.447114,-1.61169,NONE,0,0,0,0,0,0,0
1.10248,-8.15849,8.02629,0.275121,3.61362,-0.446635,-1.61397,NONE,0,0,0,0,0,0,0
1.10874,-8.1237,8.03621,0.270715,3.62214,-0.450928,-1.63332,NONE,0,0,0,0,0,0,0
1.11767,-8.08879,8.04598,0.266119,3.6285,-0.451569,-1.63852,NONE,0,0,0,0,0,0,0
1.1273,-8.05377,8.05563,0.261664,3.63542,-0.45591,-1.65742,NONE,0,0,0,0,0,0,0
1.13222,-8.01865,8.06514,0.257026,3.64212,-0.455079,-1.65745,NONE,0,0,0,0,0,0,0
1.14747,-7.98343,8.07453,0.252539,3.64884,-0.458762,-1.67395,NONE,0,0,0,0,0,0,0
1.16731,-7.9481,8.08377,0.247868,3.6538,-0.458689,-1.67596,NONE,0,0,0,0,0,0,0
1.17632,-7.91269,8.09288,0.243341,3.65852,-0.463139,-1.6944,NONE,0,0,0,0,0,0,0
1.18456,-7.8772,8.10183,0.23863,3.66302,-0.462338,-1.69355,NONE,0,0,0,0,0,0,0
1.19796,-7.84161,8.11065,0.234077,3.66884,-0.464962,-1.70587,NONE,0,0,0,0,0,0,0
1.20237,-7.80594,8.11932,0.229353,3.67417,-0.463132,-1.70162,NONE,0,0,0,0,0,0,0
1.21416,-7.80594,8.11932,0.229353,3.67417,-0.463132,-1.70162,NONE,0,0,0,0,0,0,0
1.22041,-7.77017,8.12785,0.224794,3.68051,-0.465251,-1.71236,NONE,0,0,0,0,0,0,0
1.2344,-7.73431,8.13621,0.220058,3.68395,-0.465095,-1.71339,NONE,0,0,0,0,0,0,0
1.24325,-7.69838,8.14444,0.215469,3.68722,-0.469433,-1.7309,NONE,0,0,0,0,0,0,0
1.24801,-7.69838,8.14444,0.215469,3.68722,-0.469433,-1.7309,NONE,0,0,0,0,0,0,0
1.26026,-7.66238,8.1525,0.210696,3.6906,-0.468273,-1.72821,NONE,0,0,0,0,0,0,0
1.26805,-7.6263,8.16041,0.206091,3.69672,-0.469385,-1.73518,NONE,0,0,0,0,0,0,0
1.27745,-7.59013,8.16817,0.20133,3.70254,-0.466371,-1.72676,NONE,0,0,0,0,0,0,0
1.98279,-7.55388,8.17578,0.196729,3.70617,-0.47038,-1.74331,NONE,0,0,0,0,0,0,0
1.99266,-7.51755,8.18322,0.191953,3.71092,-0.468194,-1.73743,NONE,0,0,0,0,0,0,0
1.99614,-7.51755,8.18322,0.191953,3.71092,-0.468194,-1.73743,NONE,0,0,0,0,0,0,0
2.00649,-7.48114,8.19052,0.18734,3.71538,-0.471149,-1.7505,NONE,0,0,0,0,0,0,0
2.01214,-7.44465,8.19764,0.182554,3.71981,-0.469225,-1.74543,NONE,0,0,0,0,0,0,0
2.01808,-7.44465,8.19764,0.182554,3.71981,-0.469225,-1.74543,NONE,0,0,0,0,0,0,0
2.02725,-7.4081,8.20464,0.178237,3.72353,-0.381823,-1.42173,NONE,0,0,0,0,0,0,0
2.03715,-7.37149,8.21157,0.174822,3.72746,-0.32103,-1.19662,NONE,0,0,0,0,0,0,0
2.0478,-7.33483,8.21839,0.171786,3.73119,-0.271927,-1.01461,NONE,0,0,0,0,0,0,0
2.05584,-7.29809,8.22513,0.16933,3.73957,-0.237547,-0.888321,NONE,0,0,0,0,0,0,0
2.06366,-7.26125,8.23177,0.167023,3.74724,-0.208805,-0.782442,NONE,0,0,0,0,0,0,0
2.07073,-7.26125,8.23177,0.167023,3.74724,-0.208805,-0.782442,NONE,0,0,0,0,0,0,0
2.07883,-7.22432,8.23835,0.165103,3.75401,-0.1926,-0.72302,NONE,0,0,0,0,0,0,0
2.08566,-7.18731,8.2448,0.162871,3.76046,-0.267025,-1.00414,NONE,0,0,0,0,0,0,0
2.09432,-7.1502,8.25107,0.159539,3.76669,-0.409183,-1.54127,NONE,0,0,0,0,0,0,0
2.09943,-7.1502,8.25107,0.159539,3.76669,-0.409183,-1.54127,NONE,0,0,0,0,0,0,0
2.11032,-7.11348,8.25701,0.154187,3.67159,-0.624891,-2.29435,NONE,0,0,0,0,0,0,0
2.1193,-7.07767,8.26257,0.147197,3.57649,-0.788652,-2.82061,NONE,0,0,0,0,0,0,0
2.12652,-7.04276,8.2677,0.138162,3.48139,-1.02915,-3.58286,NONE,0,0,0,0,0,0,0
2.13677,-7.00874,8.27236,0.126878,3.38629,-1.19366,-4.04208,NONE,0,0,0,0,0,0,0
2.14328,-6.97562,8.2766,0.114404,3.29119,-1.3184,-4.33911,NONE,0,0,0,0,0,0,0
2.14939,-6.97562,8.2766,0.114404,3.29119,-1.3184,-4.33911,NONE,0,0,0,0,0,0,0
2.15613,-6.94341,8.28039,0.100675,3.19609,-1.3979,-4.46781,NONE,0,0,0,0,0,0,0
2.16953,-6.91211,8.28378,0.086488,3.10099,-1.45961,-4.52624,NONE,0,0,0,0,0,0,0
2.17629,-6.88171,8.28671,0.0716018,3.00589,-1.49017,-4.4793,NONE,0,0,0,0,0,0,0
2.18878,-6.85224,8.28924,0.0566909,2.91079,-1.5136,-4.40576,NONE,0,0,0,0,0,0,0
2.20295,-6.82368,8.29133,0.0414297,2.81569,-1.51213,-4.25769,NONE,0,0,0,0,0,0,0
2.20981,-6.79605,8.29301,0.0264353,2.72059,-1.50907,-4.10556,NONE,0,0,0,0,0,0,0
2.22173,-6.76935,8.29425,0.0113403,2.62549,-1.4839,-3.89596,NONE,0,0,0,0,0,0,0
2.22805,-6.76935,8.29425,0.0113403,2.62549,-1.4839,-3.89596,NONE,0,0,0,0,0,0,0
2.22888,-6.76935,8.29425,0.0113403,2.62549,-1.4839,-3.89596,NONE,0,0,0,0,0,0,0
2.23689,-6.74359,8.29512,-0.00326847,2.53039,-1.46065,-3.69601,NONE,0,0,0,0,0,0,0
2.24409,-6.71876,8.29557,-0.0177837,2.43529,-1.41667,-3.45001,NONE,0,0,0,0,0,0,0
2.2495,-6.71876,8.29557,-0.0177837,2.43529,-1.41667,-3.45001,NONE,0,0,0,0,0,0,0
2.26135,-6.69488,8.29566,-0.0316389,2.34019,-1.37755,-3.22373,NONE,0,0,0,0,0,0,0
2.26739,-6.67196,8.29539,-0.0452471,2.24509,-1.31859,-2.96036,NONE,0,0,0,0,0,0,0
2.27401,-6.64999,8.2948,-0.0580594,2.14999,-1.26748,-2.72507,NONE,0,0,0,0,0,0,0
2.28126,-6.62899,8.2939,-0.0705094,2.05489,-1.19725,-2.46022,NONE,0,0,0,0,0,0,0
2.2858,-6.62899,8.2939,-0.0705094,2.05489,-1.19725,-2.46022,NONE,0,0,0,0,0,0,0
2.29422,-6.60822,8.29264,-0.0805847,2.10712,-0.869872,-1.83292,NONE,0,0,0,0,0,0,0
2.29819,-6.60822,8.29264,-0.0805847,2.10712,-0.869872,-1.83292,NONE,0,0,0,0,0,0,0
2.30327,-6.58697,8.29095,-0.0884361,2.15585,-0.706906,-1.52398,NONE,0,0,0,0,0,0,0
2.30918,-6.58697,8.29095,-0.0884361,2.15585,-0.706906,-1.52398,NONE,0,0,0,0,0,0,0
2.31594,-6.56528,8.28893,-0.0948121,2.20116,-0.56967,-1.25394,NONE,0,0,0,0,0,0,0
2.32458,-6.54317,8.2867,-0.0998431,2.2433,-0.435634,-0.977259,NONE,0,0,0,0,0,0,0
2.33196,-6.52066,8.28433,-0.103502,2.28344,-0.294421,-0.672294,NONE,0,0,0,0,0,0,0
2.33689,-6.52066,8.28433,-0.103502,2.28344,-0.294421,-0.672294,NONE,0,0,0,0,0,0,0
2.34592,-6.49777,8.28188,-0.105948,2.31936,-0.216466,-0.502061,NONE,0,0,0,0,0,0,0
2.35686,-6.47455,8.27934,-0.10791,2.35233,-0.165473,-0.389247,NONE,0,0,0,0,0,0,0
2.36422,-6.45102,8.27674,-0.109354,2.38374,-0.140705,-0.335405,NONE,0,0,0,0,0,0,0
2.36988,-6.45102,8.27674,-0.109354,2.38374,-0.140705,-0.335405,NONE,0,0,0,0,0,0,0
2.3774,-6.42719,8.27406,-0.110732,2.41247,-0.121516,-0.293154,NONE,0,0,0,0,0,0,0
2.39269,-6.40309,8.27132,-0.111841,2.43764,-0.116217,-0.283294,NONE,0,0,0,0,0,0,0
2.39947,-6.37876,8.26851,-0.113038,2.46161,-0.108392,-0.26682,NONE,0,0,0,0,0,0,0
2.40751,-6.35419,8.26568,-0.113776,2.48324,-0.0294574,-0.0731498,NONE,0,0,0,0,0,0,0
2.41471,-6.32942,8.26288,-0.113745,2.50384,0.0165015,0.0413171,NONE,0,0,0,0,0,0,0
2.42669,-6.30445,8.26007,-0.113468,2.52101,0.0524388,0.132199,NONE,0,0,0,0,0,0,0
2.43328,-6.27932,8.25728,-0.112765,2.53631,0.0706469,0.179182,NONE,0,0,0,0,0,0,0
2.43863,-6.27932,8.25728,-0.112765,2.53631,0.0706469,0.179182,NONE,0,0,0,0,0,0,0
2.45165,-6.25404,8.25449,-0.112045,2.5496,0.0884297,0.22546,NONE,0,0,0,0,0,0,0
2.45825,-6.22864,8.25173,-0.111044,2.56005,0.0948384,0.242791,NONE,0,0,0,0,0,0,0
2.46697,-6.20314,8.24897,-0.110125,2.57,0.104806,0.26935,NONE,0,0,0,0,0,0,0
2.47239,-6.17755,8.24624,-0.108987,2.57829,0.105905,0.273055,NONE,0,0,0,0,0,0,0
2.4832,-6.17755,8.24624,-0.108987,2.57829,0.105905,0.273055,NONE,0,0,0,0,0,0,0
2.49624,-6.15188,8.24352,-0.107976,2.58389,0.112743,0.291316,NONE,0,0,0,0,0,0,0
2.50577,-6.12616,8.24083,-0.10677,2.58814,0.111606,0.288852,NONE,0,0,0,0,0,0,0
2.5168,-6.1004,8.23815,-0.105711,2.59219,0.116714,0.302544,NONE,0,0,0,0,0,0,0
2.52603,-6.0746,8.23551,-0.104471,2.59497,0.114398,0.29686,NONE,0,0,0,0,0,0,0
2.53294,-6.04877,8.23289,-0.103389,2.59655,0.118913,0.308764,NONE,0,0,0,0,0,0,0
2.53887,-6.04877,8.23289,-0.103389,2.59655,0.118913,0.308764,NONE,0,0,0,0,0,0,0
2.54836,-6.02295,8.2303,-0.102126,2.59424,0.116407,0.301989,NONE,0,0,0,0,0,0,0
2.54852,-6.02295,8.2303,-0.102126,2.59424,0.116407,0.301989,NONE,0,0,0,0,0,0,0
2.55714,-5.99716,8.22773,-0.101024,2.58864,0.121237,0.313839,NONE,0,0,0,0,0,0,0
2.56386,-5.97142,8.22522,-0.0997408,2.58411,0.117993,0.304907,NONE,0,0,0,0,0,0,0
2.56792,-5.97142,8.22522,-0.0997408,2.58411,0.117993,0.304907,NONE,0,0,0,0,0,0,0
2.58039,-5.94576,8.22272,-0.0986248,2.57262,0.122995,0.316421,NONE,0,0,0,0,0,0,0
2.58464,-5.92021,8.22028,-0.0973198,2.55943,0.119842,0.306728,NONE,0,0,0,0,0,0,0
2.59271,-5.89478,8.21787,-0.0961914,2.54875,0.12367,0.315205,NONE,0,0,0,0,0,0,0
2.5971,-5.89478,8.21787,-0.0961914,2.54875,0.12367,0.315205,NONE,0,0,0,0,0,0,0
2.60442,-5.86949,8.21552,-0.0948806,2.53294,0.120151,0.304335,NONE,0,0,0,0,0,0,0
2.62181,-5.84434,8.21319,-0.0937493,2.51668,0.124329,0.312898,NONE,0,0,0,0,0,0,0
2.62641,-5.84434,8.21319,-0.0937493,2.51668,0.124329,0.312898,NONE,0,0,0,0,0,0,0
2.63376,-5.81936,8.21093,-0.0924353,2.49998,0.120081,0.300201,NONE,0,0,0,0,0,0,0
2.63858,-5.81936,8.21093,-0.0924353,2.49998,0.120081,0.300201,NONE,0,0,0,0,0,0,0
2.65279,-5.79455,8.2087,-0.0913072,2.48302,0.123863,0.307556,NONE,0,0,0,0,0,0,0
2.66035,-5.7699,8.20652,-0.0900005,2.4664,0.119131,0.293824,NONE,0,0,0,0,0,0,0
2.66582,-5.74539,8.20438,-0.0888847,2.45293,0.122153,0.299633,NONE,0,0,0,0,0,0,0
2.67325,-5.72103,8.20229,-0.0875974,2.43878,0.117173,0.285759,NONE,0,0,0,0,0,0,0
2.67891,-5.72103,8.20229,-0.0875974,2.43878,0.117173,0.285759,NONE,0,0,0,0,0,0,0
2.68625,-5.69681,8.20023,-0.086498,2.4215,0.121057,0.293139,NONE,0,0,0,0,0,0,0
2.69314,-5.67275,8.19823,-0.0852228,2.40751,0.115853,0.278917,NONE,0,0,0,0,0,0,0
2.69866,-5.67275,8.19823,-0.0852228,2.40751,0.115853,0.278917,NONE,0,0,0,0,0,0,0
2.71181,-5.64884,8.19626,-0.0841371,2.39068,0.119632,0.286002,NONE,0,0,0,0,0,0,0
2.71595,-5.64884,8.19626,-0.0841371,2.39068,0.119632,0.286002,NONE,0,0,0,0,0,0,0
2.72335,-5.6251,8.19434,-0.0828717,2.37185,0.11489,0.272501,NONE,0,0,0,0,0,0,0
2.72804,-5.6251,8.19434,-0.0828717,2.37185,0.11489,0.272501,NONE,0,0,0,0,0,0,0
2.73569,-5.60155,8.19246,-0.0817966,2.35418,0.118549,0.279086,NONE,0,0,0,0,0,0,0
2.74894,-5.57815,8.19065,-0.080231,2.33987,0.205875,0.481722,NONE,0,0,0,0,0,0,0
2.75926,-5.55488,8.189,-0.0775106,2.32581,0.345135,0.802718,NONE,0,0,0,0,0,0,0
2.76502,-5.53172,8.18753,-0.0735525,2.31442,0.421695,0.975977,NONE,0,0,0,0,0,0,0
2.77831,-5.50869,8.1862,-0.0691294,2.30078,0.476632,1.09662,NONE,0,0,0,0,0,0,0
2.7855,-5.48578,8.18503,-0.0641317,2.28747,0.502043,1.14841,NONE,0,0,0,0,0,0,0
2.79249,-5.46298,8.18399,-0.0590913,2.27619,0.522446,1.18919,NONE,0,0,0,0,0,0,0
2.797,-5.46298,8.18399,-0.0590913,2.27619,0.522446,1.18919,NONE,0,0,0,0,0,0,0
2.81202,-5.44027,8.18309,-0.0537646,2.26915,0.524589,1.19037,NONE,0,0,0,0,0,0,0
2.82006,-5.41762,8.18232,-0.0485703,2.26345,0.531492,1.20301,NONE,0,0,0,0,0,0,0
2.82566,-5.39502,8.18168,-0.043186,2.25884,0.527787,1.19219,NONE,0,0,0,0,0,0,0
2.83523,-5.37244,8.18115,-0.0379832,2.25764,0.530122,1.19683,NONE,0,0,0,0,0,0,0
2.84201,-5.37244,8.18115,-0.0379832,2.25764,0.530122,1.19683,NONE,0,0,0,0,0,0,0
2.85137,-5.34987,8.18076,-0.0326274,2.25776,0.524122,1.18334,NONE,0,0,0,0,0,0,0
2.8582,-5.32729,8.18048,-0.0274577,2.25824,0.527027,1.19015,NONE,0,0,0,0,0,0,0
2.8664,-5.30471,8.18034,-0.0221262,2.2587,0.522261,1.17963,NONE,0,0,0,0,0,0,0
2.86996,-5.30471,8.18034,-0.0221262,2.2587,0.522261,1.17963,NONE,0,0,0,0,0,0,0
2.87713,-5.28211,8.18031,-0.0169721,2.25995,0.525675,1.188,NONE,0,0,0,0,0,0,0
2.88348,-5.25951,8.1804,-0.0116522,2.26115,0.521325,1.17879,NONE,0,0,0,0,0,0,0
2.88855,-5.25951,8.1804,-0.0116522,2.26115,0.521325,1.17879,NONE,0,0,0,0,0,0,0
2.90894,-5.23689,8.18061,-0.00650598,2.2632,0.52497,1.18812,NONE,0,0,0,0,0,0,0
2.91145,-5.21425,8.18095,-0.00119377,2.26568,0.520626,1.17957,NONE,0,0,0,0,0,0,0
2.92282,-5.19158,8.18139,0.00394871,2.26804,0.52484,1.19036,NONE,0,0,0,0,0,0,0
2.93441,-5.1689,8.18197,0.00926157,2.27081,0.52088,1.18282,NONE,0,0,0,0,0,0,0
2.94073,-5.14618,8.18265,0.0144064,2.27403,0.525012,1.19389,NONE,0,0,0,0,0,0,0
2.9449,-5.12344,8.18347,0.0197209,2.27769,0.521107,1.18692,NONE,0,0,0,0,0,0,0
2.9508,-5.10066,8.1844,0.0248701,2.28118,0.525617,1.19903,NONE,0,0,0,0,0,0,0
2.95579,-5.10066,8.1844,0.0248701,2.28118,0.525617,1.19903,NONE,0,0,0,0,0,0,0
2.96999,-5.07785,8.18546,0.0301874,2.28657,0.521268,1.19192,NONE,0,0,0,0,0,0,0
