t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
0.000119606,-9.99918,7.475,0,0.118132,0,0,NONE,0,0,0,0,0,0,0
0.0151726,-9.99752,7.475,8.79785e-05,0.213232,0.0206716,0.00440784,NONE,0,0,0,0,0,0,0
0.0208206,-9.99491,7.475,0.00047509,0.308332,0.0598432,0.0184516,NONE,0,0,0,0,0,0,0
0.0300108,-9.99136,7.475,0.00134696,0.403432,0.117653,0.0474648,NONE,0,0,0,0,0,0,0
0.034233,-9.99136,7.475,0.00134696,0.403432,0.117653,0.0474648,NONE,0,0,0,0,0,0,0
0.0440073,-9.98685,7.47501,0.00243429,0.498532,0.0967586,0.0482372,NONE,0,0,0,0,0,0,0
0.0514493,-9.9814,7.47507,0.0035435,0.589852,0.0626727,0.0369676,NONE,0,0,0,0,0,0,0
0.0609423,-9.97507,7.47526,0.00460328,0.67683,0.106834,0.0723084,NONE,0,0,0,0,0,0,0
0.0678007,-9.9679,7.47552,0.00587474,0.759672,0.152173,0.115601,NONE,0,0,0,0,0,0,0
0.0799089,-9.9679,7.47552,0.00587474,0.759672,0.152173,0.115601,NONE,0,0,0,0,0,0,0
0.0883922,-9.95991,7.47585,0.00755663,0.838634,0.168974,0.141707,NONE,0,0,0,0,0,0,0
0.0922475,-9.95991,7.47585,0.00755663,0.838634,0.168974,0.141707,NONE,0,0,0,0,0,0,0
0.0998209,-9.95116,7.47623,0.00932633,0.913641,0.19704,0.180024,NONE,0,0,0,0,0,0,0
0.110396,-9.95116,7.47623,0.00932633,0.913641,0.19704,0.180024,NONE,0,0,0,0,0,0,0
0.118967,-9.94167,7.47667,0.0114185,0.985833,0.207996,0.205049,NONE,0,0,0,0,0,0,0
0.122588,-9.94167,7.47667,0.0114185,0.985833,0.207996,0.205049,NONE,0,0,0,0,0,0,0
0.129433,-9.93148,7.47714,0.0133694,1.05418,0.175937,0.185469,NONE,0,0,0,0,0,0,0
0.134191,-9.93148,7.47714,0.0133694,1.05418,0.175937,0.185469,NONE,0,0,0,0,0,0,0
0.146868,-9.92061,7.4776,0.0150477,1.12141,0.174761,0.195979,NONE,0,0,0,0,0,0,0
0.154984,-9.90909,7.47809,0.016826,1.18504,0.168652,0.199859,NONE,0,0,0,0,0,0,0
0.161488,-9.89695,7.4786,0.0184855,1.24564,0.176756,0.220176,NONE,0,0,0,0,0,0,0
0.174533,-9.88421,7.47914,0.0203129,1.3043,0.175655,0.229107,NONE,0,0,0,0,0,0,0
0.183004,-9.8709,7.47971,0.0220526,1.36017,0.185697,0.252579,NONE,0,0,0,0,0,0,0
0.192176,-9.85705,7.48033,0.0239795,1.41312,0.186143,0.263044,NONE,0,0,0,0,0,0,0
0.205496,-9.84268,7.48098,0.0258247,1.46356,0.196521,0.28762,NONE,0,0,0,0,0,0,0
0.213751,-9.82781,7.48169,0.0278619,1.51401,0.197289,0.298697,NONE,0,0,0,0,0,0,0
0.226036,-9.81245,7.48243,0.0298169,1.5621,0.207415,0.324003,NONE,0,0,0,0,0,0,0
0.235487,-9.79662,7.48323,0.0319664,1.60785,0.208501,0.335239,NONE,0,0,0,0,0,0,0
0.246515,-9.78034,7.48407,0.0340309,1.65174,0.218329,0.360624,NONE,0,0,0,0,0,0,0
0.255819,-9.76363,7.48497,0.0362888,1.69514,0.219175,0.371531,NONE,0,0,0,0,0,0,0
0.263909,-9.7465,7.48592,0.0384572,1.73647,0.228565,0.396895,NONE,0,0,0,0,0,0,0
0.278071,-9.72897,7.48693,0.040819,1.77591,0.229432,0.407449,NONE,0,0,0,0,0,0,0
0.286906,-9.71105,7.48799,0.043087,1.81361,0.238474,0.432497,NONE,0,0,0,0,0,0,0
0.297532,-9.69277,7.48912,0.0455481,1.84951,0.239132,0.442278,NONE,0,0,0,0,0,0,0
0.309439,-9.67412,7.4903,0.0479082,1.88682,0.247262,0.466539,NONE,0,0,0,0,0,0,0
0.317809,-9.65512,7.49156,0.0504558,1.92235,0.247678,0.476123,NONE,0,0,0,0,0,0,0
0.335864,-9.63577,7.49287,0.0529014,1.95601,0.256005,0.50075,NONE,0,0,0,0,0,0,0
