t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
0.000259459,-9.96476,7.47513,0.00607559,0.118167,0,0,NONE,0,0,0,0,0,0,0
0.0076934,-9.9631,7.47514,0.00616359,0.213267,0.0206749,0.00440927,NONE,0,0,0,0,0,0,0
0.0148188,-9.96049,7.47516,0.00655075,0.308367,0.0598499,0.0184557,NONE,0,0,0,0,0,0,0
0.0309753,-9.95693,7.47518,0.0074227,0.403467,0.117663,0.047473,NONE,0,0,0,0,0,0,0
0.0372688,-9.95693,7.47518,0.0074227,0.403467,0.117663,0.047473,NONE,0,0,0,0,0,0,0
0.0482365,-9.95242,7.47522,0.00851011,0.498567,0.0967653,0.0482439,NONE,0,0,0,0,0,0,0
0.055544,-9.94698,7.47531,0.00961919,0.590413,0.0623635,0.0368202,NONE,0,0,0,0,0,0,0
0.0681851,-9.94064,7.47554,0.0106777,0.677609,0.106776,0.0723527,NONE,0,0,0,0,0,0,0
0.0689299,-9.93346,7.47584,0.0119495,0.760216,0.152248,0.115741,NONE,0,0,0,0,0,0,0
0.079364,-9.93346,7.47584,0.0119495,0.760216,0.152248,0.115741,NONE,0,0,0,0,0,0,0
0.088742,-9.92546,7.47622,0.0136307,0.841046,0.169124,0.142241,NONE,0,0,0,0,0,0,0
0.0916939,-9.91668,7.47663,0.0152401,0.918033,0.146229,0.134243,NONE,0,0,0,0,0,0,0
0.104004,-9.90714,7.47705,0.0166536,0.991272,0.150981,0.149663,NONE,0,0,0,0,0,0,0
0.109853,-9.89689,7.4775,0.0182072,1.06103,0.147418,0.156415,NONE,0,0,0,0,0,0,0
0.124381,-9.88595,7.47797,0.0196698,1.12747,0.158266,0.17844,NONE,0,0,0,0,0,0,0
0.129689,-9.87437,7.47847,0.0213182,1.19076,0.158395,0.18861,NONE,0,0,0,0,0,0,0
0.13966,-9.86217,7.47901,0.0228948,1.25157,0.17009,0.212879,NONE,0,0,0,0,0,0,0
0.147518,-9.86217,7.47901,0.0228948,1.25157,0.17009,0.212879,NONE,0,0,0,0,0,0,0
0.153183,-9.84938,7.4796,0.0246679,1.31065,0.171314,0.224532,NONE,0,0,0,0,0,0,0
0.156618,-9.84938,7.4796,0.0246679,1.31065,0.171314,0.224532,NONE,0,0,0,0,0,0,0
0.16225,-9.836,7.48021,0.0263724,1.36781,0.182798,0.250033,NONE,0,0,0,0,0,0,0
0.166288,-9.836,7.48021,0.0263724,1.36781,0.182798,0.250033,NONE,0,0,0,0,0,0,0
0.172456,-9.82206,7.48089,0.0282756,1.4229,0.18442,0.262413,NONE,0,0,0,0,0,0,0
0.180796,-9.80759,7.4816,0.0301085,1.47442,0.195616,0.28842,NONE,0,0,0,0,0,0,0
0.185714,-9.80759,7.4816,0.0301085,1.47442,0.195616,0.28842,NONE,0,0,0,0,0,0,0
0.192662,-9.79262,7.48236,0.0321414,1.52357,0.197169,0.300401,NONE,0,0,0,0,0,0,0
0.198071,-9.77717,7.48317,0.0340972,1.57039,0.207721,0.326204,NONE,0,0,0,0,0,0,0
0.202655,-9.77717,7.48317,0.0340972,1.57039,0.207721,0.326204,NONE,0,0,0,0,0,0,0
0.21652,-9.76127,7.48404,0.0362505,1.61586,0.208945,0.337625,NONE,0,0,0,0,0,0,0
0.221683,-9.74491,7.48495,0.0383193,1.66111,0.21866,0.36322,NONE,0,0,0,0,0,0,0
0.230309,-9.72811,7.48593,0.0405822,1.70422,0.219793,0.374575,NONE,0,0,0,0,0,0,0
0.235073,-9.72811,7.48593,0.0405822,1.70422,0.219793,0.374575,NONE,0,0,0,0,0,0,0
0.250479,-9.71089,7.48695,0.042757,1.74606,0.229203,0.400203,NONE,0,0,0,0,0,0,0
0.256431,-9.69326,7.48804,0.0451254,1.78616,0.230172,0.411123,NONE,0,0,0,0,0,0,0
0.262884,-9.67524,7.48919,0.0474014,1.82435,0.239269,0.436511,NONE,0,0,0,0,0,0,0
0.267605,-9.65685,7.4904,0.0498693,1.86214,0.239882,0.446693,NONE,0,0,0,0,0,0,0
0.274033,-9.65685,7.4904,0.0498693,1.86214,0.239882,0.446693,NONE,0,0,0,0,0,0,0
