t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
0.000188043,-75.7538,52.8964,-1.48757,0.128427,0,0,NONE,0,0,0,0,0,0,0
0.00195919,-75.7538,52.8964,-1.48757,0.128427,0,0,NONE,0,0,0,0,0,0,0
0.00617926,-75.7537,52.8947,-1.48766,0.223527,-0.0216696,-0.00484373,NONE,0,0,0,0,0,0,0
0.00903292,-75.7537,52.8947,-1.48766,0.223527,-0.0216696,-0.00484373,NONE,0,0,0,0,0,0,0
0.0177701,-75.7537,52.8947,-1.48766,0.223527,-0.0216696,-0.00484373,NONE,0,0,0,0,0,0,0
0.0200322,-75.7534,52.892,-1.48807,0.318627,-0.0618413,-0.0197043,NONE,0,0,0,0,0,0,0
0.021729,-75.7534,52.892,-1.48807,0.318627,-0.0618413,-0.0197043,NONE,0,0,0,0,0,0,0
0.0283277,-75.7531,52.8883,-1.48896,0.413727,-0.120655,-0.0499181,NONE,0,0,0,0,0,0,0
0.0390334,-75.7531,52.8883,-1.48896,0.413727,-0.120655,-0.0499181,NONE,0,0,0,0,0,0,0
0.044302,-75.7528,52.8837,-1.49054,0.508827,-0.14476,-0.0736578,NONE,0,0,0,0,0,0,0
0.0446991,-75.7528,52.8837,-1.49054,0.508827,-0.14476,-0.0736578,NONE,0,0,0,0,0,0,0
0.0470755,-75.7525,52.8782,-1.4919,0.603927,-0.217786,-0.131527,NONE,0,0,0,0,0,0,0
0.0502429,-75.7525,52.8782,-1.4919,0.603927,-0.217786,-0.131527,NONE,0,0,0,0,0,0,0
0.0580951,-75.7525,52.8782,-1.4919,0.603927,-0.217786,-0.131527,NONE,0,0,0,0,0,0,0
0.0599873,-75.7523,52.8717,-1.4941,0.699027,-0.243187,-0.169994,NONE,0,0,0,0,0,0,0
0.0631676,-75.7523,52.8717,-1.4941,0.699027,-0.243187,-0.169994,NONE,0,0,0,0,0,0,0
0.0681223,-75.7522,52.8642,-1.49666,0.794127,-0.288609,-0.229192,NONE,0,0,0,0,0,0,0
0.072281,-75.7522,52.8642,-1.49666,0.794127,-0.288609,-0.229192,NONE,0,0,0,0,0,0,0
0.0768204,-75.7521,52.8558,-1.49975,0.889227,-0.320837,-0.285297,NONE,0,0,0,0,0,0,0
