t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
0.000187639,44.4992,29.3507,2.41499,0.13314,0,0,NONE,0,0,0,0,0,0,0
0.000898418,44.4992,29.3507,2.41499,0.13314,0,0,NONE,0,0,0,0,0,0,0
0.00263745,44.4992,29.3507,2.41499,0.13314,0,0,NONE,0,0,0,0,0,0,0
0.0109539,44.4979,29.3519,2.41509,0.22824,0.0221265,0.00505015,NONE,0,0,0,0,0,0,0
0.0164929,44.4958,29.3537,2.4155,0.32334,0.0627561,0.0202916,NONE,0,0,0,0,0,0,0
0.0192326,44.4958,29.3537,2.4155,0.32334,0.0627561,0.0202916,NONE,0,0,0,0,0,0,0
0.0263117,44.4958,29.3537,2.4155,0.32334,0.0627561,0.0202916,NONE,0,0,0,0,0,0,0
0.0368593,44.493,29.3562,2.41603,0.41844,0.0405653,0.0169741,NONE,0,0,0,0,0,0,0
0.0392752,44.4895,29.3593,2.41671,0.51354,0.0689105,0.0353883,NONE,0,0,0,0,0,0,0
0.0427586,44.4895,29.3593,2.41671,0.51354,0.0689105,0.0353883,NONE,0,0,0,0,0,0,0
0.0606046,44.4853,29.3629,2.4173,0.60864,0.0732155,0.0445619,NONE,0,0,0,0,0,0,0
0.0650027,44.4803,29.3672,2.41787,0.70374,0.0464249,0.0326711,NONE,0,0,0,0,0,0,0
0.0755142,44.4746,29.3721,2.41826,0.79884,0.0485469,0.0387812,NONE,0,0,0,0,0,0,0
0.0871457,44.4746,29.3721,2.41826,0.79884,0.0485469,0.0387812,NONE,0,0,0,0,0,0,0
0.0913752,44.4682,29.3777,2.41876,0.89394,0.0413552,0.0369691,NONE,0,0,0,0,0,0,0
0.0948844,44.4611,29.3838,2.41916,0.98904,0.0489804,0.0484436,NONE,0,0,0,0,0,0,0
0.107679,44.4611,29.3838,2.41916,0.98904,0.0489804,0.0484436,NONE,0,0,0,0,0,0,0
0.124899,44.4533,29.3906,2.41969,1.08414,0.0463341,0.0502326,NONE,0,0,0,0,0,0,0
0.124962,44.4447,29.398,2.42013,1.17924,0.0537325,0.0633636,NONE,0,0,0,0,0,0,0
0.130437,44.4355,29.4061,2.42072,1.27434,0.0525812,0.0670064,NONE,0,0,0,0,0,0,0
0.136026,44.4255,29.4147,2.42123,1.36944,0.0593504,0.0812768,NONE,0,0,0,0,0,0,0
0.145536,44.4255,29.4147,2.42123,1.36944,0.0593504,0.0812768,NONE,0,0,0,0,0,0,0
0.160856,44.4148,29.424,2.42187,1.46454,0.0589171,0.0862864,NONE,0,0,0,0,0,0,0
0.169825,44.3911,29.4444,2.42314,1.65474,0.065029,0.107606,NONE,0,0,0,0,0,0,0
0.175695,44.3783,29.4555,2.42377,1.74984,0.0706602,0.123644,NONE,0,0,0,0,0,0,0
0.180648,44.3783,29.4555,2.42377,1.74984,0.0706602,0.123644,NONE,0,0,0,0,0,0,0
0.191776,44.3646,29.4672,2.42452,1.84494,0.0707786,0.130582,NONE,0,0,0,0,0,0,0
0.195778,44.3503,29.4796,2.42521,1.94004,0.0759103,0.147269,NONE,0,0,0,0,0,0,0
0.206225,44.3503,29.4796,2.42521,1.94004,0.0759103,0.147269,NONE,0,0,0,0,0,0,0
0.212475,44.3352,29.4926,2.42602,2.03514,0.0760912,0.154856,NONE,0,0,0,0,0,0,0
0.219395,44.3195,29.5061,2.42675,2.12857,0.0808875,0.172175,NONE,0,0,0,0,0,0,0
0.226478,44.303,29.5203,2.42762,2.21756,0.081283,0.18025,NONE,0,0,0,0,0,0,0
0.231305,44.303,29.5203,2.42762,2.21756,0.081283,0.18025,NONE,0,0,0,0,0,0,0
0.240911,44.2858,29.535,2.4284,2.30231,0.0862063,0.198474,NONE,0,0,0,0,0,0,0
0.242962,44.2858,29.535,2.4284,2.30231,0.0862063,0.198474,NONE,0,0,0,0,0,0,0
0.246591,44.268,29.5502,2.42932,2.38304,0.0866043,0.206381,NONE,0,0,0,0,0,0,0
0.261904,44.268,29.5502,2.42932,2.38304,0.0866043,0.206381,NONE,0,0,0,0,0,0,0
0.264864,44.2496,29.566,2.43015,2.45992,0.0914359,0.224925,NONE,0,0,0,0,0,0,0
0.26929,44.2306,29.5822,2.43113,2.53315,0.0917216,0.232345,NONE,0,0,0,0,0,0,0
0.280746,44.2111,29.5988,2.43201,2.6029,0.0964177,0.250966,NONE,0,0,0,0,0,0,0
0.285202,44.191,29.6159,2.43303,2.66933,0.0965673,0.25777,NONE,0,0,0,0,0,0,0
0.295783,44.191,29.6159,2.43303,2.66933,0.0965673,0.25777,NONE,0,0,0,0,0,0,0
0.301215,44.1704,29.6334,2.43396,2.73261,0.101127,0.27634,NONE,0,0,0,0,0,0,0
0.314621,44.1494,29.6513,2.43504,2.79287,0.101142,0.282476,NONE,0,0,0,0,0,0,0
0.318705,44.1278,29.6695,2.43601,2.85027,0.105575,0.300916,NONE,0,0,0,0,0,0,0
0.321612,44.1278,29.6695,2.43601,2.85027,0.105575,0.300916,NONE,0,0,0,0,0,0,0
0.328492,44.1059,29.6881,2.43713,2.90494,0.105462,0.306362,NONE,0,0,0,0,0,0,0
0.332856,44.1059,29.6881,2.43713,2.90494,0.105462,0.306362,NONE,0,0,0,0,0,0,0
0.346366,44.0835,29.707,2.43814,2.95701,0.109779,0.324619,NONE,0,0,0,0,0,0,0
0.346503,44.0835,29.707,2.43814,2.95701,0.109779,0.324619,NONE,0,0,0,0,0,0,0
0.353435,44.0835,29.707,2.43814,2.95701,0.109779,0.324619,NONE,0,0,0,0,0,0,0
0.355296,44.0607,29.7262,2.4393,3.0066,0.109549,0.32937,NONE,0,0,0,0,0,0,0
0.357917,44.0607,29.7262,2.4393,3.0066,0.109549,0.32937,NONE,0,0,0,0,0,0,0
0.361838,44.0607,29.7262,2.4393,3.0066,0.109549,0.32937,NONE,0,0,0,0,0,0,0
0.371612,44.0375,29.7457,2.44035,3.05384,0.11376,0.347405,NONE,0,0,0,0,0,0,0
0.376309,44.0139,29.7655,2.44156,3.09883,0.113419,0.351467,NONE,0,0,0,0,0,0,0
0.380886,44.0139,29.7655,2.44156,3.09883,0.113419,0.351467,NONE,0,0,0,0,0,0,0
0.389577,43.99,29.7856,2.44264,3.14168,0.117533,0.36925,NONE,0,0,0,0,0,0,0
0.393068,43.99,29.7856,2.44264,3.14168,0.117533,0.36925,NONE,0,0,0,0,0,0,0
0.399494,43.9657,29.8058,2.44389,3.18249,0.117088,0.372633,NONE,0,0,0,0,0,0,0
0.413422,43.9412,29.8264,2.44501,3.22137,0.12111,0.39014,NONE,0,0,0,0,0,0,0
0.417447,43.9163,29.8471,2.44629,3.25839,0.120568,0.392858,NONE,0,0,0,0,0,0,0
0.427315,43.9163,29.8471,2.44629,3.25839,0.120568,0.392858,NONE,0,0,0,0,0,0,0
0.437358,43.8911,29.868,2.44744,3.29365,0.124503,0.410071,NONE,0,0,0,0,0,0,0
0.443652,43.8656,29.8892,2.44875,3.32724,0.123868,0.412139,NONE,0,0,0,0,0,0,0
0.449705,43.8398,29.9105,2.44994,3.35923,0.127721,0.429044,NONE,0,0,0,0,0,0,0
0.455428,43.8138,29.932,2.45129,3.3897,0.126996,0.430478,NONE,0,0,0,0,0,0,0
0.459255,43.8138,29.932,2.45129,3.3897,0.126996,0.430478,NONE,0,0,0,0,0,0,0
0.463257,43.8138,29.932,2.45129,3.3897,0.126996,0.430478,NONE,0,0,0,0,0,0,0
0.468211,43.7875,29.9536,2.4525,3.41872,0.130769,0.447063,NONE,0,0,0,0,0,0,0
0.469395,43.7875,29.9536,2.4525,3.41872,0.130769,0.447063,NONE,0,0,0,0,0,0,0
0.478212,43.761,29.9754,2.45388,3.44636,0.129958,0.447883,NONE,0,0,0,0,0,0,0
0.481731,43.761,29.9754,2.45388,3.44636,0.129958,0.447883,NONE,0,0,0,0,0,0,0
0.489549,43.7343,29.9973,2.45512,3.47268,0.133655,0.464141,NONE,0,0,0,0,0,0,0
0.494644,43.7073,30.0194,2.45653,3.49776,0.13276,0.464364,NONE,0,0,0,0,0,0,0
0.498994,43.7073,30.0194,2.45653,3.49776,0.13276,0.464364,NONE,0,0,0,0,0,0,0
0.502423,43.7073,30.0194,2.45653,3.49776,0.13276,0.464364,NONE,0,0,0,0,0,0,0
0.508704,43.6801,30.0416,2.4578,3.52164,0.136382,0.48029,NONE,0,0,0,0,0,0,0
0.51019,43.6801,30.0416,2.4578,3.52164,0.136382,0.48029,NONE,0,0,0,0,0,0,0
0.515353,43.6527,30.0639,2.45924,3.54439,0.135407,0.479936,NONE,0,0,0,0,0,0,0
