t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,collision
0.000164927,-9.99917,7.475,0,0.118557,0,0,NONE,999.9,0,0
0.020844,-9.99751,7.475,8.81845e-05,0.213657,0.0207128,0.00442543,NONE,999.9,0,0
0.050228,-9.9949,7.475,0.000475915,0.308757,0.0599257,0.0185025,NONE,999.9,0,0
0.0698584,-9.99134,7.475,0.00134882,0.403857,0.117777,0.0475649,NONE,999.9,0,0
0.079243,-9.98682,7.47501,0.00289428,0.498957,0.194481,0.0970376,NONE,999.9,0,0
0.101744,-9.98137,7.4751,0.00464666,0.592517,0.0954997,0.0565852,NONE,999.9,0,0
0.124947,-9.975,7.47536,0.00602438,0.681627,0.169867,0.115786,NONE,999.9,0,0
0.140367,-9.96777,7.47573,0.00799759,0.766501,0.205476,0.157498,NONE,999.9,0,0
0.159459,-9.95971,7.47618,0.010211,0.847339,0.247811,0.20998,NONE,999.9,0,0
0.179619,-9.95078,7.47672,0.012849,0.942439,0.269475,0.253964,NONE,999.9,0,0
0.196112,-9.9409,7.47734,0.0156563,1.03754,0.302862,0.314231,NONE,999.9,0,0
0.222551,-9.93008,7.47806,0.0188518,1.13032,0.32512,0.36749,NONE,999.9,0,0
0.231465,-9.91837,7.47884,0.0220386,1.21869,0.30611,0.373053,NONE,999.9,0,0
0.256445,-9.90578,7.47967,0.025058,1.30286,0.310631,0.404708,NONE,999.9,0,0
0.262869,-9.89238,7.48056,0.0282277,1.38302,0.312461,0.432141,NONE,999.9,0,0
0.286471,-9.8782,7.4815,0.0313563,1.45938,0.325123,0.474477,NONE,999.9,0,0
0.302483,-9.86328,7.48253,0.0346972,1.5321,0.331205,0.50744,NONE,999.9,0,0
0.332791,-9.84765,7.48362,0.0380213,1.60137,0.34565,0.553512,NONE,999.9,0,0
0.35236,-9.83135,7.48481,0.0415761,1.66734,0.352865,0.588345,NONE,999.9,0,0
0.382579,-9.81441,7.48608,0.0451163,1.73017,0.367521,0.635874,NONE,999.9,0,0
0.38709,-9.79687,7.48745,0.0488927,1.79002,0.374843,0.670976,NONE,999.9,0,0
0.413013,-9.76006,7.49047,0.0566421,1.90131,0.39614,0.753186,NONE,999.9,0,0
0.432727,-9.74086,7.49213,0.0606068,1.95302,0.409849,0.800443,NONE,999.9,0,0
0.453834,-9.70089,7.49581,0.0689366,2.07149,0.422384,0.874967,NONE,999.9,0,0
0.472405,-9.67994,7.49785,0.0732421,2.13743,0.42678,0.912212,NONE,999.9,0,0
0.49103,-9.65836,7.49999,0.0772909,2.20022,0.374967,0.825012,NONE,999.9,0,0
0.506878,-9.63617,7.50221,0.0808336,2.26004,0.348683,0.788036,NONE,999.9,0,0
0.533928,-9.6134,7.50453,0.0842776,2.317,0.32882,0.761877,NONE,999.9,0,0
0.545964,-9.59008,7.50693,0.0874622,2.37126,0.321983,0.763506,NONE,999.9,0,0
0.552102,-9.56624,7.50944,0.0907072,2.42294,0.314361,0.761679,NONE,999.9,0,0
0.565648,-9.54191,7.51204,0.0937876,2.47216,0.315352,0.7796,NONE,999.9,0,0
0.57743,-9.5171,7.51476,0.0969956,2.51904,0.312878,0.788154,NONE,999.9,0,0
0.592332,-9.49184,7.51757,0.100078,2.56369,0.317252,0.813336,NONE,999.9,0,0
0.601728,-9.46616,7.52051,0.103318,2.60622,0.317056,0.826318,NONE,999.9,0,0
0.61365,-9.44007,7.52354,0.106449,2.64673,0.322924,0.854693,NONE,999.9,0,0
0.616667,-9.44007,7.52354,0.106449,2.64673,0.322924,0.854693,NONE,999.9,0,0
0.634001,-9.4136,7.52671,0.109753,2.68531,0.32373,0.869315,NONE,999.9,0,0
0.654326,-9.38676,7.52997,0.112952,2.72205,0.330225,0.898891,NONE,999.9,0,0
0.669136,-9.35958,7.53337,0.116333,2.75705,0.331425,0.913757,NONE,999.9,0,0
0.686644,-9.33197,7.53689,0.119576,2.80939,0.330732,0.929155,NONE,999.9,0,0
0.701467,-9.30386,7.54056,0.122937,2.85924,0.328542,0.939381,NONE,999.9,0,0
0.728015,-9.27528,7.54435,0.125934,2.90672,0.261276,0.759457,NONE,999.9,0,0
0.74709,-9.24624,7.5482,0.128252,2.95194,0.218879,0.646119,NONE,999.9,0,0
0.765757,-9.21677,7.55216,0.130335,2.99501,0.18573,0.556264,NONE,999.9,0,0
0.783002,-9.18689,7.55618,0.132023,3.03604,0.167041,0.507143,NONE,999.9,0,0
0.806518,-9.15661,7.56031,0.133676,3.07511,0.150432,0.462594,NONE,999.9,0,0
0.813321,-9.12596,7.5645,0.13507,3.11233,0.143318,0.446052,NONE,999.9,0,0
0.835431,-9.09496,7.5688,0.136531,3.14777,0.134814,0.424364,NONE,999.9,0,0
0.85234,-9.06361,7.57316,0.137798,3.18153,0.133381,0.424357,NONE,999.9,0,0
0.866188,-9.03195,7.57761,0.139181,3.21369,0.128845,0.414067,NONE,999.9,0,0
0.880797,-8.99998,7.58214,0.140402,3.24431,0.13018,0.422344,NONE,999.9,0,0
0.896819,-8.96772,7.58675,0.141765,3.27348,0.127556,0.417552,NONE,999.9,0,0
0.920964,-8.9351,7.59145,0.142968,3.31648,0.127114,0.421571,NONE,999.9,0,0
0.935506,-8.90208,7.59625,0.144292,3.35743,0.123877,0.415908,NONE,999.9,0,0
0.944507,-8.86866,7.60113,0.145471,3.39644,0.12591,0.427646,NONE,999.9,0,0
0.959866,-8.83488,7.60613,0.146793,3.43359,0.124334,0.426913,NONE,999.9,0,0
0.967447,-8.80074,7.6112,0.14798,3.46898,0.127483,0.442238,NONE,999.9,0,0
0.984283,-8.76627,7.61637,0.149323,3.50268,0.12662,0.44351,NONE,999.9,0,0
0.997368,-8.73148,7.62163,0.150535,3.53478,0.130224,0.460314,NONE,999.9,0,0
1.01651,-8.69638,7.62698,0.151908,3.56536,0.129615,0.462125,NONE,999.9,0,0
1.02745,-8.661,7.63241,0.153149,3.59448,0.133358,0.479354,NONE,999.9,0,0
1.03535,-8.62534,7.63793,0.154554,3.62222,0.13279,0.480996,NONE,999.9,0,0
1.04776,-8.58942,7.64353,0.155826,3.64863,0.136528,0.498141,NONE,999.9,0,0
1.0572,-8.55325,7.64922,0.157264,3.67379,0.135907,0.499293,NONE,999.9,0,0
1.06984,-8.51685,7.65499,0.158566,3.69776,0.139578,0.516126,NONE,999.9,0,0
1.08391,-8.48022,7.66085,0.160035,3.72058,0.138867,0.516665,NONE,999.9,0,0
1.09653,-8.44338,7.66677,0.161365,3.74232,0.14245,0.533095,NONE,999.9,0,0
1.10696,-8.40634,7.6728,0.162863,3.76303,0.141639,0.53299,NONE,999.9,0,0
1.12112,-8.36911,7.67889,0.16422,3.78275,0.14513,0.548992,NONE,999.9,0,0
1.12796,-8.33169,7.68507,0.165744,3.80153,0.14422,0.548257,NONE,999.9,0,0
1.14336,-8.2941,7.69132,0.167126,3.81942,0.147624,0.563837,NONE,999.9,0,0
1.14913,-8.25635,7.69766,0.168676,3.83646,0.14662,0.562501,NONE,999.9,0,0
1.15839,-8.21844,7.70406,0.17008,3.85269,0.149941,0.577675,NONE,999.9,0,0
1.17323,-8.18039,7.71056,0.171653,3.86815,0.14885,0.575775,NONE,999.9,0,0
1.17789,-8.1422,7.71712,0.173079,3.88287,0.152095,0.590564,NONE,999.9,0,0
1.18816,-8.10396,7.72376,0.174707,3.8781,0.155855,0.60442,NONE,999.9,0,0
1.19782,-8.06578,7.73042,0.176214,3.87423,0.162606,0.629974,NONE,999.9,0,0
1.20984,-8.02764,7.73716,0.177929,3.8711,0.163066,0.631247,NONE,999.9,0,0
1.22755,-7.98954,7.7439,0.179178,3.86857,0.0736944,0.285092,NONE,999.9,0,0
1.23983,-7.95144,7.75058,0.179182,3.86652,-0.082684,-0.319699,NONE,999.9,0,0
1.24792,-7.91335,7.75716,0.177677,3.86486,-0.195504,-0.755593,NONE,999.9,0,0
1.2602,-7.87526,7.76367,0.175344,3.86351,-0.28384,-1.09662,NONE,999.9,0,0
1.27662,-7.83716,7.77007,0.172098,3.86242,-0.345143,-1.33309,NONE,999.9,0,0
1.29276,-7.79907,7.7764,0.168473,3.86154,-0.394533,-1.52351,NONE,999.9,0,0
1.29736,-7.76096,7.78261,0.164274,3.86082,-0.426488,-1.64659,NONE,999.9,0,0
1.30789,-7.72284,7.78873,0.15995,3.86024,-0.453822,-1.75186,NONE,999.9,0,0
1.31579,-7.68471,7.79472,0.155245,3.85977,-0.469276,-1.8113,NONE,999.9,0,0
1.3353,-7.64656,7.80059,0.150558,3.85939,-0.484313,-1.86915,NONE,999.9,0,0
1.3413,-7.60834,7.80634,0.145638,3.8701,-0.483278,-1.87033,NONE,999.9,0,0
1.35534,-7.57,7.81197,0.140871,3.8803,-0.486229,-1.88671,NONE,999.9,0,0
1.37563,-7.53154,7.81747,0.135936,3.89001,-0.484392,-1.88429,NONE,999.9,0,0
1.3787,-7.49297,7.82286,0.131463,3.89926,-0.397846,-1.5513,NONE,999.9,0,0
1.40287,-7.4543,7.8282,0.127889,3.90807,-0.336366,-1.31454,NONE,999.9,0,0
1.40391,-7.4543,7.8282,0.127889,3.90807,-0.336366,-1.31454,NONE,999.9,0,0
1.41051,-7.41553,7.83345,0.124706,3.91646,-0.286181,-1.12081,NONE,999.9,0,0
1.42806,-7.37667,7.83863,0.122102,3.92445,-0.252615,-0.991375,NONE,999.9,0,0
1.44862,-7.33772,7.84372,0.119645,3.93206,-0.223781,-0.879921,NONE,999.9,0,0
1.4549,-7.29868,7.84874,0.11758,3.93931,-0.206491,-0.813431,NONE,999.9,0,0
1.46794,-7.25957,7.85367,0.115519,3.94622,-0.190007,-0.74981,NONE,999.9,0,0
1.48802,-7.22037,7.85852,0.113744,3.95279,-0.182051,-0.719611,NONE,999.9,0,0
1.50279,-7.1811,7.86329,0.111891,3.95906,-0.172582,-0.683263,NONE,999.9,0,0
1.52699,-7.14176,7.86799,0.110263,3.96502,-0.16987,-0.67354,NONE,999.9,0,0
1.52706,-7.10235,7.87261,0.10851,3.97071,-0.164292,-0.652354,NONE,999.9,0,0
1.54118,-7.06288,7.87716,0.10695,3.97612,-0.164446,-0.653858,NONE,999.9,0,0
1.55275,-7.06288,7.87716,0.10695,3.97612,-0.164446,-0.653858,NONE,999.9,0,0
1.56051,-7.02334,7.88163,0.105241,3.98127,-0.160956,-0.640809,NONE,999.9,0,0
1.57669,-7.02334,7.88163,0.105241,3.98127,-0.160956,-0.640809,NONE,999.9,0,0
1.57676,-6.98375,7.88604,0.103706,3.98618,-0.162617,-0.64822,NONE,999.9,0,0
1.58613,-6.9441,7.89036,0.101855,3.99086,-0.205738,-0.821072,NONE,999.9,0,0
1.59733,-6.90439,7.89456,0.0994698,3.99531,-0.284337,-1.13602,NONE,999.9,0,0
1.61464,-6.86462,7.8986,0.0962504,3.99956,-0.340172,-1.36054,NONE,999.9,0,0
1.63221,-6.8248,7.90252,0.09269,4.0036,-0.386491,-1.54736,NONE,999.9,0,0
1.64993,-6.8248,7.90252,0.09269,4.0036,-0.386491,-1.54736,NONE,999.9,0,0
1.66571,-6.78492,7.90629,0.0885786,4.00745,-0.417501,-1.67311,NONE,999.9,0,0
1.66972,-6.74499,7.90992,0.0843445,4.01111,-0.444787,-1.78409,NONE,999.9,0,0
1.68387,-6.74499,7.90992,0.0843445,4.01111,-0.444787,-1.78409,NONE,999.9,0,0
1.69274,-6.70501,7.9134,0.0797261,4.0146,-0.461247,-1.85172,NONE,999.9,0,0
1.70482,-6.70501,7.9134,0.0797261,4.0146,-0.461247,-1.85172,NONE,999.9,0,0
1.7223,-6.66499,7.91674,0.0751125,4.01793,-0.477453,-1.91837,NONE,999.9,0,0
1.73292,-6.62492,7.91991,0.0702113,4.0211,-0.485507,-1.95227,NONE,999.9,0,0
1.75551,-6.58481,7.92292,0.0653886,4.02411,-0.495363,-1.9934,NONE,999.9,0,0
1.76971,-6.54465,7.92577,0.0603332,4.02698,-0.498642,-2.00802,NONE,999.9,0,0
1.78037,-6.50446,7.92845,0.0553979,4.02972,-0.504929,-2.03472,NONE,999.9,0,0
1.81694,-6.46423,7.93095,0.0502607,4.03233,-0.505555,-2.03856,NONE,999.9,0,0
1.82101,-6.42396,7.93328,0.0452667,4.03481,-0.509887,-2.0573,NONE,999.9,0,0
1.82499,-6.38365,7.93542,0.0400874,4.03717,-0.509082,-2.05525,NONE,999.9,0,0
1.83707,-6.34332,7.93739,0.0350637,4.03943,-0.512379,-2.06972,NONE,999.9,0,0
1.84583,-6.30344,7.93914,0.0293337,3.94433,-0.604933,-2.38605,NONE,999.9,0,0
1.85179,-6.2645,7.94068,0.0230029,3.84923,-0.681989,-2.62513,NONE,999.9,0,0
1.8636,-6.22651,7.94198,0.0157907,3.75413,-0.733725,-2.7545,NONE,999.9,0,0
1.87953,-6.18946,7.94311,0.00877194,3.65903,-0.650729,-2.38103,NONE,999.9,0,0
1.88422,-6.15336,7.94413,0.00265793,3.56393,-0.59947,-2.13647,NONE,999.9,0,0
1.89844,-6.11821,7.94498,-0.00322565,3.46883,-0.555203,-1.9259,NONE,999.9,0,0
1.90265,-6.084,7.94569,-0.00852244,3.37373,-0.529673,-1.78697,NONE,999.9,0,0
1.90845,-6.084,7.94569,-0.00852244,3.37373,-0.529673,-1.78697,NONE,999.9,0,0
1.91678,-6.05074,7.94622,-0.0137942,3.27863,-0.501305,-1.64359,NONE,999.9,0,0
1.9209,-6.01843,7.94661,-0.0186063,3.18353,-0.485765,-1.54645,NONE,999.9,0,0
1.9361,-5.98699,7.94681,-0.0233676,3.10586,-0.444924,-1.38187,NONE,999.9,0,0
1.94137,-5.95624,7.94687,-0.0274967,3.04297,-0.404548,-1.23103,NONE,999.9,0,0
1.94926,-5.95624,7.94687,-0.0274967,3.04297,-0.404548,-1.23103,NONE,999.9,0,0
1.96076,-5.92607,7.94675,-0.0313823,2.99204,-0.353879,-1.05882,NONE,999.9,0,0
1.97026,-5.89628,7.94648,-0.0345432,2.96548,-0.300616,-0.891471,NONE,999.9,0,0
1.97601,-5.86674,7.94604,-0.0373885,2.94397,-0.252452,-0.743209,NONE,999.9,0,0
1.99256,-5.83739,7.9455,-0.0393265,2.92655,-0.124793,-0.365212,NONE,999.9,0,0
1.9941,-5.8082,7.94492,-0.0400431,2.91244,-0.0422078,-0.122928,NONE,999.9,0,0
2.00267,-5.77914,7.94427,-0.0402214,2.90102,0.020513,0.0595086,NONE,999.9,0,0
2.00481,-5.77914,7.94427,-0.0402214,2.90102,0.020513,0.0595086,NONE,999.9,0,0
2.01122,-5.75019,7.94359,-0.0397284,2.89177,0.0576204,0.166625,NONE,999.9,0,0
2.01583,-5.75019,7.94359,-0.0397284,2.89177,0.0576204,0.166625,NONE,999.9,0,0
2.02753,-5.72132,7.94286,-0.0390769,2.88427,0.0883599,0.254854,NONE,999.9,0,0
2.03499,-5.69251,7.94212,-0.0380249,2.87821,0.10323,0.297116,NONE,999.9,0,0
2.04223,-5.66377,7.94135,-0.0369989,2.8733,0.118472,0.340404,NONE,999.9,0,0
2.04595,-5.66377,7.94135,-0.0369989,2.8733,0.118472,0.340404,NONE,999.9,0,0
2.05938,-5.63506,7.94058,-0.0357032,2.86932,0.122729,0.35215,NONE,999.9,0,0
2.06693,-5.6064,7.9398,-0.0345204,2.8661,0.130695,0.374584,NONE,999.9,0,0
2.07492,-5.57776,7.93903,-0.0331291,2.86349,0.130092,0.372516,NONE,999.9,0,0
2.08068,-5.54914,7.93827,-0.0318896,2.86137,0.134808,0.385737,NONE,999.9,0,0
2.08959,-5.54914,7.93827,-0.0318896,2.86137,0.134808,0.385737,NONE,999.9,0,0
2.08966,-5.52055,7.93753,-0.0304687,2.85966,0.132121,0.37782,NONE,999.9,0,0
2.09579,-5.52055,7.93753,-0.0304687,2.85966,0.132121,0.37782,NONE,999.9,0,0
2.10439,-5.49197,7.93679,-0.0292159,2.85828,0.135503,0.387306,NONE,999.9,0,0
2.11462,-5.4634,7.9361,-0.0277926,2.85716,0.132023,0.377209,NONE,999.9,0,0
2.12147,-5.43484,7.93541,-0.0265432,2.85625,0.134943,0.385431,NONE,999.9,0,0
2.13066,-5.43484,7.93541,-0.0265432,2.85625,0.134943,0.385431,NONE,999.9,0,0
2.13739,-5.40629,7.93476,-0.0251269,2.85551,0.131238,0.37475,NONE,999.9,0,0
2.14529,-5.37774,7.93413,-0.0238857,2.85492,0.134066,0.382747,NONE,999.9,0,0
2.15568,-5.3492,7.93354,-0.0224783,2.85443,0.130363,0.372112,NONE,999.9,0,0
2.16577,-5.32067,7.93298,-0.0212456,2.85404,0.133237,0.380265,NONE,999.9,0,0
2.17161,-5.29213,7.93245,-0.0198462,2.85373,0.129612,0.369876,NONE,999.9,0,0
2.17562,-5.29213,7.93245,-0.0198462,2.85373,0.129612,0.369876,NONE,999.9,0,0
2.18952,-5.2636,7.93195,-0.0186205,2.85347,0.13257,0.378283,NONE,999.9,0,0
2.19877,-5.23507,7.93149,-0.0172274,2.85326,0.129032,0.368163,NONE,999.9,0,0
2.20681,-5.20654,7.93106,-0.0160071,2.85309,0.132071,0.376812,NONE,999.9,0,0
