t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,collision
0.00010861,-9.99917,7.475,0,0.118557,0,0,NONE,999.9,0,0
0.0338199,-9.99751,7.475,8.81845e-05,0.213657,0.0207128,0.00442543,NONE,999.9,0,0
0.0482039,-9.9949,7.475,0.000475915,0.308757,0.0599257,0.0185025,NONE,999.9,0,0
0.0713827,-9.99134,7.475,0.00134882,0.403857,0.117777,0.0475649,NONE,999.9,0,0
0.078005,-9.98682,7.47501,0.00289428,0.498957,0.194481,0.0970376,NONE,999.9,0,0
0.0937398,-9.98137,7.4751,0.00464666,0.592517,0.0954997,0.0565852,NONE,999.9,0,0
0.111405,-9.975,7.47536,0.00602438,0.681627,0.169867,0.115786,NONE,999.9,0,0
0.133314,-9.96777,7.47573,0.00799759,0.766501,0.205476,0.157498,NONE,999.9,0,0
0.143963,-9.95971,7.47618,0.010211,0.847339,0.247811,0.20998,NONE,999.9,0,0
0.15411,-9.95078,7.47672,0.012849,0.942439,0.269475,0.253964,NONE,999.9,0,0
0.172236,-9.9409,7.47734,0.0156563,1.03754,0.302862,0.314231,NONE,999.9,0,0
0.181102,-9.93008,7.47806,0.0188518,1.13032,0.32512,0.36749,NONE,999.9,0,0
0.194724,-9.91837,7.47884,0.0220386,1.21869,0.30611,0.373053,NONE,999.9,0,0
0.211628,-9.90578,7.47967,0.025058,1.30286,0.310631,0.404708,NONE,999.9,0,0
0.223424,-9.89238,7.48056,0.0282277,1.38302,0.312461,0.432141,NONE,999.9,0,0
0.233012,-9.8782,7.4815,0.0313563,1.45938,0.325123,0.474477,NONE,999.9,0,0
0.242295,-9.86328,7.48253,0.0346972,1.5321,0.331205,0.50744,NONE,999.9,0,0
0.259347,-9.84765,7.48362,0.0380213,1.60137,0.34565,0.553512,NONE,999.9,0,0
0.269104,-9.83135,7.48481,0.0415761,1.66734,0.352865,0.588345,NONE,999.9,0,0
0.278362,-9.81441,7.48608,0.0451163,1.73017,0.367521,0.635874,NONE,999.9,0,0
0.295183,-9.79687,7.48745,0.0488927,1.79002,0.374843,0.670976,NONE,999.9,0,0
0.303519,-9.77874,7.4889,0.0526491,1.84702,0.389138,0.718746,NONE,999.9,0,0
0.319798,-9.76006,7.49047,0.0566421,1.90131,0.39614,0.753186,NONE,999.9,0,0
0.327785,-9.74086,7.49213,0.0606068,1.95302,0.409849,0.800443,NONE,999.9,0,0
0.341896,-9.72106,7.49392,0.0647646,2.02459,0.410699,0.831495,NONE,999.9,0,0
0.357182,-9.70056,7.49583,0.0688634,2.09275,0.421258,0.881587,NONE,999.9,0,0
0.370061,-9.6794,7.49789,0.073171,2.15767,0.427994,0.923469,NONE,999.9,0,0
0.385177,-9.65763,7.50005,0.0772367,2.21951,0.376932,0.836603,NONE,999.9,0,0
0.3968,-9.63525,7.50228,0.0808002,2.2784,0.350879,0.799442,NONE,999.9,0,0
0.408517,-9.63525,7.50228,0.0808002,2.2784,0.350879,0.799442,NONE,999.9,0,0
0.418409,-9.6123,7.50461,0.0842667,2.33449,0.331041,0.772814,NONE,999.9,0,0
0.43106,-9.58881,7.50703,0.087473,2.38792,0.324138,0.774016,NONE,999.9,0,0
0.447789,-9.56481,7.50955,0.0907394,2.43881,0.316429,0.771709,NONE,999.9,0,0
0.463034,-9.54032,7.51216,0.0938396,2.48727,0.317323,0.789268,NONE,999.9,0,0
0.479588,-9.51537,7.5149,0.0970672,2.53344,0.314763,0.797431,NONE,999.9,0,0
