t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,collision
0.000107862,-9.99917,7.475,0,0.118557,0,0,NONE,999.9,0,0
0.00654764,-9.99751,7.475,0,0.213657,0,0,NONE,999.9,0,0
0.0163253,-9.9949,7.475,0,0.308757,0,0,NONE,999.9,0,0
0.0307247,-9.99134,7.475,0,0.403857,0,0,NONE,999.9,0,0
0.0396659,-9.98682,7.475,0,0.498957,0,0,NONE,999.9,0,0
0.0462662,-9.98136,7.475,0,0.592517,0,0,NONE,999.9,0,0
0.0609555,-9.97499,7.475,0,0.681627,0,0,NONE,999.9,0,0
0.079761,-9.96775,7.475,0,0.766501,0,0,NONE,999.9,0,0
0.0867775,-9.95961,7.475,0,0.861601,0,0,NONE,999.9,0,0
0.10268,-9.95052,7.475,0,0.956701,0,0,NONE,999.9,0,0
0.111268,-9.94048,7.475,0,1.0518,0,0,NONE,999.9,0,0
0.118025,-9.9295,7.475,0,1.1439,0,0,NONE,999.9,0,0
0.122528,-9.9295,7.475,0,1.1439,0,0,NONE,999.9,0,0
0.136216,-9.91762,7.475,0,1.23163,0,0,NONE,999.9,0,0
0.142563,-9.90489,7.475,0,1.31518,0,0,NONE,999.9,0,0
0.145391,-9.90489,7.475,0,1.31518,0,0,NONE,999.9,0,0
0.162171,-9.89134,7.475,0,1.39476,0,0,NONE,999.9,0,0
0.170567,-9.87701,7.475,0,1.47056,0,0,NONE,999.9,0,0
0.177125,-9.86195,7.475,0,1.54275,0,0,NONE,999.9,0,0
0.186288,-9.84617,7.475,0,1.61151,0,0,NONE,999.9,0,0
0.201373,-9.82973,7.475,0,1.677,0,0,NONE,999.9,0,0
0.207326,-9.81265,7.475,0,1.73937,0,0,NONE,999.9,0,0
0.217178,-9.79496,7.475,0,1.79878,0,0,NONE,999.9,0,0
0.221768,-9.79496,7.475,0,1.79878,0,0,NONE,999.9,0,0
0.231701,-9.77669,7.475,0,1.85537,0,0,NONE,999.9,0,0
0.243338,-9.75775,7.475,0,1.93158,0,0,NONE,999.9,0,0
0.252761,-9.73808,7.475,0,2.00416,0,0,NONE,999.9,0,0
0.262762,-9.71769,7.475,0,2.07329,0,0,NONE,999.9,0,0
0.271631,-9.71769,7.475,0,2.07329,0,0,NONE,999.9,0,0
0.276287,-9.69663,7.475,0,2.13914,0,0,NONE,999.9,0,0
0.288655,-9.67492,7.475,0,2.20186,0,0,NONE,999.9,0,0
0.293162,-9.6526,7.475,0,2.26159,0,0,NONE,999.9,0,0
0.297687,-9.6297,7.475,0,2.31848,0,0,NONE,999.9,0,0
0.307885,-9.6297,7.475,0,2.31848,0,0,NONE,999.9,0,0
0.31929,-9.60625,7.475,0,2.37267,0,0,NONE,999.9,0,0
0.321924,-9.58226,7.475,0,2.42428,0,0,NONE,999.9,0,0
0.331397,-9.55777,7.475,0,2.47344,0,0,NONE,999.9,0,0
0.340647,-9.53281,7.475,0,2.52026,0,0,NONE,999.9,0,0
0.345386,-9.53281,7.475,0,2.52026,0,0,NONE,999.9,0,0
0.351392,-9.50738,7.475,0,2.56485,0,0,NONE,999.9,0,0
0.365813,-9.48152,7.475,0,2.60733,0,0,NONE,999.9,0,0
0.374449,-9.45524,7.475,0,2.64778,0,0,NONE,999.9,0,0
0.382249,-9.42857,7.475,0,2.68631,0,0,NONE,999.9,0,0
0.388589,-9.40153,7.475,0,2.72301,0,0,NONE,999.9,0,0
0.404337,-9.37412,7.475,0,2.75796,0,0,NONE,999.9,0,0
0.412303,-9.34628,7.475,0,2.81026,0,0,NONE,999.9,0,0
0.417867,-9.31793,7.475,0,2.86007,0,0,NONE,999.9,0,0
0.435751,-9.31793,7.475,0,2.86007,0,0,NONE,999.9,0,0
0.441976,-9.28909,7.475,0,2.90751,0,0,NONE,999.9,0,0
0.459554,-9.25979,7.475,0,2.95269,0,0,NONE,999.9,0,0
0.468595,-9.25979,7.475,0,2.95269,0,0,NONE,999.9,0,0
0.478973,-9.23005,7.475,0,2.99573,0,0,NONE,999.9,0,0
0.491109,-9.23005,7.475,0,2.99573,0,0,NONE,999.9,0,0
0.497779,-9.19989,7.475,0,3.03672,0,0,NONE,999.9,0,0
0.515948,-9.16932,7.475,0,3.07576,0,0,NONE,999.9,0,0
0.527275,-9.13838,7.475,0,3.11294,0,0,NONE,999.9,0,0
0.546141,-9.10707,7.475,0,3.14836,0,0,NONE,999.9,0,0
0.549488,-9.07542,7.475,0,3.18209,0,0,NONE,999.9,0,0
0.556508,-9.04344,7.475,0,3.21422,0,0,NONE,999.9,0,0
0.572183,-9.01114,7.475,0,3.24482,0,0,NONE,999.9,0,0
0.57446,-8.97855,7.475,0,3.27396,0,0,NONE,999.9,0,0
0.58535,-8.9456,7.475,0,3.31694,0,0,NONE,999.9,0,0
0.608259,-8.91222,7.475,0,3.35787,0,0,NONE,999.9,0,0
0.613619,-8.87845,7.475,0,3.39686,0,0,NONE,999.9,0,0
0.617551,-8.84429,7.475,0,3.43399,0,0,NONE,999.9,0,0
0.622331,-8.84429,7.475,0,3.43399,0,0,NONE,999.9,0,0
0.633772,-8.80978,7.475,0,3.46936,0,0,NONE,999.9,0,0
0.63499,-8.80978,7.475,0,3.46936,0,0,NONE,999.9,0,0
0.642345,-8.77492,7.475,0,3.50304,0,0,NONE,999.9,0,0
0.645522,-8.77492,7.475,0,3.50304,0,0,NONE,999.9,0,0
0.661959,-8.73972,7.475,0,3.53513,0,0,NONE,999.9,0,0
0.66243,-8.70422,7.475,0,3.56569,0,0,NONE,999.9,0,0
0.670596,-8.66842,7.475,0,3.59479,0,0,NONE,999.9,0,0
0.677394,-8.63233,7.475,0,3.62251,0,0,NONE,999.9,0,0
0.690303,-8.59597,7.475,0,3.64891,0,0,NONE,999.9,0,0
0.701111,-8.59597,7.475,0,3.64891,0,0,NONE,999.9,0,0
0.71165,-8.55936,7.475,0,3.67406,0,0,NONE,999.9,0,0
0.714157,-8.55936,7.475,0,3.67406,0,0,NONE,999.9,0,0
0.728349,-8.5225,7.475,0,3.69801,0,0,NONE,999.9,0,0
0.732964,-8.4854,7.475,0,3.72083,0,0,NONE,999.9,0,0
0.747058,-8.44809,7.475,0,3.74255,0,0,NONE,999.9,0,0
0.766216,-8.41056,7.475,0,3.76325,0,0,NONE,999.9,0,0
0.770204,-8.37283,7.475,0,3.78296,0,0,NONE,999.9,0,0
0.781751,-8.3349,7.475,0,3.80173,0,0,NONE,999.9,0,0
0.78943,-8.3349,7.475,0,3.80173,0,0,NONE,999.9,0,0
0.79441,-8.2968,7.475,0,3.81961,0,0,NONE,999.9,0,0
0.80152,-8.25852,7.475,0,3.83665,0,0,NONE,999.9,0,0
0.814872,-8.22007,7.475,0,3.85287,0,0,NONE,999.9,0,0
0.818418,-8.18146,7.475,0,3.86832,0,0,NONE,999.9,0,0
0.833928,-8.14271,7.475,0,3.88303,0,0,NONE,999.9,0,0
