t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,collision
8.793e-05,-75.7538,52.8966,-1.48757,0.118557,0,0,NONE,999.9,0,0
0.00266979,-75.7538,52.8966,-1.48757,0.118557,0,0,NONE,999.9,0,0
0.016309,-75.7538,52.8966,-1.48757,0.118557,0,0,NONE,999.9,0,0
0.0219435,-75.7537,52.8949,-1.48766,0.213657,-0.0207128,-0.00442543,NONE,999.9,0,0
0.0231623,-75.7535,52.8923,-1.48778,0.308757,-2.14898e-10,-6.63514e-11,NONE,999.9,0,0
0.0285157,-75.7535,52.8923,-1.48778,0.308757,-2.14898e-10,-6.63514e-11,NONE,999.9,0,0
0.0330396,-75.7532,52.8888,-1.48796,0.403857,-0.0391515,-0.0158116,NONE,999.9,0,0
0.035759,-75.7532,52.8888,-1.48796,0.403857,-0.0391515,-0.0158116,NONE,999.9,0,0
0.0406086,-75.7528,52.8843,-1.48817,0.498957,-4.29797e-10,-2.1445e-10,NONE,999.9,0,0
0.0435951,-75.7528,52.8843,-1.48817,0.498957,-4.29797e-10,-2.1445e-10,NONE,999.9,0,0
0.0545308,-75.7524,52.8788,-1.48833,0.592517,-0.00918721,-0.00544357,NONE,999.9,0,0
0.0574683,-75.7524,52.8788,-1.48833,0.592517,-0.00918721,-0.00544357,NONE,999.9,0,0
0.0619881,-75.7519,52.8724,-1.48857,0.687617,-0.0146729,-0.0100893,NONE,999.9,0,0
0.0776228,-75.7513,52.8651,-1.48876,0.782717,-0.0324285,-0.0253823,NONE,999.9,0,0
0.0827242,-75.7507,52.8568,-1.48914,0.877817,-0.0314421,-0.0276004,NONE,999.9,0,0
0.0874839,-75.7507,52.8568,-1.48914,0.877817,-0.0314421,-0.0276004,NONE,999.9,0,0
0.0910485,-75.75,52.8476,-1.48931,0.972917,0.00367325,0.00357377,NONE,999.9,0,0
0.0953042,-75.75,52.8476,-1.48931,0.972917,0.00367325,0.00357377,NONE,999.9,0,0
0.10331,-75.7491,52.8374,-1.489,1.06802,0.0611441,0.0653029,NONE,999.9,0,0
0.108588,-75.7491,52.8374,-1.489,1.06802,0.0611441,0.0653029,NONE,999.9,0,0
0.113419,-75.7481,52.8263,-1.48818,1.15935,0.0900651,0.104417,NONE,999.9,0,0
0.117659,-75.7481,52.8263,-1.48818,1.15935,0.0900651,0.104417,NONE,999.9,0,0
0.120566,-75.747,52.8144,-1.48718,1.24634,0.119903,0.14944,NONE,999.9,0,0
0.125277,-75.747,52.8144,-1.48718,1.24634,0.119903,0.14944,NONE,999.9,0,0
0.127616,-75.747,52.8144,-1.48718,1.24634,0.119903,0.14944,NONE,999.9,0,0
0.131324,-75.7457,52.8016,-1.48584,1.32919,0.136023,0.180801,NONE,999.9,0,0
0.134966,-75.7457,52.8016,-1.48584,1.32919,0.136023,0.180801,NONE,999.9,0,0
0.15215,-75.7444,52.7879,-1.48442,1.40811,0.15718,0.221326,NONE,999.9,0,0
0.158479,-75.7444,52.7879,-1.48442,1.40811,0.15718,0.221326,NONE,999.9,0,0
0.162862,-75.7429,52.7736,-1.48274,1.48327,0.167824,0.248927,NONE,999.9,0,0
0.175605,-75.7429,52.7736,-1.48274,1.48327,0.167824,0.248927,NONE,999.9,0,0
0.177668,-75.7413,52.7585,-1.48103,1.55485,0.18446,0.286808,NONE,999.9,0,0
0.181839,-75.7395,52.7427,-1.47909,1.62304,0.192028,0.311668,NONE,999.9,0,0
0.191137,-75.7395,52.7427,-1.47909,1.62304,0.192028,0.311668,NONE,999.9,0,0
0.194541,-75.7377,52.7262,-1.47716,1.68798,0.205932,0.347609,NONE,999.9,0,0
0.19634,-75.7377,52.7262,-1.47716,1.68798,0.205932,0.347609,NONE,999.9,0,0
0.209077,-75.7358,52.7091,-1.4748,1.74983,0.273724,0.478971,NONE,999.9,0,0
0.217909,-75.7337,52.6915,-1.47179,1.80874,0.31268,0.565558,NONE,999.9,0,0
0.220113,-75.7314,52.6732,-1.46854,1.86485,0.346841,0.646808,NONE,999.9,0,0
0.224015,-75.7314,52.6732,-1.46854,1.86485,0.346841,0.646808,NONE,999.9,0,0
0.228175,-75.7314,52.6732,-1.46854,1.86485,0.346841,0.646808,NONE,999.9,0,0
0.236151,-75.729,52.6544,-1.46496,1.94061,0.359554,0.697755,NONE,999.9,0,0
0.241746,-75.7264,52.6348,-1.46132,2.01277,0.379175,0.763192,NONE,999.9,0,0
0.24316,-75.7264,52.6348,-1.46132,2.01277,0.379175,0.763192,NONE,999.9,0,0
0.253997,-75.7237,52.6145,-1.4574,2.08149,0.392808,0.817628,NONE,999.9,0,0
0.256161,-75.7237,52.6145,-1.4574,2.08149,0.392808,0.817628,NONE,999.9,0,0
0.269792,-75.7207,52.5935,-1.45343,2.14695,0.411364,0.883179,NONE,999.9,0,0
0.272647,-75.7176,52.572,-1.4492,2.20929,0.42335,0.935306,NONE,999.9,0,0
0.275854,-75.7176,52.572,-1.4492,2.20929,0.42335,0.935306,NONE,999.9,0,0
0.280887,-75.7144,52.5498,-1.44494,2.26867,0.440034,0.998294,NONE,999.9,0,0
