t,x,y,yaw,speed,yaw_rate,a_lat,collision,timer_state,elapsed_time
6.3249,-75.7538,52.8962,-1.4876,0.1455,0.0000,0.0000,0,1,0.0001
6.3312,-75.7538,52.8962,-1.4876,0.1455,0.0000,0.0000,0,1,0.0055
6.3372,-75.7536,52.8942,-1.4875,0.2406,0.0233,0.0056,0,1,0.0101
6.3402,-75.7536,52.8942,-1.4875,0.2406,0.0233,0.0056,0,1,0.0131
6.3443,-75.7534,52.8914,-1.4873,0.3357,0.0000,0.0000,0,1,0.0220
6.3576,-75.7531,52.8876,-1.4875,0.4308,-0.0418,-0.0180,0,1,0.0307
6.3605,-75.7531,52.8876,-1.4875,0.4308,-0.0418,-0.0180,0,1,0.0334
6.3652,-75.7527,52.8828,-1.4878,0.5259,-0.0085,-0.0045,0,1,0.0409
6.3714,-75.7527,52.8828,-1.4878,0.5259,-0.0085,-0.0045,0,1,0.0450
6.3769,-75.7522,52.8771,-1.4878,0.6210,-0.0269,-0.0167,0,1,0.0522
6.3809,-75.7522,52.8771,-1.4878,0.6210,-0.0269,-0.0167,0,1,0.0571
6.3851,-75.7517,52.8704,-1.4881,0.7161,-0.0223,-0.0160,0,1,0.0620
6.3910,-75.7517,52.8704,-1.4881,0.7161,-0.0223,-0.0160,0,1,0.0641
6.3951,-75.7511,52.8628,-1.4882,0.8112,0.0099,0.0080,0,1,0.0681
6.3978,-75.7511,52.8628,-1.4882,0.8112,0.0099,0.0080,0,1,0.0704
6.3999,-75.7511,52.8628,-1.4882,0.8112,0.0099,0.0080,0,1,0.0731
6.4040,-75.7504,52.8542,-1.4880,0.9063,0.0168,0.0152,0,1,0.0768
6.4165,-75.7496,52.8447,-1.4878,1.0014,0.0318,0.0319,0,1,0.0900
6.4205,-75.7496,52.8447,-1.4878,1.0014,0.0318,0.0319,0,1,0.0948
6.4259,-75.7486,52.8343,-1.4874,1.0965,0.0339,0.0372,0,1,0.0988
6.4285,-75.7486,52.8343,-1.4874,1.0965,0.0339,0.0372,0,1,0.1011
6.4332,-75.7476,52.8229,-1.4871,1.1916,0.0444,0.0529,0,1,0.1067
6.4370,-75.7476,52.8229,-1.4871,1.1916,0.0444,0.0529,0,1,0.1104
6.4412,-75.7476,52.8229,-1.4871,1.1916,0.0444,0.0529,0,1,0.1151
6.4448,-75.7465,52.8106,-1.4866,1.2867,0.0455,0.0586,0,1,0.1177
6.4480,-75.7465,52.8106,-1.4866,1.2867,0.0455,0.0586,0,1,0.1240
6.4569,-75.7453,52.7973,-1.4862,1.3818,0.0539,0.0745,0,1,0.1318
6.4617,-75.7453,52.7973,-1.4862,1.3818,0.0539,0.0745,0,1,0.1347
6.4660,-75.7440,52.7830,-1.4856,1.4769,0.0547,0.0808,0,1,0.1397
6.4704,-75.7440,52.7830,-1.4856,1.4769,0.0547,0.0808,0,1,0.1486
6.4782,-75.7426,52.7678,-1.4850,1.5720,0.0618,0.0971,0,1,0.1529
6.4801,-75.7426,52.7678,-1.4850,1.5720,0.0618,0.0971,0,1,0.1530
6.4840,-75.7411,52.7517,-1.4844,1.6671,0.0625,0.1041,0,1,0.1573
6.4880,-75.7411,52.7517,-1.4844,1.6671,0.0625,0.1041,0,1,0.1607
6.4929,-75.7396,52.7346,-1.4838,1.7622,0.0686,0.1209,0,1,0.1655
