t,x,y,yaw,speed,yaw_rate,a_lat,collision,timer_state,elapsed_time
5.4435,-75.7538,52.8963,-1.4876,0.1396,0.0000,0.0000,0,1,0.0001
5.4473,-75.7538,52.8963,-1.4876,0.1396,0.0000,0.0000,0,1,0.0041
5.4531,-75.7536,52.8944,-1.4877,0.2347,-0.0228,-0.0053,0,1,0.0123
5.4581,-75.7536,52.8944,-1.4877,0.2347,-0.0228,-0.0053,0,1,0.0145
5.4606,-75.7536,52.8944,-1.4877,0.2347,-0.0228,-0.0053,0,1,0.0174
5.4650,-75.7534,52.8916,-1.4878,0.3298,0.0000,0.0000,0,1,0.0222
5.4689,-75.7534,52.8916,-1.4878,0.3298,0.0000,0.0000,0,1,0.0271
5.4745,-75.7531,52.8878,-1.4880,0.4249,-0.0412,-0.0175,0,1,0.0323
5.4784,-75.7531,52.8878,-1.4880,0.4249,-0.0412,-0.0175,0,1,0.0348
5.4801,-75.7531,52.8878,-1.4880,0.4249,-0.0412,-0.0175,0,1,0.0365
5.4837,-75.7527,52.8831,-1.4882,0.5200,-0.0084,-0.0044,0,1,0.0465
5.4950,-75.7523,52.8775,-1.4883,0.6151,-0.0271,-0.0166,0,1,0.0516
5.4975,-75.7523,52.8775,-1.4883,0.6151,-0.0271,-0.0166,0,1,0.0537
5.4993,-75.7523,52.8775,-1.4883,0.6151,-0.0271,-0.0166,0,1,0.0558
5.5033,-75.7517,52.8709,-1.4886,0.7102,-0.0222,-0.0158,0,1,0.0595
5.5072,-75.7517,52.8709,-1.4886,0.7102,-0.0222,-0.0158,0,1,0.0634
5.5120,-75.7511,52.8633,-1.4887,0.8053,0.0099,0.0080,0,1,0.0683
5.5153,-75.7511,52.8633,-1.4887,0.8053,0.0099,0.0080,0,1,0.0717
5.5195,-75.7511,52.8633,-1.4887,0.8053,0.0099,0.0080,0,1,0.0802
5.5257,-75.7504,52.8548,-1.4885,0.9004,0.0167,0.0151,0,1,0.0819
5.5271,-75.7504,52.8548,-1.4885,0.9004,0.0167,0.0151,0,1,0.0832
5.5325,-75.7496,52.8454,-1.4883,0.9955,0.0318,0.0316,0,1,0.0892
5.5354,-75.7496,52.8454,-1.4883,0.9955,0.0318,0.0316,0,1,0.0915
5.5393,-75.7496,52.8454,-1.4883,0.9955,0.0318,0.0316,0,1,0.0952
5.5432,-75.7487,52.8350,-1.4879,1.0906,0.0338,0.0369,0,1,0.0993
5.5484,-75.7487,52.8350,-1.4879,1.0906,0.0338,0.0369,0,1,0.1048
5.5537,-75.7477,52.8236,-1.4876,1.1857,0.0443,0.0525,0,1,0.1123
5.5565,-75.7477,52.8236,-1.4876,1.1857,0.0443,0.0525,0,1,0.1137
5.5593,-75.7477,52.8236,-1.4876,1.1857,0.0443,0.0525,0,1,0.1165
5.5635,-75.7466,52.8113,-1.4871,1.2808,0.0454,0.0581,0,1,0.1197
5.5674,-75.7466,52.8113,-1.4871,1.2808,0.0454,0.0581,0,1,0.1236
5.5720,-75.7454,52.7981,-1.4866,1.3759,0.0538,0.0740,0,1,0.1283
5.5754,-75.7454,52.7981,-1.4866,1.3759,0.0538,0.0740,0,1,0.1321
5.5792,-75.7454,52.7981,-1.4866,1.3759,0.0538,0.0740,0,1,0.1355
5.5833,-75.7441,52.7839,-1.4860,1.4710,0.0546,0.0803,0,1,0.1422
5.5878,-75.7441,52.7839,-1.4860,1.4710,0.0546,0.0803,0,1,0.1440
5.5934,-75.7428,52.7688,-1.4855,1.5661,0.0616,0.0965,0,1,0.1503
5.5971,-75.7428,52.7688,-1.4855,1.5661,0.0616,0.0965,0,1,0.1534
5.5992,-75.7428,52.7688,-1.4855,1.5661,0.0616,0.0965,0,1,0.1559
5.6032,-75.7413,52.7527,-1.4848,1.6612,0.0623,0.1035,0,1,0.1594
5.6072,-75.7413,52.7527,-1.4848,1.6612,0.0623,0.1035,0,1,0.1634
5.6123,-75.7397,52.7357,-1.4842,1.7563,0.0685,0.1203,0,1,0.1760
5.6195,-75.7397,52.7357,-1.4842,1.7563,0.0685,0.1203,0,1,0.1761
5.6240,-75.7380,52.7178,-1.4835,1.8514,0.0690,0.1278,0,1,0.1806
5.6272,-75.7380,52.7178,-1.4835,1.8514,0.0690,0.1278,0,1,0.1835
5.6321,-75.7363,52.6989,-1.4828,1.9465,0.0745,0.1450,0,1,0.1884
5.6352,-75.7363,52.6989,-1.4828,1.9465,0.0745,0.1450,0,1,0.1913
5.6392,-75.7363,52.6989,-1.4828,1.9465,0.0745,0.1450,0,1,0.1954
5.6432,-75.7344,52.6790,-1.4820,2.0416,0.0750,0.1531,0,1,0.1996
5.6499,-75.7344,52.6790,-1.4820,2.0416,0.0750,0.1531,0,1,0.2097
5.6582,-75.7325,52.6582,-1.4813,2.1367,0.0799,0.1706,0,1,0.2154
5.6629,-75.7304,52.6365,-1.4803,2.2318,0.1320,0.2946,0,1,0.2200
