t,x,y,yaw,speed,yaw_rate,a_lat,collision,timer_state,elapsed_time
15.8042,-75.7682,52.3453,-1.6074,1.3497,0.2257,0.3047,0,1,0.0001
15.8081,-75.7682,52.3453,-1.6074,1.3497,0.2257,0.3047,0,1,0.0033
15.8137,-75.7684,52.3319,-1.6045,1.3425,0.3544,0.4758,0,1,0.0094
15.8161,-75.7684,52.3319,-1.6045,1.3425,0.3544,0.4758,0,1,0.0111
15.8199,-75.7684,52.3319,-1.6045,1.3425,0.3544,0.4758,0,1,0.0150
15.8275,-75.7685,52.3182,-1.6006,1.4045,0.4272,0.6001,0,1,0.0258
15.8335,-75.7683,52.3038,-1.5960,1.4636,0.4778,0.6993,0,1,0.0291
15.8360,-75.7683,52.3038,-1.5960,1.4636,0.4778,0.6993,0,1,0.0314
15.8399,-75.7683,52.3038,-1.5960,1.4636,0.4778,0.6993,0,1,0.0351
15.8440,-75.7680,52.2889,-1.5912,1.5182,0.4651,0.7061,0,1,0.0391
15.8480,-75.7680,52.2889,-1.5912,1.5182,0.4651,0.7061,0,1,0.0431
15.8528,-75.7677,52.2735,-1.5868,1.5703,0.4116,0.6463,0,1,0.0478
15.8589,-75.7677,52.2735,-1.5868,1.5703,0.4116,0.6463,0,1,0.0553
15.8630,-75.7673,52.2575,-1.5829,1.6200,0.3958,0.6411,0,1,0.0586
15.8657,-75.7673,52.2575,-1.5829,1.6200,0.3958,0.6411,0,1,0.0610
15.8680,-75.7673,52.2575,-1.5829,1.6200,0.3958,0.6411,0,1,0.0634
15.8727,-75.7669,52.2411,-1.5789,1.6680,0.3849,0.6420,0,1,0.0679
15.8761,-75.7669,52.2411,-1.5789,1.6680,0.3849,0.6420,0,1,0.0714
15.8800,-75.7669,52.2411,-1.5789,1.6680,0.3849,0.6420,0,1,0.0752
15.8841,-75.7664,52.2242,-1.5751,1.7133,0.3893,0.6670,0,1,0.0799
15.8889,-75.7664,52.2242,-1.5751,1.7133,0.3893,0.6670,0,1,0.0865
15.8933,-75.7659,52.2068,-1.5712,1.7566,0.3888,0.6829,0,1,0.0895
15.8961,-75.7659,52.2068,-1.5712,1.7566,0.3888,0.6829,0,1,0.0915
15.9000,-75.7659,52.2068,-1.5712,1.7566,0.3888,0.6829,0,1,0.0951
15.9040,-75.7653,52.1891,-1.5673,1.7960,0.3985,0.7158,0,1,0.0991
15.9080,-75.7653,52.1891,-1.5673,1.7960,0.3985,0.7158,0,1,0.1029
15.9125,-75.7647,52.1710,-1.5632,1.8336,0.4007,0.7347,0,1,0.1075
15.9159,-75.7647,52.1710,-1.5632,1.8336,0.4007,0.7347,0,1,0.1108
15.9250,-75.7640,52.1525,-1.5592,1.8690,0.4114,0.7690,0,1,0.1201
15.9280,-75.7640,52.1525,-1.5592,1.8690,0.4114,0.7690,0,1,0.1231
15.9327,-75.7632,52.1336,-1.5550,1.9015,0.4144,0.7879,0,1,0.1279
15.9359,-75.7632,52.1336,-1.5550,1.9015,0.4144,0.7879,0,1,0.1309
15.9399,-75.7632,52.1336,-1.5550,1.9015,0.4144,0.7879,0,1,0.1350
15.9439,-75.7623,52.1145,-1.5509,1.9331,0.4249,0.8214,0,1,0.1389
15.9480,-75.7623,52.1145,-1.5509,1.9331,0.4249,0.8214,0,1,0.1430
15.9530,-75.7614,52.0950,-1.5466,1.9624,0.4275,0.8390,0,1,0.1491
15.9561,-75.7614,52.0950,-1.5466,1.9624,0.4275,0.8390,0,1,0.1523
15.9600,-75.7614,52.0950,-1.5466,1.9624,0.4275,0.8390,0,1,0.1557
15.9640,-75.7603,52.0753,-1.5423,1.9899,0.4380,0.8716,0,1,0.1590
15.9679,-75.7603,52.0753,-1.5423,1.9899,0.4380,0.8716,0,1,0.1628
15.9725,-75.7592,52.0553,-1.5378,2.0147,0.4406,0.8876,0,1,0.1675
15.9760,-75.7592,52.0553,-1.5378,2.0147,0.4406,0.8876,0,1,0.1711
15.9799,-75.7592,52.0553,-1.5378,2.0147,0.4406,0.8876,0,1,0.1749
15.9840,-75.7579,52.0351,-1.5335,2.0394,0.4502,0.9181,0,1,0.1820
15.9884,-75.7579,52.0351,-1.5335,2.0394,0.4502,0.9181,0,1,0.1844
15.9927,-75.7566,52.0146,-1.5289,2.0618,0.4520,0.9320,0,1,0.1878
15.9960,-75.7566,52.0146,-1.5289,2.0618,0.4520,0.9320,0,1,0.1910
