t,x,y,yaw,speed,yaw_rate,a_lat,collision,timer_state,elapsed_time
14.2519,-75.7563,52.6516,-1.5769,1.3960,-0.5885,-0.8215,0,1,0.0001
14.2569,-75.7572,52.6373,-1.5825,1.4715,-0.5262,-0.7743,0,1,0.0049
14.2600,-75.7572,52.6373,-1.5825,1.4715,-0.5262,-0.7743,0,1,0.0077
14.2647,-75.7572,52.6373,-1.5825,1.4715,-0.5262,-0.7743,0,1,0.0127
14.2681,-75.7582,52.6222,-1.5874,1.5423,-0.4542,-0.7005,0,1,0.0160
14.2719,-75.7582,52.6222,-1.5874,1.5423,-0.4542,-0.7005,0,1,0.0201
14.2766,-75.7592,52.6065,-1.5915,1.6097,-0.3670,-0.5908,0,1,0.0243
14.2800,-75.7592,52.6065,-1.5915,1.6097,-0.3670,-0.5908,0,1,0.0280
14.2839,-75.7592,52.6065,-1.5915,1.6097,-0.3670,-0.5908,0,1,0.0316
14.2880,-75.7602,52.5901,-1.5947,1.6698,-0.2617,-0.4370,0,1,0.0358
14.2919,-75.7602,52.5901,-1.5947,1.6698,-0.2617,-0.4370,0,1,0.0396
14.2973,-75.7610,52.5732,-1.5967,1.7269,-0.1419,-0.2451,0,1,0.0466
14.3001,-75.7610,52.5732,-1.5967,1.7269,-0.1419,-0.2451,0,1,0.0479
14.3041,-75.7610,52.5732,-1.5967,1.7269,-0.1419,-0.2451,0,1,0.0522
14.3080,-75.7618,52.5557,-1.5975,1.7826,-0.0105,-0.0187,0,1,0.0558
14.3119,-75.7618,52.5557,-1.5975,1.7826,-0.0105,-0.0187,0,1,0.0595
14.3167,-75.7624,52.5376,-1.5971,1.8346,0.0678,0.1244,0,1,0.0645
14.3199,-75.7624,52.5376,-1.5971,1.8346,0.0678,0.1244,0,1,0.0675
14.3239,-75.7624,52.5376,-1.5971,1.8346,0.0678,0.1244,0,1,0.0716
14.3300,-75.7629,52.5190,-1.5962,1.8820,0.1275,0.2400,0,1,0.0791
14.3326,-75.7629,52.5190,-1.5962,1.8820,0.1275,0.2400,0,1,0.0809
14.3370,-75.7633,52.5000,-1.5946,1.9274,0.1626,0.3135,0,1,0.0848
14.3399,-75.7633,52.5000,-1.5946,1.9274,0.1626,0.3135,0,1,0.0876
14.3438,-75.7633,52.5000,-1.5946,1.9274,0.1626,0.3135,0,1,0.0915
14.3479,-75.7636,52.4805,-1.5929,1.9696,0.1948,0.3837,0,1,0.0957
14.3519,-75.7636,52.4805,-1.5929,1.9696,0.1948,0.3837,0,1,0.0998
14.3567,-75.7639,52.4606,-1.5908,2.0093,0.2125,0.4270,0,1,0.1076
14.3601,-75.7639,52.4606,-1.5908,2.0093,0.2125,0.4270,0,1,0.1081
14.3641,-75.7639,52.4606,-1.5908,2.0093,0.2125,0.4270,0,1,0.1121
14.3680,-75.7640,52.4403,-1.5886,2.0457,0.2330,0.4766,0,1,0.1162
14.3720,-75.7640,52.4403,-1.5886,2.0457,0.2330,0.4766,0,1,0.1197
14.3767,-75.7641,52.4197,-1.5862,2.0789,0.2428,0.5048,0,1,0.1246
14.3800,-75.7641,52.4197,-1.5862,2.0789,0.2428,0.5048,0,1,0.1278
14.3839,-75.7641,52.4197,-1.5862,2.0789,0.2428,0.5048,0,1,0.1317
14.3879,-75.7642,52.3987,-1.5838,2.1117,0.2567,0.5422,0,1,0.1404
14.3968,-75.7642,52.3775,-1.5808,2.1430,0.3368,0.7218,0,1,0.1450
14.4000,-75.7642,52.3775,-1.5808,2.1430,0.3368,0.7218,0,1,0.1480
14.4039,-75.7642,52.3775,-1.5808,2.1430,0.3368,0.7218,0,1,0.1517
14.4079,-75.7640,52.3559,-1.5771,2.1708,0.3843,0.8343,0,1,0.1558
14.4119,-75.7640,52.3559,-1.5771,2.1708,0.3843,0.8343,0,1,0.1599
14.4166,-75.7637,52.3341,-1.5732,2.1967,0.4226,0.9284,0,1,0.1644
14.4199,-75.7637,52.3341,-1.5732,2.1967,0.4226,0.9284,0,1,0.1677
14.4248,-75.7637,52.3341,-1.5732,2.1967,0.4226,0.9284,0,1,0.1744
14.4300,-75.7633,52.3120,-1.5687,2.2213,0.4432,0.9844,0,1,0.1779
14.4320,-75.7633,52.3120,-1.5687,2.2213,0.4432,0.9844,0,1,0.1796
14.4366,-75.7627,52.2897,-1.5643,2.2436,0.4648,1.0428,0,1,0.1843
14.4399,-75.7627,52.2897,-1.5643,2.2436,0.4648,1.0428,0,1,0.1875
14.4438,-75.7627,52.2897,-1.5643,2.2436,0.4648,1.0428,0,1,0.1918
14.4481,-75.7621,52.2671,-1.5595,2.2655,0.4742,1.0744,0,1,0.1959
14.4520,-75.7621,52.2671,-1.5595,2.2655,0.4742,1.0744,0,1,0.1998
14.4572,-75.7613,52.2444,-1.5548,2.2859,0.4883,1.1163,0,1,0.2058
14.4624,-75.7613,52.2444,-1.5548,2.2859,0.4883,1.1163,0,1,0.2104
14.4651,-75.7613,52.2444,-1.5548,2.2859,0.4883,1.1163,0,1,0.2132
14.4688,-75.7605,52.2214,-1.5498,2.3046,0.4936,1.1375,0,1,0.2166
14.4718,-75.7605,52.2214,-1.5498,2.3046,0.4936,1.1375,0,1,0.2194
14.4766,-75.7595,52.1983,-1.5449,2.3212,0.5050,1.1723,0,1,0.2244
14.4799,-75.7595,52.1983,-1.5449,2.3212,0.5050,1.1723,0,1,0.2276
14.4838,-75.7595,52.1983,-1.5449,2.3212,0.5050,1.1723,0,1,0.2319
14.4880,-75.7583,52.1751,-1.5397,2.3374,0.5076,1.1865,0,1,0.2367
14.4922,-75.7583,52.1751,-1.5397,2.3374,0.5076,1.1865,0,1,0.2400
14.4966,-75.7571,52.1517,-1.5347,2.3508,0.5177,1.2169,0,1,0.2445
14.4999,-75.7571,52.1517,-1.5347,2.3508,0.5177,1.2169,0,1,0.2478
14.5039,-75.7571,52.1517,-1.5347,2.3508,0.5177,1.2169,0,1,0.2517
14.5079,-75.7557,52.1281,-1.5294,2.3636,0.5192,1.2272,0,1,0.2555
14.5119,-75.7557,52.1281,-1.5294,2.3636,0.5192,1.2272,0,1,0.2596
14.5168,-75.7543,52.1045,-1.5242,2.3756,0.5273,1.2527,0,1,0.2694
14.5209,-75.7543,52.1045,-1.5242,2.3756,0.5273,1.2527,0,1,0.2696
14.5248,-75.7543,52.1045,-1.5242,2.3756,0.5273,1.2527,0,1,0.2730
14.5296,-75.7527,52.0807,-1.5189,2.3864,0.5279,1.2598,0,1,0.2781
14.5337,-75.7527,52.0807,-1.5189,2.3864,0.5279,1.2598,0,1,0.2821
14.5383,-75.7509,52.0569,-1.5138,2.3953,0.4936,1.1823,0,1,0.2864
14.5407,-75.7509,52.0569,-1.5138,2.3953,0.4936,1.1823,0,1,0.2884
14.5440,-75.7509,52.0569,-1.5138,2.3953,0.4936,1.1823,0,1,0.2919
14.5480,-75.7491,52.0329,-1.5091,2.4038,0.4300,1.0336,0,1,0.3030
14.5583,-75.7473,52.0089,-1.5051,2.4119,0.3959,0.9550,0,1,0.3064
14.5607,-75.7473,52.0089,-1.5051,2.4119,0.3959,0.9550,0,1,0.3088
14.5639,-75.7473,52.0089,-1.5051,2.4119,0.3959,0.9550,0,1,0.3118
14.5680,-75.7454,51.9849,-1.5012,2.4167,0.3694,0.8928,0,1,0.3157
14.5719,-75.7454,51.9849,-1.5012,2.4167,0.3694,0.8928,0,1,0.3199
14.5769,-75.7434,51.9608,-1.4976,2.4205,0.3591,0.8692,0,1,0.3247
14.5799,-75.7434,51.9608,-1.4976,2.4205,0.3591,0.8692,0,1,0.3277
14.5841,-75.7434,51.9608,-1.4976,2.4205,0.3591,0.8692,0,1,0.3332
14.5904,-75.7413,51.9366,-1.4939,2.4224,0.3907,0.9465,0,1,0.3386
14.5931,-75.7413,51.9366,-1.4939,2.4224,0.3907,0.9465,0,1,0.3410
14.5966,-75.7391,51.9125,-1.4900,2.4256,0.3668,0.8898,0,1,0.3445
14.6001,-75.7391,51.9125,-1.4900,2.4256,0.3668,0.8898,0,1,0.3480
14.6039,-75.7391,51.9125,-1.4900,2.4256,0.3668,0.8898,0,1,0.3520
14.6079,-75.7368,51.8883,-1.4865,2.4287,0.3579,0.8693,0,1,0.3559
14.6119,-75.7368,51.8883,-1.4865,2.4287,0.3579,0.8693,0,1,0.3596
14.6184,-75.7345,51.8642,-1.4826,2.4303,0.4341,1.0551,0,1,0.3683
14.6230,-75.7345,51.8642,-1.4826,2.4303,0.4341,1.0551,0,1,0.3709
14.6253,-75.7345,51.8642,-1.4826,2.4303,0.4341,1.0551,0,1,0.3733
14.6281,-75.7319,51.8400,-1.4779,2.4304,0.4775,1.1605,0,1,0.3760
14.6320,-75.7319,51.8400,-1.4779,2.4304,0.4775,1.1605,0,1,0.3800
14.6366,-75.7293,51.8158,-1.4730,2.4286,0.5126,1.2448,0,1,0.3844
14.6399,-75.7293,51.8158,-1.4730,2.4286,0.5126,1.2448,0,1,0.3877
14.6439,-75.7293,51.8158,-1.4730,2.4286,0.5126,1.2448,0,1,0.3919
14.6484,-75.7265,51.7917,-1.4677,2.4307,0.5259,1.2784,0,1,0.3975
14.6528,-75.7265,51.7917,-1.4677,2.4307,0.5259,1.2784,0,1,0.4007
14.6569,-75.7235,51.7676,-1.4625,2.4329,0.5408,1.3157,0,1,0.4047
14.6600,-75.7235,51.7676,-1.4625,2.4329,0.5408,1.3157,0,1,0.4078
14.6639,-75.7235,51.7676,-1.4625,2.4329,0.5408,1.3157,0,1,0.4116
14.6679,-75.7205,51.7434,-1.4570,2.4335,0.5451,1.3265,0,1,0.4157
14.6719,-75.7205,51.7434,-1.4570,2.4335,0.5451,1.3265,0,1,0.4197
14.6767,-75.7173,51.7193,-1.4516,2.4337,0.5544,1.3492,0,1,0.4246
14.6820,-75.7173,51.7193,-1.4516,2.4337,0.5544,1.3492,0,1,0.4315
14.6846,-75.7173,51.7193,-1.4516,2.4337,0.5544,1.3492,0,1,0.4327
14.6884,-75.7139,51.6952,-1.4456,2.4339,0.6420,1.5626,0,1,0.4367
